p cnf 60 240
-56 38 -10 0
-17 8 37 0
-40 -31 27 0
11 7 35 0
28 -56 -8 0
40 -16 15 0
-37 10 52 0
-14 37 -32 0
20 48 13 0
-34 9 -48 0
-41 55 51 0
-37 -50 1 0
11 32 16 0
-19 -34 -38 0
59 -12 -57 0
40 45 -32 0
9 6 33 0
-15 56 55 0
12 -16 47 0
20 55 45 0
13 -24 48 0
13 -19 -52 0
34 21 51 0
11 -28 -3 0
-10 -51 -36 0
47 -34 -36 0
56 8 -50 0
-48 58 -43 0
-15 42 -18 0
-40 -57 -15 0
-40 11 2 0
-26 18 54 0
-16 22 33 0
45 57 -12 0
1 26 56 0
-12 33 -32 0
-59 7 13 0
-16 25 57 0
9 22 -38 0
-18 45 -8 0
-17 48 -58 0
-21 -12 50 0
36 -27 -23 0
27 50 35 0
2 53 -46 0
-16 -48 -1 0
58 -4 -20 0
-1 25 -47 0
24 -36 58 0
-5 48 50 0
57 -29 -35 0
28 -7 49 0
-20 46 -36 0
23 -38 -56 0
59 9 -49 0
54 48 -12 0
-51 45 53 0
6 57 40 0
-7 -15 -51 0
54 3 10 0
53 -20 -17 0
1 2 47 0
-53 -50 27 0
-12 23 9 0
-29 -46 56 0
-5 -51 -27 0
55 14 -47 0
-33 36 19 0
-36 34 -41 0
-3 28 31 0
44 11 -51 0
40 48 24 0
-37 -5 -54 0
5 37 -27 0
4 17 9 0
53 -6 17 0
-24 32 25 0
36 34 -4 0
-55 -48 38 0
-48 27 -11 0
35 19 -50 0
35 15 -32 0
-50 -17 -20 0
-24 46 -21 0
28 21 -22 0
17 -26 -58 0
-2 49 -28 0
-57 40 -10 0
-33 23 16 0
35 -30 5 0
33 6 -18 0
41 59 26 0
-44 9 -32 0
-23 38 15 0
-19 21 -36 0
22 -38 58 0
22 -6 -51 0
30 -37 -41 0
47 5 39 0
2 -51 -37 0
-30 26 9 0
54 -44 34 0
-13 44 -24 0
-50 -19 -10 0
56 46 -16 0
4 -57 44 0
35 27 -19 0
-28 -38 5 0
34 -54 -39 0
-41 -58 -19 0
-24 -59 -42 0
-25 -3 18 0
26 36 55 0
-55 -25 -4 0
35 -28 45 0
38 52 -28 0
-1 -41 18 0
-16 34 45 0
-15 40 3 0
26 10 53 0
-23 -54 57 0
-32 -57 -52 0
2 57 50 0
-55 -4 -34 0
-8 27 36 0
54 -41 -56 0
9 18 39 0
-11 -8 -6 0
41 -44 -17 0
-34 -8 -24 0
2 -33 -57 0
-3 47 -53 0
13 -48 11 0
1 37 18 0
46 1 26 0
-20 -33 -1 0
3 17 15 0
-5 13 -31 0
37 -49 60 0
-49 41 29 0
-13 -25 23 0
-58 -20 -14 0
-15 45 2 0
25 -38 34 0
11 13 34 0
-15 5 -36 0
-41 49 -6 0
1 -59 18 0
44 35 -21 0
6 8 -45 0
28 -45 -43 0
-53 4 60 0
-39 -25 11 0
-34 -21 -33 0
10 23 7 0
37 -26 -32 0
52 -33 38 0
-55 58 -39 0
-57 -52 -49 0
-5 46 -20 0
-46 34 48 0
40 -43 -48 0
-45 -48 -5 0
5 26 -48 0
-11 16 -50 0
-24 16 38 0
53 26 12 0
46 -47 -29 0
36 -1 23 0
16 14 48 0
18 4 -44 0
59 -16 3 0
3 -7 -10 0
55 16 32 0
53 29 33 0
47 23 56 0
-41 -56 43 0
-13 -14 -25 0
26 -18 -23 0
-5 9 25 0
49 31 3 0
-3 -8 50 0
-58 -57 -33 0
6 -12 2 0
-55 -18 8 0
11 -49 19 0
60 31 55 0
-32 14 -56 0
-40 28 -7 0
9 18 55 0
1 4 37 0
-32 -19 -26 0
5 10 -52 0
-48 -59 19 0
51 -57 -52 0
42 38 1 0
38 46 -23 0
-44 -52 -19 0
39 29 53 0
47 14 -20 0
24 -43 12 0
53 45 -44 0
-12 -27 19 0
25 31 5 0
31 58 -10 0
32 -2 -18 0
41 54 32 0
16 56 -37 0
-11 2 53 0
-48 33 58 0
-45 7 35 0
51 27 -23 0
-21 33 -4 0
22 -2 39 0
-13 -9 54 0
-18 -19 16 0
41 51 42 0
48 -27 -2 0
13 28 -37 0
-59 15 25 0
-57 38 59 0
51 43 29 0
37 -10 -12 0
26 -33 29 0
-51 42 18 0
5 -33 -12 0
18 -1 34 0
9 -20 -57 0
29 -54 7 0
-54 33 -45 0
-26 55 -22 0
-20 -59 -24 0
-24 -25 41 0
-14 27 2 0
13 45 -58 0
-23 -20 -52 0
31 15 -38 0
-57 2 -41 0
45 -34 43 0
-47 3 27 0
