atom31 > not atom31.
not atom45 > atom45 :- not atom31.
atom51 > not atom51 :- not atom31.
atom38 > not atom38 :- not atom31.
not atom35 > atom35 :- not atom38, not atom31.
not atom35 > atom35 :- atom38, not atom31.
not atom25 > atom25 :- not atom38, not atom31.
atom25 > not atom25 :- atom38, not atom31.
atom76 > not atom76 :- not atom35, not atom31.
not atom76 > atom76 :- atom35, not atom31.
not atom67 > atom67 :- not atom25, not atom31.
atom67 > not atom67 :- atom25, not atom31.
not atom47 > atom47 :- not atom45, not atom31.
not atom47 > atom47 :- atom45, not atom31.
not atom72 > atom72 :- not atom38, not atom31.
atom72 > not atom72 :- atom38, not atom31.
not atom68 > atom68 :- not atom47, not atom31.
not atom68 > atom68 :- atom47, not atom31.
atom40 > not atom40 :- not atom35, not atom31.
atom40 > not atom40 :- atom35, not atom31.
not atom99 > atom99 :- not atom35, not atom31.
not atom99 > atom99 :- atom35, not atom31.
atom55 > not atom55 :- not atom25, not atom31.
atom55 > not atom55 :- atom25, not atom31.
not atom81 > atom81 :- not atom35, not atom31.
not atom81 > atom81 :- atom35, not atom31.
atom11 > not atom11 :- not atom38, not atom31.
not atom11 > atom11 :- atom38, not atom31.
not atom42 > atom42 :- not atom11, not atom31.
atom42 > not atom42 :- atom11, not atom31.
atom5 > not atom5 :- not atom25, not atom31.
atom5 > not atom5 :- atom25, not atom31.
not atom78 > atom78 :- not atom5, not atom31.
not atom78 > atom78 :- atom5, not atom31.
atom41 > not atom41 :- not atom5, not atom31.
not atom41 > atom41 :- atom5, not atom31.
atom53 > not atom53 :- not atom11, not atom31.
not atom53 > atom53 :- atom11, not atom31.
not atom39 > atom39 :- not atom5, not atom31.
not atom39 > atom39 :- atom5, not atom31.
not atom74 > atom74 :- not atom11, not atom31.
atom74 > not atom74 :- atom11, not atom31.
not atom18 > atom18 :- not atom35, not atom31.
not atom18 > atom18 :- atom35, not atom31.
not atom24 > atom24 :- not atom11, not atom31.
not atom24 > atom24 :- atom11, not atom31.
not atom91 > atom91 :- not atom18, not atom31.
not atom91 > atom91 :- atom18, not atom31.
atom14 > not atom14 :- not atom11, not atom31.
not atom14 > atom14 :- atom11, not atom31.
not atom96 > atom96 :- not atom18, not atom31.
atom96 > not atom96 :- atom18, not atom31.
not atom90 > atom90 :- not atom5, not atom31.
not atom90 > atom90 :- atom5, not atom31.
atom63 > not atom63 :- not atom5, not atom31.
not atom63 > atom63 :- atom5, not atom31.
not atom79 > atom79 :- not atom35, not atom31.
atom79 > not atom79 :- atom35, not atom31.
atom30 > not atom30 :- not atom5, not atom31.
not atom30 > atom30 :- atom5, not atom31.
not atom13 > atom13 :- not atom5, not atom31.
atom13 > not atom13 :- atom5, not atom31.
not atom80 > atom80 :- not atom11, not atom31.
atom80 > not atom80 :- atom11, not atom31.
atom29 > not atom29 :- not atom5, not atom31.
atom29 > not atom29 :- atom5, not atom31.
atom28 > not atom28 :- not atom5, not atom31.
atom28 > not atom28 :- atom5, not atom31.
not atom36 > atom36 :- not atom24, not atom31.
atom36 > not atom36 :- atom24, not atom31.
atom9 > not atom9 :- not atom11, not atom31.
atom9 > not atom9 :- atom11, not atom31.
not atom92 > atom92 :- not atom9, not atom31.
atom92 > not atom92 :- atom9, not atom31.
atom69 > not atom69 :- not atom13, not atom31.
atom69 > not atom69 :- atom13, not atom31.
not atom100 > atom100 :- not atom11, not atom31.
atom100 > not atom100 :- atom11, not atom31.
not atom60 > atom60 :- not atom5, not atom31.
atom60 > not atom60 :- atom5, not atom31.
atom43 > not atom43 :- not atom13, not atom31.
atom43 > not atom43 :- atom13, not atom31.
atom10 > not atom10 :- not atom11, not atom31.
not atom10 > atom10 :- atom11, not atom31.
atom97 > not atom97 :- not atom10, not atom31.
not atom97 > atom97 :- atom10, not atom31.
not atom88 > atom88 :- not atom10, not atom31.
