not atom26 > atom26.
atom48 > not atom48.
not atom59 > atom59 :- not atom48.
atom59 > not atom59 :- atom48.
atom28 > not atom28 :- not atom48, atom59.
not atom28 > atom28 :- atom48, atom59.
atom98 > not atom98 :- not atom48, atom59.
not atom98 > atom98 :- atom48, atom59.
atom22 > not atom22 :- not atom28, atom59.
atom22 > not atom22 :- atom28, atom59.
atom36 > not atom36 :- not atom26, atom59.
not atom36 > atom36 :- atom26, atom59.
not atom90 > atom90 :- not atom22, atom59.
atom90 > not atom90 :- atom22, atom59.
atom78 > not atom78 :- not atom22, atom59.
atom78 > not atom78 :- atom22, atom59.
not atom38 > atom38 :- not atom22, atom59.
atom38 > not atom38 :- atom22, atom59.
not atom80 > atom80 :- not atom22, atom59.
atom80 > not atom80 :- atom22, atom59.
atom51 > not atom51 :- not atom28, atom59.
not atom51 > atom51 :- atom28, atom59.
atom2 > not atom2 :- not atom22, atom59.
atom2 > not atom2 :- atom22, atom59.
not atom97 > atom97 :- not atom2, atom59.
not atom97 > atom97 :- atom2, atom59.
not atom19 > atom19 :- not atom2, atom59.
not atom19 > atom19 :- atom2, atom59.
atom31 > not atom31 :- not atom26, atom59.
not atom31 > atom31 :- atom26, atom59.
not atom45 > atom45 :- not atom26, atom59.
atom45 > not atom45 :- atom26, atom59.
atom68 > not atom68 :- not atom26, atom59.
atom68 > not atom68 :- atom26, atom59.
not atom15 > atom15 :- not atom19, atom59.
not atom15 > atom15 :- atom19, atom59.
atom49 > not atom49 :- not atom2, atom59.
not atom49 > atom49 :- atom2, atom59.
not atom74 > atom74 :- not atom2, atom59.
atom74 > not atom74 :- atom2, atom59.
not atom50 > atom50 :- not atom2, atom59.
not atom50 > atom50 :- atom2, atom59.
not atom92 > atom92 :- not atom2, atom59.
atom92 > not atom92 :- atom2, atom59.
not atom8 > atom8 :- not atom2, atom59.
not atom8 > atom8 :- atom2, atom59.
atom12 > not atom12 :- not atom8, atom59.
atom12 > not atom12 :- atom8, atom59.
not atom9 > atom9 :- not atom8, atom59.
not atom9 > atom9 :- atom8, atom59.
atom32 > not atom32 :- not atom2, atom59.
atom32 > not atom32 :- atom2, atom59.
not atom64 > atom64 :- not atom2, atom59.
not atom64 > atom64 :- atom2, atom59.
not atom7 > atom7 :- not atom8, atom59.
atom7 > not atom7 :- atom8, atom59.
atom17 > not atom17 :- not atom2, atom59.
atom17 > not atom17 :- atom2, atom59.
not atom87 > atom87 :- not atom8, atom59.
atom87 > not atom87 :- atom8, atom59.
not atom100 > atom100 :- not atom2, atom59.
atom100 > not atom100 :- atom2, atom59.
atom43 > not atom43 :- not atom9, atom59.
not atom43 > atom43 :- atom9, atom59.
atom1 > not atom1 :- not atom7, atom59.
atom1 > not atom1 :- atom7, atom59.
not atom18 > atom18 :- not atom7, atom59.
atom18 > not atom18 :- atom7, atom59.
atom96 > not atom96 :- not atom2, atom59.
not atom96 > atom96 :- atom2, atom59.
atom14 > not atom14 :- not atom1, atom59.
atom14 > not atom14 :- atom1, atom59.
atom55 > not atom55 :- not atom7, atom59.
not atom55 > atom55 :- atom7, atom59.
atom94 > not atom94 :- not atom1, atom59.
not atom94 > atom94 :- atom1, atom59.
atom52 > not atom52 :- not atom2, atom59.
atom52 > not atom52 :- atom2, atom59.
not atom91 > atom91 :- not atom2, atom59.
not atom91 > atom91 :- atom2, atom59.
not atom42 > atom42 :- not atom1, atom59.
not atom42 > atom42 :- atom1, atom59.
atom44 > not atom44 :- not atom7, atom59.
atom44 > not atom44 :- atom7, atom59.
not atom86 > atom86 :- not atom1, atom59.
not atom86 > atom86 :- atom1, atom59.
not atom5 > atom5 :- not atom1, atom59.
not atom5 > atom5 :- atom1, atom59.
atom66 > not atom66 :- not atom1, atom59.
not atom66 > atom66 :- atom1, atom59.
atom27 > not atom27 :- not atom5, atom59.
atom27 > not atom27 :- atom5, atom59.
not atom41 > atom41 :- not atom2, atom59.
not atom41 > atom41 :- atom2, atom59.
atom88 > not atom88 :- not atom1, atom59.
not atom88 > atom88 :- atom1, atom59.
atom56 > not atom56 :- not atom1, atom59.
atom56 > not atom56 :- atom1, atom59.
atom81 > not atom81 :- not atom5, atom59.
atom81 > not atom81 :- atom5, atom59.
atom24 > not atom24 :- not atom1, atom59.
atom24 > not atom24 :- atom1, atom59.
not atom4 > atom4 :- not atom1, atom59.
not atom4 > atom4 :- atom1, atom59.
not atom71 > atom71 :- not atom2, atom59.
atom71 > not atom71 :- atom2, atom59.
not atom85 > atom85 :- not atom5, atom59.
atom85 > not atom85 :- atom5, atom59.
atom73 > not atom73 :- not atom1, atom59.
not atom73 > atom73 :- atom1, atom59.
not atom10 > atom10 :- not atom1, atom59.
atom10 > not atom10 :- atom1, atom59.
atom62 > not atom62 :- not atom4, atom59.
not atom62 > atom62 :- atom4, atom59.
atom69 > not atom69 :- not atom1, atom59.
not atom69 > atom69 :- atom1, atom59.
not atom29 > atom29 :- not atom1, atom59.
atom29 > not atom29 :- atom1, atom59.
atom77 > not atom77 :- not atom1, atom59.
not atom77 > atom77 :- atom1, atom59.
atom54 > not atom54 :- not atom1, atom59.
atom54 > not atom54 :- atom1, atom59.
not atom99 > atom99 :- not atom2, atom59.
not atom99 > atom99 :- atom2, atom59.
not atom46 > atom46 :- not atom1, atom59.
not atom46 > atom46 :- atom1, atom59.
not atom13 > atom13 :- not atom1, atom59.
atom13 > not atom13 :- atom1, atom59.
not atom11 > atom11 :- not atom1, atom59.
not atom11 > atom11 :- atom1, atom59.
not atom39 > atom39 :- not atom2, atom59.
atom39 > not atom39 :- atom2, atom59.
atom20 > not atom20 :- not atom2, atom59.
atom20 > not atom20 :- atom2, atom59.
atom84 > not atom84 :- not atom1, atom59.
not atom84 > atom84 :- atom1, atom59.
atom47 > not atom47 :- not atom4, atom59.
atom47 > not atom47 :- atom4, atom59.
not atom35 > atom35 :- not atom1, atom59.
not atom35 > atom35 :- atom1, atom59.
not atom16 > atom16 :- not atom4, atom59.
not atom16 > atom16 :- atom4, atom59.
not atom75 > atom75 :- not atom4, atom59.
not atom75 > atom75 :- atom4, atom59.
not atom95 > atom95 :- not atom1, atom59.
not atom95 > atom95 :- atom1, atom59.
atom67 > not atom67 :- not atom1, atom59.
not atom67 > atom67 :- atom1, atom59.
not atom3 > atom3 :- not atom2, atom59.
not atom3 > atom3 :- atom2, atom59.
not atom60 > atom60 :- not atom1, atom59.
not atom60 > atom60 :- atom1, atom59.
atom65 > not atom65 :- not atom4, atom59.
atom65 > not atom65 :- atom4, atom59.
not atom93 > atom93 :- not atom2, atom59.
atom93 > not atom93 :- atom2, atom59.
not atom79 > atom79 :- not atom2, atom59.
not atom79 > atom79 :- atom2, atom59.
atom33 > not atom33 :- not atom2, atom59.
atom33 > not atom33 :- atom2, atom59.
atom57 > not atom57 :- not atom3, atom59.
not atom57 > atom57 :- atom3, atom59.
atom40 > not atom40 :- not atom5, atom59.
not atom40 > atom40 :- atom5, atom59.
atom21 > not atom21 :- not atom1, atom59.
atom21 > not atom21 :- atom1, atom59.
atom70 > not atom70 :- not atom3, atom59.
not atom70 > atom70 :- atom3, atom59.
atom30 > not atom30 :- not atom1, atom59.
atom30 > not atom30 :- atom1, atom59.
not atom34 > atom34 :- not atom2, atom59.
atom34 > not atom34 :- atom2, atom59.
not atom72 > atom72 :- not atom2, atom59.
atom72 > not atom72 :- atom2, atom59.
not atom37 > atom37 :- not atom4, atom59.
not atom37 > atom37 :- atom4, atom59.
atom63 > not atom63 :- not atom2, atom59.
not atom63 > atom63 :- atom2, atom59.
not atom82 > atom82 :- not atom8, atom59.
atom82 > not atom82 :- atom8, atom59.
not atom83 > atom83 :- not atom1, atom59.
atom83 > not atom83 :- atom1, atom59.
atom61 > not atom61 :- not atom2, atom59.
not atom61 > atom61 :- atom2, atom59.
not atom23 > atom23 :- not atom3, atom59.
atom23 > not atom23 :- atom3, atom59.
atom58 > not atom58 :- not atom1, atom59.
atom58 > not atom58 :- atom1, atom59.
atom25 > not atom25 :- not atom1, atom59.
atom25 > not atom25 :- atom1, atom59.
atom53 > not atom53 :- not atom1, atom59.
not atom53 > atom53 :- atom1, atom59.
atom76 > not atom76 :- not atom1, atom59.
atom76 > not atom76 :- atom1, atom59.
not atom89 > atom89 :- not atom2, atom59.
not atom89 > atom89 :- atom2, atom59.
not atom6 > atom6 :- not atom2, atom59.
not atom6 > atom6 :- atom2, atom59.
atom37 > not atom37 :- not atom26, not atom59.
atom37 > not atom37 :- atom26, not atom59.
atom70 > not atom70 :- not atom26, not atom59.
not atom70 > atom70 :- atom26, not atom59.
atom21 > not atom21 :- not atom26, not atom59.
atom21 > not atom21 :- atom26, not atom59.
not atom88 > atom88 :- not atom21, not atom59.
atom88 > not atom88 :- atom21, not atom59.
not atom35 > atom35 :- not atom37, not atom59.
not atom35 > atom35 :- atom37, not atom59.
atom86 > not atom86 :- not atom26, not atom59.
not atom86 > atom86 :- atom26, not atom59.
atom65 > not atom65 :- not atom21, not atom59.
not atom65 > atom65 :- atom21, not atom59.
not atom62 > atom62 :- not atom26, not atom59.
not atom62 > atom62 :- atom26, not atom59.
not atom80 > atom80 :- not atom21, not atom59.
not atom80 > atom80 :- atom21, not atom59.
not atom63 > atom63 :- not atom26, not atom59.
atom63 > not atom63 :- atom26, not atom59.
atom58 > not atom58 :- not atom21, not atom59.
not atom58 > atom58 :- atom21, not atom59.
atom90 > not atom90 :- not atom21, not atom59.
not atom90 > atom90 :- atom21, not atom59.
