not atom28 > atom28.
not atom42 > atom42.
atom92 > not atom92 :- not atom42.
not atom14 > atom14 :- not atom42.
not atom76 > atom76 :- not atom14, not atom42.
not atom76 > atom76 :- atom14, not atom42.
atom39 > not atom39 :- not atom28, not atom42.
not atom39 > atom39 :- atom28, not atom42.
atom20 > not atom20 :- not atom14, not atom42.
not atom20 > atom20 :- atom14, not atom42.
not atom47 > atom47 :- not atom14, not atom42.
atom47 > not atom47 :- atom14, not atom42.
atom99 > not atom99 :- not atom20, not atom42.
atom99 > not atom99 :- atom20, not atom42.
atom54 > not atom54 :- not atom14, not atom42.
not atom54 > atom54 :- atom14, not atom42.
not atom44 > atom44 :- not atom14, not atom42.
not atom44 > atom44 :- atom14, not atom42.
not atom23 > atom23 :- not atom14, not atom42.
not atom23 > atom23 :- atom14, not atom42.
not atom100 > atom100 :- not atom23, not atom42.
atom100 > not atom100 :- atom23, not atom42.
not atom45 > atom45 :- not atom20, not atom42.
atom45 > not atom45 :- atom20, not atom42.
not atom72 > atom72 :- not atom20, not atom42.
atom72 > not atom72 :- atom20, not atom42.
atom75 > not atom75 :- not atom14, not atom42.
not atom75 > atom75 :- atom14, not atom42.
atom68 > not atom68 :- not atom14, not atom42.
atom68 > not atom68 :- atom14, not atom42.
atom73 > not atom73 :- not atom28, not atom42.
not atom73 > atom73 :- atom28, not atom42.
atom67 > not atom67 :- not atom20, not atom42.
not atom67 > atom67 :- atom20, not atom42.
not atom88 > atom88 :- not atom14, not atom42.
not atom88 > atom88 :- atom14, not atom42.
atom89 > not atom89 :- not atom23, not atom42.
not atom89 > atom89 :- atom23, not atom42.
not atom34 > atom34 :- not atom14, not atom42.
not atom34 > atom34 :- atom14, not atom42.
not atom86 > atom86 :- not atom20, not atom42.
atom86 > not atom86 :- atom20, not atom42.
not atom25 > atom25 :- not atom20, not atom42.
atom25 > not atom25 :- atom20, not atom42.
atom3 > not atom3 :- not atom14, not atom42.
atom3 > not atom3 :- atom14, not atom42.
atom85 > not atom85 :- not atom20, not atom42.
