atom20 > not atom20.
not atom86 > atom86 :- not atom20.
atom86 > not atom86 :- atom20.
atom71 > not atom71 :- not atom20, not atom86.
not atom71 > atom71 :- atom20, not atom86.
atom90 > not atom90 :- not atom20, not atom86.
atom90 > not atom90 :- atom20, not atom86.
not atom70 > atom70 :- not atom20, not atom86.
atom70 > not atom70 :- atom20, not atom86.
atom69 > not atom69 :- not atom71, not atom86.
atom69 > not atom69 :- atom71, not atom86.
not atom66 > atom66 :- not atom69, not atom86.
atom66 > not atom66 :- atom69, not atom86.
not atom88 > atom88 :- not atom66, not atom86.
not atom88 > atom88 :- atom66, not atom86.
not atom79 > atom79 :- not atom20, not atom86.
not atom79 > atom79 :- atom20, not atom86.
not atom10 > atom10 :- not atom69, not atom86.
atom10 > not atom10 :- atom69, not atom86.
not atom76 > atom76 :- not atom10, not atom86.
not atom76 > atom76 :- atom10, not atom86.
not atom61 > atom61 :- not atom10, not atom86.
atom61 > not atom61 :- atom10, not atom86.
atom39 > not atom39 :- not atom20, not atom86.
atom39 > not atom39 :- atom20, not atom86.
not atom37 > atom37 :- not atom10, not atom86.
atom37 > not atom37 :- atom10, not atom86.
atom91 > not atom91 :- not atom10, not atom86.
not atom91 > atom91 :- atom10, not atom86.
atom73 > not atom73 :- not atom37, not atom86.
not atom73 > atom73 :- atom37, not atom86.
not atom42 > atom42 :- not atom20, not atom86.
atom42 > not atom42 :- atom20, not atom86.
not atom36 > atom36 :- not atom10, not atom86.
not atom36 > atom36 :- atom10, not atom86.
not atom58 > atom58 :- not atom10, not atom86.
atom58 > not atom58 :- atom10, not atom86.
atom64 > not atom64 :- not atom39, not atom86.
not atom64 > atom64 :- atom39, not atom86.
atom80 > not atom80 :- not atom58, not atom86.
not atom80 > atom80 :- atom58, not atom86.
not atom19 > atom19 :- not atom36, not atom86.
atom19 > not atom19 :- atom36, not atom86.
not atom78 > atom78 :- not atom10, not atom86.
atom78 > not atom78 :- atom10, not atom86.
atom93 > not atom93 :- not atom10, not atom86.
not atom93 > atom93 :- atom10, not atom86.
atom24 > not atom24 :- not atom20, not atom86.
not atom24 > atom24 :- atom20, not atom86.
atom60 > not atom60 :- not atom37, not atom86.
not atom60 > atom60 :- atom37, not atom86.
atom62 > not atom62 :- not atom24, not atom86.
not atom62 > atom62 :- atom24, not atom86.
not atom33 > atom33 :- not atom10, not atom86.
atom33 > not atom33 :- atom10, not atom86.
atom32 > not atom32 :- not atom20, not atom86.
atom32 > not atom32 :- atom20, not atom86.
atom81 > not atom81 :- not atom19, not atom86.
atom81 > not atom81 :- atom19, not atom86.
not atom95 > atom95 :- not atom24, not atom86.
atom95 > not atom95 :- atom24, not atom86.
atom38 > not atom38 :- not atom20, not atom86.
not atom38 > atom38 :- atom20, not atom86.
not atom63 > atom63 :- not atom10, not atom86.
not atom63 > atom63 :- atom10, not atom86.
atom41 > not atom41 :- not atom10, not atom86.
atom41 > not atom41 :- atom10, not atom86.
atom97 > not atom97 :- not atom10, not atom86.
not atom97 > atom97 :- atom10, not atom86.
not atom29 > atom29 :- not atom20, not atom86.
atom29 > not atom29 :- atom20, not atom86.
not atom51 > atom51 :- not atom19, not atom86.
not atom51 > atom51 :- atom19, not atom86.
not atom13 > atom13 :- not atom19, not atom86.
not atom13 > atom13 :- atom19, not atom86.
atom99 > not atom99 :- not atom10, not atom86.
atom99 > not atom99 :- atom10, not atom86.
atom75 > not atom75 :- not atom10, not atom86.
atom75 > not atom75 :- atom10, not atom86.
atom6 > not atom6 :- not atom13, not atom86.
not atom6 > atom6 :- atom13, not atom86.
atom15 > not atom15 :- not atom10, not atom86.
not atom15 > atom15 :- atom10, not atom86.
not atom50 > atom50 :- not atom6, not atom86.
not atom50 > atom50 :- atom6, not atom86.
not atom14 > atom14 :- not atom10, not atom86.
not atom14 > atom14 :- atom10, not atom86.
atom87 > not atom87 :- not atom6, not atom86.
atom87 > not atom87 :- atom6, not atom86.
not atom23 > atom23 :- not atom6, not atom86.
atom23 > not atom23 :- atom6, not atom86.
atom82 > not atom82 :- not atom10, not atom86.
not atom82 > atom82 :- atom10, not atom86.
not atom5 > atom5 :- not atom6, not atom86.
not atom5 > atom5 :- atom6, not atom86.
not atom35 > atom35 :- not atom23, not atom86.
atom35 > not atom35 :- atom23, not atom86.
atom16 > not atom16 :- not atom5, not atom86.
not atom16 > atom16 :- atom5, not atom86.
atom1 > not atom1 :- not atom5, not atom86.
atom1 > not atom1 :- atom5, not atom86.
not atom3 > atom3 :- not atom1, not atom86.
not atom3 > atom3 :- atom1, not atom86.
atom31 > not atom31 :- not atom5, not atom86.
not atom31 > atom31 :- atom5, not atom86.
not atom72 > atom72 :- not atom5, not atom86.
atom72 > not atom72 :- atom5, not atom86.
atom44 > not atom44 :- not atom1, not atom86.
not atom44 > atom44 :- atom1, not atom86.
atom98 > not atom98 :- not atom1, not atom86.
atom98 > not atom98 :- atom1, not atom86.
atom92 > not atom92 :- not atom3, not atom86.
not atom92 > atom92 :- atom3, not atom86.
not atom45 > atom45 :- not atom1, not atom86.
atom45 > not atom45 :- atom1, not atom86.
not atom85 > atom85 :- not atom1, not atom86.
not atom85 > atom85 :- atom1, not atom86.
atom4 > not atom4 :- not atom3, not atom86.
atom4 > not atom4 :- atom3, not atom86.
not atom22 > atom22 :- not atom4, not atom86.
