not atom87 > atom87.
atom1 > not atom1 :- not atom87.
atom37 > not atom37 :- not atom1, not atom87.
not atom37 > atom37 :- atom1, not atom87.
atom72 > not atom72 :- not atom87.
atom43 > not atom43 :- not atom37, not atom87.
atom43 > not atom43 :- atom37, not atom87.
atom48 > not atom48 :- not atom1, not atom87.
not atom48 > atom48 :- atom1, not atom87.
not atom61 > atom61 :- not atom1, not atom87.
atom61 > not atom61 :- atom1, not atom87.
atom64 > not atom64 :- not atom1, not atom87.
not atom64 > atom64 :- atom1, not atom87.
not atom14 > atom14 :- not atom1, not atom87.
not atom14 > atom14 :- atom1, not atom87.
atom79 > not atom79 :- not atom1, not atom87.
not atom79 > atom79 :- atom1, not atom87.
not atom91 > atom91 :- not atom1, not atom87.
atom91 > not atom91 :- atom1, not atom87.
atom2 > not atom2 :- not atom1, not atom87.
not atom2 > atom2 :- atom1, not atom87.
atom28 > not atom28 :- not atom1, not atom87.
atom28 > not atom28 :- atom1, not atom87.
not atom21 > atom21 :- not atom2, not atom87.
atom21 > not atom21 :- atom2, not atom87.
atom57 > not atom57 :- not atom14, not atom87.
atom57 > not atom57 :- atom14, not atom87.
atom73 > not atom73 :- not atom2, not atom87.
atom73 > not atom73 :- atom2, not atom87.
not atom18 > atom18 :- not atom1, not atom87.
not atom18 > atom18 :- atom1, not atom87.
atom63 > not atom63 :- not atom1, not atom87.
atom63 > not atom63 :- atom1, not atom87.
atom95 > not atom95 :- not atom1, not atom87.
atom95 > not atom95 :- atom1, not atom87.
atom56 > not atom56 :- not atom2, not atom87.
not atom56 > atom56 :- atom2, not atom87.
not atom54 > atom54 :- not atom18, not atom87.
atom54 > not atom54 :- atom18, not atom87.
not atom59 > atom59 :- not atom14, not atom87.
not atom59 > atom59 :- atom14, not atom87.
not atom76 > atom76 :- not atom2, not atom87.
not atom76 > atom76 :- atom2, not atom87.
atom52 > not atom52 :- not atom1, not atom87.
atom52 > not atom52 :- atom1, not atom87.
atom81 > not atom81 :- not atom14, not atom87.
not atom81 > atom81 :- atom14, not atom87.
not atom7 > atom7 :- not atom1, not atom87.
not atom7 > atom7 :- atom1, not atom87.
atom20 > not atom20 :- not atom1, not atom87.
atom20 > not atom20 :- atom1, not atom87.
not atom70 > atom70 :- not atom1, not atom87.
not atom70 > atom70 :- atom1, not atom87.
not atom33 > atom33 :- not atom1, not atom87.
not atom33 > atom33 :- atom1, not atom87.
not atom40 > atom40 :- not atom1, not atom87.
not atom40 > atom40 :- atom1, not atom87.
atom84 > not atom84 :- not atom2, not atom87.
not atom84 > atom84 :- atom2, not atom87.
atom51 > not atom51 :- not atom1, not atom87.
not atom51 > atom51 :- atom1, not atom87.
atom86 > not atom86 :- not atom2, not atom87.
not atom86 > atom86 :- atom2, not atom87.
atom80 > not atom80 :- not atom1, not atom87.
not atom80 > atom80 :- atom1, not atom87.
atom92 > not atom92 :- not atom2, not atom87.
atom92 > not atom92 :- atom2, not atom87.
not atom39 > atom39 :- not atom1, not atom87.
atom39 > not atom39 :- atom1, not atom87.
not atom27 > atom27 :- not atom18, not atom87.
atom27 > not atom27 :- atom18, not atom87.
not atom96 > atom96 :- not atom1, not atom87.
atom96 > not atom96 :- atom1, not atom87.
not atom53 > atom53 :- not atom1, not atom87.
not atom53 > atom53 :- atom1, not atom87.
not atom74 > atom74 :- not atom2, not atom87.
atom74 > not atom74 :- atom2, not atom87.
not atom85 > atom85 :- not atom14, not atom87.
not atom85 > atom85 :- atom14, not atom87.
atom41 > not atom41 :- not atom2, not atom87.
not atom41 > atom41 :- atom2, not atom87.
atom50 > not atom50 :- not atom2, not atom87.
atom50 > not atom50 :- atom2, not atom87.
atom94 > not atom94 :- not atom1, not atom87.
not atom94 > atom94 :- atom1, not atom87.
atom9 > not atom9 :- not atom7, not atom87.
atom9 > not atom9 :- atom7, not atom87.
not atom13 > atom13 :- not atom1, not atom87.
not atom13 > atom13 :- atom1, not atom87.
atom49 > not atom49 :- not atom1, not atom87.
atom49 > not atom49 :- atom1, not atom87.
atom36 > not atom36 :- not atom1, not atom87.
not atom36 > atom36 :- atom1, not atom87.
atom83 > not atom83 :- not atom1, not atom87.
not atom83 > atom83 :- atom1, not atom87.
not atom45 > atom45 :- not atom1, not atom87.
atom45 > not atom45 :- atom1, not atom87.
not atom71 > atom71 :- not atom1, not atom87.
not atom71 > atom71 :- atom1, not atom87.
not atom93 > atom93 :- not atom2, not atom87.
not atom93 > atom93 :- atom2, not atom87.
atom6 > not atom6 :- not atom9, not atom87.
atom6 > not atom6 :- atom9, not atom87.
atom69 > not atom69 :- not atom1, not atom87.
atom69 > not atom69 :- atom1, not atom87.
atom65 > not atom65 :- not atom1, not atom87.
atom65 > not atom65 :- atom1, not atom87.
not atom100 > atom100 :- not atom1, not atom87.
atom100 > not atom100 :- atom1, not atom87.
atom35 > not atom35 :- not atom1, not atom87.
atom35 > not atom35 :- atom1, not atom87.
not atom32 > atom32 :- not atom1, not atom87.
atom32 > not atom32 :- atom1, not atom87.
not atom78 > atom78 :- not atom1, not atom87.
not atom78 > atom78 :- atom1, not atom87.
not atom90 > atom90 :- not atom1, not atom87.
not atom90 > atom90 :- atom1, not atom87.
not atom8 > atom8 :- not atom2, not atom87.
atom8 > not atom8 :- atom2, not atom87.
not atom26 > atom26 :- not atom2, not atom87.
not atom26 > atom26 :- atom2, not atom87.
atom17 > not atom17 :- not atom1, not atom87.
atom17 > not atom17 :- atom1, not atom87.
not atom42 > atom42 :- not atom1, not atom87.
not atom42 > atom42 :- atom1, not atom87.
atom97 > not atom97 :- not atom1, not atom87.
not atom97 > atom97 :- atom1, not atom87.
atom25 > not atom25 :- not atom6, not atom87.
not atom25 > atom25 :- atom6, not atom87.
not atom47 > atom47 :- not atom1, not atom87.
not atom47 > atom47 :- atom1, not atom87.
not atom99 > atom99 :- not atom1, not atom87.
not atom99 > atom99 :- atom1, not atom87.
not atom68 > atom68 :- not atom1, not atom87.
atom68 > not atom68 :- atom1, not atom87.
atom60 > not atom60 :- not atom1, not atom87.
not atom60 > atom60 :- atom1, not atom87.
not atom29 > atom29 :- not atom2, not atom87.
atom29 > not atom29 :- atom2, not atom87.
atom4 > not atom4 :- not atom6, not atom87.
atom4 > not atom4 :- atom6, not atom87.
atom5 > not atom5 :- not atom4, not atom87.
not atom5 > atom5 :- atom4, not atom87.
atom82 > not atom82 :- not atom5, not atom87.
atom82 > not atom82 :- atom5, not atom87.
atom15 > not atom15 :- not atom1, not atom87.
not atom15 > atom15 :- atom1, not atom87.
not atom10 > atom10 :- not atom4, not atom87.
atom10 > not atom10 :- atom4, not atom87.
not atom16 > atom16 :- not atom2, not atom87.
not atom16 > atom16 :- atom2, not atom87.
not atom58 > atom58 :- not atom1, not atom87.
atom58 > not atom58 :- atom1, not atom87.
not atom31 > atom31 :- not atom1, not atom87.
not atom31 > atom31 :- atom1, not atom87.
not atom11 > atom11 :- not atom1, not atom87.
atom11 > not atom11 :- atom1, not atom87.
not atom89 > atom89 :- not atom1, not atom87.
not atom89 > atom89 :- atom1, not atom87.
atom62 > not atom62 :- not atom4, not atom87.
atom62 > not atom62 :- atom4, not atom87.
not atom75 > atom75 :- not atom1, not atom87.
atom75 > not atom75 :- atom1, not atom87.
atom19 > not atom19 :- not atom1, not atom87.
atom19 > not atom19 :- atom1, not atom87.
atom22 > not atom22 :- not atom1, not atom87.
not atom22 > atom22 :- atom1, not atom87.
not atom3 > atom3 :- not atom4, not atom87.
not atom3 > atom3 :- atom4, not atom87.
atom77 > not atom77 :- not atom1, not atom87.
atom77 > not atom77 :- atom1, not atom87.
atom30 > not atom30 :- not atom2, not atom87.
atom30 > not atom30 :- atom2, not atom87.
atom67 > not atom67 :- not atom5, not atom87.
atom67 > not atom67 :- atom5, not atom87.
atom38 > not atom38 :- not atom1, not atom87.
atom38 > not atom38 :- atom1, not atom87.
atom44 > not atom44 :- not atom5, not atom87.
atom44 > not atom44 :- atom5, not atom87.
not atom12 > atom12 :- not atom1, not atom87.
atom12 > not atom12 :- atom1, not atom87.
not atom24 > atom24 :- not atom5, not atom87.
not atom24 > atom24 :- atom5, not atom87.
atom34 > not atom34 :- not atom3, not atom87.
atom34 > not atom34 :- atom3, not atom87.
atom88 > not atom88 :- not atom1, not atom87.
atom88 > not atom88 :- atom1, not atom87.
not atom46 > atom46 :- not atom2, not atom87.
atom46 > not atom46 :- atom2, not atom87.
atom98 > not atom98 :- not atom1, not atom87.
atom98 > not atom98 :- atom1, not atom87.
atom23 > not atom23 :- not atom3, not atom87.
not atom23 > atom23 :- atom3, not atom87.
not atom66 > atom66 :- not atom1, not atom87.
atom66 > not atom66 :- atom1, not atom87.
atom55 > not atom55 :- not atom1, not atom87.
not atom55 > atom55 :- atom1, not atom87.
not atom59 > atom59 :- atom87.
