atom45 > not atom45.
atom85 > not atom85 :- not atom45.
not atom85 > atom85 :- atom45.
not atom100 > atom100 :- not atom85.
not atom10 > atom10 :- not atom85.
not atom76 > atom76 :- not atom10, not atom85.
atom76 > not atom76 :- atom10, not atom85.
not atom33 > atom33 :- not atom76, not atom85.
atom33 > not atom33 :- atom76, not atom85.
atom72 > not atom72 :- not atom10, not atom85.
not atom72 > atom72 :- atom10, not atom85.
atom29 > not atom29 :- not atom10, not atom85.
atom29 > not atom29 :- atom10, not atom85.
not atom36 > atom36 :- not atom10, not atom85.
not atom36 > atom36 :- atom10, not atom85.
not atom82 > atom82 :- not atom10, not atom85.
not atom82 > atom82 :- atom10, not atom85.
not atom79 > atom79 :- not atom29, not atom85.
not atom79 > atom79 :- atom29, not atom85.
not atom47 > atom47 :- not atom10, not atom85.
atom47 > not atom47 :- atom10, not atom85.
not atom35 > atom35 :- not atom10, not atom85.
atom35 > not atom35 :- atom10, not atom85.
atom62 > not atom62 :- not atom10, not atom85.
atom62 > not atom62 :- atom10, not atom85.
atom55 > not atom55 :- not atom10, not atom85.
atom55 > not atom55 :- atom10, not atom85.
atom48 > not atom48 :- not atom33, not atom85.
not atom48 > atom48 :- atom33, not atom85.
atom94 > not atom94 :- not atom36, not atom85.
atom94 > not atom94 :- atom36, not atom85.
not atom4 > atom4 :- not atom33, not atom85.
not atom4 > atom4 :- atom33, not atom85.
not atom90 > atom90 :- not atom10, not atom85.
atom90 > not atom90 :- atom10, not atom85.
not atom53 > atom53 :- not atom4, not atom85.
not atom53 > atom53 :- atom4, not atom85.
not atom34 > atom34 :- not atom4, not atom85.
atom34 > not atom34 :- atom4, not atom85.
not atom40 > atom40 :- not atom4, not atom85.
not atom40 > atom40 :- atom4, not atom85.
atom2 > not atom2 :- not atom4, not atom85.
atom2 > not atom2 :- atom4, not atom85.
not atom54 > atom54 :- not atom2, not atom85.
not atom54 > atom54 :- atom2, not atom85.
not atom1 > atom1 :- not atom4, not atom85.
atom1 > not atom1 :- atom4, not atom85.
atom38 > not atom38 :- not atom2, not atom85.
not atom38 > atom38 :- atom2, not atom85.
atom11 > not atom11 :- not atom29, not atom85.
not atom11 > atom11 :- atom29, not atom85.
not atom8 > atom8 :- not atom29, not atom85.
not atom8 > atom8 :- atom29, not atom85.
atom32 > not atom32 :- not atom2, not atom85.
atom32 > not atom32 :- atom2, not atom85.
not atom57 > atom57 :- not atom1, not atom85.
not atom57 > atom57 :- atom1, not atom85.
not atom26 > atom26 :- not atom1, not atom85.
atom26 > not atom26 :- atom1, not atom85.
not atom70 > atom70 :- not atom4, not atom85.
atom70 > not atom70 :- atom4, not atom85.
atom93 > not atom93 :- not atom1, not atom85.
not atom93 > atom93 :- atom1, not atom85.
atom87 > not atom87 :- not atom11, not atom85.
atom87 > not atom87 :- atom11, not atom85.
atom30 > not atom30 :- not atom1, not atom85.
atom30 > not atom30 :- atom1, not atom85.
not atom44 > atom44 :- not atom1, not atom85.
not atom44 > atom44 :- atom1, not atom85.
atom65 > not atom65 :- not atom4, not atom85.
atom65 > not atom65 :- atom4, not atom85.
not atom66 > atom66 :- not atom1, not atom85.
not atom66 > atom66 :- atom1, not atom85.
atom74 > not atom74 :- not atom1, not atom85.
atom74 > not atom74 :- atom1, not atom85.
atom91 > not atom91 :- not atom8, not atom85.
atom91 > not atom91 :- atom8, not atom85.
not atom68 > atom68 :- not atom4, not atom85.
not atom68 > atom68 :- atom4, not atom85.
not atom92 > atom92 :- not atom2, not atom85.
not atom92 > atom92 :- atom2, not atom85.
not atom98 > atom98 :- not atom1, not atom85.
atom98 > not atom98 :- atom1, not atom85.
not atom52 > atom52 :- not atom2, not atom85.
atom52 > not atom52 :- atom2, not atom85.
not atom67 > atom67 :- not atom1, not atom85.
not atom67 > atom67 :- atom1, not atom85.
not atom88 > atom88 :- not atom2, not atom85.
not atom88 > atom88 :- atom2, not atom85.
not atom49 > atom49 :- not atom1, not atom85.
not atom49 > atom49 :- atom1, not atom85.
atom59 > not atom59 :- not atom2, not atom85.
atom59 > not atom59 :- atom2, not atom85.
not atom86 > atom86 :- not atom4, not atom85.
not atom86 > atom86 :- atom4, not atom85.
not atom84 > atom84 :- not atom2, not atom85.
atom84 > not atom84 :- atom2, not atom85.
not atom23 > atom23 :- not atom1, not atom85.
atom23 > not atom23 :- atom1, not atom85.
atom24 > not atom24 :- not atom1, not atom85.
atom24 > not atom24 :- atom1, not atom85.
not atom81 > atom81 :- not atom1, not atom85.
not atom81 > atom81 :- atom1, not atom85.
atom61 > not atom61 :- not atom1, not atom85.
not atom61 > atom61 :- atom1, not atom85.
atom16 > not atom16 :- not atom1, not atom85.
atom16 > not atom16 :- atom1, not atom85.
not atom89 > atom89 :- not atom2, not atom85.
atom89 > not atom89 :- atom2, not atom85.
not atom27 > atom27 :- not atom2, not atom85.
atom27 > not atom27 :- atom2, not atom85.
atom43 > not atom43 :- not atom2, not atom85.
atom43 > not atom43 :- atom2, not atom85.
not atom7 > atom7 :- not atom1, not atom85.
atom7 > not atom7 :- atom1, not atom85.
atom18 > not atom18 :- not atom1, not atom85.
atom18 > not atom18 :- atom1, not atom85.
atom97 > not atom97 :- not atom11, not atom85.
