atom55 > not atom55.
atom81 > not atom81.
not atom31 > atom31.
not atom87 > atom87 :- not atom31.
not atom87 > atom87 :- atom31.
not atom61 > atom61 :- not atom55, atom87.
not atom61 > atom61 :- atom55, atom87.
atom21 > not atom21 :- not atom81, atom87.
not atom21 > atom21 :- atom81, atom87.
not atom89 > atom89 :- not atom31, atom87.
atom89 > not atom89 :- atom31, atom87.
atom82 > not atom82 :- not atom21, atom87.
not atom82 > atom82 :- atom21, atom87.
atom97 > not atom97 :- not atom61, atom87.
not atom97 > atom97 :- atom61, atom87.
not atom32 > atom32 :- not atom55, atom87.
atom32 > not atom32 :- atom55, atom87.
atom66 > not atom66 :- not atom81, atom87.
atom66 > not atom66 :- atom81, atom87.
not atom16 > atom16 :- not atom21, atom87.
not atom16 > atom16 :- atom21, atom87.
not atom33 > atom33 :- not atom55, atom87.
not atom33 > atom33 :- atom55, atom87.
not atom65 > atom65 :- not atom16, atom87.
not atom65 > atom65 :- atom16, atom87.
not atom17 > atom17 :- not atom31, atom87.
not atom17 > atom17 :- atom31, atom87.
atom39 > not atom39 :- not atom16, atom87.
not atom39 > atom39 :- atom16, atom87.
not atom72 > atom72 :- not atom16, atom87.
atom72 > not atom72 :- atom16, atom87.
atom38 > not atom38 :- not atom16, atom87.
not atom38 > atom38 :- atom16, atom87.
atom95 > not atom95 :- not atom31, atom87.
not atom95 > atom95 :- atom31, atom87.
not atom41 > atom41 :- not atom16, atom87.
atom41 > not atom41 :- atom16, atom87.
atom13 > not atom13 :- not atom16, atom87.
atom13 > not atom13 :- atom16, atom87.
atom47 > not atom47 :- not atom13, atom87.
atom47 > not atom47 :- atom13, atom87.
atom100 > not atom100 :- not atom17, atom87.
not atom100 > atom100 :- atom17, atom87.
not atom19 > atom19 :- not atom13, atom87.
not atom19 > atom19 :- atom13, atom87.
not atom91 > atom91 :- not atom13, atom87.
atom91 > not atom91 :- atom13, atom87.
atom92 > not atom92 :- not atom13, atom87.
not atom92 > atom92 :- atom13, atom87.
atom59 > not atom59 :- not atom13, atom87.
not atom59 > atom59 :- atom13, atom87.
atom73 > not atom73 :- not atom13, atom87.
not atom73 > atom73 :- atom13, atom87.
not atom34 > atom34 :- not atom16, atom87.
not atom34 > atom34 :- atom16, atom87.
not atom30 > atom30 :- not atom13, atom87.
not atom30 > atom30 :- atom13, atom87.
atom9 > not atom9 :- not atom13, atom87.
atom9 > not atom9 :- atom13, atom87.
atom20 > not atom20 :- not atom9, atom87.
atom20 > not atom20 :- atom9, atom87.
atom44 > not atom44 :- not atom19, atom87.
atom44 > not atom44 :- atom19, atom87.
not atom3 > atom3 :- not atom17, atom87.
atom3 > not atom3 :- atom17, atom87.
atom51 > not atom51 :- not atom3, atom87.
atom51 > not atom51 :- atom3, atom87.
not atom56 > atom56 :- not atom9, atom87.
not atom56 > atom56 :- atom9, atom87.
atom74 > not atom74 :- not atom3, atom87.
not atom74 > atom74 :- atom3, atom87.
not atom79 > atom79 :- not atom3, atom87.
atom79 > not atom79 :- atom3, atom87.
atom80 > not atom80 :- not atom19, atom87.
atom80 > not atom80 :- atom19, atom87.
atom10 > not atom10 :- not atom3, atom87.
not atom10 > atom10 :- atom3, atom87.
not atom63 > atom63 :- not atom9, atom87.
not atom63 > atom63 :- atom9, atom87.
not atom88 > atom88 :- not atom10, atom87.
not atom88 > atom88 :- atom10, atom87.
not atom53 > atom53 :- not atom3, atom87.
not atom53 > atom53 :- atom3, atom87.
not atom96 > atom96 :- not atom3, atom87.
atom96 > not atom96 :- atom3, atom87.
not atom49 > atom49 :- not atom9, atom87.
atom49 > not atom49 :- atom9, atom87.
atom5 > not atom5 :- not atom13, atom87.
not atom5 > atom5 :- atom13, atom87.
not atom77 > atom77 :- not atom5, atom87.
not atom77 > atom77 :- atom5, atom87.
not atom93 > atom93 :- not atom3, atom87.
atom93 > not atom93 :- atom3, atom87.
not atom85 > atom85 :- not atom3, atom87.
not atom85 > atom85 :- atom3, atom87.
atom86 > not atom86 :- not atom3, atom87.
not atom86 > atom86 :- atom3, atom87.
not atom27 > atom27 :- not atom5, atom87.
atom27 > not atom27 :- atom5, atom87.
atom48 > not atom48 :- not atom5, atom87.
atom48 > not atom48 :- atom5, atom87.
not atom37 > atom37 :- not atom13, atom87.
atom37 > not atom37 :- atom13, atom87.
atom35 > not atom35 :- not atom3, atom87.
not atom35 > atom35 :- atom3, atom87.
not atom25 > atom25 :- not atom3, atom87.
not atom25 > atom25 :- atom3, atom87.
atom98 > not atom98 :- not atom3, atom87.
atom98 > not atom98 :- atom3, atom87.
not atom57 > atom57 :- not atom3, atom87.
not atom57 > atom57 :- atom3, atom87.
atom69 > not atom69 :- not atom5, atom87.
not atom69 > atom69 :- atom5, atom87.
atom23 > not atom23 :- not atom5, atom87.
atom23 > not atom23 :- atom5, atom87.
not atom62 > atom62 :- not atom10, atom87.
not atom62 > atom62 :- atom10, atom87.
not atom24 > atom24 :- not atom3, atom87.
not atom24 > atom24 :- atom3, atom87.
not atom43 > atom43 :- not atom13, atom87.
not atom43 > atom43 :- atom13, atom87.
atom22 > not atom22 :- not atom3, atom87.
atom22 > not atom22 :- atom3, atom87.
not atom71 > atom71 :- not atom3, atom87.
not atom71 > atom71 :- atom3, atom87.
atom75 > not atom75 :- not atom3, atom87.
atom75 > not atom75 :- atom3, atom87.
atom46 > not atom46 :- not atom3, atom87.
atom46 > not atom46 :- atom3, atom87.
not atom58 > atom58 :- not atom10, atom87.
not atom58 > atom58 :- atom10, atom87.
not atom50 > atom50 :- not atom3, atom87.
not atom50 > atom50 :- atom3, atom87.
atom26 > not atom26 :- not atom3, atom87.
atom26 > not atom26 :- atom3, atom87.
atom84 > not atom84 :- not atom9, atom87.
