atom98 > not atom98.
atom24 > not atom24 :- not atom98.
atom78 > not atom78 :- not atom98.
not atom14 > atom14 :- not atom24, not atom98.
atom14 > not atom14 :- atom24, not atom98.
atom96 > not atom96 :- not atom14, not atom98.
not atom96 > atom96 :- atom14, not atom98.
not atom34 > atom34 :- not atom98.
not atom50 > atom50 :- not atom14, not atom98.
not atom50 > atom50 :- atom14, not atom98.
atom52 > not atom52 :- not atom24, not atom98.
atom52 > not atom52 :- atom24, not atom98.
not atom90 > atom90 :- not atom24, not atom98.
not atom90 > atom90 :- atom24, not atom98.
atom38 > not atom38 :- not atom14, not atom98.
atom38 > not atom38 :- atom14, not atom98.
not atom94 > atom94 :- not atom14, not atom98.
atom94 > not atom94 :- atom14, not atom98.
not atom31 > atom31 :- not atom38, not atom98.
atom31 > not atom31 :- atom38, not atom98.
atom35 > not atom35 :- not atom14, not atom98.
atom35 > not atom35 :- atom14, not atom98.
atom33 > not atom33 :- not atom14, not atom98.
not atom33 > atom33 :- atom14, not atom98.
atom91 > not atom91 :- not atom14, not atom98.
not atom91 > atom91 :- atom14, not atom98.
not atom29 > atom29 :- not atom14, not atom98.
atom29 > not atom29 :- atom14, not atom98.
not atom20 > atom20 :- not atom14, not atom98.
atom20 > not atom20 :- atom14, not atom98.
atom92 > not atom92 :- not atom14, not atom98.
atom92 > not atom92 :- atom14, not atom98.
not atom100 > atom100 :- not atom20, not atom98.
not atom100 > atom100 :- atom20, not atom98.
not atom67 > atom67 :- not atom14, not atom98.
atom67 > not atom67 :- atom14, not atom98.
atom1 > not atom1 :- not atom14, not atom98.
not atom1 > atom1 :- atom14, not atom98.
atom5 > not atom5 :- not atom14, not atom98.
not atom5 > atom5 :- atom14, not atom98.
not atom40 > atom40 :- not atom1, not atom98.
atom40 > not atom40 :- atom1, not atom98.
not atom73 > atom73 :- not atom20, not atom98.
not atom73 > atom73 :- atom20, not atom98.
atom68 > not atom68 :- not atom1, not atom98.
not atom68 > atom68 :- atom1, not atom98.
atom86 > not atom86 :- not atom5, not atom98.
not atom86 > atom86 :- atom5, not atom98.
not atom56 > atom56 :- not atom5, not atom98.
not atom56 > atom56 :- atom5, not atom98.
not atom44 > atom44 :- not atom1, not atom98.
not atom44 > atom44 :- atom1, not atom98.
not atom89 > atom89 :- not atom14, not atom98.
not atom89 > atom89 :- atom14, not atom98.
atom49 > not atom49 :- not atom20, not atom98.
not atom49 > atom49 :- atom20, not atom98.
not atom76 > atom76 :- not atom1, not atom98.
atom76 > not atom76 :- atom1, not atom98.
atom7 > not atom7 :- not atom20, not atom98.
not atom7 > atom7 :- atom20, not atom98.
atom13 > not atom13 :- not atom1, not atom98.
atom13 > not atom13 :- atom1, not atom98.
atom25 > not atom25 :- not atom5, not atom98.
atom25 > not atom25 :- atom5, not atom98.
not atom77 > atom77 :- not atom1, not atom98.
atom77 > not atom77 :- atom1, not atom98.
atom62 > not atom62 :- not atom7, not atom98.
atom62 > not atom62 :- atom7, not atom98.
not atom11 > atom11 :- not atom1, not atom98.
atom11 > not atom11 :- atom1, not atom98.
not atom19 > atom19 :- not atom5, not atom98.
not atom19 > atom19 :- atom5, not atom98.
not atom60 > atom60 :- not atom1, not atom98.
atom60 > not atom60 :- atom1, not atom98.
not atom47 > atom47 :- not atom1, not atom98.
not atom47 > atom47 :- atom1, not atom98.
atom63 > not atom63 :- not atom5, not atom98.
not atom63 > atom63 :- atom5, not atom98.
atom83 > not atom83 :- not atom1, not atom98.
atom83 > not atom83 :- atom1, not atom98.
not atom95 > atom95 :- not atom7, not atom98.
not atom95 > atom95 :- atom7, not atom98.
atom87 > not atom87 :- not atom1, not atom98.
not atom87 > atom87 :- atom1, not atom98.
not atom55 > atom55 :- not atom5, not atom98.
not atom55 > atom55 :- atom5, not atom98.
not atom39 > atom39 :- not atom5, not atom98.
not atom39 > atom39 :- atom5, not atom98.
not atom17 > atom17 :- not atom5, not atom98.
atom17 > not atom17 :- atom5, not atom98.
atom54 > not atom54 :- not atom1, not atom98.
atom54 > not atom54 :- atom1, not atom98.
atom59 > not atom59 :- not atom1, not atom98.
atom59 > not atom59 :- atom1, not atom98.
not atom81 > atom81 :- not atom1, not atom98.
atom81 > not atom81 :- atom1, not atom98.
not atom97 > atom97 :- not atom1, not atom98.
atom97 > not atom97 :- atom1, not atom98.
atom26 > not atom26 :- not atom1, not atom98.
not atom26 > atom26 :- atom1, not atom98.
atom28 > not atom28 :- not atom5, not atom98.
not atom28 > atom28 :- atom5, not atom98.
atom53 > not atom53 :- not atom1, not atom98.
not atom53 > atom53 :- atom1, not atom98.
not atom45 > atom45 :- not atom1, not atom98.
not atom45 > atom45 :- atom1, not atom98.
atom80 > not atom80 :- not atom1, not atom98.
not atom80 > atom80 :- atom1, not atom98.
not atom42 > atom42 :- not atom11, not atom98.
not atom42 > atom42 :- atom11, not atom98.
not atom16 > atom16 :- not atom13, not atom98.
atom16 > not atom16 :- atom13, not atom98.
atom72 > not atom72 :- not atom1, not atom98.
not atom72 > atom72 :- atom1, not atom98.
atom37 > not atom37 :- not atom5, not atom98.
not atom37 > atom37 :- atom5, not atom98.
not atom84 > atom84 :- not atom1, not atom98.
not atom84 > atom84 :- atom1, not atom98.
not atom66 > atom66 :- not atom5, not atom98.
atom66 > not atom66 :- atom5, not atom98.
atom41 > not atom41 :- not atom1, not atom98.
atom41 > not atom41 :- atom1, not atom98.
not atom51 > atom51 :- not atom1, not atom98.
atom51 > not atom51 :- atom1, not atom98.
not atom64 > atom64 :- not atom1, not atom98.
not atom64 > atom64 :- atom1, not atom98.
not atom46 > atom46 :- not atom5, not atom98.
not atom46 > atom46 :- atom5, not atom98.
not atom58 > atom58 :- not atom1, not atom98.
not atom58 > atom58 :- atom1, not atom98.
not atom70 > atom70 :- not atom13, not atom98.
not atom70 > atom70 :- atom13, not atom98.
atom2 > not atom2 :- not atom5, not atom98.
not atom2 > atom2 :- atom5, not atom98.
atom8 > not atom8 :- not atom1, not atom98.
not atom8 > atom8 :- atom1, not atom98.
atom22 > not atom22 :- not atom5, not atom98.
not atom22 > atom22 :- atom5, not atom98.
atom12 > not atom12 :- not atom1, not atom98.
atom12 > not atom12 :- atom1, not atom98.
atom23 > not atom23 :- not atom5, not atom98.
atom23 > not atom23 :- atom5, not atom98.
not atom75 > atom75 :- not atom2, not atom98.
