not atom13 > atom13.
not atom64 > atom64.
not atom79 > atom79 :- not atom64.
not atom79 > atom79 :- atom64.
not atom77 > atom77 :- atom79.
atom39 > not atom39 :- not atom13, atom79.
not atom39 > atom39 :- atom13, atom79.
atom74 > not atom74 :- not atom13, atom79.
atom74 > not atom74 :- atom13, atom79.
atom91 > not atom91 :- not atom39, atom79.
atom91 > not atom91 :- atom39, atom79.
not atom60 > atom60 :- not atom39, atom79.
atom60 > not atom60 :- atom39, atom79.
not atom92 > atom92 :- not atom13, atom79.
not atom92 > atom92 :- atom13, atom79.
not atom87 > atom87 :- not atom13, atom79.
atom87 > not atom87 :- atom13, atom79.
not atom43 > atom43 :- not atom13, atom79.
atom43 > not atom43 :- atom13, atom79.
not atom3 > atom3 :- not atom64, atom79.
not atom3 > atom3 :- atom64, atom79.
not atom28 > atom28 :- not atom43, atom79.
not atom28 > atom28 :- atom43, atom79.
not atom31 > atom31 :- not atom3, atom79.
atom31 > not atom31 :- atom3, atom79.
not atom35 > atom35 :- not atom13, atom79.
atom35 > not atom35 :- atom13, atom79.
atom33 > not atom33 :- not atom3, atom79.
atom33 > not atom33 :- atom3, atom79.
atom36 > not atom36 :- not atom35, atom79.
atom36 > not atom36 :- atom35, atom79.
not atom97 > atom97 :- not atom3, atom79.
not atom97 > atom97 :- atom3, atom79.
atom21 > not atom21 :- not atom28, atom79.
not atom21 > atom21 :- atom28, atom79.
not atom45 > atom45 :- not atom21, atom79.
not atom45 > atom45 :- atom21, atom79.
atom70 > not atom70 :- not atom21, atom79.
not atom70 > atom70 :- atom21, atom79.
atom40 > not atom40 :- not atom3, atom79.
atom40 > not atom40 :- atom3, atom79.
atom46 > not atom46 :- not atom3, atom79.
atom46 > not atom46 :- atom3, atom79.
atom22 > not atom22 :- not atom13, atom79.
atom22 > not atom22 :- atom13, atom79.
not atom78 > atom78 :- not atom3, atom79.
not atom78 > atom78 :- atom3, atom79.
atom65 > not atom65 :- not atom3, atom79.
atom65 > not atom65 :- atom3, atom79.
atom47 > not atom47 :- not atom3, atom79.
not atom47 > atom47 :- atom3, atom79.
not atom42 > atom42 :- not atom33, atom79.
not atom42 > atom42 :- atom33, atom79.
not atom63 > atom63 :- not atom3, atom79.
atom63 > not atom63 :- atom3, atom79.
atom98 > not atom98 :- not atom21, atom79.
not atom98 > atom98 :- atom21, atom79.
not atom5 > atom5 :- not atom3, atom79.
not atom5 > atom5 :- atom3, atom79.
atom2 > not atom2 :- not atom5, atom79.
not atom2 > atom2 :- atom5, atom79.
not atom72 > atom72 :- not atom2, atom79.
not atom72 > atom72 :- atom2, atom79.
not atom50 > atom50 :- not atom2, atom79.
not atom50 > atom50 :- atom2, atom79.
atom100 > not atom100 :- not atom3, atom79.
atom100 > not atom100 :- atom3, atom79.
not atom19 > atom19 :- not atom2, atom79.
atom19 > not atom19 :- atom2, atom79.
atom23 > not atom23 :- not atom13, atom79.
atom23 > not atom23 :- atom13, atom79.
atom85 > not atom85 :- not atom2, atom79.
not atom85 > atom85 :- atom2, atom79.
atom81 > not atom81 :- not atom3, atom79.
atom81 > not atom81 :- atom3, atom79.
not atom62 > atom62 :- not atom2, atom79.
not atom62 > atom62 :- atom2, atom79.
atom53 > not atom53 :- not atom3, atom79.
not atom53 > atom53 :- atom3, atom79.
atom10 > not atom10 :- not atom2, atom79.
not atom10 > atom10 :- atom2, atom79.
not atom4 > atom4 :- not atom2, atom79.
atom4 > not atom4 :- atom2, atom79.
not atom34 > atom34 :- not atom2, atom79.
atom34 > not atom34 :- atom2, atom79.
