not atom20 > atom20.
not atom50 > atom50 :- not atom20.
atom50 > not atom50 :- atom20.
atom86 > not atom86 :- not atom20.
not atom86 > atom86 :- atom20.
atom11 > not atom11.
atom10 > not atom10 :- atom11.
atom25 > not atom25 :- not atom10, atom11.
atom25 > not atom25 :- atom10, atom11.
atom37 > not atom37 :- not atom20, atom11.
atom37 > not atom37 :- atom20, atom11.
atom72 > not atom72 :- not atom10, atom11.
not atom72 > atom72 :- atom10, atom11.
atom78 > not atom78 :- not atom10, atom11.
not atom78 > atom78 :- atom10, atom11.
atom46 > not atom46 :- not atom20, atom11.
atom46 > not atom46 :- atom20, atom11.
atom67 > not atom67 :- not atom10, atom11.
atom67 > not atom67 :- atom10, atom11.
not atom83 > atom83 :- not atom10, atom11.
atom83 > not atom83 :- atom10, atom11.
atom23 > not atom23 :- not atom10, atom11.
not atom23 > atom23 :- atom10, atom11.
atom51 > not atom51 :- not atom20, atom11.
atom51 > not atom51 :- atom20, atom11.
atom57 > not atom57 :- not atom10, atom11.
atom57 > not atom57 :- atom10, atom11.
not atom84 > atom84 :- not atom37, atom11.
not atom84 > atom84 :- atom37, atom11.
not atom43 > atom43 :- not atom46, atom11.
not atom43 > atom43 :- atom46, atom11.
atom62 > not atom62 :- not atom37, atom11.
not atom62 > atom62 :- atom37, atom11.
not atom45 > atom45 :- not atom10, atom11.
not atom45 > atom45 :- atom10, atom11.
atom48 > not atom48 :- not atom10, atom11.
atom48 > not atom48 :- atom10, atom11.
atom89 > not atom89 :- not atom23, atom11.
not atom89 > atom89 :- atom23, atom11.
atom2 > not atom2 :- not atom20, atom11.
not atom2 > atom2 :- atom20, atom11.
not atom60 > atom60 :- not atom2, atom11.
atom60 > not atom60 :- atom2, atom11.
not atom63 > atom63 :- not atom2, atom11.
atom63 > not atom63 :- atom2, atom11.
atom82 > not atom82 :- not atom2, atom11.
atom82 > not atom82 :- atom2, atom11.
not atom92 > atom92 :- not atom37, atom11.
not atom92 > atom92 :- atom37, atom11.
not atom47 > atom47 :- not atom10, atom11.
atom47 > not atom47 :- atom10, atom11.
not atom36 > atom36 :- not atom10, atom11.
atom36 > not atom36 :- atom10, atom11.
not atom12 > atom12 :- not atom20, atom11.
not atom12 > atom12 :- atom20, atom11.
not atom53 > atom53 :- not atom2, atom11.
atom53 > not atom53 :- atom2, atom11.
not atom88 > atom88 :- not atom10, atom11.
not atom88 > atom88 :- atom10, atom11.
not atom32 > atom32 :- not atom12, atom11.
not atom32 > atom32 :- atom12, atom11.
atom59 > not atom59 :- not atom12, atom11.
not atom59 > atom59 :- atom12, atom11.
atom79 > not atom79 :- not atom20, atom11.
atom79 > not atom79 :- atom20, atom11.
atom66 > not atom66 :- not atom25, atom11.
not atom66 > atom66 :- atom25, atom11.
atom96 > not atom96 :- not atom20, atom11.
