not atom19 > atom19.
atom86 > not atom86 :- not atom19.
atom86 > not atom86 :- atom19.
atom7 > not atom7 :- not atom19, atom86.
not atom7 > atom7 :- atom19, atom86.
not atom82 > atom82 :- not atom19, atom86.
not atom82 > atom82 :- atom19, atom86.
not atom50 > atom50 :- not atom19, atom86.
not atom50 > atom50 :- atom19, atom86.
not atom23 > atom23 :- not atom7, atom86.
not atom23 > atom23 :- atom7, atom86.
atom16 > not atom16 :- not atom23, atom86.
not atom16 > atom16 :- atom23, atom86.
not atom88 > atom88 :- not atom16, atom86.
not atom88 > atom88 :- atom16, atom86.
not atom32 > atom32 :- not atom7, atom86.
not atom32 > atom32 :- atom7, atom86.
atom69 > not atom69 :- not atom7, atom86.
atom69 > not atom69 :- atom7, atom86.
atom8 > not atom8 :- not atom19, atom86.
not atom8 > atom8 :- atom19, atom86.
not atom91 > atom91 :- not atom8, atom86.
atom91 > not atom91 :- atom8, atom86.
atom81 > not atom81 :- not atom8, atom86.
not atom81 > atom81 :- atom8, atom86.
not atom40 > atom40 :- not atom19, atom86.
atom40 > not atom40 :- atom19, atom86.
atom67 > not atom67 :- not atom8, atom86.
not atom67 > atom67 :- atom8, atom86.
atom78 > not atom78 :- not atom8, atom86.
atom78 > not atom78 :- atom8, atom86.
not atom96 > atom96 :- not atom19, atom86.
atom96 > not atom96 :- atom19, atom86.
not atom42 > atom42 :- not atom7, atom86.
not atom42 > atom42 :- atom7, atom86.
atom17 > not atom17 :- not atom7, atom86.
not atom17 > atom17 :- atom7, atom86.
not atom75 > atom75 :- not atom7, atom86.
atom75 > not atom75 :- atom7, atom86.
not atom56 > atom56 :- not atom8, atom86.
not atom56 > atom56 :- atom8, atom86.
not atom65 > atom65 :- not atom16, atom86.
atom65 > not atom65 :- atom16, atom86.
not atom43 > atom43 :- not atom7, atom86.
not atom43 > atom43 :- atom7, atom86.
atom76 > not atom76 :- not atom16, atom86.
not atom76 > atom76 :- atom16, atom86.
atom59 > not atom59 :- not atom17, atom86.
not atom59 > atom59 :- atom17, atom86.
not atom70 > atom70 :- not atom8, atom86.
atom70 > not atom70 :- atom8, atom86.
atom87 > not atom87 :- not atom8, atom86.
atom87 > not atom87 :- atom8, atom86.
not atom31 > atom31 :- not atom7, atom86.
atom31 > not atom31 :- atom7, atom86.
atom21 > not atom21 :- not atom16, atom86.
atom21 > not atom21 :- atom16, atom86.
atom66 > not atom66 :- not atom7, atom86.
atom66 > not atom66 :- atom7, atom86.
not atom53 > atom53 :- not atom7, atom86.
atom53 > not atom53 :- atom7, atom86.
not atom97 > atom97 :- not atom7, atom86.
atom97 > not atom97 :- atom7, atom86.
not atom77 > atom77 :- not atom17, atom86.
not atom77 > atom77 :- atom17, atom86.
not atom3 > atom3 :- not atom16, atom86.
atom3 > not atom3 :- atom16, atom86.
not atom83 > atom83 :- not atom7, atom86.
atom83 > not atom83 :- atom7, atom86.
not atom58 > atom58 :- not atom3, atom86.
atom58 > not atom58 :- atom3, atom86.
atom6 > not atom6 :- not atom3, atom86.
not atom6 > atom6 :- atom3, atom86.
atom4 > not atom4 :- not atom6, atom86.
not atom4 > atom4 :- atom6, atom86.
atom72 > not atom72 :- not atom3, atom86.
not atom72 > atom72 :- atom3, atom86.
not atom92 > atom92 :- not atom4, atom86.
atom92 > not atom92 :- atom4, atom86.
atom2 > not atom2 :- not atom3, atom86.
not atom2 > atom2 :- atom3, atom86.
atom94 > not atom94 :- not atom2, atom86.
atom94 > not atom94 :- atom2, atom86.
not atom47 > atom47 :- not atom2, atom86.
atom47 > not atom47 :- atom2, atom86.
atom55 > not atom55 :- not atom3, atom86.
atom55 > not atom55 :- atom3, atom86.
atom80 > not atom80 :- not atom3, atom86.
not atom80 > atom80 :- atom3, atom86.
