not atom71 > atom71.
atom52 > not atom52 :- not atom71.
atom19 > not atom19 :- not atom71.
atom90 > not atom90 :- not atom19, not atom71.
atom90 > not atom90 :- atom19, not atom71.
not atom14 > atom14 :- not atom71.
atom36 > not atom36 :- not atom19, not atom71.
not atom36 > atom36 :- atom19, not atom71.
atom68 > not atom68 :- not atom14, not atom71.
not atom68 > atom68 :- atom14, not atom71.
atom75 > not atom75 :- not atom19, not atom71.
not atom75 > atom75 :- atom19, not atom71.
not atom45 > atom45 :- not atom52, not atom71.
atom45 > not atom45 :- atom52, not atom71.
not atom93 > atom93 :- not atom14, not atom71.
atom93 > not atom93 :- atom14, not atom71.
atom56 > not atom56 :- not atom45, not atom71.
not atom56 > atom56 :- atom45, not atom71.
atom25 > not atom25 :- not atom14, not atom71.
atom25 > not atom25 :- atom14, not atom71.
not atom46 > atom46 :- not atom19, not atom71.
atom46 > not atom46 :- atom19, not atom71.
not atom37 > atom37 :- not atom14, not atom71.
not atom37 > atom37 :- atom14, not atom71.
atom20 > not atom20 :- not atom14, not atom71.
not atom20 > atom20 :- atom14, not atom71.
not atom96 > atom96 :- not atom14, not atom71.
atom96 > not atom96 :- atom14, not atom71.
atom31 > not atom31 :- not atom14, not atom71.
not atom31 > atom31 :- atom14, not atom71.
not atom6 > atom6 :- not atom19, not atom71.
atom6 > not atom6 :- atom19, not atom71.
not atom48 > atom48 :- not atom25, not atom71.
atom48 > not atom48 :- atom25, not atom71.
not atom50 > atom50 :- not atom6, not atom71.
not atom50 > atom50 :- atom6, not atom71.
atom8 > not atom8 :- not atom6, not atom71.
not atom8 > atom8 :- atom6, not atom71.
not atom51 > atom51 :- not atom8, not atom71.
atom51 > not atom51 :- atom8, not atom71.
atom67 > not atom67 :- not atom6, not atom71.
atom67 > not atom67 :- atom6, not atom71.
not atom70 > atom70 :- not atom6, not atom71.
not atom70 > atom70 :- atom6, not atom71.
atom97 > not atom97 :- not atom19, not atom71.
atom97 > not atom97 :- atom19, not atom71.
atom35 > not atom35 :- not atom19, not atom71.
not atom35 > atom35 :- atom19, not atom71.
atom83 > not atom83 :- not atom8, not atom71.
atom83 > not atom83 :- atom8, not atom71.
not atom65 > atom65 :- not atom8, not atom71.
atom65 > not atom65 :- atom8, not atom71.
atom72 > not atom72 :- not atom6, not atom71.
atom72 > not atom72 :- atom6, not atom71.
atom76 > not atom76 :- not atom6, not atom71.
atom76 > not atom76 :- atom6, not atom71.
not atom74 > atom74 :- not atom6, not atom71.
not atom74 > atom74 :- atom6, not atom71.
not atom30 > atom30 :- not atom8, not atom71.
not atom30 > atom30 :- atom8, not atom71.
not atom26 > atom26 :- not atom6, not atom71.
atom26 > not atom26 :- atom6, not atom71.
atom55 > not atom55 :- not atom8, not atom71.
atom55 > not atom55 :- atom8, not atom71.
atom79 > not atom79 :- not atom8, not atom71.
atom79 > not atom79 :- atom8, not atom71.
atom21 > not atom21 :- not atom8, not atom71.
not atom21 > atom21 :- atom8, not atom71.
atom24 > not atom24 :- not atom6, not atom71.
atom24 > not atom24 :- atom6, not atom71.
not atom32 > atom32 :- not atom6, not atom71.
not atom32 > atom32 :- atom6, not atom71.
not atom13 > atom13 :- not atom14, not atom71.
not atom13 > atom13 :- atom14, not atom71.
atom61 > not atom61 :- not atom6, not atom71.
not atom61 > atom61 :- atom6, not atom71.
not atom1 > atom1 :- not atom6, not atom71.
atom1 > not atom1 :- atom6, not atom71.
not atom80 > atom80 :- not atom1, not atom71.
atom80 > not atom80 :- atom1, not atom71.
not atom91 > atom91 :- not atom6, not atom71.
atom91 > not atom91 :- atom6, not atom71.
atom18 > not atom18 :- not atom6, not atom71.
atom18 > not atom18 :- atom6, not atom71.
not atom54 > atom54 :- not atom1, not atom71.
atom54 > not atom54 :- atom1, not atom71.
atom59 > not atom59 :- not atom1, not atom71.
atom59 > not atom59 :- atom1, not atom71.
atom86 > not atom86 :- not atom18, not atom71.
