not atom3 > atom3.
atom86 > not atom86 :- not atom3.
not atom86 > atom86 :- atom3.
not atom30 > atom30 :- not atom3, atom86.
atom30 > not atom30 :- atom3, atom86.
not atom31 > atom31 :- not atom3, atom86.
not atom31 > atom31 :- atom3, atom86.
not atom46 > atom46 :- not atom3, atom86.
atom46 > not atom46 :- atom3, atom86.
atom98 > not atom98 :- not atom46, atom86.
not atom98 > atom98 :- atom46, atom86.
atom100 > not atom100 :- atom86.
atom93 > not atom93 :- not atom3, atom86.
atom93 > not atom93 :- atom3, atom86.
not atom14 > atom14 :- not atom3, atom86.
atom14 > not atom14 :- atom3, atom86.
not atom36 > atom36 :- not atom14, atom86.
atom36 > not atom36 :- atom14, atom86.
not atom64 > atom64 :- not atom14, atom86.
not atom64 > atom64 :- atom14, atom86.
atom39 > not atom39 :- not atom3, atom86.
atom39 > not atom39 :- atom3, atom86.
not atom16 > atom16 :- not atom3, atom86.
atom16 > not atom16 :- atom3, atom86.
atom90 > not atom90 :- not atom14, atom86.
atom90 > not atom90 :- atom14, atom86.
not atom55 > atom55 :- not atom14, atom86.
not atom55 > atom55 :- atom14, atom86.
not atom20 > atom20 :- not atom3, atom86.
atom20 > not atom20 :- atom3, atom86.
not atom25 > atom25 :- not atom16, atom86.
atom25 > not atom25 :- atom16, atom86.
atom65 > not atom65 :- not atom14, atom86.
not atom65 > atom65 :- atom14, atom86.
not atom68 > atom68 :- not atom3, atom86.
atom68 > not atom68 :- atom3, atom86.
atom37 > not atom37 :- not atom16, atom86.
not atom37 > atom37 :- atom16, atom86.
atom17 > not atom17 :- not atom3, atom86.
not atom17 > atom17 :- atom3, atom86.
not atom61 > atom61 :- not atom3, atom86.
not atom61 > atom61 :- atom3, atom86.
not atom8 > atom8 :- not atom3, atom86.
atom8 > not atom8 :- atom3, atom86.
atom72 > not atom72 :- not atom3, atom86.
atom72 > not atom72 :- atom3, atom86.
atom45 > not atom45 :- not atom8, atom86.
atom45 > not atom45 :- atom8, atom86.
atom83 > not atom83 :- not atom3, atom86.
atom83 > not atom83 :- atom3, atom86.
not atom34 > atom34 :- not atom16, atom86.
not atom34 > atom34 :- atom16, atom86.
not atom53 > atom53 :- not atom3, atom86.
atom53 > not atom53 :- atom3, atom86.
not atom33 > atom33 :- not atom8, atom86.
atom33 > not atom33 :- atom8, atom86.
not atom81 > atom81 :- not atom3, atom86.
atom81 > not atom81 :- atom3, atom86.
atom10 > not atom10 :- not atom14, atom86.
not atom10 > atom10 :- atom14, atom86.
not atom91 > atom91 :- not atom16, atom86.
not atom91 > atom91 :- atom16, atom86.
not atom58 > atom58 :- not atom8, atom86.
atom58 > not atom58 :- atom8, atom86.
atom60 > not atom60 :- not atom8, atom86.
atom60 > not atom60 :- atom8, atom86.
atom76 > not atom76 :- not atom3, atom86.
atom76 > not atom76 :- atom3, atom86.
not atom89 > atom89 :- not atom8, atom86.
not atom89 > atom89 :- atom8, atom86.
not atom84 > atom84 :- not atom3, atom86.
not atom84 > atom84 :- atom3, atom86.
not atom57 > atom57 :- not atom3, atom86.
not atom57 > atom57 :- atom3, atom86.
atom78 > not atom78 :- not atom3, atom86.
atom78 > not atom78 :- atom3, atom86.
atom38 > not atom38 :- not atom8, atom86.
not atom38 > atom38 :- atom8, atom86.
atom51 > not atom51 :- not atom3, atom86.
atom51 > not atom51 :- atom3, atom86.
atom40 > not atom40 :- not atom10, atom86.
not atom40 > atom40 :- atom10, atom86.
atom67 > not atom67 :- not atom8, atom86.
atom67 > not atom67 :- atom8, atom86.
atom73 > not atom73 :- not atom14, atom86.
atom73 > not atom73 :- atom14, atom86.
not atom50 > atom50 :- not atom3, atom86.
atom50 > not atom50 :- atom3, atom86.
atom9 > not atom9 :- not atom3, atom86.
atom9 > not atom9 :- atom3, atom86.
atom94 > not atom94 :- not atom3, atom86.
atom94 > not atom94 :- atom3, atom86.
atom87 > not atom87 :- not atom9, atom86.
atom87 > not atom87 :- atom9, atom86.
atom2 > not atom2 :- not atom8, atom86.
atom2 > not atom2 :- atom8, atom86.
atom82 > not atom82 :- not atom3, atom86.
atom82 > not atom82 :- atom3, atom86.
not atom66 > atom66 :- not atom2, atom86.
not atom66 > atom66 :- atom2, atom86.
not atom77 > atom77 :- not atom3, atom86.
atom77 > not atom77 :- atom3, atom86.
atom18 > not atom18 :- not atom2, atom86.
not atom18 > atom18 :- atom2, atom86.
not atom88 > atom88 :- not atom3, atom86.
atom88 > not atom88 :- atom3, atom86.
atom4 > not atom4 :- not atom2, atom86.
not atom4 > atom4 :- atom2, atom86.
atom12 > not atom12 :- not atom3, atom86.
atom12 > not atom12 :- atom3, atom86.
atom41 > not atom41 :- not atom3, atom86.
not atom41 > atom41 :- atom3, atom86.
atom97 > not atom97 :- not atom2, atom86.
not atom97 > atom97 :- atom2, atom86.
not atom59 > atom59 :- not atom2, atom86.
atom59 > not atom59 :- atom2, atom86.
not atom47 > atom47 :- not atom9, atom86.
atom47 > not atom47 :- atom9, atom86.
not atom70 > atom70 :- not atom2, atom86.
not atom70 > atom70 :- atom2, atom86.
not atom96 > atom96 :- not atom2, atom86.
not atom96 > atom96 :- atom2, atom86.
not atom43 > atom43 :- not atom2, atom86.
atom43 > not atom43 :- atom2, atom86.
atom42 > not atom42 :- not atom2, atom86.
not atom42 > atom42 :- atom2, atom86.
not atom5 > atom5 :- not atom3, atom86.
atom5 > not atom5 :- atom3, atom86.
not atom99 > atom99 :- not atom2, atom86.
atom99 > not atom99 :- atom2, atom86.
not atom63 > atom63 :- not atom3, atom86.
atom63 > not atom63 :- atom3, atom86.
not atom62 > atom62 :- not atom2, atom86.
not atom62 > atom62 :- atom2, atom86.
not atom28 > atom28 :- not atom10, atom86.
atom28 > not atom28 :- atom10, atom86.
atom48 > not atom48 :- not atom3, atom86.
atom48 > not atom48 :- atom3, atom86.
not atom79 > atom79 :- not atom2, atom86.
atom79 > not atom79 :- atom2, atom86.
not atom75 > atom75 :- not atom2, atom86.
not atom75 > atom75 :- atom2, atom86.
not atom80 > atom80 :- not atom8, atom86.
not atom80 > atom80 :- atom8, atom86.
atom35 > not atom35 :- not atom3, atom86.
atom35 > not atom35 :- atom3, atom86.
not atom74 > atom74 :- not atom2, atom86.
atom74 > not atom74 :- atom2, atom86.
not atom22 > atom22 :- not atom3, atom86.
not atom22 > atom22 :- atom3, atom86.
not atom11 > atom11 :- not atom2, atom86.
atom11 > not atom11 :- atom2, atom86.
not atom52 > atom52 :- not atom4, atom86.
atom52 > not atom52 :- atom4, atom86.
atom49 > not atom49 :- not atom2, atom86.
atom49 > not atom49 :- atom2, atom86.
atom1 > not atom1 :- not atom3, atom86.
atom1 > not atom1 :- atom3, atom86.
atom13 > not atom13 :- not atom1, atom86.
atom13 > not atom13 :- atom1, atom86.
atom56 > not atom56 :- not atom1, atom86.
not atom56 > atom56 :- atom1, atom86.
not atom7 > atom7 :- not atom2, atom86.
atom7 > not atom7 :- atom2, atom86.
not atom23 > atom23 :- not atom3, atom86.
not atom23 > atom23 :- atom3, atom86.
not atom95 > atom95 :- not atom3, atom86.
not atom95 > atom95 :- atom3, atom86.
not atom27 > atom27 :- not atom1, atom86.
atom27 > not atom27 :- atom1, atom86.
atom69 > not atom69 :- not atom1, atom86.
atom69 > not atom69 :- atom1, atom86.
atom44 > not atom44 :- not atom1, atom86.
not atom44 > atom44 :- atom1, atom86.
not atom71 > atom71 :- not atom1, atom86.
atom71 > not atom71 :- atom1, atom86.
atom29 > not atom29 :- not atom1, atom86.
not atom29 > atom29 :- atom1, atom86.
not atom26 > atom26 :- not atom4, atom86.
atom26 > not atom26 :- atom4, atom86.
not atom6 > atom6 :- not atom1, atom86.
not atom6 > atom6 :- atom1, atom86.
not atom92 > atom92 :- not atom2, atom86.
atom92 > not atom92 :- atom2, atom86.
not atom54 > atom54 :- not atom1, atom86.
not atom54 > atom54 :- atom1, atom86.
not atom24 > atom24 :- not atom2, atom86.
not atom24 > atom24 :- atom2, atom86.
not atom85 > atom85 :- not atom1, atom86.
not atom85 > atom85 :- atom1, atom86.
not atom21 > atom21 :- not atom2, atom86.
atom21 > not atom21 :- atom2, atom86.
atom19 > not atom19 :- not atom1, atom86.
atom19 > not atom19 :- atom1, atom86.
atom32 > not atom32 :- not atom3, atom86.
atom32 > not atom32 :- atom3, atom86.
not atom15 > atom15 :- not atom2, atom86.
atom15 > not atom15 :- atom2, atom86.
not atom40 > atom40 :- not atom86.
not atom98 > atom98 :- not atom3, not atom86.
not atom98 > atom98 :- atom3, not atom86.
not atom54 > atom54 :- not atom40, not atom86.
not atom54 > atom54 :- atom40, not atom86.
not atom15 > atom15 :- not atom54, not atom86.
not atom15 > atom15 :- atom54, not atom86.
not atom5 > atom5 :- not atom3, not atom86.
atom5 > not atom5 :- atom3, not atom86.
not atom67 > atom67 :- not atom3, not atom86.
not atom67 > atom67 :- atom3, not atom86.
atom41 > not atom41 :- not atom3, not atom86.
atom41 > not atom41 :- atom3, not atom86.
not atom7 > atom7 :- not atom5, not atom86.
atom7 > not atom7 :- atom5, not atom86.
atom2 > not atom2 :- not atom3, not atom86.
not atom2 > atom2 :- atom3, not atom86.
atom66 > not atom66 :- not atom2, not atom86.
