not atom68 > atom68.
atom28 > not atom28 :- not atom68.
not atom28 > atom28 :- atom68.
not atom7 > atom7.
atom20 > not atom20 :- not atom7.
not atom20 > atom20 :- atom7.
not atom91 > atom91 :- not atom7.
atom91 > not atom91 :- atom7.
not atom95 > atom95 :- not atom7, atom91.
atom95 > not atom95 :- atom7, atom91.
atom34 > not atom34 :- not atom7, atom91.
atom34 > not atom34 :- atom7, atom91.
not atom31 > atom31 :- not atom7, atom91.
atom31 > not atom31 :- atom7, atom91.
not atom89 > atom89 :- not atom95, atom91.
not atom89 > atom89 :- atom95, atom91.
atom43 > not atom43 :- not atom7, atom91.
atom43 > not atom43 :- atom7, atom91.
atom40 > not atom40 :- not atom7, atom91.
atom40 > not atom40 :- atom7, atom91.
not atom63 > atom63 :- not atom20, atom91.
not atom63 > atom63 :- atom20, atom91.
not atom96 > atom96 :- not atom7, atom91.
atom96 > not atom96 :- atom7, atom91.
not atom38 > atom38 :- not atom7, atom91.
not atom38 > atom38 :- atom7, atom91.
atom10 > not atom10 :- not atom34, atom91.
not atom10 > atom10 :- atom34, atom91.
not atom42 > atom42 :- not atom7, atom91.
atom42 > not atom42 :- atom7, atom91.
not atom93 > atom93 :- not atom7, atom91.
atom93 > not atom93 :- atom7, atom91.
not atom71 > atom71 :- not atom10, atom91.
not atom71 > atom71 :- atom10, atom91.
atom3 > not atom3 :- not atom7, atom91.
not atom3 > atom3 :- atom7, atom91.
not atom90 > atom90 :- not atom3, atom91.
atom90 > not atom90 :- atom3, atom91.
not atom56 > atom56 :- not atom7, atom91.
not atom56 > atom56 :- atom7, atom91.
not atom17 > atom17 :- not atom7, atom91.
atom17 > not atom17 :- atom7, atom91.
not atom53 > atom53 :- not atom17, atom91.
not atom53 > atom53 :- atom17, atom91.
atom83 > not atom83 :- not atom3, atom91.
not atom83 > atom83 :- atom3, atom91.
atom80 > not atom80 :- not atom3, atom91.
not atom80 > atom80 :- atom3, atom91.
atom14 > not atom14 :- not atom3, atom91.
not atom14 > atom14 :- atom3, atom91.
atom86 > not atom86 :- not atom3, atom91.
not atom86 > atom86 :- atom3, atom91.
atom94 > not atom94 :- not atom3, atom91.
not atom94 > atom94 :- atom3, atom91.
not atom50 > atom50 :- not atom10, atom91.
not atom50 > atom50 :- atom10, atom91.
not atom49 > atom49 :- not atom10, atom91.
atom49 > not atom49 :- atom10, atom91.
atom6 > not atom6 :- not atom3, atom91.
not atom6 > atom6 :- atom3, atom91.
not atom32 > atom32 :- not atom3, atom91.
not atom32 > atom32 :- atom3, atom91.
not atom25 > atom25 :- not atom10, atom91.
not atom25 > atom25 :- atom10, atom91.
atom70 > not atom70 :- not atom3, atom91.
atom70 > not atom70 :- atom3, atom91.
not atom29 > atom29 :- not atom6, atom91.
atom29 > not atom29 :- atom6, atom91.
atom92 > not atom92 :- not atom3, atom91.
not atom92 > atom92 :- atom3, atom91.
atom97 > not atom97 :- not atom3, atom91.
atom97 > not atom97 :- atom3, atom91.
atom66 > not atom66 :- not atom3, atom91.
not atom66 > atom66 :- atom3, atom91.
not atom59 > atom59 :- not atom3, atom91.
atom59 > not atom59 :- atom3, atom91.
not atom74 > atom74 :- not atom3, atom91.
not atom74 > atom74 :- atom3, atom91.
atom100 > not atom100 :- not atom29, atom91.
atom100 > not atom100 :- atom29, atom91.
atom84 > not atom84 :- not atom3, atom91.
not atom84 > atom84 :- atom3, atom91.
atom65 > not atom65 :- not atom3, atom91.
not atom65 > atom65 :- atom3, atom91.
atom88 > not atom88 :- not atom6, atom91.
not atom88 > atom88 :- atom6, atom91.
atom5 > not atom5 :- not atom6, atom91.
atom5 > not atom5 :- atom6, atom91.
not atom30 > atom30 :- not atom3, atom91.
atom30 > not atom30 :- atom3, atom91.
atom57 > not atom57 :- not atom3, atom91.
not atom57 > atom57 :- atom3, atom91.
not atom4 > atom4 :- not atom3, atom91.
not atom4 > atom4 :- atom3, atom91.
atom41 > not atom41 :- not atom3, atom91.
atom41 > not atom41 :- atom3, atom91.
not atom1 > atom1 :- not atom3, atom91.
atom1 > not atom1 :- atom3, atom91.
not atom64 > atom64 :- not atom7, atom91.
atom64 > not atom64 :- atom7, atom91.
not atom76 > atom76 :- not atom4, atom91.
atom76 > not atom76 :- atom4, atom91.
not atom26 > atom26 :- not atom1, atom91.
atom26 > not atom26 :- atom1, atom91.
atom55 > not atom55 :- not atom4, atom91.
not atom55 > atom55 :- atom4, atom91.
atom47 > not atom47 :- not atom3, atom91.
atom47 > not atom47 :- atom3, atom91.
atom73 > not atom73 :- not atom4, atom91.
not atom73 > atom73 :- atom4, atom91.
atom36 > not atom36 :- not atom3, atom91.
not atom36 > atom36 :- atom3, atom91.
not atom58 > atom58 :- not atom5, atom91.
atom58 > not atom58 :- atom5, atom91.
atom52 > not atom52 :- not atom1, atom91.
atom52 > not atom52 :- atom1, atom91.
not atom22 > atom22 :- not atom1, atom91.
atom22 > not atom22 :- atom1, atom91.
atom11 > not atom11 :- not atom5, atom91.
not atom11 > atom11 :- atom5, atom91.
not atom98 > atom98 :- not atom1, atom91.
atom98 > not atom98 :- atom1, atom91.
not atom87 > atom87 :- not atom1, atom91.
not atom87 > atom87 :- atom1, atom91.
not atom77 > atom77 :- not atom1, atom91.
not atom77 > atom77 :- atom1, atom91.
not atom46 > atom46 :- not atom1, atom91.
atom46 > not atom46 :- atom1, atom91.
not atom78 > atom78 :- not atom1, atom91.
atom78 > not atom78 :- atom1, atom91.
atom12 > not atom12 :- not atom6, atom91.
not atom12 > atom12 :- atom6, atom91.
