atom44 > not atom44.
atom65 > not atom65.
not atom92 > atom92 :- not atom44, atom65.
not atom92 > atom92 :- atom44, atom65.
not atom57 > atom57 :- not atom44, atom65.
atom57 > not atom57 :- atom44, atom65.
not atom25 > atom25 :- not atom44, atom65.
atom25 > not atom25 :- atom44, atom65.
atom10 > not atom10 :- not atom44, atom65.
atom10 > not atom10 :- atom44, atom65.
atom42 > not atom42 :- not atom10, atom65.
atom42 > not atom42 :- atom10, atom65.
not atom58 > atom58 :- not atom10, atom65.
atom58 > not atom58 :- atom10, atom65.
not atom76 > atom76 :- not atom10, atom65.
not atom76 > atom76 :- atom10, atom65.
not atom51 > atom51 :- not atom10, atom65.
not atom51 > atom51 :- atom10, atom65.
not atom71 > atom71 :- not atom10, atom65.
atom71 > not atom71 :- atom10, atom65.
not atom63 > atom63 :- not atom44, atom65.
atom63 > not atom63 :- atom44, atom65.
not atom7 > atom7 :- not atom25, atom65.
not atom7 > atom7 :- atom25, atom65.
not atom74 > atom74 :- not atom42, atom65.
not atom74 > atom74 :- atom42, atom65.
not atom27 > atom27 :- not atom44, atom65.
atom27 > not atom27 :- atom44, atom65.
atom69 > not atom69 :- not atom7, atom65.
atom69 > not atom69 :- atom7, atom65.
not atom72 > atom72 :- not atom7, atom65.
not atom72 > atom72 :- atom7, atom65.
not atom99 > atom99 :- not atom10, atom65.
atom99 > not atom99 :- atom10, atom65.
not atom3 > atom3 :- not atom10, atom65.
not atom3 > atom3 :- atom10, atom65.
atom87 > not atom87 :- not atom7, atom65.
not atom87 > atom87 :- atom7, atom65.
atom36 > not atom36 :- not atom3, atom65.
atom36 > not atom36 :- atom3, atom65.
atom70 > not atom70 :- not atom3, atom65.
atom70 > not atom70 :- atom3, atom65.
atom82 > not atom82 :- not atom3, atom65.
not atom82 > atom82 :- atom3, atom65.
not atom52 > atom52 :- not atom10, atom65.
not atom52 > atom52 :- atom10, atom65.
atom59 > not atom59 :- not atom7, atom65.
not atom59 > atom59 :- atom7, atom65.
not atom67 > atom67 :- not atom10, atom65.
atom67 > not atom67 :- atom10, atom65.
not atom17 > atom17 :- not atom7, atom65.
atom17 > not atom17 :- atom7, atom65.
not atom43 > atom43 :- not atom7, atom65.
atom43 > not atom43 :- atom7, atom65.
not atom35 > atom35 :- not atom7, atom65.
not atom35 > atom35 :- atom7, atom65.
not atom20 > atom20 :- not atom3, atom65.
not atom20 > atom20 :- atom3, atom65.
not atom62 > atom62 :- not atom3, atom65.
not atom62 > atom62 :- atom3, atom65.
not atom80 > atom80 :- not atom3, atom65.
atom80 > not atom80 :- atom3, atom65.
atom6 > not atom6 :- not atom3, atom65.
atom6 > not atom6 :- atom3, atom65.
not atom8 > atom8 :- not atom7, atom65.
atom8 > not atom8 :- atom7, atom65.
not atom97 > atom97 :- not atom3, atom65.
not atom97 > atom97 :- atom3, atom65.
not atom2 > atom2 :- not atom10, atom65.
not atom2 > atom2 :- atom10, atom65.
atom33 > not atom33 :- not atom3, atom65.
not atom33 > atom33 :- atom3, atom65.
atom64 > not atom64 :- not atom2, atom65.
atom64 > not atom64 :- atom2, atom65.
atom16 > not atom16 :- not atom2, atom65.
not atom16 > atom16 :- atom2, atom65.
not atom19 > atom19 :- not atom2, atom65.
not atom19 > atom19 :- atom2, atom65.
not atom53 > atom53 :- not atom2, atom65.
not atom53 > atom53 :- atom2, atom65.
not atom75 > atom75 :- not atom2, atom65.
atom75 > not atom75 :- atom2, atom65.
atom96 > not atom96 :- not atom2, atom65.
not atom96 > atom96 :- atom2, atom65.
atom4 > not atom4 :- not atom2, atom65.
