not atom3 > atom3.
not atom27 > atom27.
atom9 > not atom9 :- not atom3.
atom9 > not atom9 :- atom3.
not atom35 > atom35 :- not atom27, not atom9.
atom35 > not atom35 :- atom27, not atom9.
not atom38 > atom38 :- not atom3, not atom9.
atom38 > not atom38 :- atom3, not atom9.
atom4 > not atom4 :- not atom27, not atom9.
atom4 > not atom4 :- atom27, not atom9.
atom8 > not atom8 :- not atom3, not atom9.
not atom8 > atom8 :- atom3, not atom9.
not atom36 > atom36 :- not atom27, not atom9.
atom36 > not atom36 :- atom27, not atom9.
not atom15 > atom15 :- not atom3, not atom9.
atom15 > not atom15 :- atom3, not atom9.
atom23 > not atom23 :- not atom3, not atom9.
atom23 > not atom23 :- atom3, not atom9.
atom30 > not atom30 :- not atom3, not atom9.
atom30 > not atom30 :- atom3, not atom9.
atom5 > not atom5 :- not atom4, not atom9.
not atom5 > atom5 :- atom4, not atom9.
not atom13 > atom13 :- not atom4, not atom9.
atom13 > not atom13 :- atom4, not atom9.
atom25 > not atom25 :- not atom3, not atom9.
not atom25 > atom25 :- atom3, not atom9.
atom7 > not atom7 :- not atom13, not atom9.
atom7 > not atom7 :- atom13, not atom9.
not atom37 > atom37 :- not atom3, not atom9.
atom37 > not atom37 :- atom3, not atom9.
atom14 > not atom14 :- not atom3, not atom9.
atom14 > not atom14 :- atom3, not atom9.
not atom32 > atom32 :- not atom3, not atom9.
atom32 > not atom32 :- atom3, not atom9.
not atom12 > atom12 :- not atom3, not atom9.
not atom12 > atom12 :- atom3, not atom9.
not atom17 > atom17 :- not atom3, not atom9.
atom17 > not atom17 :- atom3, not atom9.
atom18 > not atom18 :- not atom3, not atom9.
not atom18 > atom18 :- atom3, not atom9.
not atom16 > atom16 :- not atom7, not atom9.
not atom16 > atom16 :- atom7, not atom9.
not atom40 > atom40 :- not atom3, not atom9.
atom40 > not atom40 :- atom3, not atom9.
atom26 > not atom26 :- not atom3, not atom9.
atom26 > not atom26 :- atom3, not atom9.
atom28 > not atom28 :- not atom3, not atom9.
not atom28 > atom28 :- atom3, not atom9.
atom11 > not atom11 :- not atom3, not atom9.
not atom11 > atom11 :- atom3, not atom9.
not atom21 > atom21 :- not atom12, not atom9.
not atom21 > atom21 :- atom12, not atom9.
atom10 > not atom10 :- not atom4, not atom9.
not atom10 > atom10 :- atom4, not atom9.
not atom20 > atom20 :- not atom8, not atom9.
not atom20 > atom20 :- atom8, not atom9.
atom31 > not atom31 :- not atom4, not atom9.
atom31 > not atom31 :- atom4, not atom9.
not atom39 > atom39 :- not atom3, not atom9.
atom39 > not atom39 :- atom3, not atom9.
atom33 > not atom33 :- not atom4, not atom9.
not atom33 > atom33 :- atom4, not atom9.
atom2 > not atom2 :- not atom3, not atom9.
atom2 > not atom2 :- atom3, not atom9.
atom34 > not atom34 :- not atom2, not atom9.
not atom34 > atom34 :- atom2, not atom9.
not atom6 > atom6 :- not atom5, not atom9.
atom6 > not atom6 :- atom5, not atom9.
not atom22 > atom22 :- not atom2, not atom9.
not atom22 > atom22 :- atom2, not atom9.
atom24 > not atom24 :- not atom2, not atom9.
not atom24 > atom24 :- atom2, not atom9.
not atom29 > atom29 :- not atom4, not atom9.
not atom29 > atom29 :- atom4, not atom9.
not atom19 > atom19 :- not atom2, not atom9.
not atom19 > atom19 :- atom2, not atom9.
atom1 > not atom1 :- not atom3, not atom9.
not atom1 > atom1 :- atom3, not atom9.
not atom29 > atom29 :- not atom3, atom9.
atom29 > not atom29 :- atom3, atom9.
atom32 > not atom32 :- not atom29, atom9.
not atom32 > atom32 :- atom29, atom9.
not atom18 > atom18 :- not atom3, atom9.
atom18 > not atom18 :- atom3, atom9.
atom14 > not atom14 :- not atom3, atom9.
not atom14 > atom14 :- atom3, atom9.
atom24 > not atom24 :- not atom18, atom9.
not atom24 > atom24 :- atom18, atom9.
not atom20 > atom20 :- not atom32, atom9.
not atom20 > atom20 :- atom32, atom9.
not atom33 > atom33 :- not atom3, atom9.
atom33 > not atom33 :- atom3, atom9.
atom1 > not atom1 :- not atom14, atom9.
atom1 > not atom1 :- atom14, atom9.
atom30 > not atom30 :- not atom1, atom9.
atom30 > not atom30 :- atom1, atom9.
not atom40 > atom40 :- not atom1, atom9.
atom40 > not atom40 :- atom1, atom9.
not atom38 > atom38 :- not atom1, atom9.
atom38 > not atom38 :- atom1, atom9.
not atom16 > atom16 :- not atom1, atom9.
not atom16 > atom16 :- atom1, atom9.
not atom11 > atom11 :- not atom1, atom9.
atom11 > not atom11 :- atom1, atom9.
atom7 > not atom7 :- not atom1, atom9.
atom7 > not atom7 :- atom1, atom9.
not atom23 > atom23 :- not atom1, atom9.
atom23 > not atom23 :- atom1, atom9.
atom25 > not atom25 :- not atom3, atom9.
atom25 > not atom25 :- atom3, atom9.
atom39 > not atom39 :- not atom3, atom9.
not atom39 > atom39 :- atom3, atom9.
not atom10 > atom10 :- not atom14, atom9.
atom10 > not atom10 :- atom14, atom9.
not atom35 > atom35 :- not atom10, atom9.
atom35 > not atom35 :- atom10, atom9.
not atom28 > atom28 :- not atom1, atom9.
atom28 > not atom28 :- atom1, atom9.
atom13 > not atom13 :- not atom7, atom9.
not atom13 > atom13 :- atom7, atom9.
atom12 > not atom12 :- not atom1, atom9.
atom12 > not atom12 :- atom1, atom9.
atom2 > not atom2 :- not atom1, atom9.
atom2 > not atom2 :- atom1, atom9.
not atom6 > atom6 :- not atom12, atom9.
atom6 > not atom6 :- atom12, atom9.
atom26 > not atom26 :- not atom1, atom9.
not atom26 > atom26 :- atom1, atom9.
not atom8 > atom8 :- not atom1, atom9.
not atom8 > atom8 :- atom1, atom9.
not atom4 > atom4 :- not atom1, atom9.
not atom4 > atom4 :- atom1, atom9.
not atom17 > atom17 :- not atom1, atom9.
atom17 > not atom17 :- atom1, atom9.
not atom34 > atom34 :- not atom1, atom9.
not atom34 > atom34 :- atom1, atom9.
not atom31 > atom31 :- not atom4, atom9.
not atom31 > atom31 :- atom4, atom9.
not atom15 > atom15 :- not atom11, atom9.
not atom15 > atom15 :- atom11, atom9.
atom19 > not atom19 :- not atom3, atom9.
not atom19 > atom19 :- atom3, atom9.
atom5 > not atom5 :- not atom2, atom9.
not atom5 > atom5 :- atom2, atom9.
not atom21 > atom21 :- not atom2, atom9.
not atom21 > atom21 :- atom2, atom9.
not atom22 > atom22 :- not atom2, atom9.
atom22 > not atom22 :- atom2, atom9.
atom36 > not atom36 :- not atom1, atom9.
atom36 > not atom36 :- atom1, atom9.
atom37 > not atom37 :- not atom1, atom9.
atom37 > not atom37 :- atom1, atom9.
not atom19 > atom19.
not atom25 > atom25.
not atom6 > atom6 :- not atom25.
atom6 > not atom6 :- atom25.
not atom34 > atom34 :- not atom6.
atom34 > not atom34 :- atom6.
not atom28 > atom28 :- not atom6.
atom28 > not atom28 :- atom6.
atom26 > not atom26 :- not atom19.
not atom26 > atom26 :- atom19.
atom3 > not atom3 :- not atom6.
atom3 > not atom3 :- atom6.
atom4 > not atom4 :- not atom3.
not atom4 > atom4 :- atom3.
not atom15 > atom15 :- not atom4.
atom15 > not atom15 :- atom4.
atom18 > not atom18 :- not atom3.
not atom18 > atom18 :- atom3.
not atom30 > atom30 :- not atom4.
not atom30 > atom30 :- atom4.
not atom37 > atom37 :- not atom3.
atom37 > not atom37 :- atom3.
not atom13 > atom13 :- not atom15.
atom13 > not atom13 :- atom15.
not atom23 > atom23 :- not atom15.
not atom23 > atom23 :- atom15.
atom7 > not atom7 :- not atom4.
atom7 > not atom7 :- atom4.
not atom32 > atom32 :- not atom3.
atom32 > not atom32 :- atom3.
not atom33 > atom33 :- not atom4.
not atom33 > atom33 :- atom4.
not atom1 > atom1 :- not atom6.
atom1 > not atom1 :- atom6.
atom8 > not atom8 :- not atom1.
atom8 > not atom8 :- atom1.
atom12 > not atom12 :- not atom6.
atom12 > not atom12 :- atom6.
atom10 > not atom10 :- not atom7.
not atom10 > atom10 :- atom7.
atom27 > not atom27 :- not atom3.
not atom27 > atom27 :- atom3.
atom38 > not atom38 :- not atom1.
atom38 > not atom38 :- atom1.
not atom24 > atom24 :- not atom1.
not atom24 > atom24 :- atom1.
atom2 > not atom2 :- not atom1.
not atom2 > atom2 :- atom1.
atom35 > not atom35 :- not atom1.
atom35 > not atom35 :- atom1.
atom17 > not atom17 :- not atom3.
not atom17 > atom17 :- atom3.
atom31 > not atom31 :- not atom1.
not atom31 > atom31 :- atom1.
not atom39 > atom39 :- not atom1.
atom39 > not atom39 :- atom1.
not atom21 > atom21 :- not atom1.
atom21 > not atom21 :- atom1.
not atom14 > atom14 :- not atom2.
atom14 > not atom14 :- atom2.
not atom22 > atom22 :- not atom4.
not atom22 > atom22 :- atom4.
atom5 > not atom5 :- not atom1.
not atom5 > atom5 :- atom1.
atom29 > not atom29 :- not atom1.
atom29 > not atom29 :- atom1.
atom9 > not atom9 :- not atom1.
atom9 > not atom9 :- atom1.
atom36 > not atom36 :- not atom1.
not atom36 > atom36 :- atom1.
atom40 > not atom40 :- not atom1.
not atom40 > atom40 :- atom1.
not atom16 > atom16 :- not atom3.
atom16 > not atom16 :- atom3.
atom11 > not atom11 :- not atom3.
atom11 > not atom11 :- atom3.
atom20 > not atom20 :- not atom3.
atom20 > not atom20 :- atom3.
