atom34 > not atom34.
atom10 > not atom10 :- not atom34.
not atom10 > atom10 :- atom34.
atom20 > not atom20 :- not atom34, atom10.
not atom20 > atom20 :- atom34, atom10.
atom27 > not atom27 :- atom10.
not atom39 > atom39 :- not atom20, atom10.
not atom39 > atom39 :- atom20, atom10.
atom13 > not atom13 :- not atom27, atom10.
atom13 > not atom13 :- atom27, atom10.
atom35 > not atom35 :- not atom27, atom10.
not atom35 > atom35 :- atom27, atom10.
not atom14 > atom14 :- not atom13, atom10.
not atom14 > atom14 :- atom13, atom10.
atom2 > not atom2 :- not atom14, atom10.
atom2 > not atom2 :- atom14, atom10.
atom8 > not atom8 :- not atom13, atom10.
atom8 > not atom8 :- atom13, atom10.
atom9 > not atom9 :- not atom2, atom10.
not atom9 > atom9 :- atom2, atom10.
not atom24 > atom24 :- not atom2, atom10.
atom24 > not atom24 :- atom2, atom10.
not atom33 > atom33 :- not atom2, atom10.
not atom33 > atom33 :- atom2, atom10.
not atom12 > atom12 :- not atom2, atom10.
atom12 > not atom12 :- atom2, atom10.
not atom28 > atom28 :- not atom8, atom10.
atom28 > not atom28 :- atom8, atom10.
atom23 > not atom23 :- not atom9, atom10.
atom23 > not atom23 :- atom9, atom10.
atom16 > not atom16 :- not atom2, atom10.
atom16 > not atom16 :- atom2, atom10.
not atom4 > atom4 :- not atom2, atom10.
atom4 > not atom4 :- atom2, atom10.
not atom7 > atom7 :- not atom2, atom10.
atom7 > not atom7 :- atom2, atom10.
not atom3 > atom3 :- not atom4, atom10.
not atom3 > atom3 :- atom4, atom10.
not atom15 > atom15 :- not atom2, atom10.
not atom15 > atom15 :- atom2, atom10.
atom21 > not atom21 :- not atom4, atom10.
atom21 > not atom21 :- atom4, atom10.
not atom1 > atom1 :- not atom3, atom10.
atom1 > not atom1 :- atom3, atom10.
not atom22 > atom22 :- not atom1, atom10.
not atom22 > atom22 :- atom1, atom10.
atom32 > not atom32 :- not atom1, atom10.
not atom32 > atom32 :- atom1, atom10.
not atom5 > atom5 :- not atom3, atom10.
not atom5 > atom5 :- atom3, atom10.
atom31 > not atom31 :- not atom1, atom10.
not atom31 > atom31 :- atom1, atom10.
atom37 > not atom37 :- not atom1, atom10.
atom37 > not atom37 :- atom1, atom10.
