not atom30 > atom30.
atom19 > not atom19 :- not atom30.
not atom17 > atom17 :- not atom30.
not atom23 > atom23 :- not atom19, not atom30.
atom23 > not atom23 :- atom19, not atom30.
atom38 > not atom38 :- not atom17, not atom30.
not atom38 > atom38 :- atom17, not atom30.
atom5 > not atom5 :- not atom17, not atom30.
not atom5 > atom5 :- atom17, not atom30.
atom31 > not atom31 :- not atom5, not atom30.
atom31 > not atom31 :- atom5, not atom30.
atom29 > not atom29 :- not atom17, not atom30.
atom29 > not atom29 :- atom17, not atom30.
not atom2 > atom2 :- not atom5, not atom30.
atom2 > not atom2 :- atom5, not atom30.
atom11 > not atom11 :- not atom2, not atom30.
not atom11 > atom11 :- atom2, not atom30.
not atom25 > atom25 :- not atom5, not atom30.
not atom25 > atom25 :- atom5, not atom30.
atom28 > not atom28 :- not atom11, not atom30.
atom28 > not atom28 :- atom11, not atom30.
atom32 > not atom32 :- not atom19, not atom30.
not atom32 > atom32 :- atom19, not atom30.
atom3 > not atom3 :- not atom17, not atom30.
not atom3 > atom3 :- atom17, not atom30.
atom6 > not atom6 :- not atom5, not atom30.
not atom6 > atom6 :- atom5, not atom30.
not atom22 > atom22 :- not atom3, not atom30.
not atom22 > atom22 :- atom3, not atom30.
atom9 > not atom9 :- not atom3, not atom30.
atom9 > not atom9 :- atom3, not atom30.
atom36 > not atom36 :- not atom3, not atom30.
atom36 > not atom36 :- atom3, not atom30.
atom15 > not atom15 :- not atom3, not atom30.
not atom15 > atom15 :- atom3, not atom30.
atom35 > not atom35 :- not atom3, not atom30.
atom35 > not atom35 :- atom3, not atom30.
not atom13 > atom13 :- not atom5, not atom30.
not atom13 > atom13 :- atom5, not atom30.
atom26 > not atom26 :- not atom6, not atom30.
not atom26 > atom26 :- atom6, not atom30.
not atom21 > atom21 :- not atom3, not atom30.
not atom21 > atom21 :- atom3, not atom30.
atom24 > not atom24 :- not atom2, not atom30.
not atom24 > atom24 :- atom2, not atom30.
not atom27 > atom27 :- not atom2, not atom30.
atom27 > not atom27 :- atom2, not atom30.
not atom14 > atom14 :- not atom5, not atom30.
not atom14 > atom14 :- atom5, not atom30.
atom4 > not atom4 :- not atom2, not atom30.
atom4 > not atom4 :- atom2, not atom30.
not atom39 > atom39 :- not atom4, not atom30.
not atom39 > atom39 :- atom4, not atom30.
not atom1 > atom1 :- not atom2, not atom30.
atom1 > not atom1 :- atom2, not atom30.
atom16 > not atom16 :- not atom2, not atom30.
not atom16 > atom16 :- atom2, not atom30.
atom40 > not atom40 :- not atom4, not atom30.
not atom40 > atom40 :- atom4, not atom30.
atom33 > not atom33 :- not atom1, not atom30.
not atom33 > atom33 :- atom1, not atom30.
not atom20 > atom20 :- not atom6, not atom30.
not atom20 > atom20 :- atom6, not atom30.
atom12 > not atom12 :- not atom1, not atom30.
not atom12 > atom12 :- atom1, not atom30.
atom7 > not atom7 :- not atom4, not atom30.
not atom7 > atom7 :- atom4, not atom30.
not atom34 > atom34 :- not atom5, not atom30.
not atom34 > atom34 :- atom5, not atom30.
not atom8 > atom8 :- not atom2, not atom30.
atom8 > not atom8 :- atom2, not atom30.
not atom18 > atom18 :- not atom1, not atom30.
not atom18 > atom18 :- atom1, not atom30.
atom10 > not atom10 :- not atom7, not atom30.
not atom10 > atom10 :- atom7, not atom30.
atom37 > not atom37 :- not atom1, not atom30.
not atom37 > atom37 :- atom1, not atom30.
atom16 > not atom16 :- atom30.
atom17 > not atom17 :- not atom16, atom30.
atom17 > not atom17 :- atom16, atom30.
not atom19 > atom19 :- not atom16, atom30.
atom19 > not atom19 :- atom16, atom30.
not atom14 > atom14 :- not atom19, atom30.
not atom14 > atom14 :- atom19, atom30.
not atom28 > atom28 :- not atom17, atom30.
atom28 > not atom28 :- atom17, atom30.
not atom38 > atom38 :- not atom14, atom30.
not atom38 > atom38 :- atom14, atom30.
not atom20 > atom20 :- not atom16, atom30.
atom20 > not atom20 :- atom16, atom30.
not atom29 > atom29 :- not atom19, atom30.
not atom29 > atom29 :- atom19, atom30.
atom9 > not atom9 :- not atom14, atom30.
not atom9 > atom9 :- atom14, atom30.
atom39 > not atom39 :- not atom14, atom30.
not atom39 > atom39 :- atom14, atom30.
atom13 > not atom13 :- not atom14, atom30.
atom13 > not atom13 :- atom14, atom30.
not atom15 > atom15 :- not atom9, atom30.
atom15 > not atom15 :- atom9, atom30.
atom3 > not atom3 :- not atom9, atom30.
not atom3 > atom3 :- atom9, atom30.
not atom4 > atom4 :- not atom9, atom30.
not atom4 > atom4 :- atom9, atom30.
atom36 > not atom36 :- not atom9, atom30.
atom36 > not atom36 :- atom9, atom30.
atom26 > not atom26 :- not atom3, atom30.
not atom26 > atom26 :- atom3, atom30.
atom37 > not atom37 :- not atom3, atom30.
not atom37 > atom37 :- atom3, atom30.
atom22 > not atom22 :- not atom3, atom30.
not atom22 > atom22 :- atom3, atom30.
atom6 > not atom6 :- not atom9, atom30.
atom6 > not atom6 :- atom9, atom30.
atom32 > not atom32 :- not atom14, atom30.
not atom32 > atom32 :- atom14, atom30.
not atom24 > atom24 :- not atom3, atom30.
not atom24 > atom24 :- atom3, atom30.
not atom18 > atom18 :- not atom3, atom30.
not atom18 > atom18 :- atom3, atom30.
atom11 > not atom11 :- not atom3, atom30.
not atom11 > atom11 :- atom3, atom30.
not atom1 > atom1 :- not atom4, atom30.
atom1 > not atom1 :- atom4, atom30.
not atom35 > atom35 :- not atom11, atom30.
atom35 > not atom35 :- atom11, atom30.
not atom33 > atom33 :- not atom4, atom30.
atom33 > not atom33 :- atom4, atom30.
atom10 > not atom10 :- not atom1, atom30.
atom10 > not atom10 :- atom1, atom30.
atom7 > not atom7 :- not atom1, atom30.
not atom7 > atom7 :- atom1, atom30.
not atom23 > atom23 :- not atom3, atom30.
not atom23 > atom23 :- atom3, atom30.
atom25 > not atom25 :- not atom3, atom30.
atom25 > not atom25 :- atom3, atom30.
not atom27 > atom27 :- not atom1, atom30.
not atom27 > atom27 :- atom1, atom30.
not atom40 > atom40 :- not atom9, atom30.
atom40 > not atom40 :- atom9, atom30.
not atom2 > atom2 :- not atom4, atom30.
not atom2 > atom2 :- atom4, atom30.
atom12 > not atom12 :- not atom1, atom30.
not atom12 > atom12 :- atom1, atom30.
atom31 > not atom31 :- not atom1, atom30.
not atom31 > atom31 :- atom1, atom30.
