atom20 > not atom20.
not atom34 > atom34 :- not atom20.
atom34 > not atom34 :- atom20.
not atom2 > atom2 :- not atom20.
atom2 > not atom2 :- atom20.
not atom21 > atom21 :- not atom20.
not atom21 > atom21 :- atom20.
atom17 > not atom17 :- not atom21.
not atom12 > atom12 :- not atom2, not atom21.
not atom12 > atom12 :- atom2, not atom21.
not atom36 > atom36 :- not atom2, not atom21.
atom36 > not atom36 :- atom2, not atom21.
not atom35 > atom35 :- not atom12, not atom21.
not atom35 > atom35 :- atom12, not atom21.
not atom31 > atom31 :- not atom12, not atom21.
atom31 > not atom31 :- atom12, not atom21.
not atom9 > atom9 :- not atom12, not atom21.
not atom9 > atom9 :- atom12, not atom21.
atom23 > not atom23 :- not atom2, not atom21.
not atom23 > atom23 :- atom2, not atom21.
not atom27 > atom27 :- not atom9, not atom21.
not atom27 > atom27 :- atom9, not atom21.
not atom40 > atom40 :- not atom2, not atom21.
not atom40 > atom40 :- atom2, not atom21.
not atom22 > atom22 :- not atom9, not atom21.
not atom22 > atom22 :- atom9, not atom21.
atom11 > not atom11 :- not atom2, not atom21.
atom11 > not atom11 :- atom2, not atom21.
not atom16 > atom16 :- not atom2, not atom21.
atom16 > not atom16 :- atom2, not atom21.
not atom18 > atom18 :- not atom12, not atom21.
atom18 > not atom18 :- atom12, not atom21.
atom7 > not atom7 :- not atom2, not atom21.
atom7 > not atom7 :- atom2, not atom21.
not atom5 > atom5 :- not atom2, not atom21.
atom5 > not atom5 :- atom2, not atom21.
not atom30 > atom30 :- not atom2, not atom21.
atom30 > not atom30 :- atom2, not atom21.
atom1 > not atom1 :- not atom5, not atom21.
atom1 > not atom1 :- atom5, not atom21.
atom13 > not atom13 :- not atom1, not atom21.
not atom13 > atom13 :- atom1, not atom21.
atom25 > not atom25 :- not atom1, not atom21.
atom25 > not atom25 :- atom1, not atom21.
atom32 > not atom32 :- not atom2, not atom21.
atom32 > not atom32 :- atom2, not atom21.
atom26 > not atom26 :- not atom2, not atom21.
atom26 > not atom26 :- atom2, not atom21.
not atom24 > atom24 :- not atom7, not atom21.
atom24 > not atom24 :- atom7, not atom21.
atom8 > not atom8 :- not atom1, not atom21.
not atom8 > atom8 :- atom1, not atom21.
not atom15 > atom15 :- not atom7, not atom21.
not atom15 > atom15 :- atom7, not atom21.
not atom14 > atom14 :- not atom1, not atom21.
not atom14 > atom14 :- atom1, not atom21.
not atom4 > atom4 :- not atom5, not atom21.
not atom4 > atom4 :- atom5, not atom21.
atom6 > not atom6 :- not atom2, not atom21.
atom6 > not atom6 :- atom2, not atom21.
atom37 > not atom37 :- not atom2, not atom21.
atom37 > not atom37 :- atom2, not atom21.
atom28 > not atom28 :- not atom1, not atom21.
not atom28 > atom28 :- atom1, not atom21.
atom38 > not atom38 :- not atom1, not atom21.
atom38 > not atom38 :- atom1, not atom21.
not atom33 > atom33 :- not atom1, not atom21.
not atom33 > atom33 :- atom1, not atom21.
atom19 > not atom19 :- not atom2, not atom21.
atom19 > not atom19 :- atom2, not atom21.
not atom3 > atom3 :- not atom5, not atom21.
atom3 > not atom3 :- atom5, not atom21.
not atom29 > atom29 :- not atom2, not atom21.
not atom29 > atom29 :- atom2, not atom21.
not atom10 > atom10 :- not atom1, not atom21.
atom10 > not atom10 :- atom1, not atom21.
atom39 > not atom39 :- not atom1, not atom21.
not atom39 > atom39 :- atom1, not atom21.
atom23 > not atom23 :- not atom2, atom21.
atom23 > not atom23 :- atom2, atom21.
not atom40 > atom40 :- not atom20, atom21.
atom40 > not atom40 :- atom20, atom21.
atom5 > not atom5 :- not atom2, atom21.
atom5 > not atom5 :- atom2, atom21.
not atom39 > atom39 :- not atom2, atom21.
not atom39 > atom39 :- atom2, atom21.
atom28 > not atom28 :- not atom2, atom21.
not atom28 > atom28 :- atom2, atom21.
not atom13 > atom13 :- not atom40, atom21.
atom13 > not atom13 :- atom40, atom21.
not atom27 > atom27 :- not atom2, atom21.
atom27 > not atom27 :- atom2, atom21.
atom3 > not atom3 :- not atom13, atom21.
atom3 > not atom3 :- atom13, atom21.
atom31 > not atom31 :- not atom23, atom21.
atom31 > not atom31 :- atom23, atom21.
not atom17 > atom17 :- not atom2, atom21.
atom17 > not atom17 :- atom2, atom21.
not atom16 > atom16 :- not atom2, atom21.
not atom16 > atom16 :- atom2, atom21.
not atom24 > atom24 :- not atom2, atom21.
not atom24 > atom24 :- atom2, atom21.
not atom29 > atom29 :- not atom13, atom21.
not atom29 > atom29 :- atom13, atom21.
not atom18 > atom18 :- not atom5, atom21.
atom18 > not atom18 :- atom5, atom21.
not atom37 > atom37 :- not atom3, atom21.
not atom37 > atom37 :- atom3, atom21.
atom33 > not atom33 :- not atom2, atom21.
atom33 > not atom33 :- atom2, atom21.
not atom22 > atom22 :- not atom3, atom21.
atom22 > not atom22 :- atom3, atom21.
not atom10 > atom10 :- not atom2, atom21.
not atom10 > atom10 :- atom2, atom21.
atom9 > not atom9 :- not atom3, atom21.
not atom9 > atom9 :- atom3, atom21.
not atom11 > atom11 :- not atom2, atom21.
atom11 > not atom11 :- atom2, atom21.
atom14 > not atom14 :- not atom2, atom21.
atom14 > not atom14 :- atom2, atom21.
atom35 > not atom35 :- not atom3, atom21.
not atom35 > atom35 :- atom3, atom21.
not atom30 > atom30 :- not atom3, atom21.
not atom30 > atom30 :- atom3, atom21.
atom36 > not atom36 :- not atom3, atom21.
not atom36 > atom36 :- atom3, atom21.
atom26 > not atom26 :- not atom3, atom21.
atom26 > not atom26 :- atom3, atom21.
atom12 > not atom12 :- not atom2, atom21.
atom12 > not atom12 :- atom2, atom21.
atom15 > not atom15 :- not atom2, atom21.
atom15 > not atom15 :- atom2, atom21.
atom8 > not atom8 :- not atom2, atom21.
atom8 > not atom8 :- atom2, atom21.
not atom1 > atom1 :- not atom3, atom21.
atom1 > not atom1 :- atom3, atom21.
atom19 > not atom19 :- not atom3, atom21.
atom19 > not atom19 :- atom3, atom21.
atom25 > not atom25 :- not atom3, atom21.
atom25 > not atom25 :- atom3, atom21.
atom6 > not atom6 :- not atom3, atom21.
atom6 > not atom6 :- atom3, atom21.
not atom38 > atom38 :- not atom3, atom21.
not atom38 > atom38 :- atom3, atom21.
not atom7 > atom7 :- not atom1, atom21.
atom7 > not atom7 :- atom1, atom21.
atom32 > not atom32 :- not atom5, atom21.
not atom32 > atom32 :- atom5, atom21.
atom4 > not atom4 :- not atom9, atom21.
atom4 > not atom4 :- atom9, atom21.
atom33 > not atom33.
atom17 > not atom17.
atom40 > not atom40 :- not atom17.
atom40 > not atom40 :- atom17.
atom6 > not atom6 :- not atom33.
not atom6 > atom6 :- atom33.
atom10 > not atom10 :- not atom6.
not atom10 > atom10 :- atom6.
not atom16 > atom16 :- not atom10.
atom16 > not atom16 :- atom10.
not atom26 > atom26 :- not atom16.
not atom26 > atom26 :- atom16.
atom30 > not atom30 :- not atom16.
not atom30 > atom30 :- atom16.
atom1 > not atom1 :- not atom16.
not atom1 > atom1 :- atom16.
atom19 > not atom19 :- not atom1.
atom19 > not atom19 :- atom1.
not atom13 > atom13 :- not atom6.
not atom13 > atom13 :- atom6.
atom31 > not atom31 :- not atom1.
atom31 > not atom31 :- atom1.
atom3 > not atom3 :- not atom10.
atom3 > not atom3 :- atom10.
not atom29 > atom29 :- not atom1.
atom29 > not atom29 :- atom1.
