not atom10 > atom10.
not atom7 > atom7 :- not atom10.
not atom7 > atom7 :- atom10.
atom18 > not atom18 :- not atom10, not atom7.
atom18 > not atom18 :- atom10, not atom7.
atom19 > not atom19 :- not atom7.
atom12 > not atom12 :- not atom18, not atom7.
not atom12 > atom12 :- atom18, not atom7.
atom14 > not atom14 :- not atom12, not atom7.
not atom14 > atom14 :- atom12, not atom7.
atom23 > not atom23 :- not atom12, not atom7.
not atom23 > atom23 :- atom12, not atom7.
atom31 > not atom31 :- not atom10, not atom7.
not atom31 > atom31 :- atom10, not atom7.
not atom3 > atom3 :- not atom10, not atom7.
not atom3 > atom3 :- atom10, not atom7.
atom9 > not atom9 :- not atom18, not atom7.
atom9 > not atom9 :- atom18, not atom7.
atom33 > not atom33 :- not atom3, not atom7.
atom33 > not atom33 :- atom3, not atom7.
not atom26 > atom26 :- not atom12, not atom7.
atom26 > not atom26 :- atom12, not atom7.
atom8 > not atom8 :- not atom9, not atom7.
atom8 > not atom8 :- atom9, not atom7.
not atom30 > atom30 :- not atom3, not atom7.
atom30 > not atom30 :- atom3, not atom7.
not atom25 > atom25 :- not atom3, not atom7.
atom25 > not atom25 :- atom3, not atom7.
not atom37 > atom37 :- not atom8, not atom7.
atom37 > not atom37 :- atom8, not atom7.
not atom29 > atom29 :- not atom3, not atom7.
atom29 > not atom29 :- atom3, not atom7.
atom11 > not atom11 :- not atom3, not atom7.
not atom11 > atom11 :- atom3, not atom7.
not atom13 > atom13 :- not atom3, not atom7.
not atom13 > atom13 :- atom3, not atom7.
atom22 > not atom22 :- not atom8, not atom7.
atom22 > not atom22 :- atom8, not atom7.
not atom35 > atom35 :- not atom3, not atom7.
not atom35 > atom35 :- atom3, not atom7.
atom17 > not atom17 :- not atom3, not atom7.
not atom17 > atom17 :- atom3, not atom7.
not atom34 > atom34 :- not atom3, not atom7.
not atom34 > atom34 :- atom3, not atom7.
atom28 > not atom28 :- not atom9, not atom7.
atom28 > not atom28 :- atom9, not atom7.
atom2 > not atom2 :- not atom11, not atom7.
atom2 > not atom2 :- atom11, not atom7.
atom1 > not atom1 :- not atom2, not atom7.
not atom1 > atom1 :- atom2, not atom7.
not atom16 > atom16 :- not atom1, not atom7.
atom16 > not atom16 :- atom1, not atom7.
not atom15 > atom15 :- not atom2, not atom7.
atom15 > not atom15 :- atom2, not atom7.
not atom4 > atom4 :- not atom1, not atom7.
atom4 > not atom4 :- atom1, not atom7.
atom5 > not atom5 :- not atom1, not atom7.
not atom5 > atom5 :- atom1, not atom7.
atom40 > not atom40 :- not atom4, not atom7.
atom40 > not atom40 :- atom4, not atom7.
atom20 > not atom20 :- not atom1, not atom7.
atom20 > not atom20 :- atom1, not atom7.
not atom24 > atom24 :- not atom2, not atom7.
atom24 > not atom24 :- atom2, not atom7.
not atom38 > atom38 :- not atom1, not atom7.
atom38 > not atom38 :- atom1, not atom7.
atom27 > not atom27 :- not atom3, not atom7.
not atom27 > atom27 :- atom3, not atom7.
atom39 > not atom39 :- not atom3, not atom7.
atom39 > not atom39 :- atom3, not atom7.
atom32 > not atom32 :- not atom1, not atom7.
atom32 > not atom32 :- atom1, not atom7.
not atom21 > atom21 :- not atom1, not atom7.
not atom21 > atom21 :- atom1, not atom7.
not atom36 > atom36 :- not atom2, not atom7.
atom36 > not atom36 :- atom2, not atom7.
atom6 > not atom6 :- not atom2, not atom7.
not atom6 > atom6 :- atom2, not atom7.
not atom37 > atom37 :- not atom10, atom7.
not atom37 > atom37 :- atom10, atom7.
not atom26 > atom26 :- atom7.
not atom3 > atom3 :- not atom26, atom7.
atom3 > not atom3 :- atom26, atom7.
not atom22 > atom22 :- not atom10, atom7.
not atom22 > atom22 :- atom10, atom7.
not atom39 > atom39 :- not atom3, atom7.
atom39 > not atom39 :- atom3, atom7.
atom25 > not atom25 :- not atom37, atom7.
not atom25 > atom25 :- atom37, atom7.
atom30 > not atom30 :- not atom3, atom7.
not atom30 > atom30 :- atom3, atom7.
not atom13 > atom13 :- not atom3, atom7.
not atom13 > atom13 :- atom3, atom7.
not atom15 > atom15 :- not atom10, atom7.
not atom15 > atom15 :- atom10, atom7.
atom29 > not atom29 :- not atom22, atom7.
not atom29 > atom29 :- atom22, atom7.
not atom38 > atom38 :- not atom3, atom7.
not atom38 > atom38 :- atom3, atom7.
atom14 > not atom14 :- not atom13, atom7.
atom14 > not atom14 :- atom13, atom7.
not atom2 > atom2 :- not atom3, atom7.
not atom2 > atom2 :- atom3, atom7.
not atom35 > atom35 :- not atom2, atom7.
