not atom8 > atom8.
atom25 > not atom25 :- not atom8.
not atom38 > atom38 :- not atom25, not atom8.
not atom38 > atom38 :- atom25, not atom8.
atom5 > not atom5 :- not atom25, not atom8.
atom5 > not atom5 :- atom25, not atom8.
atom16 > not atom16 :- not atom5, not atom8.
not atom16 > atom16 :- atom5, not atom8.
not atom27 > atom27 :- not atom5, not atom8.
not atom27 > atom27 :- atom5, not atom8.
not atom31 > atom31 :- not atom5, not atom8.
not atom31 > atom31 :- atom5, not atom8.
atom32 > not atom32 :- not atom5, not atom8.
not atom32 > atom32 :- atom5, not atom8.
not atom9 > atom9 :- not atom16, not atom8.
not atom9 > atom9 :- atom16, not atom8.
atom28 > not atom28 :- not atom5, not atom8.
not atom28 > atom28 :- atom5, not atom8.
atom23 > not atom23 :- not atom5, not atom8.
not atom23 > atom23 :- atom5, not atom8.
not atom20 > atom20 :- not atom16, not atom8.
atom20 > not atom20 :- atom16, not atom8.
atom10 > not atom10 :- not atom5, not atom8.
not atom10 > atom10 :- atom5, not atom8.
not atom14 > atom14 :- not atom5, not atom8.
atom14 > not atom14 :- atom5, not atom8.
not atom24 > atom24 :- not atom9, not atom8.
atom24 > not atom24 :- atom9, not atom8.
not atom3 > atom3 :- not atom5, not atom8.
not atom3 > atom3 :- atom5, not atom8.
not atom36 > atom36 :- not atom5, not atom8.
not atom36 > atom36 :- atom5, not atom8.
atom15 > not atom15 :- not atom3, not atom8.
not atom15 > atom15 :- atom3, not atom8.
not atom7 > atom7 :- not atom3, not atom8.
atom7 > not atom7 :- atom3, not atom8.
not atom30 > atom30 :- not atom3, not atom8.
not atom30 > atom30 :- atom3, not atom8.
atom21 > not atom21 :- not atom3, not atom8.
atom21 > not atom21 :- atom3, not atom8.
atom39 > not atom39 :- not atom14, not atom8.
not atom39 > atom39 :- atom14, not atom8.
not atom2 > atom2 :- not atom15, not atom8.
atom2 > not atom2 :- atom15, not atom8.
not atom19 > atom19 :- not atom2, not atom8.
atom19 > not atom19 :- atom2, not atom8.
atom1 > not atom1 :- not atom3, not atom8.
atom1 > not atom1 :- atom3, not atom8.
not atom22 > atom22 :- not atom1, not atom8.
atom22 > not atom22 :- atom1, not atom8.
not atom40 > atom40 :- not atom1, not atom8.
not atom40 > atom40 :- atom1, not atom8.
not atom4 > atom4 :- not atom1, not atom8.
not atom4 > atom4 :- atom1, not atom8.
atom17 > not atom17 :- not atom1, not atom8.
not atom17 > atom17 :- atom1, not atom8.
atom13 > not atom13 :- not atom1, not atom8.
atom13 > not atom13 :- atom1, not atom8.
not atom18 > atom18 :- not atom1, not atom8.
not atom18 > atom18 :- atom1, not atom8.
not atom34 > atom34 :- not atom1, not atom8.
atom34 > not atom34 :- atom1, not atom8.
atom37 > not atom37 :- not atom3, not atom8.
not atom37 > atom37 :- atom3, not atom8.
atom33 > not atom33 :- not atom2, not atom8.
not atom33 > atom33 :- atom2, not atom8.
not atom12 > atom12 :- not atom4, not atom8.
atom12 > not atom12 :- atom4, not atom8.
not atom29 > atom29 :- not atom7, not atom8.
atom29 > not atom29 :- atom7, not atom8.
atom6 > not atom6 :- not atom3, not atom8.
not atom6 > atom6 :- atom3, not atom8.
atom11 > not atom11 :- not atom4, not atom8.
not atom11 > atom11 :- atom4, not atom8.
not atom26 > atom26 :- not atom2, not atom8.
atom26 > not atom26 :- atom2, not atom8.
atom35 > not atom35 :- not atom1, not atom8.
not atom35 > atom35 :- atom1, not atom8.
atom18 > not atom18 :- atom8.
atom4 > not atom4 :- atom8.
not atom31 > atom31 :- not atom4, atom8.
atom31 > not atom31 :- atom4, atom8.
atom20 > not atom20 :- not atom18, atom8.
atom20 > not atom20 :- atom18, atom8.
atom2 > not atom2 :- not atom18, atom8.
not atom2 > atom2 :- atom18, atom8.
not atom35 > atom35 :- not atom31, atom8.
atom35 > not atom35 :- atom31, atom8.
atom29 > not atom29 :- not atom4, atom8.
not atom29 > atom29 :- atom4, atom8.
not atom5 > atom5 :- not atom18, atom8.
atom5 > not atom5 :- atom18, atom8.
not atom28 > atom28 :- not atom5, atom8.
not atom28 > atom28 :- atom5, atom8.
atom23 > not atom23 :- not atom2, atom8.
atom23 > not atom23 :- atom2, atom8.
atom17 > not atom17 :- not atom2, atom8.
atom17 > not atom17 :- atom2, atom8.
atom39 > not atom39 :- not atom2, atom8.
atom39 > not atom39 :- atom2, atom8.
atom26 > not atom26 :- not atom5, atom8.
atom26 > not atom26 :- atom5, atom8.
not atom15 > atom15 :- not atom4, atom8.
atom15 > not atom15 :- atom4, atom8.
not atom13 > atom13 :- not atom2, atom8.
atom13 > not atom13 :- atom2, atom8.
not atom34 > atom34 :- not atom2, atom8.
atom34 > not atom34 :- atom2, atom8.
not atom6 > atom6 :- not atom4, atom8.
not atom6 > atom6 :- atom4, atom8.
not atom33 > atom33 :- not atom2, atom8.
not atom33 > atom33 :- atom2, atom8.
not atom27 > atom27 :- not atom2, atom8.
not atom27 > atom27 :- atom2, atom8.
atom14 > not atom14 :- not atom2, atom8.
not atom14 > atom14 :- atom2, atom8.
not atom9 > atom9 :- not atom2, atom8.
atom9 > not atom9 :- atom2, atom8.
atom36 > not atom36 :- not atom5, atom8.
not atom36 > atom36 :- atom5, atom8.
atom24 > not atom24 :- not atom4, atom8.
not atom24 > atom24 :- atom4, atom8.
atom38 > not atom38 :- not atom2, atom8.
not atom38 > atom38 :- atom2, atom8.
atom19 > not atom19 :- not atom5, atom8.
atom19 > not atom19 :- atom5, atom8.
not atom10 > atom10 :- not atom2, atom8.
not atom10 > atom10 :- atom2, atom8.
atom32 > not atom32 :- not atom4, atom8.
atom32 > not atom32 :- atom4, atom8.
atom3 > not atom3 :- not atom2, atom8.
not atom3 > atom3 :- atom2, atom8.
not atom16 > atom16 :- not atom3, atom8.
atom16 > not atom16 :- atom3, atom8.
not atom7 > atom7 :- not atom6, atom8.
atom7 > not atom7 :- atom6, atom8.
not atom22 > atom22 :- not atom2, atom8.
not atom22 > atom22 :- atom2, atom8.
atom30 > not atom30 :- not atom2, atom8.
atom30 > not atom30 :- atom2, atom8.
atom40 > not atom40 :- not atom2, atom8.
atom40 > not atom40 :- atom2, atom8.
atom21 > not atom21 :- not atom2, atom8.
atom21 > not atom21 :- atom2, atom8.
not atom25 > atom25 :- not atom2, atom8.
atom25 > not atom25 :- atom2, atom8.
atom12 > not atom12 :- not atom2, atom8.
atom12 > not atom12 :- atom2, atom8.
atom11 > not atom11 :- not atom2, atom8.
not atom11 > atom11 :- atom2, atom8.
not atom1 > atom1 :- not atom4, atom8.
atom1 > not atom1 :- atom4, atom8.
not atom37 > atom37 :- not atom1, atom8.
not atom37 > atom37 :- atom1, atom8.
not atom5 > atom5.
atom11 > not atom11 :- not atom5.
not atom11 > atom11 :- atom5.
