not atom36 > atom36.
not atom22 > atom22 :- atom36.
not atom25 > atom25 :- atom36.
atom39 > not atom39 :- not atom22, atom36.
not atom39 > atom39 :- atom22, atom36.
atom7 > not atom7 :- not atom25, atom36.
not atom7 > atom7 :- atom25, atom36.
not atom23 > atom23 :- atom36.
atom34 > not atom34 :- not atom23, atom36.
atom34 > not atom34 :- atom23, atom36.
not atom12 > atom12 :- not atom7, atom36.
atom12 > not atom12 :- atom7, atom36.
not atom11 > atom11 :- not atom22, atom36.
atom11 > not atom11 :- atom22, atom36.
atom1 > not atom1 :- not atom11, atom36.
not atom1 > atom1 :- atom11, atom36.
atom19 > not atom19 :- not atom7, atom36.
not atom19 > atom19 :- atom7, atom36.
not atom3 > atom3 :- not atom1, atom36.
atom3 > not atom3 :- atom1, atom36.
not atom33 > atom33 :- not atom11, atom36.
atom33 > not atom33 :- atom11, atom36.
atom29 > not atom29 :- not atom3, atom36.
not atom29 > atom29 :- atom3, atom36.
atom5 > not atom5 :- not atom3, atom36.
not atom5 > atom5 :- atom3, atom36.
not atom14 > atom14 :- not atom1, atom36.
atom14 > not atom14 :- atom1, atom36.
not atom38 > atom38 :- not atom1, atom36.
atom38 > not atom38 :- atom1, atom36.
atom24 > not atom24 :- not atom1, atom36.
atom24 > not atom24 :- atom1, atom36.
atom4 > not atom4 :- not atom1, atom36.
atom4 > not atom4 :- atom1, atom36.
atom2 > not atom2 :- not atom1, atom36.
not atom2 > atom2 :- atom1, atom36.
atom31 > not atom31 :- not atom4, atom36.
not atom31 > atom31 :- atom4, atom36.
not atom10 > atom10 :- not atom1, atom36.
atom10 > not atom10 :- atom1, atom36.
atom18 > not atom18 :- not atom2, atom36.
not atom18 > atom18 :- atom2, atom36.
atom20 > not atom20 :- not atom1, atom36.
atom20 > not atom20 :- atom1, atom36.
not atom9 > atom9 :- not atom1, atom36.
atom9 > not atom9 :- atom1, atom36.
atom30 > not atom30 :- not atom3, atom36.
atom30 > not atom30 :- atom3, atom36.
not atom15 > atom15 :- not atom1, atom36.
atom15 > not atom15 :- atom1, atom36.
not atom28 > atom28 :- not atom2, atom36.
atom28 > not atom28 :- atom2, atom36.
not atom35 > atom35 :- not atom1, atom36.
atom35 > not atom35 :- atom1, atom36.
not atom26 > atom26 :- not atom1, atom36.
atom26 > not atom26 :- atom1, atom36.
atom27 > not atom27 :- not atom1, atom36.
atom27 > not atom27 :- atom1, atom36.
atom16 > not atom16 :- not atom1, atom36.
atom16 > not atom16 :- atom1, atom36.
atom13 > not atom13 :- not atom2, atom36.
atom13 > not atom13 :- atom2, atom36.
atom6 > not atom6 :- not atom2, atom36.
atom6 > not atom6 :- atom2, atom36.
not atom17 > atom17 :- not atom3, atom36.
not atom17 > atom17 :- atom3, atom36.
not atom37 > atom37 :- not atom1, atom36.
not atom37 > atom37 :- atom1, atom36.
not atom40 > atom40 :- not atom3, atom36.
atom40 > not atom40 :- atom3, atom36.
atom21 > not atom21 :- not atom1, atom36.
not atom21 > atom21 :- atom1, atom36.
not atom8 > atom8 :- not atom3, atom36.
not atom8 > atom8 :- atom3, atom36.
atom32 > not atom32 :- not atom1, atom36.
not atom32 > atom32 :- atom1, atom36.
atom32 > not atom32 :- not atom36.
not atom28 > atom28 :- not atom36.
atom3 > not atom3 :- not atom28, not atom36.
not atom3 > atom3 :- atom28, not atom36.
atom39 > not atom39 :- not atom3, not atom36.
atom39 > not atom39 :- atom3, not atom36.
not atom29 > atom29 :- not atom3, not atom36.
not atom29 > atom29 :- atom3, not atom36.
not atom26 > atom26 :- not atom32, not atom36.
not atom26 > atom26 :- atom32, not atom36.
atom33 > not atom33 :- not atom3, not atom36.
atom33 > not atom33 :- atom3, not atom36.
not atom18 > atom18 :- not atom3, not atom36.
not atom18 > atom18 :- atom3, not atom36.
atom22 > not atom22 :- not atom29, not atom36.
not atom22 > atom22 :- atom29, not atom36.
not atom19 > atom19 :- not atom18, not atom36.
not atom19 > atom19 :- atom18, not atom36.
not atom27 > atom27 :- not atom18, not atom36.
atom27 > not atom27 :- atom18, not atom36.
atom37 > not atom37 :- not atom18, not atom36.
atom37 > not atom37 :- atom18, not atom36.
atom13 > not atom13 :- not atom18, not atom36.
not atom13 > atom13 :- atom18, not atom36.
atom12 > not atom12 :- not atom3, not atom36.
not atom12 > atom12 :- atom3, not atom36.
not atom10 > atom10 :- not atom12, not atom36.
atom10 > not atom10 :- atom12, not atom36.
atom23 > not atom23 :- not atom12, not atom36.
atom23 > not atom23 :- atom12, not atom36.
atom9 > not atom9 :- not atom13, not atom36.
atom9 > not atom9 :- atom13, not atom36.
atom20 > not atom20 :- not atom3, not atom36.
atom20 > not atom20 :- atom3, not atom36.
not atom17 > atom17 :- not atom10, not atom36.
atom17 > not atom17 :- atom10, not atom36.
not atom2 > atom2 :- not atom3, not atom36.
atom2 > not atom2 :- atom3, not atom36.
not atom38 > atom38 :- not atom2, not atom36.
atom38 > not atom38 :- atom2, not atom36.
not atom5 > atom5 :- not atom3, not atom36.
not atom5 > atom5 :- atom3, not atom36.
atom31 > not atom31 :- not atom2, not atom36.
not atom31 > atom31 :- atom2, not atom36.
not atom25 > atom25 :- not atom2, not atom36.
atom25 > not atom25 :- atom2, not atom36.
atom24 > not atom24 :- not atom2, not atom36.
atom24 > not atom24 :- atom2, not atom36.
atom30 > not atom30 :- not atom3, not atom36.
atom30 > not atom30 :- atom3, not atom36.
atom7 > not atom7 :- not atom3, not atom36.
atom7 > not atom7 :- atom3, not atom36.
not atom11 > atom11 :- not atom3, not atom36.
atom11 > not atom11 :- atom3, not atom36.
atom21 > not atom21 :- not atom2, not atom36.
not atom21 > atom21 :- atom2, not atom36.
atom8 > not atom8 :- not atom2, not atom36.
not atom8 > atom8 :- atom2, not atom36.
not atom40 > atom40 :- not atom3, not atom36.
not atom40 > atom40 :- atom3, not atom36.
not atom6 > atom6 :- not atom2, not atom36.
atom6 > not atom6 :- atom2, not atom36.
atom1 > not atom1 :- not atom5, not atom36.
atom1 > not atom1 :- atom5, not atom36.
not atom14 > atom14 :- not atom2, not atom36.
atom14 > not atom14 :- atom2, not atom36.
atom15 > not atom15 :- not atom2, not atom36.
not atom15 > atom15 :- atom2, not atom36.
atom4 > not atom4 :- not atom7, not atom36.
atom4 > not atom4 :- atom7, not atom36.
atom16 > not atom16 :- not atom2, not atom36.
atom16 > not atom16 :- atom2, not atom36.
atom34 > not atom34 :- not atom1, not atom36.
not atom34 > atom34 :- atom1, not atom36.
not atom35 > atom35 :- not atom1, not atom36.
not atom35 > atom35 :- atom1, not atom36.
atom36 > not atom36.
atom28 > not atom28 :- not atom36.
not atom28 > atom28 :- atom36.
atom21 > not atom21 :- not atom36.
atom21 > not atom21 :- atom36.
not atom35 > atom35 :- not atom28.
atom35 > not atom35 :- atom28.
not atom6 > atom6 :- not atom28.
atom6 > not atom6 :- atom28.
atom9 > not atom9 :- not atom6.
not atom9 > atom9 :- atom6.
not atom16 > atom16 :- not atom6.
atom16 > not atom16 :- atom6.
atom17 > not atom17 :- not atom6.
atom17 > not atom17 :- atom6.
atom5 > not atom5 :- not atom6.
not atom5 > atom5 :- atom6.
atom18 > not atom18 :- not atom6.
atom18 > not atom18 :- atom6.
atom33 > not atom33 :- not atom17.
not atom33 > atom33 :- atom17.
not atom10 > atom10 :- not atom5.
not atom10 > atom10 :- atom5.
not atom31 > atom31 :- not atom6.
not atom31 > atom31 :- atom6.
not atom22 > atom22 :- not atom6.
not atom22 > atom22 :- atom6.
atom27 > not atom27 :- not atom5.
atom27 > not atom27 :- atom5.
not atom7 > atom7 :- not atom6.
not atom7 > atom7 :- atom6.
atom12 > not atom12 :- not atom5.
atom12 > not atom12 :- atom5.
atom30 > not atom30 :- not atom6.
atom30 > not atom30 :- atom6.
atom32 > not atom32 :- not atom6.
not atom32 > atom32 :- atom6.
atom1 > not atom1 :- not atom7.
atom1 > not atom1 :- atom7.
atom2 > not atom2 :- not atom1.
atom2 > not atom2 :- atom1.
atom11 > not atom11 :- not atom1.
atom11 > not atom11 :- atom1.
not atom39 > atom39 :- not atom2.
not atom39 > atom39 :- atom2.
not atom26 > atom26 :- not atom1.
not atom26 > atom26 :- atom1.
not atom4 > atom4 :- not atom2.
not atom4 > atom4 :- atom2.
atom24 > not atom24 :- not atom1.
not atom24 > atom24 :- atom1.
not atom13 > atom13 :- not atom6.
atom13 > not atom13 :- atom6.
atom34 > not atom34 :- not atom1.
atom34 > not atom34 :- atom1.
atom40 > not atom40 :- not atom5.
not atom40 > atom40 :- atom5.
not atom29 > atom29 :- not atom1.
atom29 > not atom29 :- atom1.
not atom3 > atom3 :- not atom1.
atom3 > not atom3 :- atom1.
not atom37 > atom37 :- not atom1.
atom37 > not atom37 :- atom1.
not atom14 > atom14 :- not atom1.
not atom14 > atom14 :- atom1.
not atom19 > atom19 :- not atom2.
not atom19 > atom19 :- atom2.
atom25 > not atom25 :- not atom7.
atom25 > not atom25 :- atom7.
atom20 > not atom20 :- not atom1.
atom20 > not atom20 :- atom1.
not atom8 > atom8 :- not atom4.
not atom8 > atom8 :- atom4.
not atom23 > atom23 :- not atom1.
atom23 > not atom23 :- atom1.
not atom15 > atom15 :- not atom1.
not atom15 > atom15 :- atom1.
not atom38 > atom38 :- not atom5.
not atom38 > atom38 :- atom5.
