atom12 > not atom12.
not atom38 > atom38.
atom6 > not atom6.
not atom22 > atom22 :- not atom38.
not atom22 > atom22 :- atom38.
atom17 > not atom17 :- atom22.
not atom14 > atom14 :- not atom6, atom22.
not atom14 > atom14 :- atom6, atom22.
atom5 > not atom5 :- not atom17, atom22.
atom5 > not atom5 :- atom17, atom22.
atom34 > not atom34 :- not atom6, atom22.
not atom34 > atom34 :- atom6, atom22.
atom11 > not atom11 :- not atom5, atom22.
atom11 > not atom11 :- atom5, atom22.
atom1 > not atom1 :- not atom11, atom22.
atom1 > not atom1 :- atom11, atom22.
not atom36 > atom36 :- not atom6, atom22.
atom36 > not atom36 :- atom6, atom22.
not atom4 > atom4 :- not atom6, atom22.
atom4 > not atom4 :- atom6, atom22.
atom7 > not atom7 :- not atom4, atom22.
not atom7 > atom7 :- atom4, atom22.
not atom26 > atom26 :- not atom4, atom22.
atom26 > not atom26 :- atom4, atom22.
atom2 > not atom2 :- not atom1, atom22.
atom2 > not atom2 :- atom1, atom22.
atom40 > not atom40 :- not atom1, atom22.
not atom40 > atom40 :- atom1, atom22.
not atom35 > atom35 :- not atom1, atom22.
atom35 > not atom35 :- atom1, atom22.
atom19 > not atom19 :- not atom2, atom22.
not atom19 > atom19 :- atom2, atom22.
atom29 > not atom29 :- not atom2, atom22.
not atom29 > atom29 :- atom2, atom22.
atom27 > not atom27 :- not atom2, atom22.
atom27 > not atom27 :- atom2, atom22.
not atom37 > atom37 :- not atom1, atom22.
atom37 > not atom37 :- atom1, atom22.
not atom33 > atom33 :- not atom2, atom22.
not atom33 > atom33 :- atom2, atom22.
not atom8 > atom8 :- not atom1, atom22.
not atom8 > atom8 :- atom1, atom22.
atom24 > not atom24 :- not atom1, atom22.
atom24 > not atom24 :- atom1, atom22.
atom16 > not atom16 :- not atom1, atom22.
not atom16 > atom16 :- atom1, atom22.
atom28 > not atom28 :- not atom2, atom22.
not atom28 > atom28 :- atom2, atom22.
not atom15 > atom15 :- not atom2, atom22.
not atom15 > atom15 :- atom2, atom22.
atom20 > not atom20 :- not atom1, atom22.
atom20 > not atom20 :- atom1, atom22.
not atom31 > atom31 :- not atom5, atom22.
not atom31 > atom31 :- atom5, atom22.
atom32 > not atom32 :- not atom1, atom22.
atom32 > not atom32 :- atom1, atom22.
not atom18 > atom18 :- not atom2, atom22.
atom18 > not atom18 :- atom2, atom22.
atom10 > not atom10 :- not atom2, atom22.
atom10 > not atom10 :- atom2, atom22.
not atom23 > atom23 :- not atom1, atom22.
atom23 > not atom23 :- atom1, atom22.
not atom39 > atom39 :- not atom1, atom22.
not atom39 > atom39 :- atom1, atom22.
atom30 > not atom30 :- not atom2, atom22.
atom30 > not atom30 :- atom2, atom22.
atom21 > not atom21 :- not atom1, atom22.
atom21 > not atom21 :- atom1, atom22.
atom13 > not atom13 :- not atom10, atom22.
atom13 > not atom13 :- atom10, atom22.
atom3 > not atom3 :- not atom2, atom22.
atom3 > not atom3 :- atom2, atom22.
not atom9 > atom9 :- not atom1, atom22.
atom9 > not atom9 :- atom1, atom22.
not atom25 > atom25 :- not atom1, atom22.
atom25 > not atom25 :- atom1, atom22.
not atom10 > atom10 :- not atom22.
not atom9 > atom9 :- not atom12, not atom22.
