atom8 > not atom8.
atom36 > not atom36 :- atom8.
not atom38 > atom38 :- not atom36, atom8.
not atom38 > atom38 :- atom36, atom8.
not atom30 > atom30 :- not atom36, atom8.
atom30 > not atom30 :- atom36, atom8.
not atom24 > atom24 :- atom8.
not atom3 > atom3 :- not atom30, atom8.
atom3 > not atom3 :- atom30, atom8.
atom7 > not atom7 :- not atom36, atom8.
not atom7 > atom7 :- atom36, atom8.
not atom37 > atom37 :- not atom3, atom8.
not atom37 > atom37 :- atom3, atom8.
not atom31 > atom31 :- not atom3, atom8.
atom31 > not atom31 :- atom3, atom8.
atom12 > not atom12 :- not atom3, atom8.
atom12 > not atom12 :- atom3, atom8.
atom13 > not atom13 :- not atom7, atom8.
atom13 > not atom13 :- atom7, atom8.
not atom29 > atom29 :- not atom3, atom8.
not atom29 > atom29 :- atom3, atom8.
atom4 > not atom4 :- not atom3, atom8.
atom4 > not atom4 :- atom3, atom8.
not atom17 > atom17 :- not atom3, atom8.
not atom17 > atom17 :- atom3, atom8.
atom18 > not atom18 :- not atom17, atom8.
atom18 > not atom18 :- atom17, atom8.
atom19 > not atom19 :- not atom3, atom8.
atom19 > not atom19 :- atom3, atom8.
atom22 > not atom22 :- not atom7, atom8.
not atom22 > atom22 :- atom7, atom8.
not atom20 > atom20 :- not atom4, atom8.
not atom20 > atom20 :- atom4, atom8.
not atom15 > atom15 :- not atom4, atom8.
not atom15 > atom15 :- atom4, atom8.
not atom5 > atom5 :- not atom3, atom8.
not atom5 > atom5 :- atom3, atom8.
not atom33 > atom33 :- not atom7, atom8.
atom33 > not atom33 :- atom7, atom8.
not atom6 > atom6 :- not atom4, atom8.
not atom6 > atom6 :- atom4, atom8.
not atom23 > atom23 :- not atom4, atom8.
atom23 > not atom23 :- atom4, atom8.
atom39 > not atom39 :- not atom3, atom8.
not atom39 > atom39 :- atom3, atom8.
atom16 > not atom16 :- not atom5, atom8.
atom16 > not atom16 :- atom5, atom8.
atom1 > not atom1 :- not atom4, atom8.
atom1 > not atom1 :- atom4, atom8.
atom26 > not atom26 :- not atom1, atom8.
not atom26 > atom26 :- atom1, atom8.
not atom21 > atom21 :- not atom3, atom8.
not atom21 > atom21 :- atom3, atom8.
not atom32 > atom32 :- not atom5, atom8.
not atom32 > atom32 :- atom5, atom8.
atom11 > not atom11 :- not atom3, atom8.
atom11 > not atom11 :- atom3, atom8.
atom34 > not atom34 :- not atom1, atom8.
not atom34 > atom34 :- atom1, atom8.
atom27 > not atom27 :- not atom3, atom8.
not atom27 > atom27 :- atom3, atom8.
not atom10 > atom10 :- not atom3, atom8.
atom10 > not atom10 :- atom3, atom8.
not atom9 > atom9 :- not atom3, atom8.
atom9 > not atom9 :- atom3, atom8.
atom40 > not atom40 :- not atom1, atom8.
atom40 > not atom40 :- atom1, atom8.
atom35 > not atom35 :- not atom1, atom8.
not atom35 > atom35 :- atom1, atom8.
atom2 > not atom2 :- not atom5, atom8.
atom2 > not atom2 :- atom5, atom8.
not atom28 > atom28 :- not atom1, atom8.
atom28 > not atom28 :- atom1, atom8.
