not atom40 > atom40.
not atom33 > atom33.
not atom21 > atom21 :- not atom40, not atom33.
not atom21 > atom21 :- atom40, not atom33.
not atom31 > atom31 :- not atom21, not atom33.
not atom31 > atom31 :- atom21, not atom33.
atom37 > not atom37 :- not atom31, not atom33.
atom37 > not atom37 :- atom31, not atom33.
atom39 > not atom39 :- not atom37, not atom33.
not atom39 > atom39 :- atom37, not atom33.
atom3 > not atom3 :- not atom31, not atom33.
not atom3 > atom3 :- atom31, not atom33.
not atom36 > atom36 :- not atom21, not atom33.
not atom36 > atom36 :- atom21, not atom33.
not atom2 > atom2 :- not atom3, not atom33.
not atom2 > atom2 :- atom3, not atom33.
not atom1 > atom1 :- not atom2, not atom33.
atom1 > not atom1 :- atom2, not atom33.
not atom17 > atom17 :- not atom3, not atom33.
atom17 > not atom17 :- atom3, not atom33.
not atom34 > atom34 :- not atom2, not atom33.
atom34 > not atom34 :- atom2, not atom33.
atom5 > not atom5 :- not atom2, not atom33.
atom5 > not atom5 :- atom2, not atom33.
atom11 > not atom11 :- not atom2, not atom33.
not atom11 > atom11 :- atom2, not atom33.
atom20 > not atom20 :- not atom3, not atom33.
atom20 > not atom20 :- atom3, not atom33.
atom8 > not atom8 :- not atom1, not atom33.
not atom8 > atom8 :- atom1, not atom33.
atom4 > not atom4 :- not atom5, not atom33.
atom4 > not atom4 :- atom5, not atom33.
not atom9 > atom9 :- not atom2, not atom33.
not atom9 > atom9 :- atom2, not atom33.
atom22 > not atom22 :- not atom1, not atom33.
atom22 > not atom22 :- atom1, not atom33.
not atom38 > atom38 :- not atom1, not atom33.
atom38 > not atom38 :- atom1, not atom33.
not atom25 > atom25 :- not atom1, not atom33.
atom25 > not atom25 :- atom1, not atom33.
atom16 > not atom16 :- not atom2, not atom33.
not atom16 > atom16 :- atom2, not atom33.
not atom19 > atom19 :- not atom4, not atom33.
atom19 > not atom19 :- atom4, not atom33.
not atom32 > atom32 :- not atom1, not atom33.
atom32 > not atom32 :- atom1, not atom33.
not atom14 > atom14 :- not atom1, not atom33.
atom14 > not atom14 :- atom1, not atom33.
not atom10 > atom10 :- not atom5, not atom33.
atom10 > not atom10 :- atom5, not atom33.
atom18 > not atom18 :- not atom10, not atom33.
atom18 > not atom18 :- atom10, not atom33.
not atom24 > atom24 :- not atom3, not atom33.
atom24 > not atom24 :- atom3, not atom33.
not atom26 > atom26 :- not atom3, not atom33.
not atom26 > atom26 :- atom3, not atom33.
atom29 > not atom29 :- not atom4, not atom33.
not atom29 > atom29 :- atom4, not atom33.
not atom6 > atom6 :- not atom2, not atom33.
not atom6 > atom6 :- atom2, not atom33.
not atom15 > atom15 :- not atom1, not atom33.
atom15 > not atom15 :- atom1, not atom33.
not atom13 > atom13 :- not atom5, not atom33.
atom13 > not atom13 :- atom5, not atom33.
not atom28 > atom28 :- not atom1, not atom33.
not atom28 > atom28 :- atom1, not atom33.
atom30 > not atom30 :- not atom2, not atom33.
