not atom3 > atom3.
atom29 > not atom29 :- atom3.
atom18 > not atom18 :- atom3.
atom2 > not atom2 :- not atom18, atom3.
not atom2 > atom2 :- atom18, atom3.
not atom9 > atom9 :- not atom2, atom3.
not atom9 > atom9 :- atom2, atom3.
atom22 > not atom22 :- not atom2, atom3.
not atom22 > atom22 :- atom2, atom3.
atom33 > not atom33 :- not atom9, atom3.
atom33 > not atom33 :- atom9, atom3.
not atom11 > atom11 :- not atom9, atom3.
atom11 > not atom11 :- atom9, atom3.
not atom7 > atom7 :- not atom2, atom3.
not atom7 > atom7 :- atom2, atom3.
atom32 > not atom32 :- not atom9, atom3.
atom32 > not atom32 :- atom9, atom3.
atom38 > not atom38 :- not atom2, atom3.
not atom38 > atom38 :- atom2, atom3.
not atom31 > atom31 :- not atom7, atom3.
not atom31 > atom31 :- atom7, atom3.
not atom26 > atom26 :- not atom7, atom3.
atom26 > not atom26 :- atom7, atom3.
atom20 > not atom20 :- not atom9, atom3.
not atom20 > atom20 :- atom9, atom3.
not atom39 > atom39 :- not atom22, atom3.
atom39 > not atom39 :- atom22, atom3.
not atom34 > atom34 :- not atom2, atom3.
atom34 > not atom34 :- atom2, atom3.
not atom12 > atom12 :- not atom7, atom3.
not atom12 > atom12 :- atom7, atom3.
not atom8 > atom8 :- not atom7, atom3.
not atom8 > atom8 :- atom7, atom3.
atom36 > not atom36 :- not atom8, atom3.
atom36 > not atom36 :- atom8, atom3.
not atom21 > atom21 :- not atom7, atom3.
atom21 > not atom21 :- atom7, atom3.
atom37 > not atom37 :- not atom2, atom3.
not atom37 > atom37 :- atom2, atom3.
atom15 > not atom15 :- not atom2, atom3.
not atom15 > atom15 :- atom2, atom3.
not atom16 > atom16 :- not atom2, atom3.
not atom16 > atom16 :- atom2, atom3.
atom23 > not atom23 :- not atom7, atom3.
not atom23 > atom23 :- atom7, atom3.
atom10 > not atom10 :- not atom2, atom3.
atom10 > not atom10 :- atom2, atom3.
atom24 > not atom24 :- not atom2, atom3.
not atom24 > atom24 :- atom2, atom3.
not atom19 > atom19 :- not atom2, atom3.
atom19 > not atom19 :- atom2, atom3.
not atom35 > atom35 :- not atom7, atom3.
atom35 > not atom35 :- atom7, atom3.
not atom6 > atom6 :- not atom2, atom3.
atom6 > not atom6 :- atom2, atom3.
not atom13 > atom13 :- not atom2, atom3.
not atom13 > atom13 :- atom2, atom3.
not atom5 > atom5 :- not atom2, atom3.
not atom5 > atom5 :- atom2, atom3.
atom27 > not atom27 :- not atom6, atom3.
not atom27 > atom27 :- atom6, atom3.
not atom40 > atom40 :- not atom2, atom3.
not atom40 > atom40 :- atom2, atom3.
atom14 > not atom14 :- not atom6, atom3.
not atom14 > atom14 :- atom6, atom3.
not atom4 > atom4 :- not atom2, atom3.
atom4 > not atom4 :- atom2, atom3.
not atom30 > atom30 :- not atom8, atom3.
not atom30 > atom30 :- atom8, atom3.
not atom1 > atom1 :- not atom5, atom3.
not atom1 > atom1 :- atom5, atom3.
not atom17 > atom17 :- not atom1, atom3.
atom17 > not atom17 :- atom1, atom3.
not atom28 > atom28 :- not atom1, atom3.
not atom28 > atom28 :- atom1, atom3.
atom25 > not atom25 :- not atom1, atom3.
not atom25 > atom25 :- atom1, atom3.
atom16 > not atom16 :- not atom3.
atom1 > not atom1 :- not atom16, not atom3.
atom1 > not atom1 :- atom16, not atom3.
atom12 > not atom12 :- not atom16, not atom3.
atom12 > not atom12 :- atom16, not atom3.
not atom17 > atom17 :- not atom12, not atom3.
not atom17 > atom17 :- atom12, not atom3.
atom20 > not atom20 :- not atom1, not atom3.
not atom20 > atom20 :- atom1, not atom3.
atom18 > not atom18 :- not atom1, not atom3.
not atom18 > atom18 :- atom1, not atom3.
not atom7 > atom7 :- not atom1, not atom3.
not atom7 > atom7 :- atom1, not atom3.
not atom25 > atom25 :- not atom1, not atom3.
not atom25 > atom25 :- atom1, not atom3.
atom35 > not atom35 :- not atom17, not atom3.
not atom35 > atom35 :- atom17, not atom3.
not atom15 > atom15 :- not atom7, not atom3.
atom15 > not atom15 :- atom7, not atom3.
not atom10 > atom10 :- not atom7, not atom3.
atom10 > not atom10 :- atom7, not atom3.
not atom40 > atom40 :- not atom7, not atom3.
atom40 > not atom40 :- atom7, not atom3.
