not atom11 > atom11.
not atom34 > atom34 :- not atom11.
atom34 > not atom34 :- atom11.
not atom15 > atom15 :- not atom34.
not atom15 > atom15 :- atom34.
atom27 > not atom27 :- not atom11, not atom15.
not atom27 > atom27 :- atom11, not atom15.
atom17 > not atom17 :- not atom15.
not atom12 > atom12 :- not atom11, not atom15.
not atom12 > atom12 :- atom11, not atom15.
atom20 > not atom20 :- not atom12, not atom15.
atom20 > not atom20 :- atom12, not atom15.
atom26 > not atom26 :- not atom11, not atom15.
not atom26 > atom26 :- atom11, not atom15.
atom31 > not atom31 :- not atom17, not atom15.
not atom31 > atom31 :- atom17, not atom15.
not atom23 > atom23 :- not atom17, not atom15.
atom23 > not atom23 :- atom17, not atom15.
not atom16 > atom16 :- not atom11, not atom15.
not atom16 > atom16 :- atom11, not atom15.
atom24 > not atom24 :- not atom17, not atom15.
not atom24 > atom24 :- atom17, not atom15.
atom13 > not atom13 :- not atom11, not atom15.
not atom13 > atom13 :- atom11, not atom15.
not atom1 > atom1 :- not atom11, not atom15.
not atom1 > atom1 :- atom11, not atom15.
atom9 > not atom9 :- not atom11, not atom15.
not atom9 > atom9 :- atom11, not atom15.
not atom32 > atom32 :- not atom17, not atom15.
not atom32 > atom32 :- atom17, not atom15.
not atom30 > atom30 :- not atom17, not atom15.
not atom30 > atom30 :- atom17, not atom15.
not atom5 > atom5 :- not atom20, not atom15.
not atom5 > atom5 :- atom20, not atom15.
atom6 > not atom6 :- not atom1, not atom15.
not atom6 > atom6 :- atom1, not atom15.
not atom2 > atom2 :- not atom6, not atom15.
not atom2 > atom2 :- atom6, not atom15.
not atom29 > atom29 :- not atom6, not atom15.
atom29 > not atom29 :- atom6, not atom15.
not atom14 > atom14 :- not atom1, not atom15.
not atom14 > atom14 :- atom1, not atom15.
atom36 > not atom36 :- not atom2, not atom15.
atom36 > not atom36 :- atom2, not atom15.
not atom19 > atom19 :- not atom1, not atom15.
atom19 > not atom19 :- atom1, not atom15.
