atom14 > not atom14.
not atom38 > atom38 :- not atom14.
atom38 > not atom38 :- atom14.
atom17 > not atom17 :- atom38.
atom23 > not atom23 :- atom38.
not atom36 > atom36 :- not atom23, atom38.
atom36 > not atom36 :- atom23, atom38.
atom39 > not atom39 :- not atom14, atom38.
not atom39 > atom39 :- atom14, atom38.
not atom20 > atom20 :- not atom17, atom38.
atom20 > not atom20 :- atom17, atom38.
not atom24 > atom24 :- not atom14, atom38.
atom24 > not atom24 :- atom14, atom38.
not atom15 > atom15 :- not atom20, atom38.
not atom15 > atom15 :- atom20, atom38.
not atom22 > atom22 :- not atom14, atom38.
not atom22 > atom22 :- atom14, atom38.
atom21 > not atom21 :- not atom15, atom38.
atom21 > not atom21 :- atom15, atom38.
not atom26 > atom26 :- not atom15, atom38.
not atom26 > atom26 :- atom15, atom38.
atom12 > not atom12 :- not atom15, atom38.
not atom12 > atom12 :- atom15, atom38.
not atom37 > atom37 :- not atom15, atom38.
atom37 > not atom37 :- atom15, atom38.
atom31 > not atom31 :- not atom15, atom38.
atom31 > not atom31 :- atom15, atom38.
atom18 > not atom18 :- not atom12, atom38.
atom18 > not atom18 :- atom12, atom38.
atom29 > not atom29 :- not atom14, atom38.
atom29 > not atom29 :- atom14, atom38.
atom11 > not atom11 :- not atom12, atom38.
not atom11 > atom11 :- atom12, atom38.
not atom27 > atom27 :- not atom12, atom38.
not atom27 > atom27 :- atom12, atom38.
not atom25 > atom25 :- not atom11, atom38.
atom25 > not atom25 :- atom11, atom38.
not atom19 > atom19 :- not atom11, atom38.
not atom19 > atom19 :- atom11, atom38.
atom6 > not atom6 :- not atom11, atom38.
atom6 > not atom6 :- atom11, atom38.
atom10 > not atom10 :- not atom6, atom38.
not atom10 > atom10 :- atom6, atom38.
not atom33 > atom33 :- not atom11, atom38.
atom33 > not atom33 :- atom11, atom38.
not atom35 > atom35 :- not atom11, atom38.
not atom35 > atom35 :- atom11, atom38.
atom9 > not atom9 :- not atom11, atom38.
not atom9 > atom9 :- atom11, atom38.
atom16 > not atom16 :- not atom9, atom38.
atom16 > not atom16 :- atom9, atom38.
not atom1 > atom1 :- not atom6, atom38.
atom1 > not atom1 :- atom6, atom38.
not atom32 > atom32 :- not atom10, atom38.
atom32 > not atom32 :- atom10, atom38.
atom7 > not atom7 :- not atom9, atom38.
not atom7 > atom7 :- atom9, atom38.
not atom40 > atom40 :- not atom6, atom38.
not atom40 > atom40 :- atom6, atom38.
not atom4 > atom4 :- not atom1, atom38.
atom4 > not atom4 :- atom1, atom38.
atom3 > not atom3 :- not atom6, atom38.
atom3 > not atom3 :- atom6, atom38.
not atom13 > atom13 :- not atom1, atom38.
atom13 > not atom13 :- atom1, atom38.
atom5 > not atom5 :- not atom1, atom38.
not atom5 > atom5 :- atom1, atom38.
not atom8 > atom8 :- not atom5, atom38.
atom8 > not atom8 :- atom5, atom38.
not atom2 > atom2 :- not atom1, atom38.
atom2 > not atom2 :- atom1, atom38.
atom30 > not atom30 :- not atom7, atom38.
atom30 > not atom30 :- atom7, atom38.
atom28 > not atom28 :- not atom4, atom38.
not atom28 > atom28 :- atom4, atom38.
atom34 > not atom34 :- not atom1, atom38.
not atom34 > atom34 :- atom1, atom38.
atom18 > not atom18 :- not atom38.
not atom24 > atom24 :- not atom14, not atom38.
atom24 > not atom24 :- atom14, not atom38.
atom16 > not atom16 :- not atom18, not atom38.
atom16 > not atom16 :- atom18, not atom38.
not atom39 > atom39 :- not atom16, not atom38.
atom39 > not atom39 :- atom16, not atom38.
atom36 > not atom36 :- not atom14, not atom38.
not atom36 > atom36 :- atom14, not atom38.
not atom30 > atom30 :- not atom16, not atom38.
not atom30 > atom30 :- atom16, not atom38.
atom35 > not atom35 :- not atom16, not atom38.
not atom35 > atom35 :- atom16, not atom38.
atom29 > not atom29 :- not atom14, not atom38.
atom29 > not atom29 :- atom14, not atom38.
not atom2 > atom2 :- not atom29, not atom38.
atom2 > not atom2 :- atom29, not atom38.
atom20 > not atom20 :- not atom2, not atom38.
not atom20 > atom20 :- atom2, not atom38.
atom34 > not atom34 :- not atom2, not atom38.
atom34 > not atom34 :- atom2, not atom38.
not atom33 > atom33 :- not atom2, not atom38.
atom33 > not atom33 :- atom2, not atom38.
not atom10 > atom10 :- not atom2, not atom38.
atom10 > not atom10 :- atom2, not atom38.
atom9 > not atom9 :- not atom2, not atom38.
atom9 > not atom9 :- atom2, not atom38.
not atom4 > atom4 :- not atom2, not atom38.
atom4 > not atom4 :- atom2, not atom38.
atom27 > not atom27 :- not atom10, not atom38.
not atom27 > atom27 :- atom10, not atom38.
not atom21 > atom21 :- not atom4, not atom38.
not atom21 > atom21 :- atom4, not atom38.
atom15 > not atom15 :- not atom2, not atom38.
not atom15 > atom15 :- atom2, not atom38.
not atom31 > atom31 :- not atom16, not atom38.
not atom31 > atom31 :- atom16, not atom38.
not atom12 > atom12 :- not atom4, not atom38.
not atom12 > atom12 :- atom4, not atom38.
not atom32 > atom32 :- not atom12, not atom38.
atom32 > not atom32 :- atom12, not atom38.
not atom6 > atom6 :- not atom9, not atom38.
atom6 > not atom6 :- atom9, not atom38.
atom13 > not atom13 :- not atom2, not atom38.
not atom13 > atom13 :- atom2, not atom38.
atom8 > not atom8 :- not atom2, not atom38.
atom8 > not atom8 :- atom2, not atom38.
not atom37 > atom37 :- not atom2, not atom38.
not atom37 > atom37 :- atom2, not atom38.
not atom1 > atom1 :- not atom2, not atom38.
not atom1 > atom1 :- atom2, not atom38.
atom28 > not atom28 :- not atom1, not atom38.
not atom28 > atom28 :- atom1, not atom38.
atom26 > not atom26 :- not atom2, not atom38.
not atom26 > atom26 :- atom2, not atom38.
atom3 > not atom3 :- not atom1, not atom38.
atom3 > not atom3 :- atom1, not atom38.
atom17 > not atom17 :- not atom2, not atom38.
not atom17 > atom17 :- atom2, not atom38.
atom23 > not atom23 :- not atom2, not atom38.
atom23 > not atom23 :- atom2, not atom38.
atom5 > not atom5 :- not atom1, not atom38.
not atom5 > atom5 :- atom1, not atom38.
atom40 > not atom40 :- not atom1, not atom38.
atom40 > not atom40 :- atom1, not atom38.
not atom11 > atom11 :- not atom1, not atom38.
not atom11 > atom11 :- atom1, not atom38.
not atom7 > atom7 :- not atom2, not atom38.
not atom7 > atom7 :- atom2, not atom38.
atom25 > not atom25 :- not atom2, not atom38.
not atom25 > atom25 :- atom2, not atom38.
not atom22 > atom22 :- not atom1, not atom38.
not atom22 > atom22 :- atom1, not atom38.
not atom19 > atom19 :- not atom2, not atom38.
atom19 > not atom19 :- atom2, not atom38.
atom26 > not atom26.
not atom24 > atom24.
not atom35 > atom35 :- not atom24.
atom35 > not atom35 :- atom24.
not atom15 > atom15.
not atom23 > atom23.
not atom33 > atom33 :- not atom23.
not atom33 > atom33 :- atom23.
atom20 > not atom20 :- not atom15.
not atom20 > atom20 :- atom15.
atom38 > not atom38 :- not atom20.
not atom38 > atom38 :- atom20.
not atom7 > atom7 :- not atom20.
not atom7 > atom7 :- atom20.
not atom17 > atom17 :- not atom7.
atom17 > not atom17 :- atom7.
atom28 > not atom28 :- not atom7.
not atom28 > atom28 :- atom7.
not atom22 > atom22 :- not atom7.
not atom22 > atom22 :- atom7.
not atom21 > atom21 :- not atom15.
not atom21 > atom21 :- atom15.
atom6 > not atom6 :- not atom7.
atom6 > not atom6 :- atom7.
not atom18 > atom18 :- not atom17.
atom18 > not atom18 :- atom17.
atom9 > not atom9 :- not atom15.
not atom9 > atom9 :- atom15.
atom32 > not atom32 :- not atom9.
atom32 > not atom32 :- atom9.
not atom39 > atom39 :- not atom7.
