atom30 > not atom30.
atom18 > not atom18 :- not atom30.
not atom18 > atom18 :- atom30.
not atom39 > atom39 :- not atom18.
atom39 > not atom39 :- atom18.
not atom7 > atom7 :- not atom18, atom39.
not atom7 > atom7 :- atom18, atom39.
not atom3 > atom3 :- not atom7, atom39.
atom3 > not atom3 :- atom7, atom39.
atom35 > not atom35 :- not atom7, atom39.
atom35 > not atom35 :- atom7, atom39.
not atom28 > atom28 :- not atom3, atom39.
not atom28 > atom28 :- atom3, atom39.
atom27 > not atom27 :- not atom7, atom39.
atom27 > not atom27 :- atom7, atom39.
not atom5 > atom5 :- not atom35, atom39.
atom5 > not atom5 :- atom35, atom39.
atom9 > not atom9 :- not atom3, atom39.
atom9 > not atom9 :- atom3, atom39.
not atom11 > atom11 :- not atom7, atom39.
not atom11 > atom11 :- atom7, atom39.
atom31 > not atom31 :- not atom3, atom39.
atom31 > not atom31 :- atom3, atom39.
not atom32 > atom32 :- not atom3, atom39.
atom32 > not atom32 :- atom3, atom39.
not atom20 > atom20 :- not atom3, atom39.
not atom20 > atom20 :- atom3, atom39.
atom12 > not atom12 :- not atom3, atom39.
atom12 > not atom12 :- atom3, atom39.
not atom13 > atom13 :- not atom3, atom39.
not atom13 > atom13 :- atom3, atom39.
atom14 > not atom14 :- not atom3, atom39.
atom14 > not atom14 :- atom3, atom39.
not atom4 > atom4 :- not atom3, atom39.
not atom4 > atom4 :- atom3, atom39.
atom8 > not atom8 :- not atom3, atom39.
atom8 > not atom8 :- atom3, atom39.
not atom15 > atom15 :- not atom4, atom39.
not atom15 > atom15 :- atom4, atom39.
atom10 > not atom10 :- not atom5, atom39.
atom10 > not atom10 :- atom5, atom39.
atom2 > not atom2 :- not atom3, atom39.
not atom2 > atom2 :- atom3, atom39.
not atom36 > atom36 :- not atom2, atom39.
atom36 > not atom36 :- atom2, atom39.
atom16 > not atom16 :- not atom3, atom39.
atom16 > not atom16 :- atom3, atom39.
not atom21 > atom21 :- not atom2, atom39.
atom21 > not atom21 :- atom2, atom39.
not atom26 > atom26 :- not atom5, atom39.
not atom26 > atom26 :- atom5, atom39.
atom25 > not atom25 :- not atom5, atom39.
atom25 > not atom25 :- atom5, atom39.
not atom34 > atom34 :- not atom3, atom39.
not atom34 > atom34 :- atom3, atom39.
not atom37 > atom37 :- not atom4, atom39.
atom37 > not atom37 :- atom4, atom39.
atom22 > not atom22 :- not atom4, atom39.
not atom22 > atom22 :- atom4, atom39.
not atom23 > atom23 :- not atom4, atom39.
atom23 > not atom23 :- atom4, atom39.
atom40 > not atom40 :- not atom4, atom39.
atom40 > not atom40 :- atom4, atom39.
atom38 > not atom38 :- not atom2, atom39.
atom38 > not atom38 :- atom2, atom39.
atom19 > not atom19 :- not atom3, atom39.
not atom19 > atom19 :- atom3, atom39.
atom33 > not atom33 :- not atom3, atom39.
atom33 > not atom33 :- atom3, atom39.
not atom1 > atom1 :- not atom2, atom39.
atom1 > not atom1 :- atom2, atom39.
atom6 > not atom6 :- not atom3, atom39.
atom6 > not atom6 :- atom3, atom39.
atom24 > not atom24 :- not atom1, atom39.
not atom24 > atom24 :- atom1, atom39.
atom17 > not atom17 :- not atom1, atom39.
atom17 > not atom17 :- atom1, atom39.
not atom29 > atom29 :- not atom1, atom39.
not atom29 > atom29 :- atom1, atom39.
atom12 > not atom12 :- not atom39.
atom3 > not atom3 :- not atom12, not atom39.
atom3 > not atom3 :- atom12, not atom39.
atom5 > not atom5 :- not atom3, not atom39.
not atom5 > atom5 :- atom3, not atom39.
atom10 > not atom10 :- not atom30, not atom39.
atom10 > not atom10 :- atom30, not atom39.
atom28 > not atom28 :- not atom10, not atom39.
atom28 > not atom28 :- atom10, not atom39.
not atom19 > atom19 :- not atom3, not atom39.
atom19 > not atom19 :- atom3, not atom39.
atom8 > not atom8 :- not atom5, not atom39.
not atom8 > atom8 :- atom5, not atom39.
atom40 > not atom40 :- not atom3, not atom39.
atom40 > not atom40 :- atom3, not atom39.
atom37 > not atom37 :- not atom5, not atom39.
atom37 > not atom37 :- atom5, not atom39.
not atom20 > atom20 :- not atom3, not atom39.
not atom20 > atom20 :- atom3, not atom39.
atom2 > not atom2 :- not atom3, not atom39.
not atom2 > atom2 :- atom3, not atom39.
not atom9 > atom9 :- not atom2, not atom39.
not atom9 > atom9 :- atom2, not atom39.
atom25 > not atom25 :- not atom3, not atom39.
atom25 > not atom25 :- atom3, not atom39.
atom32 > not atom32 :- not atom2, not atom39.
atom32 > not atom32 :- atom2, not atom39.
not atom26 > atom26 :- not atom3, not atom39.
atom26 > not atom26 :- atom3, not atom39.
atom22 > not atom22 :- not atom8, not atom39.
not atom22 > atom22 :- atom8, not atom39.
atom34 > not atom34 :- not atom2, not atom39.
atom34 > not atom34 :- atom2, not atom39.
atom15 > not atom15 :- not atom2, not atom39.
atom15 > not atom15 :- atom2, not atom39.
atom17 > not atom17 :- not atom2, not atom39.
atom17 > not atom17 :- atom2, not atom39.
atom29 > not atom29 :- not atom3, not atom39.
not atom29 > atom29 :- atom3, not atom39.
atom24 > not atom24 :- not atom5, not atom39.
not atom24 > atom24 :- atom5, not atom39.
not atom14 > atom14 :- not atom2, not atom39.
atom14 > not atom14 :- atom2, not atom39.
not atom13 > atom13 :- not atom3, not atom39.
atom13 > not atom13 :- atom3, not atom39.
atom31 > not atom31 :- not atom2, not atom39.
not atom31 > atom31 :- atom2, not atom39.
not atom23 > atom23 :- not atom3, not atom39.
not atom23 > atom23 :- atom3, not atom39.
atom38 > not atom38 :- not atom2, not atom39.
atom38 > not atom38 :- atom2, not atom39.
atom21 > not atom21 :- not atom3, not atom39.
not atom21 > atom21 :- atom3, not atom39.
not atom16 > atom16 :- not atom10, not atom39.
not atom16 > atom16 :- atom10, not atom39.
not atom7 > atom7 :- not atom5, not atom39.
atom7 > not atom7 :- atom5, not atom39.
not atom36 > atom36 :- not atom2, not atom39.
atom36 > not atom36 :- atom2, not atom39.
atom11 > not atom11 :- not atom3, not atom39.
atom11 > not atom11 :- atom3, not atom39.
not atom4 > atom4 :- not atom2, not atom39.
not atom4 > atom4 :- atom2, not atom39.
not atom1 > atom1 :- not atom2, not atom39.
not atom1 > atom1 :- atom2, not atom39.
atom35 > not atom35 :- not atom2, not atom39.
not atom35 > atom35 :- atom2, not atom39.
not atom33 > atom33 :- not atom1, not atom39.
not atom33 > atom33 :- atom1, not atom39.
atom27 > not atom27 :- not atom1, not atom39.
not atom27 > atom27 :- atom1, not atom39.
not atom6 > atom6 :- not atom1, not atom39.
atom6 > not atom6 :- atom1, not atom39.
not atom40 > atom40.
not atom20 > atom20 :- not atom40.
not atom20 > atom20 :- atom40.
not atom3 > atom3 :- not atom20.
atom3 > not atom3 :- atom20.
not atom12 > atom12 :- not atom3.
not atom12 > atom12 :- atom3.
atom26 > not atom26 :- not atom20.
not atom26 > atom26 :- atom20.
atom22 > not atom22 :- not atom3.
not atom22 > atom22 :- atom3.
not atom29 > atom29 :- not atom3.
atom29 > not atom29 :- atom3.
not atom25 > atom25 :- not atom3.
not atom25 > atom25 :- atom3.
atom7 > not atom7 :- not atom3.
atom7 > not atom7 :- atom3.
not atom9 > atom9 :- not atom3.
not atom9 > atom9 :- atom3.
not atom31 > atom31 :- not atom9.
atom31 > not atom31 :- atom9.
atom2 > not atom2 :- not atom7.
atom2 > not atom2 :- atom7.
not atom18 > atom18 :- not atom2.
not atom18 > atom18 :- atom2.
not atom37 > atom37 :- not atom3.
not atom37 > atom37 :- atom3.
not atom34 > atom34 :- not atom7.
not atom34 > atom34 :- atom7.
not atom28 > atom28 :- not atom2.
atom28 > not atom28 :- atom2.
atom4 > not atom4 :- not atom2.
atom4 > not atom4 :- atom2.
atom1 > not atom1 :- not atom3.
not atom1 > atom1 :- atom3.
atom30 > not atom30 :- not atom2.
not atom30 > atom30 :- atom2.
atom15 > not atom15 :- not atom1.
not atom15 > atom15 :- atom1.
not atom11 > atom11 :- not atom1.
atom11 > not atom11 :- atom1.
not atom38 > atom38 :- not atom1.
atom38 > not atom38 :- atom1.
not atom35 > atom35 :- not atom1.
atom35 > not atom35 :- atom1.
not atom36 > atom36 :- not atom2.
atom36 > not atom36 :- atom2.
not atom8 > atom8 :- not atom1.
not atom8 > atom8 :- atom1.
not atom14 > atom14 :- not atom2.
not atom14 > atom14 :- atom2.
atom32 > not atom32 :- not atom3.
atom32 > not atom32 :- atom3.
atom24 > not atom24 :- not atom3.
atom24 > not atom24 :- atom3.
atom19 > not atom19 :- not atom7.
not atom19 > atom19 :- atom7.
not atom6 > atom6 :- not atom2.
not atom6 > atom6 :- atom2.
not atom39 > atom39 :- not atom1.
atom39 > not atom39 :- atom1.
atom5 > not atom5 :- not atom3.
atom5 > not atom5 :- atom3.
atom13 > not atom13 :- not atom2.
not atom13 > atom13 :- atom2.
atom21 > not atom21 :- not atom2.
not atom21 > atom21 :- atom2.
atom27 > not atom27 :- not atom5.
atom27 > not atom27 :- atom5.
atom16 > not atom16 :- not atom1.
not atom16 > atom16 :- atom1.
atom23 > not atom23 :- not atom3.
not atom23 > atom23 :- atom3.
atom10 > not atom10 :- not atom2.
atom10 > not atom10 :- atom2.
not atom17 > atom17 :- not atom2.
atom17 > not atom17 :- atom2.
not atom33 > atom33 :- not atom1.
not atom33 > atom33 :- atom1.
