not atom8 > atom8.
not atom33 > atom33.
atom13 > not atom13 :- not atom8, atom33.
atom13 > not atom13 :- atom8, atom33.
atom23 > not atom23 :- not atom8, atom33.
not atom23 > atom23 :- atom8, atom33.
atom26 > not atom26 :- not atom8, atom33.
not atom26 > atom26 :- atom8, atom33.
not atom5 > atom5 :- not atom8, atom33.
not atom5 > atom5 :- atom8, atom33.
atom9 > not atom9 :- not atom5, atom33.
not atom9 > atom9 :- atom5, atom33.
atom1 > not atom1 :- not atom8, atom33.
not atom1 > atom1 :- atom8, atom33.
atom21 > not atom21 :- not atom8, atom33.
atom21 > not atom21 :- atom8, atom33.
atom32 > not atom32 :- not atom8, atom33.
not atom32 > atom32 :- atom8, atom33.
atom20 > not atom20 :- not atom5, atom33.
not atom20 > atom20 :- atom5, atom33.
atom31 > not atom31 :- not atom1, atom33.
atom31 > not atom31 :- atom1, atom33.
not atom10 > atom10 :- not atom1, atom33.
atom10 > not atom10 :- atom1, atom33.
atom36 > not atom36 :- not atom5, atom33.
atom36 > not atom36 :- atom5, atom33.
atom3 > not atom3 :- not atom9, atom33.
atom3 > not atom3 :- atom9, atom33.
atom34 > not atom34 :- not atom1, atom33.
atom34 > not atom34 :- atom1, atom33.
atom38 > not atom38 :- not atom1, atom33.
atom38 > not atom38 :- atom1, atom33.
atom18 > not atom18 :- not atom1, atom33.
atom18 > not atom18 :- atom1, atom33.
not atom22 > atom22 :- not atom5, atom33.
atom22 > not atom22 :- atom5, atom33.
not atom35 > atom35 :- not atom5, atom33.
atom35 > not atom35 :- atom5, atom33.
not atom37 > atom37 :- not atom1, atom33.
atom37 > not atom37 :- atom1, atom33.
not atom27 > atom27 :- not atom13, atom33.
atom27 > not atom27 :- atom13, atom33.
atom39 > not atom39 :- not atom1, atom33.
atom39 > not atom39 :- atom1, atom33.
not atom12 > atom12 :- not atom1, atom33.
atom12 > not atom12 :- atom1, atom33.
atom7 > not atom7 :- not atom1, atom33.
atom7 > not atom7 :- atom1, atom33.
atom19 > not atom19 :- not atom1, atom33.
not atom19 > atom19 :- atom1, atom33.
not atom16 > atom16 :- not atom1, atom33.
not atom16 > atom16 :- atom1, atom33.
not atom40 > atom40 :- not atom1, atom33.
atom40 > not atom40 :- atom1, atom33.
not atom14 > atom14 :- not atom3, atom33.
atom14 > not atom14 :- atom3, atom33.
not atom30 > atom30 :- not atom3, atom33.
atom30 > not atom30 :- atom3, atom33.
atom15 > not atom15 :- not atom1, atom33.
not atom15 > atom15 :- atom1, atom33.
atom28 > not atom28 :- not atom1, atom33.
atom28 > not atom28 :- atom1, atom33.
not atom6 > atom6 :- not atom5, atom33.
not atom6 > atom6 :- atom5, atom33.
not atom24 > atom24 :- not atom6, atom33.
atom24 > not atom24 :- atom6, atom33.
not atom25 > atom25 :- not atom1, atom33.
not atom25 > atom25 :- atom1, atom33.
atom29 > not atom29 :- not atom1, atom33.
atom29 > not atom29 :- atom1, atom33.
atom2 > not atom2 :- not atom3, atom33.
not atom2 > atom2 :- atom3, atom33.
atom11 > not atom11 :- not atom3, atom33.
atom11 > not atom11 :- atom3, atom33.
atom4 > not atom4 :- not atom5, atom33.
atom4 > not atom4 :- atom5, atom33.
not atom17 > atom17 :- not atom2, atom33.
not atom17 > atom17 :- atom2, atom33.
atom28 > not atom28 :- not atom8, not atom33.
not atom28 > atom28 :- atom8, not atom33.
not atom2 > atom2 :- not atom8, not atom33.
not atom2 > atom2 :- atom8, not atom33.
not atom36 > atom36 :- not atom8, not atom33.
atom36 > not atom36 :- atom8, not atom33.
atom29 > not atom29 :- not atom2, not atom33.
atom29 > not atom29 :- atom2, not atom33.
atom14 > not atom14 :- not atom8, not atom33.
not atom14 > atom14 :- atom8, not atom33.
atom1 > not atom1 :- not atom8, not atom33.
atom1 > not atom1 :- atom8, not atom33.
atom37 > not atom37 :- not atom1, not atom33.
