atom24 > not atom24.
not atom8 > atom8 :- not atom24.
atom8 > not atom8 :- atom24.
not atom16 > atom16 :- not atom24, not atom8.
atom16 > not atom16 :- atom24, not atom8.
atom38 > not atom38 :- not atom24, not atom8.
not atom38 > atom38 :- atom24, not atom8.
atom23 > not atom23 :- not atom8.
not atom22 > atom22 :- not atom16, not atom8.
atom22 > not atom22 :- atom16, not atom8.
atom37 > not atom37 :- not atom8.
not atom18 > atom18 :- not atom16, not atom8.
atom18 > not atom18 :- atom16, not atom8.
not atom34 > atom34 :- not atom18, not atom8.
atom34 > not atom34 :- atom18, not atom8.
atom9 > not atom9 :- not atom16, not atom8.
not atom9 > atom9 :- atom16, not atom8.
atom26 > not atom26 :- not atom9, not atom8.
not atom26 > atom26 :- atom9, not atom8.
not atom15 > atom15 :- not atom9, not atom8.
atom15 > not atom15 :- atom9, not atom8.
not atom1 > atom1 :- not atom9, not atom8.
atom1 > not atom1 :- atom9, not atom8.
atom21 > not atom21 :- not atom1, not atom8.
not atom21 > atom21 :- atom1, not atom8.
atom35 > not atom35 :- not atom18, not atom8.
atom35 > not atom35 :- atom18, not atom8.
atom11 > not atom11 :- not atom1, not atom8.
atom11 > not atom11 :- atom1, not atom8.
not atom32 > atom32 :- not atom9, not atom8.
atom32 > not atom32 :- atom9, not atom8.
atom6 > not atom6 :- not atom1, not atom8.
not atom6 > atom6 :- atom1, not atom8.
not atom28 > atom28 :- not atom1, not atom8.
atom28 > not atom28 :- atom1, not atom8.
not atom19 > atom19 :- not atom1, not atom8.
not atom19 > atom19 :- atom1, not atom8.
not atom30 > atom30 :- not atom1, not atom8.
atom30 > not atom30 :- atom1, not atom8.
atom7 > not atom7 :- not atom1, not atom8.
atom7 > not atom7 :- atom1, not atom8.
atom10 > not atom10 :- not atom1, not atom8.
not atom10 > atom10 :- atom1, not atom8.
not atom33 > atom33 :- not atom7, not atom8.
atom33 > not atom33 :- atom7, not atom8.
not atom3 > atom3 :- not atom1, not atom8.
atom3 > not atom3 :- atom1, not atom8.
not atom2 > atom2 :- not atom1, not atom8.
atom2 > not atom2 :- atom1, not atom8.
not atom27 > atom27 :- not atom1, not atom8.
not atom27 > atom27 :- atom1, not atom8.
not atom40 > atom40 :- not atom1, not atom8.
atom40 > not atom40 :- atom1, not atom8.
atom20 > not atom20 :- not atom1, not atom8.
not atom20 > atom20 :- atom1, not atom8.
not atom29 > atom29 :- not atom6, not atom8.
not atom29 > atom29 :- atom6, not atom8.
atom36 > not atom36 :- not atom1, not atom8.
not atom36 > atom36 :- atom1, not atom8.
atom25 > not atom25 :- not atom1, not atom8.
atom25 > not atom25 :- atom1, not atom8.
not atom39 > atom39 :- not atom1, not atom8.
atom39 > not atom39 :- atom1, not atom8.
not atom17 > atom17 :- not atom2, not atom8.
atom17 > not atom17 :- atom2, not atom8.
atom31 > not atom31 :- not atom2, not atom8.
atom31 > not atom31 :- atom2, not atom8.
atom13 > not atom13 :- not atom1, not atom8.
atom13 > not atom13 :- atom1, not atom8.
not atom12 > atom12 :- not atom2, not atom8.
not atom12 > atom12 :- atom2, not atom8.
atom4 > not atom4 :- not atom1, not atom8.
atom4 > not atom4 :- atom1, not atom8.
atom14 > not atom14 :- not atom2, not atom8.
not atom14 > atom14 :- atom2, not atom8.
not atom5 > atom5 :- not atom4, not atom8.
atom5 > not atom5 :- atom4, not atom8.
not atom21 > atom21 :- not atom24, atom8.
atom21 > not atom21 :- atom24, atom8.
not atom23 > atom23 :- not atom21, atom8.
not atom23 > atom23 :- atom21, atom8.
atom14 > not atom14 :- not atom21, atom8.
not atom14 > atom14 :- atom21, atom8.
atom30 > not atom30 :- not atom14, atom8.
not atom30 > atom30 :- atom14, atom8.
atom16 > not atom16 :- not atom14, atom8.
not atom16 > atom16 :- atom14, atom8.
atom17 > not atom17 :- not atom24, atom8.
not atom17 > atom17 :- atom24, atom8.
not atom5 > atom5 :- not atom17, atom8.
not atom5 > atom5 :- atom17, atom8.
not atom26 > atom26 :- not atom5, atom8.
not atom26 > atom26 :- atom5, atom8.
atom25 > not atom25 :- not atom5, atom8.
atom25 > not atom25 :- atom5, atom8.
not atom29 > atom29 :- not atom5, atom8.
atom29 > not atom29 :- atom5, atom8.
not atom11 > atom11 :- not atom5, atom8.
not atom11 > atom11 :- atom5, atom8.
