atom31 > not atom31.
atom45 > not atom45.
not atom29 > atom29.
not atom24 > atom24 :- not atom45, not atom29.
not atom24 > atom24 :- atom45, not atom29.
not atom11 > atom11 :- not atom24, not atom29.
not atom11 > atom11 :- atom24, not atom29.
not atom4 > atom4 :- not atom31, not atom29.
not atom4 > atom4 :- atom31, not atom29.
atom49 > not atom49 :- not atom4, not atom29.
not atom49 > atom49 :- atom4, not atom29.
not atom12 > atom12 :- not atom4, not atom29.
not atom12 > atom12 :- atom4, not atom29.
atom10 > not atom10 :- not atom4, not atom29.
not atom10 > atom10 :- atom4, not atom29.
not atom3 > atom3 :- not atom10, not atom29.
not atom3 > atom3 :- atom10, not atom29.
atom21 > not atom21 :- not atom4, not atom29.
atom21 > not atom21 :- atom4, not atom29.
atom35 > not atom35 :- not atom3, not atom29.
atom35 > not atom35 :- atom3, not atom29.
not atom37 > atom37 :- not atom12, not atom29.
not atom37 > atom37 :- atom12, not atom29.
atom8 > not atom8 :- not atom10, not atom29.
not atom8 > atom8 :- atom10, not atom29.
not atom28 > atom28 :- not atom3, not atom29.
not atom28 > atom28 :- atom3, not atom29.
atom42 > not atom42 :- not atom3, not atom29.
atom42 > not atom42 :- atom3, not atom29.
not atom20 > atom20 :- not atom4, not atom29.
not atom20 > atom20 :- atom4, not atom29.
not atom46 > atom46 :- not atom4, not atom29.
atom46 > not atom46 :- atom4, not atom29.
not atom43 > atom43 :- not atom3, not atom29.
atom43 > not atom43 :- atom3, not atom29.
atom50 > not atom50 :- not atom10, not atom29.
not atom50 > atom50 :- atom10, not atom29.
not atom22 > atom22 :- not atom3, not atom29.
not atom22 > atom22 :- atom3, not atom29.
atom33 > not atom33 :- not atom3, not atom29.
atom33 > not atom33 :- atom3, not atom29.
not atom26 > atom26 :- not atom3, not atom29.
atom26 > not atom26 :- atom3, not atom29.
not atom25 > atom25 :- not atom10, not atom29.
atom25 > not atom25 :- atom10, not atom29.
atom18 > not atom18 :- not atom3, not atom29.
atom18 > not atom18 :- atom3, not atom29.
atom41 > not atom41 :- not atom8, not atom29.
atom41 > not atom41 :- atom8, not atom29.
not atom16 > atom16 :- not atom3, not atom29.
not atom16 > atom16 :- atom3, not atom29.
not atom6 > atom6 :- not atom3, not atom29.
atom6 > not atom6 :- atom3, not atom29.
atom17 > not atom17 :- not atom12, not atom29.
atom17 > not atom17 :- atom12, not atom29.
atom13 > not atom13 :- not atom3, not atom29.
not atom13 > atom13 :- atom3, not atom29.
not atom34 > atom34 :- not atom3, not atom29.
atom34 > not atom34 :- atom3, not atom29.
atom7 > not atom7 :- not atom8, not atom29.
atom7 > not atom7 :- atom8, not atom29.
atom27 > not atom27 :- not atom12, not atom29.
atom27 > not atom27 :- atom12, not atom29.
atom47 > not atom47 :- not atom3, not atom29.
atom47 > not atom47 :- atom3, not atom29.
not atom39 > atom39 :- not atom3, not atom29.
not atom39 > atom39 :- atom3, not atom29.
not atom2 > atom2 :- not atom6, not atom29.
not atom2 > atom2 :- atom6, not atom29.
not atom30 > atom30 :- not atom2, not atom29.
atom30 > not atom30 :- atom2, not atom29.
atom38 > not atom38 :- not atom7, not atom29.
not atom38 > atom38 :- atom7, not atom29.
atom23 > not atom23 :- not atom2, not atom29.
atom23 > not atom23 :- atom2, not atom29.
not atom9 > atom9 :- not atom3, not atom29.
not atom9 > atom9 :- atom3, not atom29.
atom14 > not atom14 :- not atom2, not atom29.
not atom14 > atom14 :- atom2, not atom29.
not atom19 > atom19 :- not atom2, not atom29.
atom19 > not atom19 :- atom2, not atom29.
atom36 > not atom36 :- not atom2, not atom29.
not atom36 > atom36 :- atom2, not atom29.
not atom1 > atom1 :- not atom2, not atom29.
atom1 > not atom1 :- atom2, not atom29.
atom44 > not atom44 :- not atom1, not atom29.
not atom44 > atom44 :- atom1, not atom29.
atom40 > not atom40 :- not atom2, not atom29.
atom40 > not atom40 :- atom2, not atom29.
atom48 > not atom48 :- not atom3, not atom29.
atom48 > not atom48 :- atom3, not atom29.
atom32 > not atom32 :- not atom2, not atom29.
atom32 > not atom32 :- atom2, not atom29.
atom15 > not atom15 :- not atom6, not atom29.
atom15 > not atom15 :- atom6, not atom29.
not atom5 > atom5 :- not atom2, not atom29.
atom5 > not atom5 :- atom2, not atom29.
not atom1 > atom1 :- atom29.
atom15 > not atom15 :- atom29.
not atom48 > atom48 :- not atom1, atom29.
not atom48 > atom48 :- atom1, atom29.
not atom4 > atom4 :- not atom1, atom29.
not atom4 > atom4 :- atom1, atom29.
atom17 > not atom17 :- not atom15, atom29.
atom17 > not atom17 :- atom15, atom29.
atom41 > not atom41 :- not atom1, atom29.
not atom41 > atom41 :- atom1, atom29.
atom40 > not atom40 :- not atom4, atom29.
atom40 > not atom40 :- atom4, atom29.
atom8 > not atom8 :- not atom15, atom29.
not atom8 > atom8 :- atom15, atom29.
not atom49 > atom49 :- not atom17, atom29.
not atom49 > atom49 :- atom17, atom29.
not atom38 > atom38 :- not atom4, atom29.
not atom38 > atom38 :- atom4, atom29.
atom39 > not atom39 :- not atom8, atom29.
atom39 > not atom39 :- atom8, atom29.
not atom11 > atom11 :- not atom4, atom29.
not atom11 > atom11 :- atom4, atom29.
atom43 > not atom43 :- not atom1, atom29.
not atom43 > atom43 :- atom1, atom29.
atom28 > not atom28 :- not atom4, atom29.
not atom28 > atom28 :- atom4, atom29.
not atom32 > atom32 :- not atom4, atom29.
not atom32 > atom32 :- atom4, atom29.
atom47 > not atom47 :- not atom8, atom29.
atom47 > not atom47 :- atom8, atom29.
not atom36 > atom36 :- not atom1, atom29.
atom36 > not atom36 :- atom1, atom29.
not atom12 > atom12 :- not atom1, atom29.
atom12 > not atom12 :- atom1, atom29.
not atom2 > atom2 :- not atom4, atom29.
atom2 > not atom2 :- atom4, atom29.
not atom10 > atom10 :- not atom1, atom29.
atom10 > not atom10 :- atom1, atom29.
not atom26 > atom26 :- not atom1, atom29.
atom26 > not atom26 :- atom1, atom29.
not atom44 > atom44 :- not atom2, atom29.
not atom44 > atom44 :- atom2, atom29.
not atom3 > atom3 :- not atom2, atom29.
atom3 > not atom3 :- atom2, atom29.
not atom37 > atom37 :- not atom2, atom29.
atom37 > not atom37 :- atom2, atom29.
not atom24 > atom24 :- not atom2, atom29.
atom24 > not atom24 :- atom2, atom29.
atom21 > not atom21 :- not atom2, atom29.
not atom21 > atom21 :- atom2, atom29.
atom33 > not atom33 :- not atom1, atom29.
atom33 > not atom33 :- atom1, atom29.
not atom18 > atom18 :- not atom1, atom29.
not atom18 > atom18 :- atom1, atom29.
not atom9 > atom9 :- not atom1, atom29.
not atom9 > atom9 :- atom1, atom29.
not atom30 > atom30 :- not atom2, atom29.
not atom30 > atom30 :- atom2, atom29.
not atom13 > atom13 :- not atom2, atom29.
not atom13 > atom13 :- atom2, atom29.
atom34 > not atom34 :- not atom1, atom29.
atom34 > not atom34 :- atom1, atom29.
atom27 > not atom27 :- not atom2, atom29.
not atom27 > atom27 :- atom2, atom29.
not atom23 > atom23 :- not atom1, atom29.
atom23 > not atom23 :- atom1, atom29.
not atom25 > atom25 :- not atom1, atom29.
not atom25 > atom25 :- atom1, atom29.
atom16 > not atom16 :- not atom1, atom29.
atom16 > not atom16 :- atom1, atom29.
atom50 > not atom50 :- not atom2, atom29.
atom50 > not atom50 :- atom2, atom29.
not atom14 > atom14 :- not atom4, atom29.
atom14 > not atom14 :- atom4, atom29.
atom20 > not atom20 :- not atom1, atom29.
not atom20 > atom20 :- atom1, atom29.
atom42 > not atom42 :- not atom2, atom29.
atom42 > not atom42 :- atom2, atom29.
atom22 > not atom22 :- not atom2, atom29.
atom22 > not atom22 :- atom2, atom29.
not atom35 > atom35 :- not atom1, atom29.
not atom35 > atom35 :- atom1, atom29.
atom7 > not atom7 :- not atom1, atom29.
atom7 > not atom7 :- atom1, atom29.
atom6 > not atom6 :- not atom3, atom29.
atom6 > not atom6 :- atom3, atom29.
atom19 > not atom19 :- not atom2, atom29.
atom19 > not atom19 :- atom2, atom29.
atom5 > not atom5 :- not atom1, atom29.
atom5 > not atom5 :- atom1, atom29.
not atom46 > atom46 :- not atom4, atom29.
not atom46 > atom46 :- atom4, atom29.
not atom19 > atom19.
atom35 > not atom35 :- not atom19.
not atom35 > atom35 :- atom19.
not atom18 > atom18 :- not atom35.
atom18 > not atom18 :- atom35.
not atom45 > atom45 :- not atom18.
atom45 > not atom45 :- atom18.
not atom34 > atom34 :- not atom18.
not atom34 > atom34 :- atom18.
not atom42 > atom42 :- not atom19.
not atom42 > atom42 :- atom19.
atom20 > not atom20 :- not atom19.
atom20 > not atom20 :- atom19.
atom40 > not atom40 :- not atom18.
not atom40 > atom40 :- atom18.
not atom24 > atom24 :- not atom20.
atom24 > not atom24 :- atom20.
atom2 > not atom2 :- not atom18.
not atom2 > atom2 :- atom18.
not atom33 > atom33 :- not atom2.
atom33 > not atom33 :- atom2.
atom30 > not atom30 :- not atom2.
atom30 > not atom30 :- atom2.
atom21 > not atom21 :- not atom19.
atom21 > not atom21 :- atom19.
not atom22 > atom22 :- not atom19.
not atom22 > atom22 :- atom19.
atom25 > not atom25 :- not atom19.
atom25 > not atom25 :- atom19.
not atom8 > atom8 :- not atom19.
atom8 > not atom8 :- atom19.
atom27 > not atom27 :- not atom18.
atom27 > not atom27 :- atom18.
atom10 > not atom10 :- not atom8.
atom10 > not atom10 :- atom8.
not atom41 > atom41 :- not atom2.
not atom41 > atom41 :- atom2.
atom36 > not atom36 :- not atom10.
not atom36 > atom36 :- atom10.
not atom26 > atom26 :- not atom2.
atom26 > not atom26 :- atom2.
atom7 > not atom7 :- not atom19.
atom7 > not atom7 :- atom19.
not atom48 > atom48 :- not atom18.
not atom48 > atom48 :- atom18.
atom9 > not atom9 :- not atom7.
atom9 > not atom9 :- atom7.
not atom50 > atom50 :- not atom9.
not atom50 > atom50 :- atom9.
not atom28 > atom28 :- not atom2.
not atom28 > atom28 :- atom2.
not atom15 > atom15 :- not atom2.
atom15 > not atom15 :- atom2.
not atom1 > atom1 :- not atom2.
atom1 > not atom1 :- atom2.
not atom14 > atom14 :- not atom7.
atom14 > not atom14 :- atom7.
atom12 > not atom12 :- not atom1.
atom12 > not atom12 :- atom1.
not atom37 > atom37 :- not atom1.
atom37 > not atom37 :- atom1.
not atom29 > atom29 :- not atom1.
atom29 > not atom29 :- atom1.
not atom39 > atom39 :- not atom1.
not atom39 > atom39 :- atom1.
atom5 > not atom5 :- not atom2.
atom5 > not atom5 :- atom2.
not atom16 > atom16 :- not atom1.
atom16 > not atom16 :- atom1.
not atom44 > atom44 :- not atom2.
atom44 > not atom44 :- atom2.
atom32 > not atom32 :- not atom1.
not atom32 > atom32 :- atom1.
not atom49 > atom49 :- not atom5.
atom49 > not atom49 :- atom5.
atom38 > not atom38 :- not atom1.
atom38 > not atom38 :- atom1.
atom23 > not atom23 :- not atom2.
atom23 > not atom23 :- atom2.
not atom6 > atom6 :- not atom1.
not atom6 > atom6 :- atom1.
not atom43 > atom43 :- not atom2.
atom43 > not atom43 :- atom2.
not atom17 > atom17 :- not atom5.
not atom17 > atom17 :- atom5.
not atom13 > atom13 :- not atom1.
atom13 > not atom13 :- atom1.
atom4 > not atom4 :- not atom5.
not atom4 > atom4 :- atom5.
atom46 > not atom46 :- not atom5.
not atom46 > atom46 :- atom5.
not atom31 > atom31 :- not atom1.
not atom31 > atom31 :- atom1.
not atom11 > atom11 :- not atom1.
not atom11 > atom11 :- atom1.
atom3 > not atom3 :- not atom5.
atom3 > not atom3 :- atom5.
not atom47 > atom47 :- not atom1.
not atom47 > atom47 :- atom1.
