not atom50 > atom50.
not atom49 > atom49.
atom17 > not atom17 :- not atom49.
not atom17 > atom17 :- atom49.
not atom40 > atom40 :- not atom17.
not atom40 > atom40 :- atom17.
not atom6 > atom6 :- not atom17.
not atom6 > atom6 :- atom17.
atom45 > not atom45 :- not atom17, not atom6.
not atom45 > atom45 :- atom17, not atom6.
atom20 > not atom20 :- not atom17, not atom6.
not atom20 > atom20 :- atom17, not atom6.
atom37 > not atom37 :- not atom20, not atom6.
not atom37 > atom37 :- atom20, not atom6.
atom4 > not atom4 :- not atom37, not atom6.
atom4 > not atom4 :- atom37, not atom6.
not atom5 > atom5 :- not atom4, not atom6.
atom5 > not atom5 :- atom4, not atom6.
atom28 > not atom28 :- not atom5, not atom6.
atom28 > not atom28 :- atom5, not atom6.
atom48 > not atom48 :- not atom17, not atom6.
not atom48 > atom48 :- atom17, not atom6.
atom3 > not atom3 :- not atom5, not atom6.
atom3 > not atom3 :- atom5, not atom6.
atom12 > not atom12 :- not atom3, not atom6.
atom12 > not atom12 :- atom3, not atom6.
atom1 > not atom1 :- not atom17, not atom6.
not atom1 > atom1 :- atom17, not atom6.
atom42 > not atom42 :- not atom20, not atom6.
not atom42 > atom42 :- atom20, not atom6.
not atom35 > atom35 :- not atom1, not atom6.
not atom35 > atom35 :- atom1, not atom6.
atom39 > not atom39 :- not atom1, not atom6.
not atom39 > atom39 :- atom1, not atom6.
atom36 > not atom36 :- not atom1, not atom6.
atom36 > not atom36 :- atom1, not atom6.
atom32 > not atom32 :- not atom5, not atom6.
not atom32 > atom32 :- atom5, not atom6.
atom41 > not atom41 :- not atom3, not atom6.
atom41 > not atom41 :- atom3, not atom6.
atom2 > not atom2 :- not atom3, not atom6.
not atom2 > atom2 :- atom3, not atom6.
not atom23 > atom23 :- not atom2, not atom6.
not atom23 > atom23 :- atom2, not atom6.
not atom9 > atom9 :- not atom1, not atom6.
atom9 > not atom9 :- atom1, not atom6.
atom18 > not atom18 :- not atom1, not atom6.
not atom18 > atom18 :- atom1, not atom6.
atom10 > not atom10 :- not atom9, not atom6.
not atom10 > atom10 :- atom9, not atom6.
not atom47 > atom47 :- not atom3, not atom6.
atom47 > not atom47 :- atom3, not atom6.
not atom34 > atom34 :- not atom1, not atom6.
not atom34 > atom34 :- atom1, not atom6.
not atom30 > atom30 :- not atom1, not atom6.
not atom30 > atom30 :- atom1, not atom6.
atom33 > not atom33 :- not atom1, not atom6.
not atom33 > atom33 :- atom1, not atom6.
atom15 > not atom15 :- not atom1, not atom6.
atom15 > not atom15 :- atom1, not atom6.
not atom46 > atom46 :- not atom2, not atom6.
atom46 > not atom46 :- atom2, not atom6.
not atom26 > atom26 :- not atom2, not atom6.
not atom26 > atom26 :- atom2, not atom6.
atom7 > not atom7 :- not atom2, not atom6.
atom7 > not atom7 :- atom2, not atom6.
atom14 > not atom14 :- not atom1, not atom6.
not atom14 > atom14 :- atom1, not atom6.
not atom13 > atom13 :- not atom1, not atom6.
atom13 > not atom13 :- atom1, not atom6.
not atom29 > atom29 :- not atom2, not atom6.
not atom29 > atom29 :- atom2, not atom6.
not atom19 > atom19 :- not atom1, not atom6.
not atom19 > atom19 :- atom1, not atom6.
not atom44 > atom44 :- not atom2, not atom6.
not atom44 > atom44 :- atom2, not atom6.
atom25 > not atom25 :- not atom1, not atom6.
atom25 > not atom25 :- atom1, not atom6.
atom38 > not atom38 :- not atom2, not atom6.
not atom38 > atom38 :- atom2, not atom6.
not atom24 > atom24 :- not atom1, not atom6.
not atom24 > atom24 :- atom1, not atom6.
atom21 > not atom21 :- not atom1, not atom6.
atom21 > not atom21 :- atom1, not atom6.
not atom31 > atom31 :- not atom1, not atom6.
atom31 > not atom31 :- atom1, not atom6.
atom27 > not atom27 :- not atom1, not atom6.
atom27 > not atom27 :- atom1, not atom6.
atom11 > not atom11 :- not atom2, not atom6.
atom11 > not atom11 :- atom2, not atom6.
atom16 > not atom16 :- not atom2, not atom6.
not atom16 > atom16 :- atom2, not atom6.
atom22 > not atom22 :- not atom3, not atom6.
atom22 > not atom22 :- atom3, not atom6.
not atom8 > atom8 :- not atom1, not atom6.
not atom8 > atom8 :- atom1, not atom6.
atom43 > not atom43 :- not atom1, not atom6.
not atom43 > atom43 :- atom1, not atom6.
atom16 > not atom16 :- not atom40, atom6.
not atom16 > atom16 :- atom40, atom6.
not atom21 > atom21 :- not atom16, atom6.
not atom21 > atom21 :- atom16, atom6.
atom44 > not atom44 :- not atom16, atom6.
not atom44 > atom44 :- atom16, atom6.
atom38 > not atom38 :- not atom40, atom6.
not atom38 > atom38 :- atom40, atom6.
atom25 > not atom25 :- not atom38, atom6.
not atom25 > atom25 :- atom38, atom6.
atom10 > not atom10 :- not atom16, atom6.
atom10 > not atom10 :- atom16, atom6.
not atom5 > atom5 :- not atom16, atom6.
not atom5 > atom5 :- atom16, atom6.
not atom45 > atom45 :- not atom5, atom6.
atom45 > not atom45 :- atom5, atom6.
not atom46 > atom46 :- not atom5, atom6.
not atom46 > atom46 :- atom5, atom6.
not atom33 > atom33 :- not atom10, atom6.
not atom33 > atom33 :- atom10, atom6.
