not atom46 > atom46.
atom45 > not atom45 :- not atom46.
not atom45 > atom45 :- atom46.
not atom15 > atom15 :- not atom45.
atom15 > not atom15 :- atom45.
atom35 > not atom35 :- atom15.
not atom30 > atom30 :- atom15.
atom12 > not atom12 :- not atom30, atom15.
atom12 > not atom12 :- atom30, atom15.
atom7 > not atom7 :- not atom12, atom15.
atom7 > not atom7 :- atom12, atom15.
atom17 > not atom17 :- not atom12, atom15.
not atom17 > atom17 :- atom12, atom15.
not atom28 > atom28 :- not atom7, atom15.
not atom28 > atom28 :- atom7, atom15.
not atom34 > atom34 :- not atom28, atom15.
not atom34 > atom34 :- atom28, atom15.
not atom36 > atom36 :- not atom12, atom15.
not atom36 > atom36 :- atom12, atom15.
atom20 > not atom20 :- not atom7, atom15.
atom20 > not atom20 :- atom7, atom15.
atom16 > not atom16 :- not atom12, atom15.
not atom16 > atom16 :- atom12, atom15.
not atom39 > atom39 :- not atom12, atom15.
not atom39 > atom39 :- atom12, atom15.
not atom25 > atom25 :- not atom12, atom15.
not atom25 > atom25 :- atom12, atom15.
atom8 > not atom8 :- not atom7, atom15.
not atom8 > atom8 :- atom7, atom15.
atom33 > not atom33 :- not atom7, atom15.
not atom33 > atom33 :- atom7, atom15.
atom23 > not atom23 :- not atom7, atom15.
not atom23 > atom23 :- atom7, atom15.
atom2 > not atom2 :- not atom7, atom15.
not atom2 > atom2 :- atom7, atom15.
atom41 > not atom41 :- not atom2, atom15.
atom41 > not atom41 :- atom2, atom15.
not atom9 > atom9 :- not atom7, atom15.
not atom9 > atom9 :- atom7, atom15.
not atom22 > atom22 :- not atom8, atom15.
not atom22 > atom22 :- atom8, atom15.
atom37 > not atom37 :- not atom8, atom15.
atom37 > not atom37 :- atom8, atom15.
atom14 > not atom14 :- not atom2, atom15.
atom14 > not atom14 :- atom2, atom15.
not atom49 > atom49 :- not atom7, atom15.
not atom49 > atom49 :- atom7, atom15.
atom21 > not atom21 :- not atom2, atom15.
atom21 > not atom21 :- atom2, atom15.
not atom18 > atom18 :- not atom2, atom15.
not atom18 > atom18 :- atom2, atom15.
atom13 > not atom13 :- not atom2, atom15.
not atom13 > atom13 :- atom2, atom15.
atom4 > not atom4 :- not atom7, atom15.
atom4 > not atom4 :- atom7, atom15.
atom10 > not atom10 :- not atom4, atom15.
not atom10 > atom10 :- atom4, atom15.
atom6 > not atom6 :- not atom2, atom15.
atom6 > not atom6 :- atom2, atom15.
not atom42 > atom42 :- not atom4, atom15.
atom42 > not atom42 :- atom4, atom15.
not atom19 > atom19 :- not atom7, atom15.
atom19 > not atom19 :- atom7, atom15.
not atom50 > atom50 :- not atom2, atom15.
not atom50 > atom50 :- atom2, atom15.
not atom47 > atom47 :- not atom2, atom15.
not atom47 > atom47 :- atom2, atom15.
atom1 > not atom1 :- not atom2, atom15.
atom1 > not atom1 :- atom2, atom15.
not atom44 > atom44 :- not atom1, atom15.
atom44 > not atom44 :- atom1, atom15.
atom48 > not atom48 :- not atom2, atom15.
not atom48 > atom48 :- atom2, atom15.
atom31 > not atom31 :- not atom8, atom15.
atom31 > not atom31 :- atom8, atom15.
not atom27 > atom27 :- not atom4, atom15.
not atom27 > atom27 :- atom4, atom15.
not atom11 > atom11 :- not atom1, atom15.
atom11 > not atom11 :- atom1, atom15.
not atom40 > atom40 :- not atom1, atom15.
not atom40 > atom40 :- atom1, atom15.
atom26 > not atom26 :- not atom1, atom15.
atom26 > not atom26 :- atom1, atom15.
atom3 > not atom3 :- not atom9, atom15.
not atom3 > atom3 :- atom9, atom15.
not atom24 > atom24 :- not atom1, atom15.
atom24 > not atom24 :- atom1, atom15.
