atom46 > not atom46.
not atom33 > atom33 :- atom46.
atom13 > not atom13 :- atom46.
atom19 > not atom19 :- atom46.
atom42 > not atom42 :- atom46.
atom35 > not atom35 :- not atom19, atom46.
atom35 > not atom35 :- atom19, atom46.
not atom10 > atom10 :- not atom13, atom46.
not atom10 > atom10 :- atom13, atom46.
atom6 > not atom6 :- not atom19, atom46.
atom6 > not atom6 :- atom19, atom46.
atom12 > not atom12 :- not atom10, atom46.
atom12 > not atom12 :- atom10, atom46.
not atom28 > atom28 :- not atom13, atom46.
not atom28 > atom28 :- atom13, atom46.
not atom31 > atom31 :- not atom12, atom46.
atom31 > not atom31 :- atom12, atom46.
not atom21 > atom21 :- not atom13, atom46.
atom21 > not atom21 :- atom13, atom46.
not atom39 > atom39 :- not atom6, atom46.
atom39 > not atom39 :- atom6, atom46.
atom17 > not atom17 :- not atom21, atom46.
not atom17 > atom17 :- atom21, atom46.
not atom16 > atom16 :- not atom6, atom46.
atom16 > not atom16 :- atom6, atom46.
atom4 > not atom4 :- not atom6, atom46.
atom4 > not atom4 :- atom6, atom46.
atom41 > not atom41 :- not atom4, atom46.
atom41 > not atom41 :- atom4, atom46.
atom2 > not atom2 :- not atom4, atom46.
atom2 > not atom2 :- atom4, atom46.
not atom9 > atom9 :- not atom4, atom46.
not atom9 > atom9 :- atom4, atom46.
not atom7 > atom7 :- not atom2, atom46.
not atom7 > atom7 :- atom2, atom46.
not atom15 > atom15 :- not atom4, atom46.
atom15 > not atom15 :- atom4, atom46.
atom43 > not atom43 :- not atom4, atom46.
not atom43 > atom43 :- atom4, atom46.
not atom48 > atom48 :- not atom2, atom46.
atom48 > not atom48 :- atom2, atom46.
not atom37 > atom37 :- not atom4, atom46.
not atom37 > atom37 :- atom4, atom46.
atom3 > not atom3 :- not atom2, atom46.
atom3 > not atom3 :- atom2, atom46.
not atom30 > atom30 :- not atom3, atom46.
atom30 > not atom30 :- atom3, atom46.
atom18 > not atom18 :- not atom2, atom46.
not atom18 > atom18 :- atom2, atom46.
not atom34 > atom34 :- not atom2, atom46.
not atom34 > atom34 :- atom2, atom46.
atom36 > not atom36 :- not atom2, atom46.
not atom36 > atom36 :- atom2, atom46.
atom45 > not atom45 :- not atom2, atom46.
not atom45 > atom45 :- atom2, atom46.
not atom8 > atom8 :- not atom2, atom46.
not atom8 > atom8 :- atom2, atom46.
atom40 > not atom40 :- not atom2, atom46.
atom40 > not atom40 :- atom2, atom46.
not atom24 > atom24 :- not atom4, atom46.
atom24 > not atom24 :- atom4, atom46.
atom44 > not atom44 :- not atom3, atom46.
not atom44 > atom44 :- atom3, atom46.
atom20 > not atom20 :- not atom2, atom46.
not atom20 > atom20 :- atom2, atom46.
atom11 > not atom11 :- not atom2, atom46.
atom11 > not atom11 :- atom2, atom46.
not atom14 > atom14 :- not atom3, atom46.
not atom14 > atom14 :- atom3, atom46.
not atom38 > atom38 :- not atom2, atom46.
not atom38 > atom38 :- atom2, atom46.
atom23 > not atom23 :- not atom3, atom46.
atom23 > not atom23 :- atom3, atom46.
atom29 > not atom29 :- not atom3, atom46.
not atom29 > atom29 :- atom3, atom46.
not atom32 > atom32 :- not atom3, atom46.
not atom32 > atom32 :- atom3, atom46.
atom1 > not atom1 :- not atom9, atom46.
atom1 > not atom1 :- atom9, atom46.
not atom50 > atom50 :- not atom1, atom46.
atom50 > not atom50 :- atom1, atom46.
not atom5 > atom5 :- not atom3, atom46.
not atom5 > atom5 :- atom3, atom46.
atom47 > not atom47 :- not atom2, atom46.
not atom47 > atom47 :- atom2, atom46.
not atom22 > atom22 :- not atom3, atom46.
atom22 > not atom22 :- atom3, atom46.
atom26 > not atom26 :- not atom2, atom46.
atom26 > not atom26 :- atom2, atom46.
not atom49 > atom49 :- not atom1, atom46.
not atom49 > atom49 :- atom1, atom46.
atom25 > not atom25 :- not atom1, atom46.
not atom25 > atom25 :- atom1, atom46.
not atom27 > atom27 :- not atom4, atom46.
not atom27 > atom27 :- atom4, atom46.
not atom22 > atom22 :- not atom46.
atom27 > not atom27 :- not atom22, not atom46.
atom27 > not atom27 :- atom22, not atom46.
atom4 > not atom4 :- not atom46.
not atom31 > atom31 :- not atom4, not atom46.
atom31 > not atom31 :- atom4, not atom46.
not atom48 > atom48 :- not atom22, not atom46.
not atom48 > atom48 :- atom22, not atom46.
atom36 > not atom36 :- not atom22, not atom46.
not atom36 > atom36 :- atom22, not atom46.
atom30 > not atom30 :- not atom4, not atom46.
not atom30 > atom30 :- atom4, not atom46.
atom28 > not atom28 :- not atom22, not atom46.
atom28 > not atom28 :- atom22, not atom46.
not atom26 > atom26 :- not atom22, not atom46.
atom26 > not atom26 :- atom22, not atom46.
not atom16 > atom16 :- not atom4, not atom46.
not atom16 > atom16 :- atom4, not atom46.
not atom8 > atom8 :- not atom27, not atom46.
not atom8 > atom8 :- atom27, not atom46.
not atom34 > atom34 :- not atom4, not atom46.
atom34 > not atom34 :- atom4, not atom46.
atom23 > not atom23 :- not atom22, not atom46.
not atom23 > atom23 :- atom22, not atom46.
atom19 > not atom19 :- not atom16, not atom46.
atom19 > not atom19 :- atom16, not atom46.
not atom12 > atom12 :- not atom4, not atom46.
atom12 > not atom12 :- atom4, not atom46.
atom35 > not atom35 :- not atom4, not atom46.
not atom35 > atom35 :- atom4, not atom46.
not atom33 > atom33 :- not atom12, not atom46.
not atom33 > atom33 :- atom12, not atom46.
atom17 > not atom17 :- not atom12, not atom46.
atom17 > not atom17 :- atom12, not atom46.
not atom18 > atom18 :- not atom4, not atom46.
atom18 > not atom18 :- atom4, not atom46.
atom1 > not atom1 :- not atom8, not atom46.
not atom1 > atom1 :- atom8, not atom46.
atom44 > not atom44 :- not atom1, not atom46.
not atom44 > atom44 :- atom1, not atom46.
not atom14 > atom14 :- not atom4, not atom46.
not atom14 > atom14 :- atom4, not atom46.
not atom5 > atom5 :- not atom1, not atom46.
not atom5 > atom5 :- atom1, not atom46.
not atom9 > atom9 :- not atom1, not atom46.
atom9 > not atom9 :- atom1, not atom46.
atom3 > not atom3 :- not atom1, not atom46.
atom3 > not atom3 :- atom1, not atom46.
not atom25 > atom25 :- not atom9, not atom46.
atom25 > not atom25 :- atom9, not atom46.
atom49 > not atom49 :- not atom1, not atom46.
atom49 > not atom49 :- atom1, not atom46.
not atom6 > atom6 :- not atom1, not atom46.
atom6 > not atom6 :- atom1, not atom46.
atom41 > not atom41 :- not atom1, not atom46.
atom41 > not atom41 :- atom1, not atom46.
not atom20 > atom20 :- not atom1, not atom46.
not atom20 > atom20 :- atom1, not atom46.
atom10 > not atom10 :- not atom6, not atom46.
not atom10 > atom10 :- atom6, not atom46.
not atom45 > atom45 :- not atom1, not atom46.
atom45 > not atom45 :- atom1, not atom46.
not atom37 > atom37 :- not atom1, not atom46.
not atom37 > atom37 :- atom1, not atom46.
not atom32 > atom32 :- not atom6, not atom46.
not atom32 > atom32 :- atom6, not atom46.
not atom50 > atom50 :- not atom1, not atom46.
atom50 > not atom50 :- atom1, not atom46.
atom47 > not atom47 :- not atom1, not atom46.
atom47 > not atom47 :- atom1, not atom46.
not atom24 > atom24 :- not atom4, not atom46.
atom24 > not atom24 :- atom4, not atom46.
atom38 > not atom38 :- not atom4, not atom46.
not atom38 > atom38 :- atom4, not atom46.
not atom40 > atom40 :- not atom4, not atom46.
not atom40 > atom40 :- atom4, not atom46.
atom2 > not atom2 :- not atom3, not atom46.
atom2 > not atom2 :- atom3, not atom46.
atom15 > not atom15 :- not atom1, not atom46.
atom15 > not atom15 :- atom1, not atom46.
atom21 > not atom21 :- not atom2, not atom46.
atom21 > not atom21 :- atom2, not atom46.
atom43 > not atom43 :- not atom2, not atom46.
atom43 > not atom43 :- atom2, not atom46.
atom7 > not atom7 :- not atom1, not atom46.
not atom7 > atom7 :- atom1, not atom46.
atom29 > not atom29 :- not atom3, not atom46.
not atom29 > atom29 :- atom3, not atom46.
atom42 > not atom42 :- not atom1, not atom46.
atom42 > not atom42 :- atom1, not atom46.
atom39 > not atom39 :- not atom3, not atom46.
atom39 > not atom39 :- atom3, not atom46.
not atom11 > atom11 :- not atom4, not atom46.
not atom11 > atom11 :- atom4, not atom46.
not atom13 > atom13 :- not atom5, not atom46.
atom13 > not atom13 :- atom5, not atom46.
not atom31 > atom31.
not atom35 > atom35 :- not atom31.
atom35 > not atom35 :- atom31.
atom33 > not atom33 :- not atom31.
not atom33 > atom33 :- atom31.
atom15 > not atom15 :- not atom31.
atom15 > not atom15 :- atom31.
not atom28 > atom28 :- not atom15.
not atom28 > atom28 :- atom15.
atom9 > not atom9 :- not atom15.
atom9 > not atom9 :- atom15.
atom40 > not atom40 :- not atom9.
not atom40 > atom40 :- atom9.
not atom25 > atom25 :- not atom15.
atom25 > not atom25 :- atom15.
atom4 > not atom4 :- not atom9.
not atom4 > atom4 :- atom9.
not atom49 > atom49 :- not atom9.
atom49 > not atom49 :- atom9.
not atom7 > atom7 :- not atom28.
atom7 > not atom7 :- atom28.
not atom19 > atom19 :- not atom9.
not atom19 > atom19 :- atom9.
atom27 > not atom27 :- not atom4.
not atom27 > atom27 :- atom4.
atom17 > not atom17 :- not atom4.
not atom17 > atom17 :- atom4.
atom5 > not atom5 :- not atom4.
atom5 > not atom5 :- atom4.
atom36 > not atom36 :- not atom5.
atom36 > not atom36 :- atom5.
atom48 > not atom48 :- not atom7.
not atom48 > atom48 :- atom7.
not atom46 > atom46 :- not atom5.
not atom46 > atom46 :- atom5.
atom8 > not atom8 :- not atom4.
atom8 > not atom8 :- atom4.
atom32 > not atom32 :- not atom5.
not atom32 > atom32 :- atom5.
atom34 > not atom34 :- not atom4.
atom34 > not atom34 :- atom4.
atom1 > not atom1 :- not atom4.
atom1 > not atom1 :- atom4.
atom26 > not atom26 :- not atom7.
not atom26 > atom26 :- atom7.
atom12 > not atom12 :- not atom1.
not atom12 > atom12 :- atom1.
atom23 > not atom23 :- not atom19.
atom23 > not atom23 :- atom19.
not atom38 > atom38 :- not atom1.
atom38 > not atom38 :- atom1.
atom42 > not atom42 :- not atom1.
not atom42 > atom42 :- atom1.
atom13 > not atom13 :- not atom1.
not atom13 > atom13 :- atom1.
