not atom6 > atom6.
atom12 > not atom12 :- atom6.
not atom47 > atom47 :- atom6.
atom5 > not atom5 :- not atom12, atom6.
atom5 > not atom5 :- atom12, atom6.
not atom13 > atom13 :- not atom12, atom6.
atom13 > not atom13 :- atom12, atom6.
atom24 > not atom24 :- not atom47, atom6.
not atom24 > atom24 :- atom47, atom6.
not atom7 > atom7 :- not atom24, atom6.
not atom7 > atom7 :- atom24, atom6.
atom27 > not atom27 :- not atom7, atom6.
not atom27 > atom27 :- atom7, atom6.
atom49 > not atom49 :- not atom5, atom6.
atom49 > not atom49 :- atom5, atom6.
not atom50 > atom50 :- not atom5, atom6.
atom50 > not atom50 :- atom5, atom6.
not atom42 > atom42 :- not atom12, atom6.
atom42 > not atom42 :- atom12, atom6.
not atom1 > atom1 :- not atom7, atom6.
atom1 > not atom1 :- atom7, atom6.
atom25 > not atom25 :- not atom1, atom6.
atom25 > not atom25 :- atom1, atom6.
not atom4 > atom4 :- not atom12, atom6.
atom4 > not atom4 :- atom12, atom6.
not atom38 > atom38 :- not atom1, atom6.
atom38 > not atom38 :- atom1, atom6.
atom19 > not atom19 :- not atom4, atom6.
atom19 > not atom19 :- atom4, atom6.
atom43 > not atom43 :- not atom7, atom6.
atom43 > not atom43 :- atom7, atom6.
not atom26 > atom26 :- not atom5, atom6.
not atom26 > atom26 :- atom5, atom6.
not atom33 > atom33 :- not atom5, atom6.
not atom33 > atom33 :- atom5, atom6.
atom36 > not atom36 :- not atom1, atom6.
atom36 > not atom36 :- atom1, atom6.
not atom3 > atom3 :- not atom1, atom6.
atom3 > not atom3 :- atom1, atom6.
not atom48 > atom48 :- not atom1, atom6.
atom48 > not atom48 :- atom1, atom6.
atom21 > not atom21 :- not atom1, atom6.
atom21 > not atom21 :- atom1, atom6.
atom44 > not atom44 :- not atom1, atom6.
not atom44 > atom44 :- atom1, atom6.
atom14 > not atom14 :- not atom1, atom6.
atom14 > not atom14 :- atom1, atom6.
not atom22 > atom22 :- not atom3, atom6.
not atom22 > atom22 :- atom3, atom6.
