atom36 > not atom36.
not atom37 > atom37 :- not atom36.
not atom37 > atom37 :- atom36.
atom40 > not atom40 :- not atom37.
not atom40 > atom40 :- atom37.
atom42 > not atom42 :- not atom36.
not atom42 > atom42 :- atom36.
atom46 > not atom46 :- not atom36, not atom42.
not atom46 > atom46 :- atom36, not atom42.
atom38 > not atom38 :- not atom37, not atom42.
not atom38 > atom38 :- atom37, not atom42.
not atom39 > atom39 :- not atom38, not atom42.
not atom39 > atom39 :- atom38, not atom42.
atom48 > not atom48 :- not atom36, not atom42.
atom48 > not atom48 :- atom36, not atom42.
atom19 > not atom19 :- not atom36, not atom42.
atom19 > not atom19 :- atom36, not atom42.
atom43 > not atom43 :- not atom19, not atom42.
not atom43 > atom43 :- atom19, not atom42.
not atom11 > atom11 :- not atom19, not atom42.
atom11 > not atom11 :- atom19, not atom42.
not atom47 > atom47 :- not atom11, not atom42.
not atom47 > atom47 :- atom11, not atom42.
not atom10 > atom10 :- not atom11, not atom42.
not atom10 > atom10 :- atom11, not atom42.
not atom31 > atom31 :- not atom19, not atom42.
not atom31 > atom31 :- atom19, not atom42.
atom7 > not atom7 :- not atom11, not atom42.
not atom7 > atom7 :- atom11, not atom42.
atom29 > not atom29 :- not atom7, not atom42.
atom29 > not atom29 :- atom7, not atom42.
atom34 > not atom34 :- not atom11, not atom42.
not atom34 > atom34 :- atom11, not atom42.
not atom12 > atom12 :- not atom29, not atom42.
atom12 > not atom12 :- atom29, not atom42.
atom49 > not atom49 :- not atom10, not atom42.
atom49 > not atom49 :- atom10, not atom42.
atom44 > not atom44 :- not atom10, not atom42.
atom44 > not atom44 :- atom10, not atom42.
atom16 > not atom16 :- not atom12, not atom42.
not atom16 > atom16 :- atom12, not atom42.
atom5 > not atom5 :- not atom11, not atom42.
atom5 > not atom5 :- atom11, not atom42.
atom20 > not atom20 :- not atom7, not atom42.
atom20 > not atom20 :- atom7, not atom42.
not atom32 > atom32 :- not atom5, not atom42.
atom32 > not atom32 :- atom5, not atom42.
atom50 > not atom50 :- not atom5, not atom42.
atom50 > not atom50 :- atom5, not atom42.
not atom14 > atom14 :- not atom19, not atom42.
atom14 > not atom14 :- atom19, not atom42.
not atom33 > atom33 :- not atom10, not atom42.
atom33 > not atom33 :- atom10, not atom42.
atom24 > not atom24 :- not atom7, not atom42.
atom24 > not atom24 :- atom7, not atom42.
atom41 > not atom41 :- not atom5, not atom42.
atom41 > not atom41 :- atom5, not atom42.
not atom2 > atom2 :- not atom5, not atom42.
not atom2 > atom2 :- atom5, not atom42.
not atom30 > atom30 :- not atom5, not atom42.
atom30 > not atom30 :- atom5, not atom42.
not atom45 > atom45 :- not atom10, not atom42.
not atom45 > atom45 :- atom10, not atom42.
not atom27 > atom27 :- not atom2, not atom42.
atom27 > not atom27 :- atom2, not atom42.
not atom25 > atom25 :- not atom2, not atom42.
not atom25 > atom25 :- atom2, not atom42.
atom8 > not atom8 :- not atom7, not atom42.
atom8 > not atom8 :- atom7, not atom42.
atom3 > not atom3 :- not atom5, not atom42.
atom3 > not atom3 :- atom5, not atom42.
atom26 > not atom26 :- not atom2, not atom42.
atom26 > not atom26 :- atom2, not atom42.
not atom15 > atom15 :- not atom2, not atom42.
not atom15 > atom15 :- atom2, not atom42.
atom1 > not atom1 :- not atom5, not atom42.
not atom1 > atom1 :- atom5, not atom42.
not atom21 > atom21 :- not atom5, not atom42.
not atom21 > atom21 :- atom5, not atom42.
not atom13 > atom13 :- not atom2, not atom42.
atom13 > not atom13 :- atom2, not atom42.
atom4 > not atom4 :- not atom1, not atom42.
atom4 > not atom4 :- atom1, not atom42.
not atom6 > atom6 :- not atom1, not atom42.
not atom6 > atom6 :- atom1, not atom42.
not atom9 > atom9 :- not atom1, not atom42.
atom9 > not atom9 :- atom1, not atom42.
atom35 > not atom35 :- not atom1, not atom42.
atom35 > not atom35 :- atom1, not atom42.
not atom22 > atom22 :- not atom3, not atom42.
atom22 > not atom22 :- atom3, not atom42.
atom23 > not atom23 :- not atom2, not atom42.
not atom23 > atom23 :- atom2, not atom42.
not atom17 > atom17 :- not atom1, not atom42.
not atom17 > atom17 :- atom1, not atom42.
not atom28 > atom28 :- not atom3, not atom42.
not atom28 > atom28 :- atom3, not atom42.
atom18 > not atom18 :- not atom4, not atom42.
not atom18 > atom18 :- atom4, not atom42.
not atom31 > atom31 :- not atom37, atom42.
atom31 > not atom31 :- atom37, atom42.
not atom27 > atom27 :- not atom36, atom42.
atom27 > not atom27 :- atom36, atom42.
not atom15 > atom15 :- atom42.
not atom16 > atom16 :- not atom31, atom42.
atom16 > not atom16 :- atom31, atom42.
atom32 > not atom32 :- not atom16, atom42.
atom32 > not atom32 :- atom16, atom42.
atom20 > not atom20 :- not atom15, atom42.
atom20 > not atom20 :- atom15, atom42.
not atom1 > atom1 :- not atom15, atom42.
atom1 > not atom1 :- atom15, atom42.
atom17 > not atom17 :- not atom15, atom42.
not atom17 > atom17 :- atom15, atom42.
atom44 > not atom44 :- not atom15, atom42.
not atom44 > atom44 :- atom15, atom42.
not atom46 > atom46 :- not atom1, atom42.
not atom46 > atom46 :- atom1, atom42.
atom14 > not atom14 :- not atom1, atom42.
atom14 > not atom14 :- atom1, atom42.
atom3 > not atom3 :- not atom1, atom42.
not atom3 > atom3 :- atom1, atom42.
atom11 > not atom11 :- not atom14, atom42.
not atom11 > atom11 :- atom14, atom42.
atom18 > not atom18 :- not atom1, atom42.
atom18 > not atom18 :- atom1, atom42.
atom2 > not atom2 :- not atom1, atom42.
not atom2 > atom2 :- atom1, atom42.
atom34 > not atom34 :- not atom1, atom42.
not atom34 > atom34 :- atom1, atom42.
atom9 > not atom9 :- not atom1, atom42.
not atom9 > atom9 :- atom1, atom42.
atom39 > not atom39 :- not atom1, atom42.
not atom39 > atom39 :- atom1, atom42.
not atom21 > atom21 :- not atom14, atom42.
not atom21 > atom21 :- atom14, atom42.
not atom12 > atom12 :- not atom1, atom42.
not atom12 > atom12 :- atom1, atom42.
not atom25 > atom25 :- not atom2, atom42.
not atom25 > atom25 :- atom2, atom42.
not atom24 > atom24 :- not atom12, atom42.
not atom24 > atom24 :- atom12, atom42.
not atom43 > atom43 :- not atom1, atom42.
atom43 > not atom43 :- atom1, atom42.
atom33 > not atom33 :- not atom11, atom42.
not atom33 > atom33 :- atom11, atom42.
not atom13 > atom13 :- not atom1, atom42.
atom13 > not atom13 :- atom1, atom42.
not atom48 > atom48 :- not atom1, atom42.
not atom48 > atom48 :- atom1, atom42.
atom38 > not atom38 :- not atom2, atom42.
atom38 > not atom38 :- atom2, atom42.
not atom6 > atom6 :- not atom1, atom42.
atom6 > not atom6 :- atom1, atom42.
