atom47 > not atom47.
not atom46 > atom46 :- atom47.
atom23 > not atom23 :- not atom46, atom47.
not atom23 > atom23 :- atom46, atom47.
not atom42 > atom42 :- not atom23, atom47.
not atom42 > atom42 :- atom23, atom47.
not atom41 > atom41 :- not atom23, atom47.
not atom41 > atom41 :- atom23, atom47.
atom25 > not atom25 :- not atom41, atom47.
atom25 > not atom25 :- atom41, atom47.
atom1 > not atom1 :- not atom23, atom47.
atom1 > not atom1 :- atom23, atom47.
atom5 > not atom5 :- not atom1, atom47.
not atom5 > atom5 :- atom1, atom47.
atom18 > not atom18 :- not atom23, atom47.
atom18 > not atom18 :- atom23, atom47.
not atom9 > atom9 :- not atom5, atom47.
not atom9 > atom9 :- atom5, atom47.
not atom22 > atom22 :- not atom5, atom47.
atom22 > not atom22 :- atom5, atom47.
atom24 > not atom24 :- not atom1, atom47.
not atom24 > atom24 :- atom1, atom47.
not atom29 > atom29 :- not atom5, atom47.
atom29 > not atom29 :- atom5, atom47.
atom43 > not atom43 :- not atom1, atom47.
not atom43 > atom43 :- atom1, atom47.
atom34 > not atom34 :- not atom23, atom47.
not atom34 > atom34 :- atom23, atom47.
atom31 > not atom31 :- not atom1, atom47.
not atom31 > atom31 :- atom1, atom47.
atom40 > not atom40 :- not atom18, atom47.
atom40 > not atom40 :- atom18, atom47.
not atom32 > atom32 :- not atom22, atom47.
not atom32 > atom32 :- atom22, atom47.
not atom17 > atom17 :- not atom1, atom47.
not atom17 > atom17 :- atom1, atom47.
not atom10 > atom10 :- not atom1, atom47.
not atom10 > atom10 :- atom1, atom47.
not atom21 > atom21 :- not atom1, atom47.
atom21 > not atom21 :- atom1, atom47.
not atom8 > atom8 :- not atom1, atom47.
not atom8 > atom8 :- atom1, atom47.
atom7 > not atom7 :- not atom5, atom47.
atom7 > not atom7 :- atom5, atom47.
atom30 > not atom30 :- not atom7, atom47.
atom30 > not atom30 :- atom7, atom47.
not atom48 > atom48 :- not atom1, atom47.
not atom48 > atom48 :- atom1, atom47.
not atom6 > atom6 :- not atom1, atom47.
atom6 > not atom6 :- atom1, atom47.
atom13 > not atom13 :- not atom1, atom47.
not atom13 > atom13 :- atom1, atom47.
not atom26 > atom26 :- not atom1, atom47.
not atom26 > atom26 :- atom1, atom47.
atom49 > not atom49 :- not atom21, atom47.
not atom49 > atom49 :- atom21, atom47.
atom4 > not atom4 :- not atom7, atom47.
atom4 > not atom4 :- atom7, atom47.
not atom36 > atom36 :- not atom1, atom47.
not atom36 > atom36 :- atom1, atom47.
not atom50 > atom50 :- not atom1, atom47.
atom50 > not atom50 :- atom1, atom47.
atom35 > not atom35 :- not atom1, atom47.
atom35 > not atom35 :- atom1, atom47.
not atom20 > atom20 :- not atom1, atom47.
not atom20 > atom20 :- atom1, atom47.
atom3 > not atom3 :- not atom1, atom47.
atom3 > not atom3 :- atom1, atom47.
atom11 > not atom11 :- not atom6, atom47.
not atom11 > atom11 :- atom6, atom47.
not atom12 > atom12 :- not atom1, atom47.
atom12 > not atom12 :- atom1, atom47.
not atom27 > atom27 :- not atom3, atom47.
atom27 > not atom27 :- atom3, atom47.
atom16 > not atom16 :- not atom1, atom47.
atom16 > not atom16 :- atom1, atom47.
atom2 > not atom2 :- not atom1, atom47.
not atom2 > atom2 :- atom1, atom47.
atom39 > not atom39 :- not atom1, atom47.
not atom39 > atom39 :- atom1, atom47.
atom28 > not atom28 :- not atom1, atom47.
atom28 > not atom28 :- atom1, atom47.
not atom45 > atom45 :- not atom1, atom47.
not atom45 > atom45 :- atom1, atom47.
atom44 > not atom44 :- not atom4, atom47.
not atom44 > atom44 :- atom4, atom47.
atom37 > not atom37 :- not atom1, atom47.
atom37 > not atom37 :- atom1, atom47.
not atom33 > atom33 :- not atom1, atom47.
not atom33 > atom33 :- atom1, atom47.
not atom38 > atom38 :- not atom2, atom47.
atom38 > not atom38 :- atom2, atom47.
atom19 > not atom19 :- not atom1, atom47.
not atom19 > atom19 :- atom1, atom47.
atom15 > not atom15 :- not atom1, atom47.
atom15 > not atom15 :- atom1, atom47.
not atom14 > atom14 :- not atom2, atom47.
atom14 > not atom14 :- atom2, atom47.
not atom10 > atom10 :- not atom47.
atom6 > not atom6 :- not atom10, not atom47.
not atom6 > atom6 :- atom10, not atom47.
atom39 > not atom39 :- not atom6, not atom47.
atom39 > not atom39 :- atom6, not atom47.
not atom20 > atom20 :- not atom6, not atom47.
atom20 > not atom20 :- atom6, not atom47.
atom43 > not atom43 :- not atom10, not atom47.
atom43 > not atom43 :- atom10, not atom47.
atom48 > not atom48 :- not atom6, not atom47.
atom48 > not atom48 :- atom6, not atom47.
not atom14 > atom14 :- not atom39, not atom47.
atom14 > not atom14 :- atom39, not atom47.
not atom35 > atom35 :- not atom10, not atom47.
atom35 > not atom35 :- atom10, not atom47.
atom7 > not atom7 :- not atom6, not atom47.
atom7 > not atom7 :- atom6, not atom47.
not atom37 > atom37 :- not atom14, not atom47.
atom37 > not atom37 :- atom14, not atom47.
