not atom3 > atom3.
not atom45 > atom45 :- not atom3.
not atom45 > atom45 :- atom3.
not atom35 > atom35 :- not atom45.
atom10 > not atom10 :- not atom3, not atom45.
not atom10 > atom10 :- atom3, not atom45.
not atom17 > atom17 :- not atom3, not atom45.
not atom17 > atom17 :- atom3, not atom45.
atom33 > not atom33 :- not atom3, not atom45.
atom33 > not atom33 :- atom3, not atom45.
not atom47 > atom47 :- not atom35, not atom45.
not atom47 > atom47 :- atom35, not atom45.
atom34 > not atom34 :- not atom3, not atom45.
not atom34 > atom34 :- atom3, not atom45.
not atom12 > atom12 :- not atom3, not atom45.
atom12 > not atom12 :- atom3, not atom45.
atom38 > not atom38 :- not atom10, not atom45.
not atom38 > atom38 :- atom10, not atom45.
not atom36 > atom36 :- not atom3, not atom45.
atom36 > not atom36 :- atom3, not atom45.
atom20 > not atom20 :- not atom3, not atom45.
atom20 > not atom20 :- atom3, not atom45.
atom27 > not atom27 :- not atom12, not atom45.
not atom27 > atom27 :- atom12, not atom45.
atom37 > not atom37 :- not atom27, not atom45.
not atom37 > atom37 :- atom27, not atom45.
atom11 > not atom11 :- not atom3, not atom45.
atom11 > not atom11 :- atom3, not atom45.
not atom25 > atom25 :- not atom3, not atom45.
atom25 > not atom25 :- atom3, not atom45.
atom22 > not atom22 :- not atom10, not atom45.
not atom22 > atom22 :- atom10, not atom45.
not atom41 > atom41 :- not atom3, not atom45.
atom41 > not atom41 :- atom3, not atom45.
not atom29 > atom29 :- not atom10, not atom45.
not atom29 > atom29 :- atom10, not atom45.
not atom32 > atom32 :- not atom3, not atom45.
atom32 > not atom32 :- atom3, not atom45.
atom30 > not atom30 :- not atom11, not atom45.
atom30 > not atom30 :- atom11, not atom45.
atom1 > not atom1 :- not atom3, not atom45.
atom1 > not atom1 :- atom3, not atom45.
atom19 > not atom19 :- not atom1, not atom45.
atom19 > not atom19 :- atom1, not atom45.
atom24 > not atom24 :- not atom3, not atom45.
not atom24 > atom24 :- atom3, not atom45.
atom50 > not atom50 :- not atom10, not atom45.
not atom50 > atom50 :- atom10, not atom45.
not atom31 > atom31 :- not atom1, not atom45.
not atom31 > atom31 :- atom1, not atom45.
atom26 > not atom26 :- not atom10, not atom45.
atom26 > not atom26 :- atom10, not atom45.
not atom13 > atom13 :- not atom1, not atom45.
atom13 > not atom13 :- atom1, not atom45.
not atom40 > atom40 :- not atom1, not atom45.
not atom40 > atom40 :- atom1, not atom45.
not atom46 > atom46 :- not atom1, not atom45.
atom46 > not atom46 :- atom1, not atom45.
atom21 > not atom21 :- not atom1, not atom45.
atom21 > not atom21 :- atom1, not atom45.
not atom4 > atom4 :- not atom10, not atom45.
not atom4 > atom4 :- atom10, not atom45.
not atom42 > atom42 :- not atom1, not atom45.
atom42 > not atom42 :- atom1, not atom45.
atom14 > not atom14 :- not atom1, not atom45.
atom14 > not atom14 :- atom1, not atom45.
atom15 > not atom15 :- not atom1, not atom45.
atom15 > not atom15 :- atom1, not atom45.
atom6 > not atom6 :- not atom4, not atom45.
atom6 > not atom6 :- atom4, not atom45.
not atom49 > atom49 :- not atom4, not atom45.
atom49 > not atom49 :- atom4, not atom45.
atom2 > not atom2 :- not atom10, not atom45.
