not atom50 > atom50.
atom3 > not atom3 :- not atom50.
atom3 > not atom3 :- atom50.
not atom31 > atom31 :- not atom50, not atom3.
atom31 > not atom31 :- atom50, not atom3.
not atom46 > atom46 :- not atom50, not atom3.
atom46 > not atom46 :- atom50, not atom3.
atom9 > not atom9 :- not atom50, not atom3.
atom9 > not atom9 :- atom50, not atom3.
not atom49 > atom49 :- not atom9, not atom3.
not atom49 > atom49 :- atom9, not atom3.
atom23 > not atom23 :- not atom50, not atom3.
not atom23 > atom23 :- atom50, not atom3.
not atom44 > atom44 :- not atom23, not atom3.
atom44 > not atom44 :- atom23, not atom3.
not atom13 > atom13 :- not atom31, not atom3.
not atom13 > atom13 :- atom31, not atom3.
atom5 > not atom5 :- not atom9, not atom3.
atom5 > not atom5 :- atom9, not atom3.
atom14 > not atom14 :- not atom5, not atom3.
not atom14 > atom14 :- atom5, not atom3.
not atom22 > atom22 :- not atom13, not atom3.
not atom22 > atom22 :- atom13, not atom3.
not atom43 > atom43 :- not atom9, not atom3.
not atom43 > atom43 :- atom9, not atom3.
not atom36 > atom36 :- not atom14, not atom3.
not atom36 > atom36 :- atom14, not atom3.
atom24 > not atom24 :- not atom13, not atom3.
not atom24 > atom24 :- atom13, not atom3.
atom18 > not atom18 :- not atom5, not atom3.
not atom18 > atom18 :- atom5, not atom3.
atom16 > not atom16 :- not atom9, not atom3.
not atom16 > atom16 :- atom9, not atom3.
not atom20 > atom20 :- not atom5, not atom3.
atom20 > not atom20 :- atom5, not atom3.
not atom28 > atom28 :- not atom14, not atom3.
not atom28 > atom28 :- atom14, not atom3.
atom33 > not atom33 :- not atom5, not atom3.
not atom33 > atom33 :- atom5, not atom3.
not atom10 > atom10 :- not atom5, not atom3.
atom10 > not atom10 :- atom5, not atom3.
not atom17 > atom17 :- not atom5, not atom3.
atom17 > not atom17 :- atom5, not atom3.
atom38 > not atom38 :- not atom5, not atom3.
not atom38 > atom38 :- atom5, not atom3.
not atom45 > atom45 :- not atom9, not atom3.
not atom45 > atom45 :- atom9, not atom3.
not atom12 > atom12 :- not atom5, not atom3.
not atom12 > atom12 :- atom5, not atom3.
atom4 > not atom4 :- not atom9, not atom3.
not atom4 > atom4 :- atom9, not atom3.
atom15 > not atom15 :- not atom4, not atom3.
atom15 > not atom15 :- atom4, not atom3.
not atom1 > atom1 :- not atom12, not atom3.
atom1 > not atom1 :- atom12, not atom3.
not atom26 > atom26 :- not atom5, not atom3.
not atom26 > atom26 :- atom5, not atom3.
atom27 > not atom27 :- not atom1, not atom3.
not atom27 > atom27 :- atom1, not atom3.
atom40 > not atom40 :- not atom1, not atom3.
not atom40 > atom40 :- atom1, not atom3.
not atom6 > atom6 :- not atom5, not atom3.
not atom6 > atom6 :- atom5, not atom3.
not atom25 > atom25 :- not atom10, not atom3.
not atom25 > atom25 :- atom10, not atom3.
atom7 > not atom7 :- not atom1, not atom3.
atom7 > not atom7 :- atom1, not atom3.
atom37 > not atom37 :- not atom1, not atom3.
atom37 > not atom37 :- atom1, not atom3.
not atom47 > atom47 :- not atom5, not atom3.
not atom47 > atom47 :- atom5, not atom3.
not atom30 > atom30 :- not atom6, not atom3.
not atom30 > atom30 :- atom6, not atom3.
atom29 > not atom29 :- not atom5, not atom3.
atom29 > not atom29 :- atom5, not atom3.
not atom21 > atom21 :- not atom4, not atom3.
not atom21 > atom21 :- atom4, not atom3.
atom41 > not atom41 :- not atom4, not atom3.
not atom41 > atom41 :- atom4, not atom3.
not atom35 > atom35 :- not atom6, not atom3.
not atom35 > atom35 :- atom6, not atom3.
not atom48 > atom48 :- not atom4, not atom3.
atom48 > not atom48 :- atom4, not atom3.
atom2 > not atom2 :- not atom4, not atom3.
atom2 > not atom2 :- atom4, not atom3.
atom34 > not atom34 :- not atom1, not atom3.
not atom34 > atom34 :- atom1, not atom3.
atom8 > not atom8 :- not atom2, not atom3.
not atom8 > atom8 :- atom2, not atom3.
atom19 > not atom19 :- not atom6, not atom3.
not atom19 > atom19 :- atom6, not atom3.
not atom11 > atom11 :- not atom2, not atom3.
atom11 > not atom11 :- atom2, not atom3.
atom42 > not atom42 :- not atom2, not atom3.
not atom42 > atom42 :- atom2, not atom3.
atom32 > not atom32 :- not atom1, not atom3.
atom32 > not atom32 :- atom1, not atom3.
not atom39 > atom39 :- not atom1, not atom3.
not atom39 > atom39 :- atom1, not atom3.
atom14 > not atom14 :- atom3.
atom31 > not atom31 :- not atom14, atom3.
not atom31 > atom31 :- atom14, atom3.
not atom42 > atom42 :- not atom14, atom3.
atom42 > not atom42 :- atom14, atom3.
atom38 > not atom38 :- not atom42, atom3.
not atom38 > atom38 :- atom42, atom3.
not atom11 > atom11 :- not atom14, atom3.
not atom11 > atom11 :- atom14, atom3.
not atom32 > atom32 :- not atom14, atom3.
atom32 > not atom32 :- atom14, atom3.
not atom36 > atom36 :- not atom31, atom3.
atom36 > not atom36 :- atom31, atom3.
atom43 > not atom43 :- not atom11, atom3.
atom43 > not atom43 :- atom11, atom3.
atom44 > not atom44 :- not atom14, atom3.
not atom44 > atom44 :- atom14, atom3.
atom4 > not atom4 :- not atom11, atom3.
not atom4 > atom4 :- atom11, atom3.
atom8 > not atom8 :- not atom4, atom3.
not atom8 > atom8 :- atom4, atom3.
atom30 > not atom30 :- not atom11, atom3.
not atom30 > atom30 :- atom11, atom3.
atom37 > not atom37 :- not atom4, atom3.
atom37 > not atom37 :- atom4, atom3.
atom47 > not atom47 :- not atom11, atom3.
not atom47 > atom47 :- atom11, atom3.
atom49 > not atom49 :- not atom4, atom3.
atom49 > not atom49 :- atom4, atom3.
atom16 > not atom16 :- not atom4, atom3.
atom16 > not atom16 :- atom4, atom3.
atom48 > not atom48 :- not atom4, atom3.
not atom48 > atom48 :- atom4, atom3.
atom18 > not atom18 :- not atom4, atom3.
not atom18 > atom18 :- atom4, atom3.
atom24 > not atom24 :- not atom4, atom3.
atom24 > not atom24 :- atom4, atom3.
not atom46 > atom46 :- not atom4, atom3.
not atom46 > atom46 :- atom4, atom3.
not atom26 > atom26 :- not atom18, atom3.
atom26 > not atom26 :- atom18, atom3.
atom13 > not atom13 :- not atom11, atom3.
atom13 > not atom13 :- atom11, atom3.
not atom2 > atom2 :- not atom11, atom3.
atom2 > not atom2 :- atom11, atom3.
not atom7 > atom7 :- not atom2, atom3.
not atom7 > atom7 :- atom2, atom3.
not atom20 > atom20 :- not atom4, atom3.
not atom20 > atom20 :- atom4, atom3.
not atom25 > atom25 :- not atom7, atom3.
not atom25 > atom25 :- atom7, atom3.
