not atom9 > atom9.
atom34 > not atom34.
atom8 > not atom8 :- not atom9, atom34.
atom8 > not atom8 :- atom9, atom34.
atom45 > not atom45 :- atom34.
atom1 > not atom1 :- not atom8, atom34.
not atom1 > atom1 :- atom8, atom34.
not atom37 > atom37 :- not atom1, atom34.
not atom37 > atom37 :- atom1, atom34.
atom7 > not atom7 :- not atom1, atom34.
atom7 > not atom7 :- atom1, atom34.
not atom38 > atom38 :- not atom1, atom34.
atom38 > not atom38 :- atom1, atom34.
atom6 > not atom6 :- not atom1, atom34.
atom6 > not atom6 :- atom1, atom34.
not atom29 > atom29 :- not atom8, atom34.
not atom29 > atom29 :- atom8, atom34.
atom48 > not atom48 :- not atom6, atom34.
atom48 > not atom48 :- atom6, atom34.
atom32 > not atom32 :- not atom6, atom34.
not atom32 > atom32 :- atom6, atom34.
atom15 > not atom15 :- not atom1, atom34.
not atom15 > atom15 :- atom1, atom34.
not atom13 > atom13 :- not atom6, atom34.
atom13 > not atom13 :- atom6, atom34.
atom42 > not atom42 :- not atom7, atom34.
atom42 > not atom42 :- atom7, atom34.
atom33 > not atom33 :- not atom8, atom34.
not atom33 > atom33 :- atom8, atom34.
atom36 > not atom36 :- not atom8, atom34.
not atom36 > atom36 :- atom8, atom34.
atom47 > not atom47 :- not atom1, atom34.
not atom47 > atom47 :- atom1, atom34.
atom39 > not atom39 :- not atom1, atom34.
not atom39 > atom39 :- atom1, atom34.
not atom43 > atom43 :- not atom1, atom34.
atom43 > not atom43 :- atom1, atom34.
atom27 > not atom27 :- not atom1, atom34.
not atom27 > atom27 :- atom1, atom34.
not atom12 > atom12 :- not atom1, atom34.
atom12 > not atom12 :- atom1, atom34.
atom44 > not atom44 :- not atom1, atom34.
atom44 > not atom44 :- atom1, atom34.
atom4 > not atom4 :- not atom6, atom34.
atom4 > not atom4 :- atom6, atom34.
atom20 > not atom20 :- not atom1, atom34.
atom20 > not atom20 :- atom1, atom34.
atom26 > not atom26 :- not atom7, atom34.
atom26 > not atom26 :- atom7, atom34.
not atom3 > atom3 :- not atom4, atom34.
not atom3 > atom3 :- atom4, atom34.
atom5 > not atom5 :- not atom1, atom34.
not atom5 > atom5 :- atom1, atom34.
not atom10 > atom10 :- not atom1, atom34.
atom10 > not atom10 :- atom1, atom34.
atom49 > not atom49 :- not atom3, atom34.
not atom49 > atom49 :- atom3, atom34.
not atom23 > atom23 :- not atom3, atom34.
not atom23 > atom23 :- atom3, atom34.
atom2 > not atom2 :- not atom1, atom34.
not atom2 > atom2 :- atom1, atom34.
atom19 > not atom19 :- not atom3, atom34.
atom19 > not atom19 :- atom3, atom34.
not atom14 > atom14 :- not atom3, atom34.
atom14 > not atom14 :- atom3, atom34.
not atom46 > atom46 :- not atom2, atom34.
atom46 > not atom46 :- atom2, atom34.
atom11 > not atom11 :- not atom1, atom34.
not atom11 > atom11 :- atom1, atom34.
not atom24 > atom24 :- not atom1, atom34.
not atom24 > atom24 :- atom1, atom34.
atom41 > not atom41 :- not atom1, atom34.
atom41 > not atom41 :- atom1, atom34.
atom18 > not atom18 :- not atom3, atom34.
atom18 > not atom18 :- atom3, atom34.
not atom40 > atom40 :- not atom2, atom34.
atom40 > not atom40 :- atom2, atom34.
atom16 > not atom16 :- not atom1, atom34.
atom16 > not atom16 :- atom1, atom34.
not atom30 > atom30 :- not atom1, atom34.
atom30 > not atom30 :- atom1, atom34.
atom25 > not atom25 :- not atom2, atom34.
not atom25 > atom25 :- atom2, atom34.
atom17 > not atom17 :- not atom1, atom34.
not atom17 > atom17 :- atom1, atom34.
atom35 > not atom35 :- not atom4, atom34.
not atom35 > atom35 :- atom4, atom34.
not atom28 > atom28 :- not atom2, atom34.
atom28 > not atom28 :- atom2, atom34.
atom31 > not atom31 :- not atom1, atom34.
not atom31 > atom31 :- atom1, atom34.
atom22 > not atom22 :- not atom1, atom34.
not atom22 > atom22 :- atom1, atom34.
not atom50 > atom50 :- not atom3, atom34.
not atom50 > atom50 :- atom3, atom34.
not atom21 > atom21 :- not atom1, atom34.
atom21 > not atom21 :- atom1, atom34.
not atom43 > atom43 :- not atom9, not atom34.
not atom43 > atom43 :- atom9, not atom34.
atom40 > not atom40 :- not atom34.
not atom14 > atom14 :- not atom9, not atom34.
not atom14 > atom14 :- atom9, not atom34.
not atom46 > atom46 :- not atom9, not atom34.
atom46 > not atom46 :- atom9, not atom34.
not atom26 > atom26 :- not atom14, not atom34.
not atom26 > atom26 :- atom14, not atom34.
not atom20 > atom20 :- not atom9, not atom34.
atom20 > not atom20 :- atom9, not atom34.
atom15 > not atom15 :- not atom14, not atom34.
atom15 > not atom15 :- atom14, not atom34.
atom39 > not atom39 :- not atom9, not atom34.
not atom39 > atom39 :- atom9, not atom34.
not atom1 > atom1 :- not atom20, not atom34.
