atom46 > not atom46.
atom27 > not atom27 :- atom46.
atom33 > not atom33 :- atom46.
atom2 > not atom2 :- not atom33, atom46.
not atom2 > atom2 :- atom33, atom46.
atom13 > not atom13 :- not atom2, atom46.
atom13 > not atom13 :- atom2, atom46.
atom11 > not atom11 :- not atom2, atom46.
atom11 > not atom11 :- atom2, atom46.
not atom50 > atom50 :- not atom11, atom46.
atom50 > not atom50 :- atom11, atom46.
atom17 > not atom17 :- not atom33, atom46.
not atom17 > atom17 :- atom33, atom46.
atom39 > not atom39 :- not atom11, atom46.
atom39 > not atom39 :- atom11, atom46.
not atom14 > atom14 :- not atom2, atom46.
atom14 > not atom14 :- atom2, atom46.
atom7 > not atom7 :- not atom2, atom46.
atom7 > not atom7 :- atom2, atom46.
not atom40 > atom40 :- not atom7, atom46.
not atom40 > atom40 :- atom7, atom46.
atom12 > not atom12 :- not atom2, atom46.
atom12 > not atom12 :- atom2, atom46.
atom22 > not atom22 :- not atom2, atom46.
atom22 > not atom22 :- atom2, atom46.
atom19 > not atom19 :- not atom11, atom46.
not atom19 > atom19 :- atom11, atom46.
not atom43 > atom43 :- not atom2, atom46.
not atom43 > atom43 :- atom2, atom46.
atom49 > not atom49 :- not atom2, atom46.
atom49 > not atom49 :- atom2, atom46.
atom25 > not atom25 :- not atom2, atom46.
atom25 > not atom25 :- atom2, atom46.
not atom5 > atom5 :- not atom2, atom46.
not atom5 > atom5 :- atom2, atom46.
atom38 > not atom38 :- not atom2, atom46.
not atom38 > atom38 :- atom2, atom46.
atom31 > not atom31 :- not atom19, atom46.
not atom31 > atom31 :- atom19, atom46.
not atom28 > atom28 :- not atom13, atom46.
atom28 > not atom28 :- atom13, atom46.
atom36 > not atom36 :- not atom2, atom46.
not atom36 > atom36 :- atom2, atom46.
atom48 > not atom48 :- not atom2, atom46.
atom48 > not atom48 :- atom2, atom46.
atom26 > not atom26 :- not atom2, atom46.
not atom26 > atom26 :- atom2, atom46.
not atom1 > atom1 :- not atom2, atom46.
atom1 > not atom1 :- atom2, atom46.
not atom4 > atom4 :- not atom1, atom46.
not atom4 > atom4 :- atom1, atom46.
atom9 > not atom9 :- not atom4, atom46.
not atom9 > atom9 :- atom4, atom46.
atom3 > not atom3 :- not atom2, atom46.
not atom3 > atom3 :- atom2, atom46.
not atom45 > atom45 :- not atom3, atom46.
atom45 > not atom45 :- atom3, atom46.
not atom41 > atom41 :- not atom4, atom46.
atom41 > not atom41 :- atom4, atom46.
not atom34 > atom34 :- not atom4, atom46.
atom34 > not atom34 :- atom4, atom46.
atom42 > not atom42 :- not atom1, atom46.
not atom42 > atom42 :- atom1, atom46.
not atom20 > atom20 :- not atom2, atom46.
atom20 > not atom20 :- atom2, atom46.
atom8 > not atom8 :- not atom2, atom46.
not atom8 > atom8 :- atom2, atom46.
atom10 > not atom10 :- not atom2, atom46.
not atom10 > atom10 :- atom2, atom46.
not atom47 > atom47 :- not atom7, atom46.
atom47 > not atom47 :- atom7, atom46.
not atom24 > atom24 :- not atom1, atom46.
not atom24 > atom24 :- atom1, atom46.
atom32 > not atom32 :- not atom4, atom46.
atom32 > not atom32 :- atom4, atom46.
not atom29 > atom29 :- not atom3, atom46.
atom29 > not atom29 :- atom3, atom46.
not atom21 > atom21 :- not atom4, atom46.
not atom21 > atom21 :- atom4, atom46.
not atom6 > atom6 :- not atom1, atom46.
not atom6 > atom6 :- atom1, atom46.
not atom23 > atom23 :- not atom1, atom46.
not atom23 > atom23 :- atom1, atom46.
not atom16 > atom16 :- not atom3, atom46.
not atom16 > atom16 :- atom3, atom46.
atom44 > not atom44 :- not atom1, atom46.
atom44 > not atom44 :- atom1, atom46.
not atom18 > atom18 :- not atom1, atom46.
not atom18 > atom18 :- atom1, atom46.
atom35 > not atom35 :- not atom3, atom46.
not atom35 > atom35 :- atom3, atom46.
atom15 > not atom15 :- not atom2, atom46.
not atom15 > atom15 :- atom2, atom46.
not atom37 > atom37 :- not atom2, atom46.
atom37 > not atom37 :- atom2, atom46.
atom30 > not atom30 :- not atom2, atom46.
not atom30 > atom30 :- atom2, atom46.
atom19 > not atom19 :- not atom46.
not atom33 > atom33 :- not atom19, not atom46.
