atom43 > not atom43.
not atom10 > atom10 :- not atom43.
not atom10 > atom10 :- atom43.
atom25 > not atom25 :- not atom43, not atom10.
not atom25 > atom25 :- atom43, not atom10.
atom9 > not atom9 :- not atom10.
atom22 > not atom22 :- not atom25, not atom10.
atom22 > not atom22 :- atom25, not atom10.
not atom39 > atom39 :- not atom9, not atom10.
atom39 > not atom39 :- atom9, not atom10.
not atom6 > atom6 :- not atom9, not atom10.
atom6 > not atom6 :- atom9, not atom10.
not atom20 > atom20 :- not atom6, not atom10.
not atom20 > atom20 :- atom6, not atom10.
not atom18 > atom18 :- not atom20, not atom10.
not atom18 > atom18 :- atom20, not atom10.
not atom44 > atom44 :- not atom18, not atom10.
atom44 > not atom44 :- atom18, not atom10.
not atom12 > atom12 :- not atom6, not atom10.
not atom12 > atom12 :- atom6, not atom10.
atom35 > not atom35 :- not atom6, not atom10.
not atom35 > atom35 :- atom6, not atom10.
not atom8 > atom8 :- not atom6, not atom10.
atom8 > not atom8 :- atom6, not atom10.
not atom15 > atom15 :- not atom6, not atom10.
atom15 > not atom15 :- atom6, not atom10.
atom41 > not atom41 :- not atom9, not atom10.
not atom41 > atom41 :- atom9, not atom10.
not atom42 > atom42 :- not atom9, not atom10.
not atom42 > atom42 :- atom9, not atom10.
not atom11 > atom11 :- not atom6, not atom10.
not atom11 > atom11 :- atom6, not atom10.
atom29 > not atom29 :- not atom8, not atom10.
not atom29 > atom29 :- atom8, not atom10.
not atom17 > atom17 :- not atom8, not atom10.
not atom17 > atom17 :- atom8, not atom10.
atom32 > not atom32 :- not atom9, not atom10.
atom32 > not atom32 :- atom9, not atom10.
atom7 > not atom7 :- not atom9, not atom10.
not atom7 > atom7 :- atom9, not atom10.
atom14 > not atom14 :- not atom6, not atom10.
not atom14 > atom14 :- atom6, not atom10.
not atom40 > atom40 :- not atom6, not atom10.
not atom40 > atom40 :- atom6, not atom10.
not atom45 > atom45 :- not atom6, not atom10.
not atom45 > atom45 :- atom6, not atom10.
not atom50 > atom50 :- not atom8, not atom10.
atom50 > not atom50 :- atom8, not atom10.
not atom47 > atom47 :- not atom8, not atom10.
atom47 > not atom47 :- atom8, not atom10.
not atom28 > atom28 :- not atom6, not atom10.
atom28 > not atom28 :- atom6, not atom10.
not atom5 > atom5 :- not atom8, not atom10.
not atom5 > atom5 :- atom8, not atom10.
atom1 > not atom1 :- not atom5, not atom10.
not atom1 > atom1 :- atom5, not atom10.
not atom3 > atom3 :- not atom1, not atom10.
atom3 > not atom3 :- atom1, not atom10.
atom23 > not atom23 :- not atom1, not atom10.
not atom23 > atom23 :- atom1, not atom10.
atom37 > not atom37 :- not atom1, not atom10.
atom37 > not atom37 :- atom1, not atom10.
not atom27 > atom27 :- not atom5, not atom10.
not atom27 > atom27 :- atom5, not atom10.
not atom4 > atom4 :- not atom7, not atom10.
not atom4 > atom4 :- atom7, not atom10.
atom38 > not atom38 :- not atom1, not atom10.
atom38 > not atom38 :- atom1, not atom10.
not atom21 > atom21 :- not atom3, not atom10.
not atom21 > atom21 :- atom3, not atom10.
not atom26 > atom26 :- not atom1, not atom10.
not atom26 > atom26 :- atom1, not atom10.
atom30 > not atom30 :- not atom3, not atom10.
not atom30 > atom30 :- atom3, not atom10.
atom34 > not atom34 :- not atom1, not atom10.
not atom34 > atom34 :- atom1, not atom10.
atom49 > not atom49 :- not atom1, not atom10.
not atom49 > atom49 :- atom1, not atom10.
not atom2 > atom2 :- not atom3, not atom10.
not atom2 > atom2 :- atom3, not atom10.
not atom33 > atom33 :- not atom1, not atom10.
not atom33 > atom33 :- atom1, not atom10.
atom48 > not atom48 :- not atom3, not atom10.
atom48 > not atom48 :- atom3, not atom10.
not atom16 > atom16 :- not atom2, not atom10.
not atom16 > atom16 :- atom2, not atom10.
not atom24 > atom24 :- not atom2, not atom10.
atom24 > not atom24 :- atom2, not atom10.
not atom46 > atom46 :- not atom1, not atom10.
not atom46 > atom46 :- atom1, not atom10.
not atom19 > atom19 :- not atom2, not atom10.
atom19 > not atom19 :- atom2, not atom10.
not atom31 > atom31 :- not atom2, not atom10.
atom31 > not atom31 :- atom2, not atom10.
not atom36 > atom36 :- not atom4, not atom10.
atom36 > not atom36 :- atom4, not atom10.
atom13 > not atom13 :- not atom2, not atom10.
atom13 > not atom13 :- atom2, not atom10.
atom16 > not atom16 :- atom10.
atom45 > not atom45 :- not atom16, atom10.
not atom45 > atom45 :- atom16, atom10.
atom19 > not atom19 :- not atom45, atom10.
atom19 > not atom19 :- atom45, atom10.
not atom1 > atom1 :- not atom16, atom10.
atom1 > not atom1 :- atom16, atom10.
not atom30 > atom30 :- not atom1, atom10.
atom30 > not atom30 :- atom1, atom10.
atom28 > not atom28 :- not atom16, atom10.
atom28 > not atom28 :- atom16, atom10.
atom17 > not atom17 :- not atom1, atom10.
atom17 > not atom17 :- atom1, atom10.
not atom13 > atom13 :- not atom1, atom10.
not atom13 > atom13 :- atom1, atom10.
atom18 > not atom18 :- not atom13, atom10.
atom18 > not atom18 :- atom13, atom10.
atom48 > not atom48 :- not atom13, atom10.
atom48 > not atom48 :- atom13, atom10.
