atom34 > not atom34.
atom43 > not atom43 :- not atom34.
not atom8 > atom8 :- not atom34.
not atom29 > atom29 :- not atom34.
atom46 > not atom46 :- not atom8, not atom34.
not atom46 > atom46 :- atom8, not atom34.
atom30 > not atom30 :- not atom8, not atom34.
atom30 > not atom30 :- atom8, not atom34.
not atom27 > atom27 :- not atom46, not atom34.
atom27 > not atom27 :- atom46, not atom34.
not atom50 > atom50 :- not atom8, not atom34.
atom50 > not atom50 :- atom8, not atom34.
atom45 > not atom45 :- not atom8, not atom34.
atom45 > not atom45 :- atom8, not atom34.
atom37 > not atom37 :- not atom29, not atom34.
not atom37 > atom37 :- atom29, not atom34.
atom19 > not atom19 :- not atom27, not atom34.
atom19 > not atom19 :- atom27, not atom34.
atom11 > not atom11 :- not atom19, not atom34.
atom11 > not atom11 :- atom19, not atom34.
atom39 > not atom39 :- not atom8, not atom34.
atom39 > not atom39 :- atom8, not atom34.
atom16 > not atom16 :- not atom8, not atom34.
atom16 > not atom16 :- atom8, not atom34.
atom44 > not atom44 :- not atom11, not atom34.
not atom44 > atom44 :- atom11, not atom34.
not atom2 > atom2 :- not atom11, not atom34.
not atom2 > atom2 :- atom11, not atom34.
not atom23 > atom23 :- not atom8, not atom34.
atom23 > not atom23 :- atom8, not atom34.
not atom15 > atom15 :- not atom8, not atom34.
atom15 > not atom15 :- atom8, not atom34.
atom24 > not atom24 :- not atom8, not atom34.
atom24 > not atom24 :- atom8, not atom34.
not atom7 > atom7 :- not atom2, not atom34.
atom7 > not atom7 :- atom2, not atom34.
atom49 > not atom49 :- not atom2, not atom34.
not atom49 > atom49 :- atom2, not atom34.
not atom1 > atom1 :- not atom7, not atom34.
atom1 > not atom1 :- atom7, not atom34.
not atom32 > atom32 :- not atom15, not atom34.
not atom32 > atom32 :- atom15, not atom34.
not atom21 > atom21 :- not atom7, not atom34.
not atom21 > atom21 :- atom7, not atom34.
atom36 > not atom36 :- not atom1, not atom34.
not atom36 > atom36 :- atom1, not atom34.
not atom47 > atom47 :- not atom2, not atom34.
not atom47 > atom47 :- atom2, not atom34.
atom28 > not atom28 :- not atom1, not atom34.
not atom28 > atom28 :- atom1, not atom34.
not atom10 > atom10 :- not atom1, not atom34.
not atom10 > atom10 :- atom1, not atom34.
atom38 > not atom38 :- not atom1, not atom34.
not atom38 > atom38 :- atom1, not atom34.
atom20 > not atom20 :- not atom1, not atom34.
atom20 > not atom20 :- atom1, not atom34.
not atom18 > atom18 :- not atom1, not atom34.
atom18 > not atom18 :- atom1, not atom34.
not atom25 > atom25 :- not atom8, not atom34.
not atom25 > atom25 :- atom8, not atom34.
atom17 > not atom17 :- not atom2, not atom34.
not atom17 > atom17 :- atom2, not atom34.
not atom35 > atom35 :- not atom1, not atom34.
atom35 > not atom35 :- atom1, not atom34.
not atom6 > atom6 :- not atom2, not atom34.
not atom6 > atom6 :- atom2, not atom34.
atom9 > not atom9 :- not atom1, not atom34.
atom9 > not atom9 :- atom1, not atom34.
not atom5 > atom5 :- not atom1, not atom34.
atom5 > not atom5 :- atom1, not atom34.
atom48 > not atom48 :- not atom2, not atom34.
atom48 > not atom48 :- atom2, not atom34.
atom26 > not atom26 :- not atom1, not atom34.
atom26 > not atom26 :- atom1, not atom34.
atom13 > not atom13 :- not atom1, not atom34.
not atom13 > atom13 :- atom1, not atom34.
atom41 > not atom41 :- not atom1, not atom34.
atom41 > not atom41 :- atom1, not atom34.
not atom33 > atom33 :- not atom6, not atom34.
atom33 > not atom33 :- atom6, not atom34.
not atom4 > atom4 :- not atom1, not atom34.
not atom4 > atom4 :- atom1, not atom34.
atom12 > not atom12 :- not atom1, not atom34.
atom12 > not atom12 :- atom1, not atom34.
not atom3 > atom3 :- not atom2, not atom34.
not atom3 > atom3 :- atom2, not atom34.
atom31 > not atom31 :- not atom4, not atom34.
not atom31 > atom31 :- atom4, not atom34.
atom14 > not atom14 :- not atom1, not atom34.
not atom14 > atom14 :- atom1, not atom34.
atom40 > not atom40 :- not atom2, not atom34.
atom40 > not atom40 :- atom2, not atom34.
not atom22 > atom22 :- not atom5, not atom34.
not atom22 > atom22 :- atom5, not atom34.
not atom42 > atom42 :- not atom2, not atom34.
atom42 > not atom42 :- atom2, not atom34.
atom25 > not atom25 :- atom34.
atom28 > not atom28 :- atom34.
not atom42 > atom42 :- atom34.
atom29 > not atom29 :- atom34.
not atom4 > atom4 :- not atom42, atom34.
not atom4 > atom4 :- atom42, atom34.
not atom47 > atom47 :- not atom4, atom34.
not atom47 > atom47 :- atom4, atom34.
not atom9 > atom9 :- atom34.
not atom7 > atom7 :- not atom4, atom34.
not atom7 > atom7 :- atom4, atom34.
not atom19 > atom19 :- not atom4, atom34.
not atom19 > atom19 :- atom4, atom34.
atom12 > not atom12 :- not atom4, atom34.
not atom12 > atom12 :- atom4, atom34.
not atom46 > atom46 :- not atom4, atom34.
not atom46 > atom46 :- atom4, atom34.
not atom22 > atom22 :- not atom4, atom34.
atom22 > not atom22 :- atom4, atom34.
not atom23 > atom23 :- not atom12, atom34.
not atom23 > atom23 :- atom12, atom34.
not atom13 > atom13 :- not atom7, atom34.
atom13 > not atom13 :- atom7, atom34.
not atom40 > atom40 :- not atom4, atom34.
not atom40 > atom40 :- atom4, atom34.
not atom3 > atom3 :- not atom7, atom34.
atom3 > not atom3 :- atom7, atom34.
not atom37 > atom37 :- not atom3, atom34.
atom37 > not atom37 :- atom3, atom34.
atom17 > not atom17 :- not atom4, atom34.
not atom17 > atom17 :- atom4, atom34.
not atom24 > atom24 :- not atom3, atom34.
atom24 > not atom24 :- atom3, atom34.
not atom35 > atom35 :- not atom7, atom34.
not atom35 > atom35 :- atom7, atom34.
atom5 > not atom5 :- not atom4, atom34.
atom5 > not atom5 :- atom4, atom34.
atom20 > not atom20 :- not atom3, atom34.
not atom20 > atom20 :- atom3, atom34.
atom38 > not atom38 :- not atom3, atom34.
not atom38 > atom38 :- atom3, atom34.
atom14 > not atom14 :- not atom9, atom34.
atom14 > not atom14 :- atom9, atom34.
not atom33 > atom33 :- not atom5, atom34.
not atom33 > atom33 :- atom5, atom34.
not atom27 > atom27 :- not atom3, atom34.
not atom27 > atom27 :- atom3, atom34.
not atom48 > atom48 :- not atom7, atom34.
not atom48 > atom48 :- atom7, atom34.
not atom11 > atom11 :- not atom5, atom34.
not atom11 > atom11 :- atom5, atom34.
atom36 > not atom36 :- not atom5, atom34.
not atom36 > atom36 :- atom5, atom34.
atom26 > not atom26 :- not atom5, atom34.
atom26 > not atom26 :- atom5, atom34.
not atom31 > atom31 :- not atom4, atom34.
not atom31 > atom31 :- atom4, atom34.
not atom8 > atom8 :- not atom3, atom34.
not atom8 > atom8 :- atom3, atom34.
not atom2 > atom2 :- not atom3, atom34.
not atom2 > atom2 :- atom3, atom34.
not atom18 > atom18 :- not atom2, atom34.
atom18 > not atom18 :- atom2, atom34.
atom39 > not atom39 :- not atom2, atom34.
atom39 > not atom39 :- atom2, atom34.
atom15 > not atom15 :- not atom2, atom34.
not atom15 > atom15 :- atom2, atom34.
not atom32 > atom32 :- not atom2, atom34.
not atom32 > atom32 :- atom2, atom34.
not atom1 > atom1 :- not atom2, atom34.
atom1 > not atom1 :- atom2, atom34.
not atom21 > atom21 :- not atom2, atom34.
atom21 > not atom21 :- atom2, atom34.
atom6 > not atom6 :- not atom8, atom34.
atom6 > not atom6 :- atom8, atom34.
not atom44 > atom44 :- not atom3, atom34.
not atom44 > atom44 :- atom3, atom34.
atom50 > not atom50 :- not atom1, atom34.
atom50 > not atom50 :- atom1, atom34.
not atom16 > atom16 :- not atom1, atom34.
not atom16 > atom16 :- atom1, atom34.
not atom49 > atom49 :- not atom1, atom34.
atom49 > not atom49 :- atom1, atom34.
