not atom3 > atom3.
not atom13 > atom13 :- not atom3.
atom13 > not atom13 :- atom3.
not atom48 > atom48 :- not atom13.
not atom4 > atom4 :- not atom3, not atom13.
not atom4 > atom4 :- atom3, not atom13.
not atom18 > atom18 :- not atom4, not atom13.
not atom18 > atom18 :- atom4, not atom13.
not atom23 > atom23 :- not atom4, not atom13.
not atom23 > atom23 :- atom4, not atom13.
atom46 > not atom46 :- not atom13.
not atom47 > atom47 :- not atom3, not atom13.
atom47 > not atom47 :- atom3, not atom13.
not atom24 > atom24 :- not atom47, not atom13.
atom24 > not atom24 :- atom47, not atom13.
atom30 > not atom30 :- not atom3, not atom13.
atom30 > not atom30 :- atom3, not atom13.
not atom50 > atom50 :- not atom3, not atom13.
atom50 > not atom50 :- atom3, not atom13.
not atom7 > atom7 :- not atom3, not atom13.
not atom7 > atom7 :- atom3, not atom13.
atom36 > not atom36 :- not atom3, not atom13.
not atom36 > atom36 :- atom3, not atom13.
atom8 > not atom8 :- not atom4, not atom13.
atom8 > not atom8 :- atom4, not atom13.
not atom28 > atom28 :- not atom8, not atom13.
atom28 > not atom28 :- atom8, not atom13.
atom40 > not atom40 :- not atom3, not atom13.
not atom40 > atom40 :- atom3, not atom13.
not atom43 > atom43 :- not atom24, not atom13.
not atom43 > atom43 :- atom24, not atom13.
not atom44 > atom44 :- not atom3, not atom13.
not atom44 > atom44 :- atom3, not atom13.
not atom49 > atom49 :- not atom3, not atom13.
atom49 > not atom49 :- atom3, not atom13.
atom6 > not atom6 :- not atom8, not atom13.
atom6 > not atom6 :- atom8, not atom13.
atom20 > not atom20 :- not atom3, not atom13.
not atom20 > atom20 :- atom3, not atom13.
atom42 > not atom42 :- not atom4, not atom13.
atom42 > not atom42 :- atom4, not atom13.
not atom22 > atom22 :- not atom3, not atom13.
not atom22 > atom22 :- atom3, not atom13.
not atom37 > atom37 :- not atom3, not atom13.
not atom37 > atom37 :- atom3, not atom13.
atom19 > not atom19 :- not atom3, not atom13.
atom19 > not atom19 :- atom3, not atom13.
atom31 > not atom31 :- not atom4, not atom13.
atom31 > not atom31 :- atom4, not atom13.
atom38 > not atom38 :- not atom4, not atom13.
atom38 > not atom38 :- atom4, not atom13.
not atom11 > atom11 :- not atom8, not atom13.
not atom11 > atom11 :- atom8, not atom13.
not atom9 > atom9 :- not atom3, not atom13.
atom9 > not atom9 :- atom3, not atom13.
not atom34 > atom34 :- not atom6, not atom13.
atom34 > not atom34 :- atom6, not atom13.
atom33 > not atom33 :- not atom9, not atom13.
