atom4 > not atom4.
atom7 > not atom7 :- not atom4.
not atom17 > atom17 :- not atom7, not atom4.
not atom17 > atom17 :- atom7, not atom4.
atom49 > not atom49 :- not atom17, not atom4.
atom49 > not atom49 :- atom17, not atom4.
not atom48 > atom48 :- not atom49, not atom4.
atom48 > not atom48 :- atom49, not atom4.
not atom43 > atom43 :- not atom7, not atom4.
atom43 > not atom43 :- atom7, not atom4.
not atom29 > atom29 :- not atom7, not atom4.
not atom29 > atom29 :- atom7, not atom4.
not atom24 > atom24 :- not atom43, not atom4.
atom24 > not atom24 :- atom43, not atom4.
atom25 > not atom25 :- not atom7, not atom4.
atom25 > not atom25 :- atom7, not atom4.
not atom6 > atom6 :- not atom7, not atom4.
not atom6 > atom6 :- atom7, not atom4.
atom14 > not atom14 :- not atom6, not atom4.
atom14 > not atom14 :- atom6, not atom4.
not atom30 > atom30 :- not atom7, not atom4.
atom30 > not atom30 :- atom7, not atom4.
not atom32 > atom32 :- not atom30, not atom4.
not atom32 > atom32 :- atom30, not atom4.
not atom2 > atom2 :- not atom6, not atom4.
atom2 > not atom2 :- atom6, not atom4.
not atom26 > atom26 :- not atom2, not atom4.
atom26 > not atom26 :- atom2, not atom4.
not atom31 > atom31 :- not atom6, not atom4.
atom31 > not atom31 :- atom6, not atom4.
not atom23 > atom23 :- not atom14, not atom4.
atom23 > not atom23 :- atom14, not atom4.
not atom33 > atom33 :- not atom2, not atom4.
not atom33 > atom33 :- atom2, not atom4.
not atom45 > atom45 :- not atom2, not atom4.
not atom45 > atom45 :- atom2, not atom4.
not atom41 > atom41 :- not atom2, not atom4.
atom41 > not atom41 :- atom2, not atom4.
not atom5 > atom5 :- not atom14, not atom4.
atom5 > not atom5 :- atom14, not atom4.
not atom28 > atom28 :- not atom7, not atom4.
atom28 > not atom28 :- atom7, not atom4.
atom39 > not atom39 :- not atom7, not atom4.
atom39 > not atom39 :- atom7, not atom4.
atom1 > not atom1 :- not atom7, not atom4.
atom1 > not atom1 :- atom7, not atom4.
atom42 > not atom42 :- not atom1, not atom4.
not atom42 > atom42 :- atom1, not atom4.
atom13 > not atom13 :- not atom2, not atom4.
not atom13 > atom13 :- atom2, not atom4.
not atom11 > atom11 :- not atom2, not atom4.
not atom11 > atom11 :- atom2, not atom4.
not atom38 > atom38 :- not atom2, not atom4.
atom38 > not atom38 :- atom2, not atom4.
atom15 > not atom15 :- not atom1, not atom4.
atom15 > not atom15 :- atom1, not atom4.
not atom12 > atom12 :- not atom2, not atom4.
atom12 > not atom12 :- atom2, not atom4.
atom3 > not atom3 :- not atom6, not atom4.
not atom3 > atom3 :- atom6, not atom4.
atom46 > not atom46 :- not atom1, not atom4.
atom46 > not atom46 :- atom1, not atom4.
not atom35 > atom35 :- not atom2, not atom4.
not atom35 > atom35 :- atom2, not atom4.
atom27 > not atom27 :- not atom1, not atom4.
not atom27 > atom27 :- atom1, not atom4.
not atom22 > atom22 :- not atom3, not atom4.
atom22 > not atom22 :- atom3, not atom4.
not atom10 > atom10 :- not atom1, not atom4.
atom10 > not atom10 :- atom1, not atom4.
not atom44 > atom44 :- not atom2, not atom4.
atom44 > not atom44 :- atom2, not atom4.
not atom50 > atom50 :- not atom2, not atom4.
atom50 > not atom50 :- atom2, not atom4.
not atom47 > atom47 :- not atom1, not atom4.
not atom47 > atom47 :- atom1, not atom4.
not atom16 > atom16 :- not atom1, not atom4.
atom16 > not atom16 :- atom1, not atom4.
