atom38 > not atom38.
not atom21 > atom21 :- not atom38.
not atom24 > atom24 :- not atom38.
atom17 > not atom17 :- not atom38.
not atom29 > atom29 :- not atom21, not atom38.
atom29 > not atom29 :- atom21, not atom38.
atom31 > not atom31 :- not atom21, not atom38.
not atom31 > atom31 :- atom21, not atom38.
atom1 > not atom1 :- not atom21, not atom38.
atom1 > not atom1 :- atom21, not atom38.
not atom16 > atom16 :- not atom1, not atom38.
atom16 > not atom16 :- atom1, not atom38.
not atom48 > atom48 :- not atom1, not atom38.
not atom48 > atom48 :- atom1, not atom38.
not atom7 > atom7 :- not atom31, not atom38.
atom7 > not atom7 :- atom31, not atom38.
atom19 > not atom19 :- not atom7, not atom38.
atom19 > not atom19 :- atom7, not atom38.
not atom59 > atom59 :- not atom7, not atom38.
not atom59 > atom59 :- atom7, not atom38.
atom33 > not atom33 :- not atom17, not atom38.
not atom33 > atom33 :- atom17, not atom38.
not atom47 > atom47 :- not atom24, not atom38.
not atom47 > atom47 :- atom24, not atom38.
not atom46 > atom46 :- not atom17, not atom38.
not atom46 > atom46 :- atom17, not atom38.
not atom6 > atom6 :- not atom1, not atom38.
not atom6 > atom6 :- atom1, not atom38.
not atom50 > atom50 :- not atom1, not atom38.
not atom50 > atom50 :- atom1, not atom38.
not atom2 > atom2 :- not atom1, not atom38.
atom2 > not atom2 :- atom1, not atom38.
atom9 > not atom9 :- not atom1, not atom38.
not atom9 > atom9 :- atom1, not atom38.
not atom45 > atom45 :- not atom2, not atom38.
atom45 > not atom45 :- atom2, not atom38.
atom43 > not atom43 :- not atom2, not atom38.
not atom43 > atom43 :- atom2, not atom38.
atom26 > not atom26 :- not atom1, not atom38.
not atom26 > atom26 :- atom1, not atom38.
not atom49 > atom49 :- not atom2, not atom38.
not atom49 > atom49 :- atom2, not atom38.
not atom18 > atom18 :- not atom1, not atom38.
not atom18 > atom18 :- atom1, not atom38.
not atom34 > atom34 :- not atom1, not atom38.
not atom34 > atom34 :- atom1, not atom38.
atom42 > not atom42 :- not atom6, not atom38.
atom42 > not atom42 :- atom6, not atom38.
atom35 > not atom35 :- not atom1, not atom38.
not atom35 > atom35 :- atom1, not atom38.
not atom32 > atom32 :- not atom6, not atom38.
atom32 > not atom32 :- atom6, not atom38.
atom52 > not atom52 :- not atom7, not atom38.
atom52 > not atom52 :- atom7, not atom38.
atom57 > not atom57 :- not atom1, not atom38.
atom57 > not atom57 :- atom1, not atom38.
not atom39 > atom39 :- not atom2, not atom38.
atom39 > not atom39 :- atom2, not atom38.
not atom44 > atom44 :- not atom2, not atom38.
atom44 > not atom44 :- atom2, not atom38.
not atom10 > atom10 :- not atom1, not atom38.
not atom10 > atom10 :- atom1, not atom38.
atom23 > not atom23 :- not atom1, not atom38.
not atom23 > atom23 :- atom1, not atom38.
not atom58 > atom58 :- not atom1, not atom38.
atom58 > not atom58 :- atom1, not atom38.
atom54 > not atom54 :- not atom2, not atom38.
atom54 > not atom54 :- atom2, not atom38.
not atom36 > atom36 :- not atom6, not atom38.
not atom36 > atom36 :- atom6, not atom38.
atom15 > not atom15 :- not atom1, not atom38.
atom15 > not atom15 :- atom1, not atom38.
atom40 > not atom40 :- not atom2, not atom38.
atom40 > not atom40 :- atom2, not atom38.
not atom41 > atom41 :- not atom6, not atom38.
atom41 > not atom41 :- atom6, not atom38.
atom4 > not atom4 :- not atom1, not atom38.
not atom4 > atom4 :- atom1, not atom38.
not atom11 > atom11 :- not atom1, not atom38.
not atom11 > atom11 :- atom1, not atom38.
atom55 > not atom55 :- not atom1, not atom38.
not atom55 > atom55 :- atom1, not atom38.
atom22 > not atom22 :- not atom1, not atom38.
atom22 > not atom22 :- atom1, not atom38.
not atom8 > atom8 :- not atom6, not atom38.
not atom8 > atom8 :- atom6, not atom38.
atom25 > not atom25 :- not atom1, not atom38.
atom25 > not atom25 :- atom1, not atom38.
atom51 > not atom51 :- not atom4, not atom38.
atom51 > not atom51 :- atom4, not atom38.
not atom56 > atom56 :- not atom4, not atom38.
atom56 > not atom56 :- atom4, not atom38.
not atom60 > atom60 :- not atom4, not atom38.
not atom60 > atom60 :- atom4, not atom38.
not atom3 > atom3 :- not atom1, not atom38.
not atom3 > atom3 :- atom1, not atom38.
atom28 > not atom28 :- not atom1, not atom38.
not atom28 > atom28 :- atom1, not atom38.
