not atom56 > atom56.
atom51 > not atom51 :- not atom56.
not atom51 > atom51 :- atom56.
not atom48 > atom48 :- atom51.
not atom30 > atom30 :- not atom48, atom51.
atom30 > not atom30 :- atom48, atom51.
not atom57 > atom57 :- not atom30, atom51.
atom57 > not atom57 :- atom30, atom51.
atom35 > not atom35 :- not atom48, atom51.
not atom35 > atom35 :- atom48, atom51.
not atom55 > atom55 :- not atom48, atom51.
atom55 > not atom55 :- atom48, atom51.
atom18 > not atom18 :- not atom30, atom51.
atom18 > not atom18 :- atom30, atom51.
atom23 > not atom23 :- not atom18, atom51.
not atom23 > atom23 :- atom18, atom51.
atom42 > not atom42 :- not atom18, atom51.
atom42 > not atom42 :- atom18, atom51.
atom6 > not atom6 :- not atom23, atom51.
atom6 > not atom6 :- atom23, atom51.
atom41 > not atom41 :- not atom6, atom51.
atom41 > not atom41 :- atom6, atom51.
atom44 > not atom44 :- not atom18, atom51.
not atom44 > atom44 :- atom18, atom51.
atom4 > not atom4 :- not atom18, atom51.
atom4 > not atom4 :- atom18, atom51.
atom9 > not atom9 :- not atom4, atom51.
atom9 > not atom9 :- atom4, atom51.
not atom39 > atom39 :- not atom6, atom51.
atom39 > not atom39 :- atom6, atom51.
not atom40 > atom40 :- not atom6, atom51.
atom40 > not atom40 :- atom6, atom51.
atom12 > not atom12 :- not atom9, atom51.
atom12 > not atom12 :- atom9, atom51.
not atom2 > atom2 :- not atom6, atom51.
atom2 > not atom2 :- atom6, atom51.
not atom45 > atom45 :- not atom2, atom51.
not atom45 > atom45 :- atom2, atom51.
not atom34 > atom34 :- not atom6, atom51.
atom34 > not atom34 :- atom6, atom51.
not atom43 > atom43 :- not atom2, atom51.
not atom43 > atom43 :- atom2, atom51.
not atom53 > atom53 :- not atom2, atom51.
atom53 > not atom53 :- atom2, atom51.
atom27 > not atom27 :- not atom2, atom51.
atom27 > not atom27 :- atom2, atom51.
not atom37 > atom37 :- not atom2, atom51.
not atom37 > atom37 :- atom2, atom51.
atom59 > not atom59 :- not atom4, atom51.
not atom59 > atom59 :- atom4, atom51.
not atom25 > atom25 :- not atom2, atom51.
atom25 > not atom25 :- atom2, atom51.
not atom46 > atom46 :- not atom4, atom51.
atom46 > not atom46 :- atom4, atom51.
atom17 > not atom17 :- not atom2, atom51.
atom17 > not atom17 :- atom2, atom51.
not atom58 > atom58 :- not atom2, atom51.
atom58 > not atom58 :- atom2, atom51.
not atom60 > atom60 :- not atom2, atom51.
atom60 > not atom60 :- atom2, atom51.
not atom24 > atom24 :- not atom4, atom51.
not atom24 > atom24 :- atom4, atom51.
not atom36 > atom36 :- not atom2, atom51.
not atom36 > atom36 :- atom2, atom51.
not atom38 > atom38 :- not atom2, atom51.
atom38 > not atom38 :- atom2, atom51.
not atom47 > atom47 :- not atom2, atom51.
atom47 > not atom47 :- atom2, atom51.
not atom21 > atom21 :- not atom4, atom51.
not atom21 > atom21 :- atom4, atom51.
not atom8 > atom8 :- not atom4, atom51.
not atom8 > atom8 :- atom4, atom51.
not atom15 > atom15 :- not atom2, atom51.
atom15 > not atom15 :- atom2, atom51.
not atom11 > atom11 :- not atom2, atom51.
atom11 > not atom11 :- atom2, atom51.
atom33 > not atom33 :- not atom2, atom51.
not atom33 > atom33 :- atom2, atom51.
atom52 > not atom52 :- not atom2, atom51.
not atom52 > atom52 :- atom2, atom51.
not atom29 > atom29 :- not atom2, atom51.
atom29 > not atom29 :- atom2, atom51.
atom5 > not atom5 :- not atom2, atom51.
