not atom45 > atom45.
atom34 > not atom34 :- not atom45.
atom24 > not atom24 :- not atom45.
not atom6 > atom6 :- not atom24, not atom45.
atom6 > not atom6 :- atom24, not atom45.
not atom39 > atom39 :- not atom24, not atom45.
atom39 > not atom39 :- atom24, not atom45.
not atom41 > atom41 :- not atom34, not atom45.
atom41 > not atom41 :- atom34, not atom45.
atom35 > not atom35 :- not atom6, not atom45.
atom35 > not atom35 :- atom6, not atom45.
not atom59 > atom59 :- not atom6, not atom45.
not atom59 > atom59 :- atom6, not atom45.
not atom16 > atom16 :- not atom6, not atom45.
not atom16 > atom16 :- atom6, not atom45.
not atom37 > atom37 :- not atom6, not atom45.
not atom37 > atom37 :- atom6, not atom45.
not atom15 > atom15 :- not atom37, not atom45.
not atom15 > atom15 :- atom37, not atom45.
atom40 > not atom40 :- not atom6, not atom45.
not atom40 > atom40 :- atom6, not atom45.
not atom55 > atom55 :- not atom6, not atom45.
atom55 > not atom55 :- atom6, not atom45.
not atom21 > atom21 :- not atom16, not atom45.
not atom21 > atom21 :- atom16, not atom45.
not atom19 > atom19 :- not atom21, not atom45.
not atom19 > atom19 :- atom21, not atom45.
not atom46 > atom46 :- not atom15, not atom45.
not atom46 > atom46 :- atom15, not atom45.
not atom4 > atom4 :- not atom6, not atom45.
atom4 > not atom4 :- atom6, not atom45.
atom54 > not atom54 :- not atom4, not atom45.
atom54 > not atom54 :- atom4, not atom45.
atom17 > not atom17 :- not atom4, not atom45.
not atom17 > atom17 :- atom4, not atom45.
not atom12 > atom12 :- not atom19, not atom45.
not atom12 > atom12 :- atom19, not atom45.
not atom44 > atom44 :- not atom12, not atom45.
atom44 > not atom44 :- atom12, not atom45.
not atom25 > atom25 :- not atom4, not atom45.
not atom25 > atom25 :- atom4, not atom45.
not atom5 > atom5 :- not atom4, not atom45.
atom5 > not atom5 :- atom4, not atom45.
not atom26 > atom26 :- not atom5, not atom45.
not atom26 > atom26 :- atom5, not atom45.
not atom22 > atom22 :- not atom5, not atom45.
atom22 > not atom22 :- atom5, not atom45.
not atom32 > atom32 :- not atom4, not atom45.
not atom32 > atom32 :- atom4, not atom45.
atom2 > not atom2 :- not atom5, not atom45.
atom2 > not atom2 :- atom5, not atom45.
