not atom59 > atom59.
not atom12 > atom12.
atom58 > not atom58 :- not atom59.
not atom58 > atom58 :- atom59.
atom29 > not atom29 :- not atom12.
not atom29 > atom29 :- atom12.
not atom40 > atom40 :- not atom59, not atom29.
not atom40 > atom40 :- atom59, not atom29.
atom5 > not atom5 :- not atom40, not atom29.
not atom5 > atom5 :- atom40, not atom29.
not atom25 > atom25 :- not atom12, not atom29.
atom25 > not atom25 :- atom12, not atom29.
atom10 > not atom10 :- not atom5, not atom29.
atom10 > not atom10 :- atom5, not atom29.
atom2 > not atom2 :- not atom5, not atom29.
not atom2 > atom2 :- atom5, not atom29.
not atom24 > atom24 :- not atom5, not atom29.
not atom24 > atom24 :- atom5, not atom29.
not atom34 > atom34 :- not atom5, not atom29.
not atom34 > atom34 :- atom5, not atom29.
not atom26 > atom26 :- not atom5, not atom29.
atom26 > not atom26 :- atom5, not atom29.
atom49 > not atom49 :- not atom12, not atom29.
atom49 > not atom49 :- atom12, not atom29.
atom42 > not atom42 :- not atom49, not atom29.
not atom42 > atom42 :- atom49, not atom29.
not atom20 > atom20 :- not atom2, not atom29.
atom20 > not atom20 :- atom2, not atom29.
not atom4 > atom4 :- not atom2, not atom29.
atom4 > not atom4 :- atom2, not atom29.
not atom48 > atom48 :- not atom4, not atom29.
atom48 > not atom48 :- atom4, not atom29.
atom60 > not atom60 :- not atom4, not atom29.
not atom60 > atom60 :- atom4, not atom29.
atom51 > not atom51 :- not atom2, not atom29.
atom51 > not atom51 :- atom2, not atom29.
not atom14 > atom14 :- not atom12, not atom29.
atom14 > not atom14 :- atom12, not atom29.
atom36 > not atom36 :- not atom2, not atom29.
atom36 > not atom36 :- atom2, not atom29.
not atom50 > atom50 :- not atom2, not atom29.
atom50 > not atom50 :- atom2, not atom29.
atom54 > not atom54 :- not atom5, not atom29.
atom54 > not atom54 :- atom5, not atom29.
atom21 > not atom21 :- not atom10, not atom29.
not atom21 > atom21 :- atom10, not atom29.
atom22 > not atom22 :- not atom12, not atom29.
atom22 > not atom22 :- atom12, not atom29.
atom28 > not atom28 :- not atom2, not atom29.
atom28 > not atom28 :- atom2, not atom29.
not atom44 > atom44 :- not atom5, not atom29.
atom44 > not atom44 :- atom5, not atom29.
atom19 > not atom19 :- not atom4, not atom29.
atom19 > not atom19 :- atom4, not atom29.
not atom9 > atom9 :- not atom10, not atom29.
atom9 > not atom9 :- atom10, not atom29.
atom56 > not atom56 :- not atom4, not atom29.
not atom56 > atom56 :- atom4, not atom29.
atom35 > not atom35 :- not atom2, not atom29.
not atom35 > atom35 :- atom2, not atom29.
not atom31 > atom31 :- not atom5, not atom29.
atom31 > not atom31 :- atom5, not atom29.
not atom27 > atom27 :- not atom5, not atom29.
atom27 > not atom27 :- atom5, not atom29.
not atom33 > atom33 :- not atom4, not atom29.
atom33 > not atom33 :- atom4, not atom29.
atom32 > not atom32 :- not atom2, not atom29.
not atom32 > atom32 :- atom2, not atom29.
not atom45 > atom45 :- not atom2, not atom29.
not atom45 > atom45 :- atom2, not atom29.
not atom23 > atom23 :- not atom2, not atom29.
atom23 > not atom23 :- atom2, not atom29.
atom6 > not atom6 :- not atom4, not atom29.
not atom6 > atom6 :- atom4, not atom29.
not atom55 > atom55 :- not atom4, not atom29.
not atom55 > atom55 :- atom4, not atom29.
not atom15 > atom15 :- not atom2, not atom29.
atom15 > not atom15 :- atom2, not atom29.
not atom57 > atom57 :- not atom2, not atom29.
not atom57 > atom57 :- atom2, not atom29.
not atom41 > atom41 :- not atom2, not atom29.
not atom41 > atom41 :- atom2, not atom29.
atom3 > not atom3 :- not atom4, not atom29.
atom3 > not atom3 :- atom4, not atom29.
atom39 > not atom39 :- not atom3, not atom29.
not atom39 > atom39 :- atom3, not atom29.
atom38 > not atom38 :- not atom5, not atom29.
not atom38 > atom38 :- atom5, not atom29.
not atom17 > atom17 :- not atom10, not atom29.
not atom17 > atom17 :- atom10, not atom29.
atom11 > not atom11 :- not atom5, not atom29.
atom11 > not atom11 :- atom5, not atom29.
atom47 > not atom47 :- not atom4, not atom29.
not atom47 > atom47 :- atom4, not atom29.
atom46 > not atom46 :- not atom3, not atom29.
atom46 > not atom46 :- atom3, not atom29.
not atom52 > atom52 :- not atom2, not atom29.
not atom52 > atom52 :- atom2, not atom29.
atom43 > not atom43 :- not atom2, not atom29.
not atom43 > atom43 :- atom2, not atom29.
atom8 > not atom8 :- not atom2, not atom29.
not atom8 > atom8 :- atom2, not atom29.
atom53 > not atom53 :- not atom8, not atom29.
not atom53 > atom53 :- atom8, not atom29.
not atom13 > atom13 :- not atom3, not atom29.
atom13 > not atom13 :- atom3, not atom29.
atom37 > not atom37 :- not atom4, not atom29.
atom37 > not atom37 :- atom4, not atom29.
not atom1 > atom1 :- not atom2, not atom29.
not atom1 > atom1 :- atom2, not atom29.
atom16 > not atom16 :- not atom1, not atom29.
not atom16 > atom16 :- atom1, not atom29.
atom7 > not atom7 :- not atom2, not atom29.
atom7 > not atom7 :- atom2, not atom29.
not atom30 > atom30 :- not atom2, not atom29.
atom30 > not atom30 :- atom2, not atom29.
atom18 > not atom18 :- not atom1, not atom29.
atom18 > not atom18 :- atom1, not atom29.
atom5 > not atom5 :- not atom59, atom29.
atom5 > not atom5 :- atom59, atom29.
not atom18 > atom18 :- not atom5, atom29.
atom18 > not atom18 :- atom5, atom29.
not atom45 > atom45 :- not atom12, atom29.
atom45 > not atom45 :- atom12, atom29.
atom55 > not atom55 :- not atom12, atom29.
atom55 > not atom55 :- atom12, atom29.
atom38 > not atom38 :- not atom5, atom29.
not atom38 > atom38 :- atom5, atom29.
atom2 > not atom2 :- not atom5, atom29.
not atom2 > atom2 :- atom5, atom29.
atom50 > not atom50 :- not atom2, atom29.
not atom50 > atom50 :- atom2, atom29.
atom49 > not atom49 :- not atom2, atom29.
atom49 > not atom49 :- atom2, atom29.
atom44 > not atom44 :- not atom2, atom29.
not atom44 > atom44 :- atom2, atom29.
not atom10 > atom10 :- not atom18, atom29.
not atom10 > atom10 :- atom18, atom29.
atom13 > not atom13 :- not atom10, atom29.
atom13 > not atom13 :- atom10, atom29.
atom32 > not atom32 :- not atom2, atom29.
not atom32 > atom32 :- atom2, atom29.
not atom11 > atom11 :- not atom5, atom29.
not atom11 > atom11 :- atom5, atom29.
not atom22 > atom22 :- not atom2, atom29.
atom22 > not atom22 :- atom2, atom29.
not atom31 > atom31 :- not atom2, atom29.
atom31 > not atom31 :- atom2, atom29.
not atom21 > atom21 :- not atom10, atom29.
not atom21 > atom21 :- atom10, atom29.
atom8 > not atom8 :- not atom2, atom29.
atom8 > not atom8 :- atom2, atom29.
not atom40 > atom40 :- not atom2, atom29.
not atom40 > atom40 :- atom2, atom29.
atom27 > not atom27 :- not atom5, atom29.
not atom27 > atom27 :- atom5, atom29.
not atom35 > atom35 :- not atom2, atom29.
atom35 > not atom35 :- atom2, atom29.
not atom15 > atom15 :- not atom8, atom29.
not atom15 > atom15 :- atom8, atom29.
atom6 > not atom6 :- not atom8, atom29.
atom6 > not atom6 :- atom8, atom29.
atom19 > not atom19 :- not atom2, atom29.
not atom19 > atom19 :- atom2, atom29.
not atom30 > atom30 :- not atom2, atom29.
not atom30 > atom30 :- atom2, atom29.
atom47 > not atom47 :- not atom6, atom29.
atom47 > not atom47 :- atom6, atom29.
not atom17 > atom17 :- not atom2, atom29.
atom17 > not atom17 :- atom2, atom29.
not atom24 > atom24 :- not atom5, atom29.
not atom24 > atom24 :- atom5, atom29.
not atom52 > atom52 :- not atom2, atom29.
atom52 > not atom52 :- atom2, atom29.
not atom37 > atom37 :- not atom2, atom29.
atom37 > not atom37 :- atom2, atom29.
atom28 > not atom28 :- not atom2, atom29.
not atom28 > atom28 :- atom2, atom29.
not atom26 > atom26 :- not atom5, atom29.
not atom26 > atom26 :- atom5, atom29.
not atom1 > atom1 :- not atom2, atom29.
atom1 > not atom1 :- atom2, atom29.
not atom4 > atom4 :- not atom5, atom29.
atom4 > not atom4 :- atom5, atom29.
atom20 > not atom20 :- not atom4, atom29.
not atom20 > atom20 :- atom4, atom29.
not atom7 > atom7 :- not atom1, atom29.
atom7 > not atom7 :- atom1, atom29.
atom41 > not atom41 :- not atom2, atom29.
not atom41 > atom41 :- atom2, atom29.
atom57 > not atom57 :- not atom1, atom29.
atom57 > not atom57 :- atom1, atom29.
not atom23 > atom23 :- not atom2, atom29.
atom23 > not atom23 :- atom2, atom29.
atom33 > not atom33 :- not atom8, atom29.
not atom33 > atom33 :- atom8, atom29.
atom42 > not atom42 :- not atom1, atom29.
not atom42 > atom42 :- atom1, atom29.
atom51 > not atom51 :- not atom1, atom29.
atom51 > not atom51 :- atom1, atom29.
atom54 > not atom54 :- not atom2, atom29.
not atom54 > atom54 :- atom2, atom29.
not atom14 > atom14 :- not atom1, atom29.
atom14 > not atom14 :- atom1, atom29.
atom39 > not atom39 :- not atom1, atom29.
atom39 > not atom39 :- atom1, atom29.
not atom56 > atom56 :- not atom4, atom29.
not atom56 > atom56 :- atom4, atom29.
atom43 > not atom43 :- not atom2, atom29.
atom43 > not atom43 :- atom2, atom29.
atom9 > not atom9 :- not atom1, atom29.
not atom9 > atom9 :- atom1, atom29.
atom34 > not atom34 :- not atom2, atom29.
atom34 > not atom34 :- atom2, atom29.
not atom36 > atom36 :- not atom2, atom29.
not atom36 > atom36 :- atom2, atom29.
atom60 > not atom60 :- not atom1, atom29.
not atom60 > atom60 :- atom1, atom29.
atom3 > not atom3 :- not atom2, atom29.
not atom3 > atom3 :- atom2, atom29.
atom25 > not atom25 :- not atom1, atom29.
not atom25 > atom25 :- atom1, atom29.
atom46 > not atom46 :- not atom2, atom29.
atom46 > not atom46 :- atom2, atom29.
atom53 > not atom53 :- not atom2, atom29.
atom53 > not atom53 :- atom2, atom29.
not atom48 > atom48 :- not atom1, atom29.
not atom48 > atom48 :- atom1, atom29.
not atom16 > atom16 :- not atom1, atom29.
atom16 > not atom16 :- atom1, atom29.
not atom42 > atom42.
not atom20 > atom20.
atom11 > not atom11 :- not atom20.
atom11 > not atom11 :- atom20.
atom8 > not atom8 :- not atom20.
atom8 > not atom8 :- atom20.
atom21 > not atom21.
atom44 > not atom44 :- not atom42.
atom44 > not atom44 :- atom42.
not atom1 > atom1 :- not atom8.
atom1 > not atom1 :- atom8.
atom28 > not atom28 :- not atom21.
atom28 > not atom28 :- atom21.
atom16 > not atom16 :- not atom1.
atom16 > not atom16 :- atom1.
not atom46 > atom46 :- not atom8.
not atom46 > atom46 :- atom8.
not atom3 > atom3 :- not atom1.
not atom3 > atom3 :- atom1.
atom53 > not atom53 :- not atom3.
atom53 > not atom53 :- atom3.
atom23 > not atom23 :- not atom3.
not atom23 > atom23 :- atom3.
atom45 > not atom45 :- not atom3.
atom45 > not atom45 :- atom3.
not atom57 > atom57 :- not atom3.
atom57 > not atom57 :- atom3.
not atom34 > atom34 :- not atom3.
atom34 > not atom34 :- atom3.
atom41 > not atom41 :- not atom8.
atom41 > not atom41 :- atom8.
not atom24 > atom24 :- not atom1.
not atom24 > atom24 :- atom1.
not atom31 > atom31 :- not atom1.
atom31 > not atom31 :- atom1.
not atom17 > atom17 :- not atom1.
atom17 > not atom17 :- atom1.
atom19 > not atom19 :- not atom1.
atom19 > not atom19 :- atom1.
not atom52 > atom52 :- not atom1.
atom52 > not atom52 :- atom1.
atom32 > not atom32 :- not atom1.
not atom32 > atom32 :- atom1.
not atom54 > atom54 :- not atom1.
atom54 > not atom54 :- atom1.
not atom22 > atom22 :- not atom11.
atom22 > not atom22 :- atom11.
not atom43 > atom43 :- not atom1.
atom43 > not atom43 :- atom1.
atom9 > not atom9 :- not atom3.
not atom9 > atom9 :- atom3.
not atom40 > atom40 :- not atom1.
not atom40 > atom40 :- atom1.
not atom7 > atom7 :- not atom1.
atom7 > not atom7 :- atom1.
not atom60 > atom60 :- not atom1.
atom60 > not atom60 :- atom1.
not atom30 > atom30 :- not atom1.
not atom30 > atom30 :- atom1.
not atom47 > atom47 :- not atom1.
atom47 > not atom47 :- atom1.
atom12 > not atom12 :- not atom16.
not atom12 > atom12 :- atom16.
not atom29 > atom29 :- not atom1.
atom29 > not atom29 :- atom1.
atom35 > not atom35 :- not atom3.
atom35 > not atom35 :- atom3.
atom6 > not atom6 :- not atom1.
not atom6 > atom6 :- atom1.
atom15 > not atom15 :- not atom3.
atom15 > not atom15 :- atom3.
atom13 > not atom13 :- not atom1.
not atom13 > atom13 :- atom1.
not atom39 > atom39 :- not atom1.
atom39 > not atom39 :- atom1.
not atom10 > atom10 :- not atom1.
