atom55 > not atom55.
not atom48 > atom48 :- not atom55.
atom48 > not atom48 :- atom55.
not atom23 > atom23 :- not atom48.
atom23 > not atom23 :- atom48.
atom59 > not atom59 :- not atom23.
atom59 > not atom59 :- atom23.
not atom46 > atom46 :- not atom59.
not atom46 > atom46 :- atom59.
atom15 > not atom15 :- not atom46.
atom15 > not atom15 :- atom46.
atom10 > not atom10 :- not atom46, not atom15.
atom10 > not atom10 :- atom46, not atom15.
atom37 > not atom37 :- not atom46, not atom15.
not atom37 > atom37 :- atom46, not atom15.
not atom32 > atom32 :- not atom10, not atom15.
not atom32 > atom32 :- atom10, not atom15.
atom41 > not atom41 :- not atom23, not atom15.
not atom41 > atom41 :- atom23, not atom15.
not atom54 > atom54 :- not atom10, not atom15.
atom54 > not atom54 :- atom10, not atom15.
atom38 > not atom38 :- not atom10, not atom15.
not atom38 > atom38 :- atom10, not atom15.
atom17 > not atom17 :- not atom23, not atom15.
not atom17 > atom17 :- atom23, not atom15.
atom21 > not atom21 :- not atom10, not atom15.
atom21 > not atom21 :- atom10, not atom15.
not atom30 > atom30 :- not atom10, not atom15.
atom30 > not atom30 :- atom10, not atom15.
atom6 > not atom6 :- not atom17, not atom15.
atom6 > not atom6 :- atom17, not atom15.
not atom22 > atom22 :- not atom10, not atom15.
not atom22 > atom22 :- atom10, not atom15.
not atom60 > atom60 :- not atom17, not atom15.
atom60 > not atom60 :- atom17, not atom15.
not atom7 > atom7 :- not atom10, not atom15.
atom7 > not atom7 :- atom10, not atom15.
not atom28 > atom28 :- not atom6, not atom15.
atom28 > not atom28 :- atom6, not atom15.
atom57 > not atom57 :- not atom7, not atom15.
atom57 > not atom57 :- atom7, not atom15.
not atom8 > atom8 :- not atom10, not atom15.
not atom8 > atom8 :- atom10, not atom15.
not atom56 > atom56 :- not atom6, not atom15.
atom56 > not atom56 :- atom6, not atom15.
not atom58 > atom58 :- not atom8, not atom15.
atom58 > not atom58 :- atom8, not atom15.
atom26 > not atom26 :- not atom6, not atom15.
not atom26 > atom26 :- atom6, not atom15.
not atom39 > atom39 :- not atom10, not atom15.
atom39 > not atom39 :- atom10, not atom15.
not atom1 > atom1 :- not atom6, not atom15.
not atom1 > atom1 :- atom6, not atom15.
not atom27 > atom27 :- not atom6, not atom15.
not atom27 > atom27 :- atom6, not atom15.
not atom24 > atom24 :- not atom6, not atom15.
not atom24 > atom24 :- atom6, not atom15.
atom47 > not atom47 :- not atom1, not atom15.
atom47 > not atom47 :- atom1, not atom15.
atom45 > not atom45 :- not atom8, not atom15.
not atom45 > atom45 :- atom8, not atom15.
not atom40 > atom40 :- not atom6, not atom15.
atom40 > not atom40 :- atom6, not atom15.
not atom12 > atom12 :- not atom1, not atom15.
not atom12 > atom12 :- atom1, not atom15.
not atom11 > atom11 :- not atom1, not atom15.
not atom11 > atom11 :- atom1, not atom15.
atom9 > not atom9 :- not atom6, not atom15.
atom9 > not atom9 :- atom6, not atom15.
atom43 > not atom43 :- not atom1, not atom15.
atom43 > not atom43 :- atom1, not atom15.
atom31 > not atom31 :- not atom8, not atom15.
atom31 > not atom31 :- atom8, not atom15.
not atom33 > atom33 :- not atom1, not atom15.
atom33 > not atom33 :- atom1, not atom15.
not atom19 > atom19 :- not atom1, not atom15.
not atom19 > atom19 :- atom1, not atom15.
atom16 > not atom16 :- not atom1, not atom15.
not atom16 > atom16 :- atom1, not atom15.
not atom3 > atom3 :- not atom6, not atom15.
atom3 > not atom3 :- atom6, not atom15.
not atom18 > atom18 :- not atom1, not atom15.
atom18 > not atom18 :- atom1, not atom15.
not atom2 > atom2 :- not atom3, not atom15.
not atom2 > atom2 :- atom3, not atom15.
atom29 > not atom29 :- not atom7, not atom15.
not atom29 > atom29 :- atom7, not atom15.
atom49 > not atom49 :- not atom6, not atom15.
not atom49 > atom49 :- atom6, not atom15.
atom20 > not atom20 :- not atom1, not atom15.
not atom20 > atom20 :- atom1, not atom15.
atom53 > not atom53 :- not atom1, not atom15.
not atom53 > atom53 :- atom1, not atom15.
atom4 > not atom4 :- not atom3, not atom15.
not atom4 > atom4 :- atom3, not atom15.
not atom25 > atom25 :- not atom2, not atom15.
atom25 > not atom25 :- atom2, not atom15.
atom42 > not atom42 :- not atom1, not atom15.
not atom42 > atom42 :- atom1, not atom15.
atom14 > not atom14 :- not atom3, not atom15.
atom14 > not atom14 :- atom3, not atom15.
atom13 > not atom13 :- not atom1, not atom15.
atom13 > not atom13 :- atom1, not atom15.
atom34 > not atom34 :- not atom1, not atom15.
atom34 > not atom34 :- atom1, not atom15.
not atom50 > atom50 :- not atom1, not atom15.
atom50 > not atom50 :- atom1, not atom15.
not atom35 > atom35 :- not atom6, not atom15.
not atom35 > atom35 :- atom6, not atom15.
atom52 > not atom52 :- not atom4, not atom15.
atom52 > not atom52 :- atom4, not atom15.
atom44 > not atom44 :- not atom2, not atom15.
atom44 > not atom44 :- atom2, not atom15.
not atom36 > atom36 :- not atom2, not atom15.
atom36 > not atom36 :- atom2, not atom15.
not atom5 > atom5 :- not atom1, not atom15.
not atom5 > atom5 :- atom1, not atom15.
not atom51 > atom51 :- not atom1, not atom15.
atom51 > not atom51 :- atom1, not atom15.
not atom49 > atom49 :- not atom48, atom15.
not atom49 > atom49 :- atom48, atom15.
atom50 > not atom50 :- not atom46, atom15.
not atom50 > atom50 :- atom46, atom15.
not atom26 > atom26 :- not atom46, atom15.
not atom26 > atom26 :- atom46, atom15.
atom31 > not atom31 :- not atom23, atom15.
atom31 > not atom31 :- atom23, atom15.
atom12 > not atom12 :- not atom23, atom15.
atom12 > not atom12 :- atom23, atom15.
atom27 > not atom27 :- not atom23, atom15.
atom27 > not atom27 :- atom23, atom15.
not atom11 > atom11 :- not atom12, atom15.
not atom11 > atom11 :- atom12, atom15.
atom17 > not atom17 :- not atom23, atom15.
not atom17 > atom17 :- atom23, atom15.
not atom35 > atom35 :- not atom12, atom15.
atom35 > not atom35 :- atom12, atom15.
atom58 > not atom58 :- not atom17, atom15.
not atom58 > atom58 :- atom17, atom15.
atom30 > not atom30 :- not atom12, atom15.
atom30 > not atom30 :- atom12, atom15.
not atom16 > atom16 :- not atom11, atom15.
atom16 > not atom16 :- atom11, atom15.
not atom39 > atom39 :- not atom11, atom15.
atom39 > not atom39 :- atom11, atom15.
atom37 > not atom37 :- not atom11, atom15.
atom37 > not atom37 :- atom11, atom15.
atom10 > not atom10 :- not atom12, atom15.
atom10 > not atom10 :- atom12, atom15.
atom42 > not atom42 :- not atom11, atom15.
atom42 > not atom42 :- atom11, atom15.
not atom8 > atom8 :- not atom11, atom15.
atom8 > not atom8 :- atom11, atom15.
atom13 > not atom13 :- not atom10, atom15.
atom13 > not atom13 :- atom10, atom15.
not atom33 > atom33 :- not atom8, atom15.
