atom36 > not atom36.
atom1 > not atom1 :- not atom36.
atom1 > not atom1 :- atom36.
atom15 > not atom15 :- not atom36.
not atom15 > atom15 :- atom36.
not atom4 > atom4 :- not atom36, not atom15.
not atom4 > atom4 :- atom36, not atom15.
not atom11 > atom11 :- not atom1, not atom15.
not atom11 > atom11 :- atom1, not atom15.
atom37 > not atom37 :- not atom1, not atom15.
atom37 > not atom37 :- atom1, not atom15.
atom31 > not atom31 :- not atom1, not atom15.
not atom31 > atom31 :- atom1, not atom15.
not atom19 > atom19 :- not atom1, not atom15.
not atom19 > atom19 :- atom1, not atom15.
not atom33 > atom33 :- not atom1, not atom15.
atom33 > not atom33 :- atom1, not atom15.
not atom30 > atom30 :- not atom11, not atom15.
atom30 > not atom30 :- atom11, not atom15.
not atom12 > atom12 :- not atom1, not atom15.
atom12 > not atom12 :- atom1, not atom15.
atom3 > not atom3 :- not atom19, not atom15.
not atom3 > atom3 :- atom19, not atom15.
not atom7 > atom7 :- not atom4, not atom15.
not atom7 > atom7 :- atom4, not atom15.
not atom26 > atom26 :- not atom4, not atom15.
not atom26 > atom26 :- atom4, not atom15.
not atom35 > atom35 :- not atom1, not atom15.
not atom35 > atom35 :- atom1, not atom15.
atom28 > not atom28 :- not atom3, not atom15.
not atom28 > atom28 :- atom3, not atom15.
atom58 > not atom58 :- not atom1, not atom15.
not atom58 > atom58 :- atom1, not atom15.
not atom60 > atom60 :- not atom3, not atom15.
atom60 > not atom60 :- atom3, not atom15.
not atom57 > atom57 :- not atom3, not atom15.
not atom57 > atom57 :- atom3, not atom15.
not atom59 > atom59 :- not atom4, not atom15.
not atom59 > atom59 :- atom4, not atom15.
atom18 > not atom18 :- not atom1, not atom15.
not atom18 > atom18 :- atom1, not atom15.
atom42 > not atom42 :- not atom4, not atom15.
not atom42 > atom42 :- atom4, not atom15.
not atom21 > atom21 :- not atom4, not atom15.
atom21 > not atom21 :- atom4, not atom15.
not atom38 > atom38 :- not atom1, not atom15.
not atom38 > atom38 :- atom1, not atom15.
not atom20 > atom20 :- not atom4, not atom15.
not atom20 > atom20 :- atom4, not atom15.
not atom27 > atom27 :- not atom1, not atom15.
atom27 > not atom27 :- atom1, not atom15.
not atom34 > atom34 :- not atom1, not atom15.
atom34 > not atom34 :- atom1, not atom15.
atom24 > not atom24 :- not atom3, not atom15.
not atom24 > atom24 :- atom3, not atom15.
not atom41 > atom41 :- not atom1, not atom15.
atom41 > not atom41 :- atom1, not atom15.
not atom40 > atom40 :- not atom1, not atom15.
not atom40 > atom40 :- atom1, not atom15.
atom2 > not atom2 :- not atom4, not atom15.
atom2 > not atom2 :- atom4, not atom15.
not atom8 > atom8 :- not atom4, not atom15.
atom8 > not atom8 :- atom4, not atom15.
atom52 > not atom52 :- not atom1, not atom15.
not atom52 > atom52 :- atom1, not atom15.
atom53 > not atom53 :- not atom1, not atom15.
atom53 > not atom53 :- atom1, not atom15.
atom39 > not atom39 :- not atom1, not atom15.
not atom39 > atom39 :- atom1, not atom15.
atom44 > not atom44 :- not atom4, not atom15.
atom44 > not atom44 :- atom4, not atom15.
not atom32 > atom32 :- not atom1, not atom15.
not atom32 > atom32 :- atom1, not atom15.
atom47 > not atom47 :- not atom4, not atom15.
not atom47 > atom47 :- atom4, not atom15.
not atom9 > atom9 :- not atom1, not atom15.
not atom9 > atom9 :- atom1, not atom15.
not atom13 > atom13 :- not atom1, not atom15.
atom13 > not atom13 :- atom1, not atom15.
atom5 > not atom5 :- not atom2, not atom15.
atom5 > not atom5 :- atom2, not atom15.
