not atom14 > atom14.
not atom29 > atom29 :- not atom14.
atom38 > not atom38 :- not atom14.
not atom19 > atom19 :- not atom29, not atom14.
atom19 > not atom19 :- atom29, not atom14.
atom53 > not atom53 :- not atom19, not atom14.
atom53 > not atom53 :- atom19, not atom14.
not atom32 > atom32 :- not atom19, not atom14.
not atom32 > atom32 :- atom19, not atom14.
atom31 > not atom31 :- not atom38, not atom14.
not atom31 > atom31 :- atom38, not atom14.
atom3 > not atom3 :- not atom31, not atom14.
atom3 > not atom3 :- atom31, not atom14.
not atom58 > atom58 :- not atom19, not atom14.
atom58 > not atom58 :- atom19, not atom14.
atom26 > not atom26 :- not atom3, not atom14.
atom26 > not atom26 :- atom3, not atom14.
not atom21 > atom21 :- not atom26, not atom14.
atom21 > not atom21 :- atom26, not atom14.
not atom13 > atom13 :- not atom32, not atom14.
atom13 > not atom13 :- atom32, not atom14.
atom54 > not atom54 :- not atom21, not atom14.
atom54 > not atom54 :- atom21, not atom14.
atom22 > not atom22 :- not atom13, not atom14.
not atom22 > atom22 :- atom13, not atom14.
atom57 > not atom57 :- not atom21, not atom14.
not atom57 > atom57 :- atom21, not atom14.
not atom39 > atom39 :- not atom13, not atom14.
atom39 > not atom39 :- atom13, not atom14.
atom9 > not atom9 :- not atom13, not atom14.
not atom9 > atom9 :- atom13, not atom14.
not atom34 > atom34 :- not atom3, not atom14.
not atom34 > atom34 :- atom3, not atom14.
atom55 > not atom55 :- not atom19, not atom14.
atom55 > not atom55 :- atom19, not atom14.
atom30 > not atom30 :- not atom3, not atom14.
not atom30 > atom30 :- atom3, not atom14.
atom8 > not atom8 :- not atom3, not atom14.
not atom8 > atom8 :- atom3, not atom14.
not atom35 > atom35 :- not atom9, not atom14.
atom35 > not atom35 :- atom9, not atom14.
atom20 > not atom20 :- not atom3, not atom14.
atom20 > not atom20 :- atom3, not atom14.
atom7 > not atom7 :- not atom3, not atom14.
atom7 > not atom7 :- atom3, not atom14.
not atom47 > atom47 :- not atom3, not atom14.
not atom47 > atom47 :- atom3, not atom14.
atom43 > not atom43 :- not atom3, not atom14.
atom43 > not atom43 :- atom3, not atom14.
atom33 > not atom33 :- not atom9, not atom14.
atom33 > not atom33 :- atom9, not atom14.
not atom12 > atom12 :- not atom7, not atom14.
atom12 > not atom12 :- atom7, not atom14.
atom49 > not atom49 :- not atom7, not atom14.
not atom49 > atom49 :- atom7, not atom14.
atom16 > not atom16 :- not atom3, not atom14.
atom16 > not atom16 :- atom3, not atom14.
atom41 > not atom41 :- not atom3, not atom14.
atom41 > not atom41 :- atom3, not atom14.
atom60 > not atom60 :- not atom3, not atom14.
atom60 > not atom60 :- atom3, not atom14.
atom42 > not atom42 :- not atom3, not atom14.
atom42 > not atom42 :- atom3, not atom14.
not atom48 > atom48 :- not atom3, not atom14.
atom48 > not atom48 :- atom3, not atom14.
atom25 > not atom25 :- not atom3, not atom14.
not atom25 > atom25 :- atom3, not atom14.
not atom36 > atom36 :- not atom8, not atom14.
atom36 > not atom36 :- atom8, not atom14.
not atom5 > atom5 :- not atom3, not atom14.
atom5 > not atom5 :- atom3, not atom14.
atom28 > not atom28 :- not atom3, not atom14.
atom28 > not atom28 :- atom3, not atom14.
atom46 > not atom46 :- not atom9, not atom14.
atom46 > not atom46 :- atom9, not atom14.
not atom40 > atom40 :- not atom5, not atom14.
atom40 > not atom40 :- atom5, not atom14.
atom10 > not atom10 :- not atom3, not atom14.
atom10 > not atom10 :- atom3, not atom14.
not atom51 > atom51 :- not atom5, not atom14.
not atom51 > atom51 :- atom5, not atom14.
not atom44 > atom44 :- not atom3, not atom14.
not atom44 > atom44 :- atom3, not atom14.
not atom37 > atom37 :- not atom10, not atom14.
atom37 > not atom37 :- atom10, not atom14.
not atom23 > atom23 :- not atom5, not atom14.
not atom23 > atom23 :- atom5, not atom14.
atom17 > not atom17 :- not atom12, not atom14.
