atom34 > not atom34.
not atom41 > atom41.
not atom37 > atom37 :- not atom41.
atom59 > not atom59 :- not atom41.
not atom56 > atom56 :- not atom34, not atom41.
not atom56 > atom56 :- atom34, not atom41.
atom52 > not atom52 :- not atom37, not atom41.
not atom52 > atom52 :- atom37, not atom41.
not atom48 > atom48 :- not atom37, not atom41.
atom48 > not atom48 :- atom37, not atom41.
not atom1 > atom1 :- not atom48, not atom41.
not atom1 > atom1 :- atom48, not atom41.
not atom38 > atom38 :- not atom1, not atom41.
atom38 > not atom38 :- atom1, not atom41.
atom60 > not atom60 :- not atom1, not atom41.
atom60 > not atom60 :- atom1, not atom41.
atom7 > not atom7 :- not atom34, not atom41.
atom7 > not atom7 :- atom34, not atom41.
atom35 > not atom35 :- not atom1, not atom41.
not atom35 > atom35 :- atom1, not atom41.
not atom11 > atom11 :- not atom7, not atom41.
not atom11 > atom11 :- atom7, not atom41.
not atom27 > atom27 :- not atom1, not atom41.
not atom27 > atom27 :- atom1, not atom41.
atom50 > not atom50 :- not atom1, not atom41.
not atom50 > atom50 :- atom1, not atom41.
not atom44 > atom44 :- not atom1, not atom41.
atom44 > not atom44 :- atom1, not atom41.
not atom36 > atom36 :- not atom34, not atom41.
not atom36 > atom36 :- atom34, not atom41.
atom46 > not atom46 :- not atom11, not atom41.
not atom46 > atom46 :- atom11, not atom41.
not atom53 > atom53 :- not atom27, not atom41.
not atom53 > atom53 :- atom27, not atom41.
atom14 > not atom14 :- not atom1, not atom41.
not atom14 > atom14 :- atom1, not atom41.
atom20 > not atom20 :- not atom1, not atom41.
not atom20 > atom20 :- atom1, not atom41.
atom29 > not atom29 :- not atom7, not atom41.
not atom29 > atom29 :- atom7, not atom41.
atom39 > not atom39 :- not atom1, not atom41.
not atom39 > atom39 :- atom1, not atom41.
not atom55 > atom55 :- not atom7, not atom41.
atom55 > not atom55 :- atom7, not atom41.
not atom23 > atom23 :- not atom27, not atom41.
atom23 > not atom23 :- atom27, not atom41.
not atom22 > atom22 :- not atom1, not atom41.
not atom22 > atom22 :- atom1, not atom41.
not atom32 > atom32 :- not atom23, not atom41.
not atom32 > atom32 :- atom23, not atom41.
not atom4 > atom4 :- not atom7, not atom41.
not atom4 > atom4 :- atom7, not atom41.
atom3 > not atom3 :- not atom4, not atom41.
not atom3 > atom3 :- atom4, not atom41.
atom28 > not atom28 :- not atom1, not atom41.
not atom28 > atom28 :- atom1, not atom41.
not atom31 > atom31 :- not atom1, not atom41.
not atom31 > atom31 :- atom1, not atom41.
not atom33 > atom33 :- not atom20, not atom41.
atom33 > not atom33 :- atom20, not atom41.
not atom6 > atom6 :- not atom1, not atom41.
atom6 > not atom6 :- atom1, not atom41.
not atom18 > atom18 :- not atom1, not atom41.
not atom18 > atom18 :- atom1, not atom41.
atom58 > not atom58 :- not atom6, not atom41.
atom58 > not atom58 :- atom6, not atom41.
atom12 > not atom12 :- not atom3, not atom41.
atom12 > not atom12 :- atom3, not atom41.
atom24 > not atom24 :- not atom3, not atom41.
not atom24 > atom24 :- atom3, not atom41.
not atom17 > atom17 :- not atom4, not atom41.
not atom17 > atom17 :- atom4, not atom41.
not atom49 > atom49 :- not atom4, not atom41.
atom49 > not atom49 :- atom4, not atom41.
atom25 > not atom25 :- not atom1, not atom41.
atom25 > not atom25 :- atom1, not atom41.
atom15 > not atom15 :- not atom1, not atom41.
not atom15 > atom15 :- atom1, not atom41.
not atom57 > atom57 :- not atom1, not atom41.
atom57 > not atom57 :- atom1, not atom41.
not atom30 > atom30 :- not atom3, not atom41.
not atom30 > atom30 :- atom3, not atom41.
atom40 > not atom40 :- not atom4, not atom41.
not atom40 > atom40 :- atom4, not atom41.
not atom21 > atom21 :- not atom1, not atom41.
atom21 > not atom21 :- atom1, not atom41.
atom42 > not atom42 :- not atom6, not atom41.
not atom42 > atom42 :- atom6, not atom41.
not atom16 > atom16 :- not atom1, not atom41.
atom16 > not atom16 :- atom1, not atom41.
not atom26 > atom26 :- not atom1, not atom41.
not atom26 > atom26 :- atom1, not atom41.
atom9 > not atom9 :- not atom3, not atom41.
not atom9 > atom9 :- atom3, not atom41.
not atom5 > atom5 :- not atom1, not atom41.
not atom5 > atom5 :- atom1, not atom41.
atom43 > not atom43 :- not atom1, not atom41.
not atom43 > atom43 :- atom1, not atom41.
not atom13 > atom13 :- not atom4, not atom41.
atom13 > not atom13 :- atom4, not atom41.
not atom8 > atom8 :- not atom7, not atom41.
atom8 > not atom8 :- atom7, not atom41.
atom19 > not atom19 :- not atom1, not atom41.
atom19 > not atom19 :- atom1, not atom41.
atom10 > not atom10 :- not atom1, not atom41.
atom10 > not atom10 :- atom1, not atom41.
atom45 > not atom45 :- not atom1, not atom41.
not atom45 > atom45 :- atom1, not atom41.
not atom47 > atom47 :- not atom1, not atom41.
not atom47 > atom47 :- atom1, not atom41.
atom54 > not atom54 :- not atom1, not atom41.
atom54 > not atom54 :- atom1, not atom41.
not atom51 > atom51 :- not atom1, not atom41.
atom51 > not atom51 :- atom1, not atom41.
not atom2 > atom2 :- not atom7, not atom41.
atom2 > not atom2 :- atom7, not atom41.
not atom43 > atom43 :- atom41.
not atom27 > atom27 :- not atom34, atom41.
atom27 > not atom27 :- atom34, atom41.
not atom46 > atom46 :- not atom34, atom41.
atom46 > not atom46 :- atom34, atom41.
atom21 > not atom21 :- not atom34, atom41.
not atom21 > atom21 :- atom34, atom41.
atom7 > not atom7 :- not atom43, atom41.
not atom7 > atom7 :- atom43, atom41.
not atom13 > atom13 :- not atom21, atom41.
atom13 > not atom13 :- atom21, atom41.
atom12 > not atom12 :- not atom13, atom41.
not atom12 > atom12 :- atom13, atom41.
not atom23 > atom23 :- not atom13, atom41.
atom23 > not atom23 :- atom13, atom41.
atom47 > not atom47 :- not atom13, atom41.
atom47 > not atom47 :- atom13, atom41.
atom55 > not atom55 :- not atom7, atom41.
not atom55 > atom55 :- atom7, atom41.
not atom54 > atom54 :- not atom12, atom41.
atom54 > not atom54 :- atom12, atom41.
atom17 > not atom17 :- not atom7, atom41.
atom17 > not atom17 :- atom7, atom41.
atom39 > not atom39 :- not atom7, atom41.
atom39 > not atom39 :- atom7, atom41.
not atom45 > atom45 :- not atom7, atom41.
atom45 > not atom45 :- atom7, atom41.
not atom59 > atom59 :- not atom12, atom41.
atom59 > not atom59 :- atom12, atom41.
not atom37 > atom37 :- not atom13, atom41.
atom37 > not atom37 :- atom13, atom41.
atom32 > not atom32 :- not atom7, atom41.
not atom32 > atom32 :- atom7, atom41.
not atom19 > atom19 :- not atom7, atom41.
not atom19 > atom19 :- atom7, atom41.
not atom60 > atom60 :- not atom13, atom41.
atom60 > not atom60 :- atom13, atom41.
atom9 > not atom9 :- not atom7, atom41.
atom9 > not atom9 :- atom7, atom41.
not atom50 > atom50 :- not atom13, atom41.
not atom50 > atom50 :- atom13, atom41.
not atom33 > atom33 :- not atom13, atom41.
not atom33 > atom33 :- atom13, atom41.
not atom8 > atom8 :- not atom7, atom41.
not atom8 > atom8 :- atom7, atom41.
atom26 > not atom26 :- not atom7, atom41.
atom26 > not atom26 :- atom7, atom41.
atom35 > not atom35 :- not atom7, atom41.
not atom35 > atom35 :- atom7, atom41.
atom10 > not atom10 :- not atom7, atom41.
atom10 > not atom10 :- atom7, atom41.
atom48 > not atom48 :- not atom10, atom41.
atom48 > not atom48 :- atom10, atom41.
not atom53 > atom53 :- not atom7, atom41.
not atom53 > atom53 :- atom7, atom41.
atom52 > not atom52 :- not atom9, atom41.
not atom52 > atom52 :- atom9, atom41.
not atom22 > atom22 :- not atom7, atom41.
not atom22 > atom22 :- atom7, atom41.
not atom18 > atom18 :- not atom7, atom41.
not atom18 > atom18 :- atom7, atom41.
not atom1 > atom1 :- not atom12, atom41.
atom1 > not atom1 :- atom12, atom41.
atom58 > not atom58 :- not atom1, atom41.
atom58 > not atom58 :- atom1, atom41.
atom15 > not atom15 :- not atom1, atom41.
atom15 > not atom15 :- atom1, atom41.
not atom57 > atom57 :- not atom12, atom41.
atom57 > not atom57 :- atom12, atom41.
atom56 > not atom56 :- not atom8, atom41.
not atom56 > atom56 :- atom8, atom41.
not atom25 > atom25 :- not atom1, atom41.
not atom25 > atom25 :- atom1, atom41.
not atom51 > atom51 :- not atom13, atom41.
not atom51 > atom51 :- atom13, atom41.
atom3 > not atom3 :- not atom7, atom41.
atom3 > not atom3 :- atom7, atom41.
atom36 > not atom36 :- not atom1, atom41.
not atom36 > atom36 :- atom1, atom41.
not atom30 > atom30 :- not atom3, atom41.
not atom30 > atom30 :- atom3, atom41.
atom44 > not atom44 :- not atom1, atom41.
atom44 > not atom44 :- atom1, atom41.
not atom14 > atom14 :- not atom7, atom41.
not atom14 > atom14 :- atom7, atom41.
not atom20 > atom20 :- not atom7, atom41.
atom20 > not atom20 :- atom7, atom41.
atom24 > not atom24 :- not atom1, atom41.
not atom24 > atom24 :- atom1, atom41.
atom40 > not atom40 :- not atom7, atom41.
not atom40 > atom40 :- atom7, atom41.
not atom6 > atom6 :- not atom7, atom41.
atom6 > not atom6 :- atom7, atom41.
not atom11 > atom11 :- not atom6, atom41.
not atom11 > atom11 :- atom6, atom41.
not atom31 > atom31 :- not atom3, atom41.
atom31 > not atom31 :- atom3, atom41.
atom28 > not atom28 :- not atom1, atom41.
atom28 > not atom28 :- atom1, atom41.
atom29 > not atom29 :- not atom3, atom41.
not atom29 > atom29 :- atom3, atom41.
not atom5 > atom5 :- not atom1, atom41.
atom5 > not atom5 :- atom1, atom41.
not atom4 > atom4 :- not atom1, atom41.
not atom4 > atom4 :- atom1, atom41.
not atom49 > atom49 :- not atom6, atom41.
atom49 > not atom49 :- atom6, atom41.
atom2 > not atom2 :- not atom3, atom41.
atom2 > not atom2 :- atom3, atom41.
not atom38 > atom38 :- not atom2, atom41.
not atom38 > atom38 :- atom2, atom41.
not atom16 > atom16 :- not atom2, atom41.
not atom16 > atom16 :- atom2, atom41.
not atom42 > atom42 :- not atom1, atom41.
not atom42 > atom42 :- atom1, atom41.
atom17 > not atom17.
not atom23 > atom23.
not atom51 > atom51 :- not atom17.
not atom51 > atom51 :- atom17.
not atom55 > atom55 :- not atom51.
atom55 > not atom55 :- atom51.
not atom4 > atom4 :- not atom17.
not atom4 > atom4 :- atom17.
atom39 > not atom39 :- not atom4.
not atom39 > atom39 :- atom4.
not atom19 > atom19 :- not atom23.
atom19 > not atom19 :- atom23.
not atom2 > atom2 :- not atom23.
not atom2 > atom2 :- atom23.
atom22 > not atom22 :- not atom2.
not atom22 > atom22 :- atom2.
not atom26 > atom26 :- not atom4.
not atom26 > atom26 :- atom4.
atom34 > not atom34 :- not atom17.
not atom34 > atom34 :- atom17.
not atom59 > atom59 :- not atom2.
atom59 > not atom59 :- atom2.
atom11 > not atom11 :- not atom23.
not atom11 > atom11 :- atom23.
not atom35 > atom35 :- not atom11.
not atom35 > atom35 :- atom11.
atom43 > not atom43 :- not atom2.
not atom43 > atom43 :- atom2.
atom54 > not atom54 :- not atom11.
atom54 > not atom54 :- atom11.
atom48 > not atom48 :- not atom11.
atom48 > not atom48 :- atom11.
not atom46 > atom46 :- not atom2.
not atom46 > atom46 :- atom2.
atom13 > not atom13 :- not atom11.
atom13 > not atom13 :- atom11.
not atom53 > atom53 :- not atom11.
atom53 > not atom53 :- atom11.
not atom3 > atom3 :- not atom4.
not atom3 > atom3 :- atom4.
atom18 > not atom18 :- not atom3.
not atom18 > atom18 :- atom3.
not atom41 > atom41 :- not atom2.
atom41 > not atom41 :- atom2.
not atom1 > atom1 :- not atom2.
atom1 > not atom1 :- atom2.
atom5 > not atom5 :- not atom17.
atom5 > not atom5 :- atom17.
atom52 > not atom52 :- not atom1.
not atom52 > atom52 :- atom1.
atom42 > not atom42 :- not atom1.
not atom42 > atom42 :- atom1.
not atom60 > atom60 :- not atom2.
atom60 > not atom60 :- atom2.
atom56 > not atom56 :- not atom1.
atom56 > not atom56 :- atom1.
atom36 > not atom36 :- not atom1.
atom36 > not atom36 :- atom1.
not atom12 > atom12 :- not atom1.
atom12 > not atom12 :- atom1.
not atom31 > atom31 :- not atom1.
not atom31 > atom31 :- atom1.
atom14 > not atom14 :- not atom2.
atom14 > not atom14 :- atom2.
not atom45 > atom45 :- not atom3.
atom45 > not atom45 :- atom3.
atom8 > not atom8 :- not atom1.
not atom8 > atom8 :- atom1.
atom37 > not atom37 :- not atom2.
atom37 > not atom37 :- atom2.
atom57 > not atom57 :- not atom2.
atom57 > not atom57 :- atom2.
not atom47 > atom47 :- not atom1.
not atom47 > atom47 :- atom1.
not atom10 > atom10 :- not atom1.
not atom10 > atom10 :- atom1.
atom7 > not atom7 :- not atom1.
not atom7 > atom7 :- atom1.
not atom9 > atom9 :- not atom2.
atom9 > not atom9 :- atom2.
atom21 > not atom21 :- not atom1.
not atom21 > atom21 :- atom1.
not atom49 > atom49 :- not atom5.
not atom49 > atom49 :- atom5.
atom27 > not atom27 :- not atom1.
not atom27 > atom27 :- atom1.
not atom44 > atom44 :- not atom1.
not atom44 > atom44 :- atom1.
not atom20 > atom20 :- not atom1.
atom20 > not atom20 :- atom1.
not atom24 > atom24 :- not atom3.
not atom24 > atom24 :- atom3.
atom40 > not atom40 :- not atom1.
not atom40 > atom40 :- atom1.
not atom28 > atom28 :- not atom1.
not atom28 > atom28 :- atom1.
atom16 > not atom16 :- not atom1.
atom16 > not atom16 :- atom1.
not atom29 > atom29 :- not atom2.
not atom29 > atom29 :- atom2.
not atom30 > atom30 :- not atom2.
atom30 > not atom30 :- atom2.
atom38 > not atom38 :- not atom3.
atom38 > not atom38 :- atom3.
atom32 > not atom32 :- not atom1.
atom32 > not atom32 :- atom1.
atom15 > not atom15 :- not atom1.
not atom15 > atom15 :- atom1.
atom50 > not atom50 :- not atom2.
not atom50 > atom50 :- atom2.
atom33 > not atom33 :- not atom2.
atom33 > not atom33 :- atom2.
atom6 > not atom6 :- not atom1.
not atom6 > atom6 :- atom1.
atom58 > not atom58 :- not atom1.
atom58 > not atom58 :- atom1.
atom25 > not atom25 :- not atom1.
not atom25 > atom25 :- atom1.
