atom43 > not atom43.
atom18 > not atom18 :- not atom43.
atom18 > not atom18 :- atom43.
atom23 > not atom23 :- not atom43, atom18.
not atom23 > atom23 :- atom43, atom18.
not atom32 > atom32 :- not atom23, atom18.
not atom32 > atom32 :- atom23, atom18.
not atom31 > atom31 :- not atom32, atom18.
atom31 > not atom31 :- atom32, atom18.
atom12 > not atom12 :- not atom32, atom18.
atom12 > not atom12 :- atom32, atom18.
not atom28 > atom28 :- not atom12, atom18.
atom28 > not atom28 :- atom12, atom18.
not atom35 > atom35 :- not atom28, atom18.
atom35 > not atom35 :- atom28, atom18.
not atom8 > atom8 :- not atom28, atom18.
not atom8 > atom8 :- atom28, atom18.
atom14 > not atom14 :- not atom8, atom18.
atom14 > not atom14 :- atom8, atom18.
not atom39 > atom39 :- not atom12, atom18.
not atom39 > atom39 :- atom12, atom18.
not atom25 > atom25 :- not atom12, atom18.
atom25 > not atom25 :- atom12, atom18.
atom27 > not atom27 :- not atom8, atom18.
not atom27 > atom27 :- atom8, atom18.
atom36 > not atom36 :- not atom14, atom18.
not atom36 > atom36 :- atom14, atom18.
atom34 > not atom34 :- not atom12, atom18.
not atom34 > atom34 :- atom12, atom18.
not atom37 > atom37 :- not atom12, atom18.
atom37 > not atom37 :- atom12, atom18.
not atom3 > atom3 :- not atom12, atom18.
not atom3 > atom3 :- atom12, atom18.
atom30 > not atom30 :- not atom8, atom18.
not atom30 > atom30 :- atom8, atom18.
not atom53 > atom53 :- not atom8, atom18.
not atom53 > atom53 :- atom8, atom18.
atom6 > not atom6 :- not atom3, atom18.
atom6 > not atom6 :- atom3, atom18.
atom56 > not atom56 :- not atom23, atom18.
atom56 > not atom56 :- atom23, atom18.
not atom20 > atom20 :- not atom3, atom18.
atom20 > not atom20 :- atom3, atom18.
not atom1 > atom1 :- not atom3, atom18.
not atom1 > atom1 :- atom3, atom18.
not atom52 > atom52 :- not atom1, atom18.
atom52 > not atom52 :- atom1, atom18.
not atom17 > atom17 :- not atom8, atom18.
not atom17 > atom17 :- atom8, atom18.
atom54 > not atom54 :- not atom12, atom18.
atom54 > not atom54 :- atom12, atom18.
atom24 > not atom24 :- not atom14, atom18.
atom24 > not atom24 :- atom14, atom18.
atom49 > not atom49 :- not atom1, atom18.
atom49 > not atom49 :- atom1, atom18.
atom7 > not atom7 :- not atom1, atom18.
not atom7 > atom7 :- atom1, atom18.
not atom48 > atom48 :- not atom17, atom18.
atom48 > not atom48 :- atom17, atom18.
atom22 > not atom22 :- not atom7, atom18.
atom22 > not atom22 :- atom7, atom18.
atom46 > not atom46 :- not atom6, atom18.
not atom46 > atom46 :- atom6, atom18.
not atom55 > atom55 :- not atom1, atom18.
not atom55 > atom55 :- atom1, atom18.
not atom4 > atom4 :- not atom1, atom18.
not atom4 > atom4 :- atom1, atom18.
atom16 > not atom16 :- not atom4, atom18.
not atom16 > atom16 :- atom4, atom18.
not atom45 > atom45 :- not atom6, atom18.
not atom45 > atom45 :- atom6, atom18.
not atom2 > atom2 :- not atom6, atom18.
not atom2 > atom2 :- atom6, atom18.
not atom29 > atom29 :- not atom1, atom18.
atom29 > not atom29 :- atom1, atom18.
atom9 > not atom9 :- not atom2, atom18.
not atom9 > atom9 :- atom2, atom18.
atom5 > not atom5 :- not atom1, atom18.
not atom5 > atom5 :- atom1, atom18.
not atom15 > atom15 :- not atom2, atom18.
atom15 > not atom15 :- atom2, atom18.
atom38 > not atom38 :- not atom1, atom18.
atom38 > not atom38 :- atom1, atom18.
atom60 > not atom60 :- not atom1, atom18.
not atom60 > atom60 :- atom1, atom18.
atom19 > not atom19 :- not atom3, atom18.
atom19 > not atom19 :- atom3, atom18.
not atom51 > atom51 :- not atom2, atom18.
atom51 > not atom51 :- atom2, atom18.
not atom21 > atom21 :- not atom5, atom18.
atom21 > not atom21 :- atom5, atom18.
atom42 > not atom42 :- not atom1, atom18.
not atom42 > atom42 :- atom1, atom18.
atom10 > not atom10 :- not atom1, atom18.
not atom10 > atom10 :- atom1, atom18.
not atom26 > atom26 :- not atom2, atom18.
atom26 > not atom26 :- atom2, atom18.
not atom13 > atom13 :- not atom1, atom18.
atom13 > not atom13 :- atom1, atom18.
not atom33 > atom33 :- not atom4, atom18.
atom33 > not atom33 :- atom4, atom18.
atom59 > not atom59 :- not atom8, atom18.
not atom59 > atom59 :- atom8, atom18.
atom40 > not atom40 :- not atom2, atom18.
atom40 > not atom40 :- atom2, atom18.
atom44 > not atom44 :- not atom2, atom18.
not atom44 > atom44 :- atom2, atom18.
not atom41 > atom41 :- not atom1, atom18.
atom41 > not atom41 :- atom1, atom18.
atom57 > not atom57 :- not atom4, atom18.
not atom57 > atom57 :- atom4, atom18.
not atom11 > atom11 :- not atom2, atom18.
atom11 > not atom11 :- atom2, atom18.
not atom58 > atom58 :- not atom1, atom18.
not atom58 > atom58 :- atom1, atom18.
atom50 > not atom50 :- not atom5, atom18.
not atom50 > atom50 :- atom5, atom18.
atom47 > not atom47 :- not atom2, atom18.
not atom47 > atom47 :- atom2, atom18.
atom9 > not atom9 :- not atom43, not atom18.
atom9 > not atom9 :- atom43, not atom18.
atom60 > not atom60 :- not atom9, not atom18.
not atom60 > atom60 :- atom9, not atom18.
atom21 > not atom21 :- not atom18.
not atom6 > atom6 :- not atom18.
not atom53 > atom53 :- not atom18.
not atom24 > atom24 :- not atom6, not atom18.
atom24 > not atom24 :- atom6, not atom18.
not atom7 > atom7 :- not atom6, not atom18.
not atom7 > atom7 :- atom6, not atom18.
atom35 > not atom35 :- not atom7, not atom18.
not atom35 > atom35 :- atom7, not atom18.
atom46 > not atom46 :- not atom7, not atom18.
atom46 > not atom46 :- atom7, not atom18.
atom57 > not atom57 :- not atom6, not atom18.
atom57 > not atom57 :- atom6, not atom18.
not atom36 > atom36 :- not atom6, not atom18.
not atom36 > atom36 :- atom6, not atom18.
not atom47 > atom47 :- not atom6, not atom18.
not atom47 > atom47 :- atom6, not atom18.
not atom16 > atom16 :- not atom6, not atom18.
not atom16 > atom16 :- atom6, not atom18.
atom12 > not atom12 :- not atom7, not atom18.
not atom12 > atom12 :- atom7, not atom18.
atom25 > not atom25 :- not atom6, not atom18.
not atom25 > atom25 :- atom6, not atom18.
not atom34 > atom34 :- not atom7, not atom18.
not atom34 > atom34 :- atom7, not atom18.
not atom37 > atom37 :- not atom7, not atom18.
not atom37 > atom37 :- atom7, not atom18.
atom29 > not atom29 :- not atom7, not atom18.
atom29 > not atom29 :- atom7, not atom18.
atom33 > not atom33 :- not atom9, not atom18.
