atom39 > not atom39.
not atom45 > atom45 :- not atom39.
atom45 > not atom45 :- atom39.
atom7 > not atom7 :- not atom39.
atom7 > not atom7 :- atom39.
atom9 > not atom9 :- atom7.
not atom40 > atom40 :- not atom39, atom7.
not atom40 > atom40 :- atom39, atom7.
atom21 > not atom21 :- atom7.
not atom28 > atom28 :- not atom21, atom7.
atom28 > not atom28 :- atom21, atom7.
not atom17 > atom17 :- not atom21, atom7.
atom17 > not atom17 :- atom21, atom7.
not atom48 > atom48 :- not atom9, atom7.
not atom48 > atom48 :- atom9, atom7.
atom36 > not atom36 :- not atom9, atom7.
atom36 > not atom36 :- atom9, atom7.
not atom25 > atom25 :- not atom9, atom7.
not atom25 > atom25 :- atom9, atom7.
atom37 > not atom37 :- not atom9, atom7.
not atom37 > atom37 :- atom9, atom7.
atom46 > not atom46 :- not atom17, atom7.
not atom46 > atom46 :- atom17, atom7.
not atom50 > atom50 :- not atom21, atom7.
atom50 > not atom50 :- atom21, atom7.
atom35 > not atom35 :- not atom21, atom7.
atom35 > not atom35 :- atom21, atom7.
atom32 > not atom32 :- not atom28, atom7.
atom32 > not atom32 :- atom28, atom7.
atom24 > not atom24 :- not atom9, atom7.
atom24 > not atom24 :- atom9, atom7.
not atom20 > atom20 :- not atom28, atom7.
not atom20 > atom20 :- atom28, atom7.
atom54 > not atom54 :- not atom20, atom7.
atom54 > not atom54 :- atom20, atom7.
atom11 > not atom11 :- not atom21, atom7.
atom11 > not atom11 :- atom21, atom7.
atom33 > not atom33 :- not atom11, atom7.
atom33 > not atom33 :- atom11, atom7.
atom43 > not atom43 :- not atom11, atom7.
atom43 > not atom43 :- atom11, atom7.
not atom51 > atom51 :- not atom9, atom7.
atom51 > not atom51 :- atom9, atom7.
not atom58 > atom58 :- not atom9, atom7.
not atom58 > atom58 :- atom9, atom7.
not atom44 > atom44 :- not atom9, atom7.
not atom44 > atom44 :- atom9, atom7.
atom27 > not atom27 :- not atom11, atom7.
atom27 > not atom27 :- atom11, atom7.
not atom30 > atom30 :- not atom9, atom7.
not atom30 > atom30 :- atom9, atom7.
atom8 > not atom8 :- not atom9, atom7.
atom8 > not atom8 :- atom9, atom7.
not atom14 > atom14 :- not atom9, atom7.
not atom14 > atom14 :- atom9, atom7.
not atom47 > atom47 :- not atom11, atom7.
atom47 > not atom47 :- atom11, atom7.
atom13 > not atom13 :- not atom8, atom7.
atom13 > not atom13 :- atom8, atom7.
not atom3 > atom3 :- not atom8, atom7.
atom3 > not atom3 :- atom8, atom7.
atom4 > not atom4 :- not atom9, atom7.
atom4 > not atom4 :- atom9, atom7.
atom22 > not atom22 :- not atom3, atom7.
atom22 > not atom22 :- atom3, atom7.
not atom53 > atom53 :- not atom8, atom7.
not atom53 > atom53 :- atom8, atom7.
not atom42 > atom42 :- not atom3, atom7.
atom42 > not atom42 :- atom3, atom7.
not atom29 > atom29 :- not atom3, atom7.
atom29 > not atom29 :- atom3, atom7.
not atom19 > atom19 :- not atom3, atom7.
not atom19 > atom19 :- atom3, atom7.
atom2 > not atom2 :- not atom3, atom7.
not atom2 > atom2 :- atom3, atom7.
not atom59 > atom59 :- not atom2, atom7.
atom59 > not atom59 :- atom2, atom7.
not atom15 > atom15 :- not atom2, atom7.
not atom15 > atom15 :- atom2, atom7.
not atom5 > atom5 :- not atom3, atom7.
not atom5 > atom5 :- atom3, atom7.
not atom56 > atom56 :- not atom2, atom7.
not atom56 > atom56 :- atom2, atom7.
not atom34 > atom34 :- not atom2, atom7.
atom34 > not atom34 :- atom2, atom7.
atom1 > not atom1 :- not atom4, atom7.
not atom1 > atom1 :- atom4, atom7.
not atom55 > atom55 :- not atom2, atom7.
atom55 > not atom55 :- atom2, atom7.
atom12 > not atom12 :- not atom3, atom7.
not atom12 > atom12 :- atom3, atom7.
not atom52 > atom52 :- not atom4, atom7.
atom52 > not atom52 :- atom4, atom7.
atom60 > not atom60 :- not atom2, atom7.
not atom60 > atom60 :- atom2, atom7.
not atom6 > atom6 :- not atom1, atom7.
atom6 > not atom6 :- atom1, atom7.
not atom18 > atom18 :- not atom2, atom7.
not atom18 > atom18 :- atom2, atom7.
not atom10 > atom10 :- not atom2, atom7.
not atom10 > atom10 :- atom2, atom7.
atom41 > not atom41 :- not atom2, atom7.
atom41 > not atom41 :- atom2, atom7.
not atom49 > atom49 :- not atom2, atom7.
atom49 > not atom49 :- atom2, atom7.
not atom23 > atom23 :- not atom1, atom7.
not atom23 > atom23 :- atom1, atom7.
not atom31 > atom31 :- not atom1, atom7.
atom31 > not atom31 :- atom1, atom7.
atom16 > not atom16 :- not atom1, atom7.
not atom16 > atom16 :- atom1, atom7.
not atom38 > atom38 :- not atom1, atom7.
atom38 > not atom38 :- atom1, atom7.
not atom26 > atom26 :- not atom1, atom7.
not atom26 > atom26 :- atom1, atom7.
not atom57 > atom57 :- not atom1, atom7.
atom57 > not atom57 :- atom1, atom7.
atom50 > not atom50 :- not atom39, not atom7.
atom50 > not atom50 :- atom39, not atom7.
atom34 > not atom34 :- not atom39, not atom7.
atom34 > not atom34 :- atom39, not atom7.
not atom8 > atom8 :- not atom7.
atom57 > not atom57 :- not atom39, not atom7.
atom57 > not atom57 :- atom39, not atom7.
atom15 > not atom15 :- not atom8, not atom7.
atom15 > not atom15 :- atom8, not atom7.
atom53 > not atom53 :- not atom8, not atom7.
not atom53 > atom53 :- atom8, not atom7.
atom27 > not atom27 :- not atom8, not atom7.
not atom27 > atom27 :- atom8, not atom7.
not atom21 > atom21 :- not atom15, not atom7.
atom21 > not atom21 :- atom15, not atom7.
not atom49 > atom49 :- not atom8, not atom7.
atom49 > not atom49 :- atom8, not atom7.
not atom44 > atom44 :- not atom8, not atom7.
atom44 > not atom44 :- atom8, not atom7.
atom42 > not atom42 :- not atom21, not atom7.
atom42 > not atom42 :- atom21, not atom7.
not atom35 > atom35 :- not atom15, not atom7.
not atom35 > atom35 :- atom15, not atom7.
not atom33 > atom33 :- not atom34, not atom7.
not atom33 > atom33 :- atom34, not atom7.
atom10 > not atom10 :- not atom8, not atom7.
not atom10 > atom10 :- atom8, not atom7.
atom58 > not atom58 :- not atom8, not atom7.
atom58 > not atom58 :- atom8, not atom7.
atom14 > not atom14 :- not atom15, not atom7.
atom14 > not atom14 :- atom15, not atom7.
atom25 > not atom25 :- not atom8, not atom7.
atom25 > not atom25 :- atom8, not atom7.
not atom31 > atom31 :- not atom8, not atom7.
not atom31 > atom31 :- atom8, not atom7.
not atom56 > atom56 :- not atom15, not atom7.
atom56 > not atom56 :- atom15, not atom7.
not atom47 > atom47 :- not atom14, not atom7.
not atom47 > atom47 :- atom14, not atom7.
atom60 > not atom60 :- not atom8, not atom7.
not atom60 > atom60 :- atom8, not atom7.
atom20 > not atom20 :- not atom8, not atom7.
atom20 > not atom20 :- atom8, not atom7.
not atom16 > atom16 :- not atom8, not atom7.
atom16 > not atom16 :- atom8, not atom7.
not atom24 > atom24 :- not atom8, not atom7.
not atom24 > atom24 :- atom8, not atom7.
not atom13 > atom13 :- not atom8, not atom7.
not atom13 > atom13 :- atom8, not atom7.
atom28 > not atom28 :- not atom10, not atom7.
atom28 > not atom28 :- atom10, not atom7.
not atom2 > atom2 :- not atom25, not atom7.
not atom2 > atom2 :- atom25, not atom7.
not atom30 > atom30 :- not atom2, not atom7.
not atom30 > atom30 :- atom2, not atom7.
not atom32 > atom32 :- not atom2, not atom7.
atom32 > not atom32 :- atom2, not atom7.
atom12 > not atom12 :- not atom2, not atom7.
atom12 > not atom12 :- atom2, not atom7.
atom41 > not atom41 :- not atom10, not atom7.
atom41 > not atom41 :- atom10, not atom7.
atom1 > not atom1 :- not atom8, not atom7.
not atom1 > atom1 :- atom8, not atom7.
atom37 > not atom37 :- not atom1, not atom7.
atom37 > not atom37 :- atom1, not atom7.
atom46 > not atom46 :- not atom1, not atom7.
atom46 > not atom46 :- atom1, not atom7.
atom59 > not atom59 :- not atom13, not atom7.
atom59 > not atom59 :- atom13, not atom7.
not atom6 > atom6 :- not atom8, not atom7.
not atom6 > atom6 :- atom8, not atom7.
not atom18 > atom18 :- not atom1, not atom7.
atom18 > not atom18 :- atom1, not atom7.
not atom48 > atom48 :- not atom2, not atom7.
atom48 > not atom48 :- atom2, not atom7.
not atom55 > atom55 :- not atom1, not atom7.
not atom55 > atom55 :- atom1, not atom7.
not atom22 > atom22 :- not atom1, not atom7.
not atom22 > atom22 :- atom1, not atom7.
not atom17 > atom17 :- not atom1, not atom7.
not atom17 > atom17 :- atom1, not atom7.
atom11 > not atom11 :- not atom1, not atom7.
atom11 > not atom11 :- atom1, not atom7.
atom5 > not atom5 :- not atom1, not atom7.
not atom5 > atom5 :- atom1, not atom7.
atom40 > not atom40 :- not atom1, not atom7.
not atom40 > atom40 :- atom1, not atom7.
not atom43 > atom43 :- not atom2, not atom7.
not atom43 > atom43 :- atom2, not atom7.
atom51 > not atom51 :- not atom1, not atom7.
atom51 > not atom51 :- atom1, not atom7.
atom9 > not atom9 :- not atom2, not atom7.
not atom9 > atom9 :- atom2, not atom7.
not atom26 > atom26 :- not atom2, not atom7.
atom26 > not atom26 :- atom2, not atom7.
not atom23 > atom23 :- not atom1, not atom7.
not atom23 > atom23 :- atom1, not atom7.
not atom4 > atom4 :- not atom2, not atom7.
atom4 > not atom4 :- atom2, not atom7.
atom54 > not atom54 :- not atom1, not atom7.
not atom54 > atom54 :- atom1, not atom7.
