not atom39 > atom39.
not atom24 > atom24 :- not atom39.
not atom44 > atom44 :- not atom24, not atom39.
atom44 > not atom44 :- atom24, not atom39.
atom25 > not atom25 :- not atom39.
atom51 > not atom51 :- not atom24, not atom39.
atom51 > not atom51 :- atom24, not atom39.
atom46 > not atom46 :- not atom25, not atom39.
atom46 > not atom46 :- atom25, not atom39.
not atom17 > atom17 :- not atom24, not atom39.
atom17 > not atom17 :- atom24, not atom39.
not atom50 > atom50 :- not atom17, not atom39.
not atom50 > atom50 :- atom17, not atom39.
not atom33 > atom33 :- not atom25, not atom39.
not atom33 > atom33 :- atom25, not atom39.
atom48 > not atom48 :- not atom44, not atom39.
atom48 > not atom48 :- atom44, not atom39.
not atom19 > atom19 :- not atom17, not atom39.
atom19 > not atom19 :- atom17, not atom39.
atom9 > not atom9 :- not atom19, not atom39.
not atom9 > atom9 :- atom19, not atom39.
not atom29 > atom29 :- not atom17, not atom39.
atom29 > not atom29 :- atom17, not atom39.
atom42 > not atom42 :- not atom24, not atom39.
atom42 > not atom42 :- atom24, not atom39.
not atom41 > atom41 :- not atom17, not atom39.
atom41 > not atom41 :- atom17, not atom39.
not atom57 > atom57 :- not atom17, not atom39.
atom57 > not atom57 :- atom17, not atom39.
not atom32 > atom32 :- not atom9, not atom39.
atom32 > not atom32 :- atom9, not atom39.
not atom34 > atom34 :- not atom32, not atom39.
not atom34 > atom34 :- atom32, not atom39.
not atom2 > atom2 :- not atom9, not atom39.
atom2 > not atom2 :- atom9, not atom39.
not atom10 > atom10 :- not atom9, not atom39.
atom10 > not atom10 :- atom9, not atom39.
atom18 > not atom18 :- not atom9, not atom39.
not atom18 > atom18 :- atom9, not atom39.
not atom26 > atom26 :- not atom2, not atom39.
not atom26 > atom26 :- atom2, not atom39.
atom54 > not atom54 :- not atom2, not atom39.
atom54 > not atom54 :- atom2, not atom39.
atom15 > not atom15 :- not atom2, not atom39.
not atom15 > atom15 :- atom2, not atom39.
not atom8 > atom8 :- not atom2, not atom39.
atom8 > not atom8 :- atom2, not atom39.
atom13 > not atom13 :- not atom10, not atom39.
not atom13 > atom13 :- atom10, not atom39.
atom5 > not atom5 :- not atom9, not atom39.
not atom5 > atom5 :- atom9, not atom39.
atom55 > not atom55 :- not atom2, not atom39.
atom55 > not atom55 :- atom2, not atom39.
atom1 > not atom1 :- not atom2, not atom39.
atom1 > not atom1 :- atom2, not atom39.
atom16 > not atom16 :- not atom8, not atom39.
atom16 > not atom16 :- atom8, not atom39.
not atom49 > atom49 :- not atom2, not atom39.
atom49 > not atom49 :- atom2, not atom39.
not atom37 > atom37 :- not atom1, not atom39.
atom37 > not atom37 :- atom1, not atom39.
atom53 > not atom53 :- not atom8, not atom39.
atom53 > not atom53 :- atom8, not atom39.
not atom23 > atom23 :- not atom8, not atom39.
not atom23 > atom23 :- atom8, not atom39.
not atom12 > atom12 :- not atom1, not atom39.
not atom12 > atom12 :- atom1, not atom39.
atom14 > not atom14 :- not atom1, not atom39.
not atom14 > atom14 :- atom1, not atom39.
not atom45 > atom45 :- not atom1, not atom39.
not atom45 > atom45 :- atom1, not atom39.
not atom60 > atom60 :- not atom2, not atom39.
atom60 > not atom60 :- atom2, not atom39.
atom6 > not atom6 :- not atom12, not atom39.
not atom6 > atom6 :- atom12, not atom39.
not atom27 > atom27 :- not atom6, not atom39.
not atom27 > atom27 :- atom6, not atom39.
atom4 > not atom4 :- not atom1, not atom39.
atom4 > not atom4 :- atom1, not atom39.
not atom38 > atom38 :- not atom1, not atom39.
atom38 > not atom38 :- atom1, not atom39.
not atom40 > atom40 :- not atom1, not atom39.
atom40 > not atom40 :- atom1, not atom39.
atom20 > not atom20 :- not atom1, not atom39.
not atom20 > atom20 :- atom1, not atom39.
atom31 > not atom31 :- not atom1, not atom39.
not atom31 > atom31 :- atom1, not atom39.
atom59 > not atom59 :- not atom2, not atom39.
atom59 > not atom59 :- atom2, not atom39.
atom7 > not atom7 :- not atom1, not atom39.
atom7 > not atom7 :- atom1, not atom39.
not atom52 > atom52 :- not atom9, not atom39.
atom52 > not atom52 :- atom9, not atom39.
not atom28 > atom28 :- not atom7, not atom39.
atom28 > not atom28 :- atom7, not atom39.
atom21 > not atom21 :- not atom4, not atom39.
not atom21 > atom21 :- atom4, not atom39.
not atom43 > atom43 :- not atom4, not atom39.
not atom43 > atom43 :- atom4, not atom39.
not atom58 > atom58 :- not atom5, not atom39.
atom58 > not atom58 :- atom5, not atom39.
atom47 > not atom47 :- not atom4, not atom39.
atom47 > not atom47 :- atom4, not atom39.
atom30 > not atom30 :- not atom1, not atom39.
not atom30 > atom30 :- atom1, not atom39.
not atom11 > atom11 :- not atom1, not atom39.
not atom11 > atom11 :- atom1, not atom39.
atom22 > not atom22 :- not atom2, not atom39.
not atom22 > atom22 :- atom2, not atom39.
atom36 > not atom36 :- not atom1, not atom39.
not atom36 > atom36 :- atom1, not atom39.
not atom3 > atom3 :- not atom2, not atom39.
not atom3 > atom3 :- atom2, not atom39.
atom35 > not atom35 :- not atom1, not atom39.
not atom35 > atom35 :- atom1, not atom39.
not atom56 > atom56 :- not atom1, not atom39.
atom56 > not atom56 :- atom1, not atom39.
not atom30 > atom30 :- atom39.
atom48 > not atom48 :- not atom30, atom39.
not atom48 > atom48 :- atom30, atom39.
not atom40 > atom40 :- not atom30, atom39.
not atom40 > atom40 :- atom30, atom39.
not atom12 > atom12 :- not atom30, atom39.
not atom12 > atom12 :- atom30, atom39.
not atom25 > atom25 :- not atom30, atom39.
not atom25 > atom25 :- atom30, atom39.
atom24 > not atom24 :- not atom25, atom39.
not atom24 > atom24 :- atom25, atom39.
atom6 > not atom6 :- not atom25, atom39.
atom6 > not atom6 :- atom25, atom39.
not atom21 > atom21 :- not atom6, atom39.
atom21 > not atom21 :- atom6, atom39.
not atom27 > atom27 :- not atom30, atom39.
atom27 > not atom27 :- atom30, atom39.
atom55 > not atom55 :- not atom6, atom39.
not atom55 > atom55 :- atom6, atom39.
not atom51 > atom51 :- not atom12, atom39.
atom51 > not atom51 :- atom12, atom39.
