atom18 > not atom18.
not atom60 > atom60 :- not atom18.
not atom9 > atom9 :- not atom18.
not atom45 > atom45 :- not atom9, not atom18.
atom45 > not atom45 :- atom9, not atom18.
atom8 > not atom8 :- not atom18.
atom34 > not atom34 :- not atom8, not atom18.
not atom34 > atom34 :- atom8, not atom18.
not atom59 > atom59 :- not atom9, not atom18.
atom59 > not atom59 :- atom9, not atom18.
not atom41 > atom41 :- not atom9, not atom18.
not atom41 > atom41 :- atom9, not atom18.
atom55 > not atom55 :- not atom9, not atom18.
not atom55 > atom55 :- atom9, not atom18.
not atom40 > atom40 :- not atom41, not atom18.
atom40 > not atom40 :- atom41, not atom18.
atom27 > not atom27 :- not atom9, not atom18.
atom27 > not atom27 :- atom9, not atom18.
not atom44 > atom44 :- not atom9, not atom18.
not atom44 > atom44 :- atom9, not atom18.
atom35 > not atom35 :- not atom9, not atom18.
atom35 > not atom35 :- atom9, not atom18.
atom10 > not atom10 :- not atom40, not atom18.
atom10 > not atom10 :- atom40, not atom18.
not atom33 > atom33 :- not atom10, not atom18.
not atom33 > atom33 :- atom10, not atom18.
not atom23 > atom23 :- not atom8, not atom18.
atom23 > not atom23 :- atom8, not atom18.
atom49 > not atom49 :- not atom8, not atom18.
atom49 > not atom49 :- atom8, not atom18.
not atom51 > atom51 :- not atom8, not atom18.
atom51 > not atom51 :- atom8, not atom18.
atom11 > not atom11 :- not atom8, not atom18.
atom11 > not atom11 :- atom8, not atom18.
not atom58 > atom58 :- not atom10, not atom18.
atom58 > not atom58 :- atom10, not atom18.
not atom26 > atom26 :- not atom10, not atom18.
atom26 > not atom26 :- atom10, not atom18.
atom36 > not atom36 :- not atom10, not atom18.
not atom36 > atom36 :- atom10, not atom18.
atom22 > not atom22 :- not atom9, not atom18.
not atom22 > atom22 :- atom9, not atom18.
atom43 > not atom43 :- not atom9, not atom18.
atom43 > not atom43 :- atom9, not atom18.
atom25 > not atom25 :- not atom8, not atom18.
atom25 > not atom25 :- atom8, not atom18.
atom17 > not atom17 :- not atom8, not atom18.
atom17 > not atom17 :- atom8, not atom18.
atom47 > not atom47 :- not atom8, not atom18.
atom47 > not atom47 :- atom8, not atom18.
not atom38 > atom38 :- not atom10, not atom18.
atom38 > not atom38 :- atom10, not atom18.
atom13 > not atom13 :- not atom8, not atom18.
atom13 > not atom13 :- atom8, not atom18.
not atom30 > atom30 :- not atom9, not atom18.
atom30 > not atom30 :- atom9, not atom18.
atom19 > not atom19 :- not atom9, not atom18.
atom19 > not atom19 :- atom9, not atom18.
not atom7 > atom7 :- not atom8, not atom18.
atom7 > not atom7 :- atom8, not atom18.
atom52 > not atom52 :- not atom7, not atom18.
not atom52 > atom52 :- atom7, not atom18.
not atom50 > atom50 :- not atom7, not atom18.
atom50 > not atom50 :- atom7, not atom18.
not atom20 > atom20 :- not atom7, not atom18.
atom20 > not atom20 :- atom7, not atom18.
atom2 > not atom2 :- not atom7, not atom18.
atom2 > not atom2 :- atom7, not atom18.
not atom28 > atom28 :- not atom2, not atom18.
atom28 > not atom28 :- atom2, not atom18.
not atom57 > atom57 :- not atom2, not atom18.
not atom57 > atom57 :- atom2, not atom18.
not atom31 > atom31 :- not atom2, not atom18.
atom31 > not atom31 :- atom2, not atom18.
not atom21 > atom21 :- not atom2, not atom18.
not atom21 > atom21 :- atom2, not atom18.
not atom53 > atom53 :- not atom2, not atom18.
atom53 > not atom53 :- atom2, not atom18.
not atom39 > atom39 :- not atom7, not atom18.
atom39 > not atom39 :- atom7, not atom18.
not atom54 > atom54 :- not atom2, not atom18.
not atom54 > atom54 :- atom2, not atom18.
not atom56 > atom56 :- not atom10, not atom18.
atom56 > not atom56 :- atom10, not atom18.
atom5 > not atom5 :- not atom8, not atom18.
atom5 > not atom5 :- atom8, not atom18.
not atom15 > atom15 :- not atom2, not atom18.
not atom15 > atom15 :- atom2, not atom18.
atom37 > not atom37 :- not atom2, not atom18.
not atom37 > atom37 :- atom2, not atom18.
not atom14 > atom14 :- not atom2, not atom18.
atom14 > not atom14 :- atom2, not atom18.
atom46 > not atom46 :- not atom8, not atom18.
atom46 > not atom46 :- atom8, not atom18.
atom4 > not atom4 :- not atom5, not atom18.
not atom4 > atom4 :- atom5, not atom18.
not atom1 > atom1 :- not atom2, not atom18.
atom1 > not atom1 :- atom2, not atom18.
not atom48 > atom48 :- not atom2, not atom18.
atom48 > not atom48 :- atom2, not atom18.
not atom29 > atom29 :- not atom8, not atom18.
atom29 > not atom29 :- atom8, not atom18.
not atom42 > atom42 :- not atom2, not atom18.
atom42 > not atom42 :- atom2, not atom18.
not atom16 > atom16 :- not atom2, not atom18.
atom16 > not atom16 :- atom2, not atom18.
atom32 > not atom32 :- not atom1, not atom18.
atom32 > not atom32 :- atom1, not atom18.
atom12 > not atom12 :- not atom1, not atom18.
not atom12 > atom12 :- atom1, not atom18.
atom24 > not atom24 :- not atom1, not atom18.
not atom24 > atom24 :- atom1, not atom18.
atom3 > not atom3 :- not atom1, not atom18.
not atom3 > atom3 :- atom1, not atom18.
not atom6 > atom6 :- not atom1, not atom18.
atom6 > not atom6 :- atom1, not atom18.
not atom12 > atom12 :- atom18.
not atom48 > atom48 :- atom18.
atom9 > not atom9 :- not atom12, atom18.
not atom9 > atom9 :- atom12, atom18.
not atom44 > atom44 :- atom18.
not atom36 > atom36 :- not atom9, atom18.
not atom36 > atom36 :- atom9, atom18.
not atom26 > atom26 :- not atom12, atom18.
atom26 > not atom26 :- atom12, atom18.
not atom4 > atom4 :- not atom12, atom18.
not atom4 > atom4 :- atom12, atom18.
atom19 > not atom19 :- not atom4, atom18.
not atom19 > atom19 :- atom4, atom18.
atom23 > not atom23 :- not atom9, atom18.
not atom23 > atom23 :- atom9, atom18.
atom37 > not atom37 :- not atom9, atom18.
atom37 > not atom37 :- atom9, atom18.
not atom14 > atom14 :- not atom9, atom18.
not atom14 > atom14 :- atom9, atom18.
not atom43 > atom43 :- not atom12, atom18.
not atom43 > atom43 :- atom12, atom18.
atom57 > not atom57 :- not atom4, atom18.
