atom29 > not atom29.
not atom16 > atom16 :- atom29.
not atom12 > atom12 :- atom29.
not atom59 > atom59 :- not atom12, atom29.
atom59 > not atom59 :- atom12, atom29.
atom49 > not atom49 :- not atom59, atom29.
not atom49 > atom49 :- atom59, atom29.
atom52 > not atom52 :- not atom12, atom29.
atom52 > not atom52 :- atom12, atom29.
atom38 > not atom38 :- not atom12, atom29.
atom38 > not atom38 :- atom12, atom29.
atom9 > not atom9 :- not atom12, atom29.
not atom9 > atom9 :- atom12, atom29.
atom6 > not atom6 :- not atom9, atom29.
atom6 > not atom6 :- atom9, atom29.
not atom4 > atom4 :- not atom16, atom29.
not atom4 > atom4 :- atom16, atom29.
not atom11 > atom11 :- not atom6, atom29.
atom11 > not atom11 :- atom6, atom29.
not atom36 > atom36 :- not atom6, atom29.
atom36 > not atom36 :- atom6, atom29.
atom47 > not atom47 :- not atom4, atom29.
not atom47 > atom47 :- atom4, atom29.
not atom43 > atom43 :- not atom4, atom29.
not atom43 > atom43 :- atom4, atom29.
not atom33 > atom33 :- not atom9, atom29.
atom33 > not atom33 :- atom9, atom29.
atom26 > not atom26 :- not atom4, atom29.
atom26 > not atom26 :- atom4, atom29.
atom23 > not atom23 :- not atom9, atom29.
atom23 > not atom23 :- atom9, atom29.
not atom2 > atom2 :- not atom4, atom29.
not atom2 > atom2 :- atom4, atom29.
not atom55 > atom55 :- not atom2, atom29.
atom55 > not atom55 :- atom2, atom29.
atom50 > not atom50 :- not atom6, atom29.
not atom50 > atom50 :- atom6, atom29.
atom51 > not atom51 :- not atom6, atom29.
atom51 > not atom51 :- atom6, atom29.
not atom8 > atom8 :- not atom6, atom29.
atom8 > not atom8 :- atom6, atom29.
not atom60 > atom60 :- not atom2, atom29.
not atom60 > atom60 :- atom2, atom29.
not atom21 > atom21 :- not atom8, atom29.
not atom21 > atom21 :- atom8, atom29.
atom14 > not atom14 :- not atom6, atom29.
atom14 > not atom14 :- atom6, atom29.
not atom42 > atom42 :- not atom2, atom29.
not atom42 > atom42 :- atom2, atom29.
not atom22 > atom22 :- not atom6, atom29.
not atom22 > atom22 :- atom6, atom29.
not atom37 > atom37 :- not atom4, atom29.
atom37 > not atom37 :- atom4, atom29.
atom56 > not atom56 :- not atom4, atom29.
atom56 > not atom56 :- atom4, atom29.
atom3 > not atom3 :- not atom9, atom29.
atom3 > not atom3 :- atom9, atom29.
atom54 > not atom54 :- not atom2, atom29.
atom54 > not atom54 :- atom2, atom29.
atom44 > not atom44 :- not atom3, atom29.
not atom44 > atom44 :- atom3, atom29.
not atom40 > atom40 :- not atom6, atom29.
atom40 > not atom40 :- atom6, atom29.
atom57 > not atom57 :- not atom3, atom29.
not atom57 > atom57 :- atom3, atom29.
atom17 > not atom17 :- not atom4, atom29.
atom17 > not atom17 :- atom4, atom29.
not atom20 > atom20 :- not atom4, atom29.
not atom20 > atom20 :- atom4, atom29.
not atom7 > atom7 :- not atom3, atom29.
atom7 > not atom7 :- atom3, atom29.
not atom1 > atom1 :- not atom2, atom29.
not atom1 > atom1 :- atom2, atom29.
not atom19 > atom19 :- not atom2, atom29.
atom19 > not atom19 :- atom2, atom29.
atom30 > not atom30 :- not atom3, atom29.
not atom30 > atom30 :- atom3, atom29.
not atom35 > atom35 :- not atom2, atom29.
not atom35 > atom35 :- atom2, atom29.
atom45 > not atom45 :- not atom1, atom29.
not atom45 > atom45 :- atom1, atom29.
atom58 > not atom58 :- not atom6, atom29.
not atom58 > atom58 :- atom6, atom29.
not atom48 > atom48 :- not atom1, atom29.
atom48 > not atom48 :- atom1, atom29.
not atom10 > atom10 :- not atom2, atom29.
atom10 > not atom10 :- atom2, atom29.
not atom31 > atom31 :- not atom1, atom29.
atom31 > not atom31 :- atom1, atom29.
not atom41 > atom41 :- not atom2, atom29.
atom41 > not atom41 :- atom2, atom29.
atom18 > not atom18 :- not atom1, atom29.
atom18 > not atom18 :- atom1, atom29.
not atom24 > atom24 :- not atom1, atom29.
not atom24 > atom24 :- atom1, atom29.
not atom28 > atom28 :- not atom1, atom29.
not atom28 > atom28 :- atom1, atom29.
atom39 > not atom39 :- not atom1, atom29.
atom39 > not atom39 :- atom1, atom29.
not atom25 > atom25 :- not atom7, atom29.
atom25 > not atom25 :- atom7, atom29.
not atom27 > atom27 :- not atom7, atom29.
not atom27 > atom27 :- atom7, atom29.
atom5 > not atom5 :- not atom1, atom29.
not atom5 > atom5 :- atom1, atom29.
not atom46 > atom46 :- not atom1, atom29.
atom46 > not atom46 :- atom1, atom29.
not atom13 > atom13 :- not atom1, atom29.
atom13 > not atom13 :- atom1, atom29.
not atom34 > atom34 :- not atom1, atom29.
not atom34 > atom34 :- atom1, atom29.
atom53 > not atom53 :- not atom1, atom29.
not atom53 > atom53 :- atom1, atom29.
atom32 > not atom32 :- not atom4, atom29.
not atom32 > atom32 :- atom4, atom29.
atom15 > not atom15 :- not atom1, atom29.
not atom15 > atom15 :- atom1, atom29.
atom1 > not atom1 :- not atom29.
not atom3 > atom3 :- not atom1, not atom29.
not atom3 > atom3 :- atom1, not atom29.
not atom22 > atom22 :- not atom3, not atom29.
atom22 > not atom22 :- atom3, not atom29.
atom38 > not atom38 :- not atom1, not atom29.
atom38 > not atom38 :- atom1, not atom29.
not atom34 > atom34 :- not atom3, not atom29.
atom34 > not atom34 :- atom3, not atom29.
atom49 > not atom49 :- not atom22, not atom29.
not atom49 > atom49 :- atom22, not atom29.
atom58 > not atom58 :- not atom1, not atom29.
atom58 > not atom58 :- atom1, not atom29.
not atom56 > atom56 :- not atom3, not atom29.
not atom56 > atom56 :- atom3, not atom29.
atom5 > not atom5 :- not atom1, not atom29.
not atom5 > atom5 :- atom1, not atom29.
atom16 > not atom16 :- not atom3, not atom29.
atom16 > not atom16 :- atom3, not atom29.
atom39 > not atom39 :- not atom1, not atom29.
not atom39 > atom39 :- atom1, not atom29.
atom54 > not atom54 :- not atom16, not atom29.
atom54 > not atom54 :- atom16, not atom29.
atom12 > not atom12 :- not atom1, not atom29.
atom12 > not atom12 :- atom1, not atom29.
not atom51 > atom51 :- not atom3, not atom29.
not atom51 > atom51 :- atom3, not atom29.
