atom47 > not atom47.
not atom52 > atom52 :- atom47.
not atom6 > atom6 :- atom47.
not atom56 > atom56 :- atom47.
atom28 > not atom28 :- atom47.
not atom44 > atom44 :- not atom6, atom47.
not atom44 > atom44 :- atom6, atom47.
atom8 > not atom8 :- not atom6, atom47.
not atom8 > atom8 :- atom6, atom47.
atom53 > not atom53 :- not atom6, atom47.
atom53 > not atom53 :- atom6, atom47.
atom26 > not atom26 :- not atom44, atom47.
not atom26 > atom26 :- atom44, atom47.
atom45 > not atom45 :- not atom52, atom47.
not atom45 > atom45 :- atom52, atom47.
atom36 > not atom36 :- not atom8, atom47.
not atom36 > atom36 :- atom8, atom47.
not atom21 > atom21 :- not atom8, atom47.
atom21 > not atom21 :- atom8, atom47.
not atom9 > atom9 :- not atom6, atom47.
atom9 > not atom9 :- atom6, atom47.
atom24 > not atom24 :- not atom8, atom47.
not atom24 > atom24 :- atom8, atom47.
not atom17 > atom17 :- not atom6, atom47.
atom17 > not atom17 :- atom6, atom47.
atom59 > not atom59 :- not atom6, atom47.
not atom59 > atom59 :- atom6, atom47.
atom38 > not atom38 :- not atom6, atom47.
atom38 > not atom38 :- atom6, atom47.
not atom10 > atom10 :- not atom9, atom47.
atom10 > not atom10 :- atom9, atom47.
atom42 > not atom42 :- not atom8, atom47.
not atom42 > atom42 :- atom8, atom47.
atom14 > not atom14 :- not atom6, atom47.
atom14 > not atom14 :- atom6, atom47.
not atom20 > atom20 :- not atom10, atom47.
not atom20 > atom20 :- atom10, atom47.
not atom2 > atom2 :- not atom6, atom47.
atom2 > not atom2 :- atom6, atom47.
not atom49 > atom49 :- not atom2, atom47.
atom49 > not atom49 :- atom2, atom47.
atom48 > not atom48 :- not atom2, atom47.
atom48 > not atom48 :- atom2, atom47.
not atom30 > atom30 :- not atom2, atom47.
atom30 > not atom30 :- atom2, atom47.
not atom46 > atom46 :- not atom2, atom47.
atom46 > not atom46 :- atom2, atom47.
atom16 > not atom16 :- not atom2, atom47.
atom16 > not atom16 :- atom2, atom47.
atom43 > not atom43 :- not atom2, atom47.
not atom43 > atom43 :- atom2, atom47.
atom60 > not atom60 :- not atom8, atom47.
not atom60 > atom60 :- atom8, atom47.
atom13 > not atom13 :- not atom2, atom47.
not atom13 > atom13 :- atom2, atom47.
not atom50 > atom50 :- not atom8, atom47.
atom50 > not atom50 :- atom8, atom47.
atom55 > not atom55 :- not atom9, atom47.
not atom55 > atom55 :- atom9, atom47.
