not atom29 > atom29.
not atom60 > atom60.
not atom3 > atom3 :- not atom29.
atom3 > not atom3 :- atom29.
atom41 > not atom41 :- not atom29, not atom3.
not atom41 > atom41 :- atom29, not atom3.
not atom25 > atom25 :- not atom29, not atom3.
atom25 > not atom25 :- atom29, not atom3.
not atom15 > atom15 :- not atom25, not atom3.
not atom15 > atom15 :- atom25, not atom3.
atom40 > not atom40 :- not atom3.
atom31 > not atom31 :- not atom15, not atom3.
not atom31 > atom31 :- atom15, not atom3.
not atom23 > atom23 :- not atom25, not atom3.
atom23 > not atom23 :- atom25, not atom3.
atom35 > not atom35 :- not atom23, not atom3.
atom35 > not atom35 :- atom23, not atom3.
not atom44 > atom44 :- not atom23, not atom3.
atom44 > not atom44 :- atom23, not atom3.
not atom37 > atom37 :- not atom15, not atom3.
not atom37 > atom37 :- atom15, not atom3.
atom9 > not atom9 :- not atom31, not atom3.
atom9 > not atom9 :- atom31, not atom3.
atom11 > not atom11 :- not atom9, not atom3.
atom11 > not atom11 :- atom9, not atom3.
not atom36 > atom36 :- not atom11, not atom3.
atom36 > not atom36 :- atom11, not atom3.
atom30 > not atom30 :- not atom9, not atom3.
not atom30 > atom30 :- atom9, not atom3.
not atom33 > atom33 :- not atom11, not atom3.
atom33 > not atom33 :- atom11, not atom3.
not atom22 > atom22 :- not atom23, not atom3.
atom22 > not atom22 :- atom23, not atom3.
not atom56 > atom56 :- not atom15, not atom3.
atom56 > not atom56 :- atom15, not atom3.
not atom4 > atom4 :- not atom9, not atom3.
atom4 > not atom4 :- atom9, not atom3.
not atom49 > atom49 :- not atom11, not atom3.
not atom49 > atom49 :- atom11, not atom3.
atom34 > not atom34 :- not atom4, not atom3.
not atom34 > atom34 :- atom4, not atom3.
atom14 > not atom14 :- not atom4, not atom3.
not atom14 > atom14 :- atom4, not atom3.
not atom8 > atom8 :- not atom9, not atom3.
atom8 > not atom8 :- atom9, not atom3.
not atom24 > atom24 :- not atom9, not atom3.
not atom24 > atom24 :- atom9, not atom3.
not atom58 > atom58 :- not atom8, not atom3.
atom58 > not atom58 :- atom8, not atom3.
atom20 > not atom20 :- not atom4, not atom3.
not atom20 > atom20 :- atom4, not atom3.
