not atom43 > atom43.
atom50 > not atom50 :- not atom43.
not atom50 > atom50 :- atom43.
not atom8 > atom8.
not atom44 > atom44 :- not atom50.
not atom44 > atom44 :- atom50.
not atom15 > atom15 :- not atom43.
atom15 > not atom15 :- atom43.
atom20 > not atom20 :- not atom8.
not atom20 > atom20 :- atom8.
atom17 > not atom17 :- not atom8, atom20.
not atom17 > atom17 :- atom8, atom20.
atom41 > not atom41 :- not atom15, atom20.
not atom41 > atom41 :- atom15, atom20.
not atom47 > atom47 :- not atom8, atom20.
not atom47 > atom47 :- atom8, atom20.
atom38 > not atom38 :- not atom15, atom20.
not atom38 > atom38 :- atom15, atom20.
atom56 > not atom56 :- not atom8, atom20.
not atom56 > atom56 :- atom8, atom20.
not atom28 > atom28 :- not atom38, atom20.
atom28 > not atom28 :- atom38, atom20.
not atom32 > atom32 :- not atom15, atom20.
atom32 > not atom32 :- atom15, atom20.
atom46 > not atom46 :- not atom8, atom20.
not atom46 > atom46 :- atom8, atom20.
not atom49 > atom49 :- not atom15, atom20.
atom49 > not atom49 :- atom15, atom20.
not atom53 > atom53 :- not atom15, atom20.
not atom53 > atom53 :- atom15, atom20.
atom39 > not atom39 :- not atom8, atom20.
not atom39 > atom39 :- atom8, atom20.
atom7 > not atom7 :- not atom8, atom20.
atom7 > not atom7 :- atom8, atom20.
atom45 > not atom45 :- not atom7, atom20.
not atom45 > atom45 :- atom7, atom20.
atom54 > not atom54 :- not atom8, atom20.
not atom54 > atom54 :- atom8, atom20.
atom21 > not atom21 :- not atom15, atom20.
not atom21 > atom21 :- atom15, atom20.
atom60 > not atom60 :- not atom7, atom20.
atom60 > not atom60 :- atom7, atom20.
not atom37 > atom37 :- not atom7, atom20.
atom37 > not atom37 :- atom7, atom20.
atom23 > not atom23 :- not atom8, atom20.
not atom23 > atom23 :- atom8, atom20.
atom36 > not atom36 :- not atom7, atom20.
not atom36 > atom36 :- atom7, atom20.
atom34 > not atom34 :- not atom15, atom20.
atom34 > not atom34 :- atom15, atom20.
atom5 > not atom5 :- not atom7, atom20.
not atom5 > atom5 :- atom7, atom20.
not atom30 > atom30 :- not atom15, atom20.
atom30 > not atom30 :- atom15, atom20.
atom2 > not atom2 :- not atom5, atom20.
atom2 > not atom2 :- atom5, atom20.
atom25 > not atom25 :- not atom2, atom20.
atom25 > not atom25 :- atom2, atom20.
atom27 > not atom27 :- not atom2, atom20.
not atom27 > atom27 :- atom2, atom20.
atom14 > not atom14 :- not atom2, atom20.
atom14 > not atom14 :- atom2, atom20.
atom22 > not atom22 :- not atom2, atom20.
not atom22 > atom22 :- atom2, atom20.
not atom13 > atom13 :- not atom5, atom20.
atom13 > not atom13 :- atom5, atom20.
atom16 > not atom16 :- not atom2, atom20.
atom16 > not atom16 :- atom2, atom20.
not atom4 > atom4 :- not atom5, atom20.
atom4 > not atom4 :- atom5, atom20.
atom18 > not atom18 :- not atom7, atom20.
not atom18 > atom18 :- atom7, atom20.
not atom59 > atom59 :- not atom4, atom20.
atom59 > not atom59 :- atom4, atom20.
not atom48 > atom48 :- not atom2, atom20.
not atom48 > atom48 :- atom2, atom20.
not atom51 > atom51 :- not atom7, atom20.
atom51 > not atom51 :- atom7, atom20.
not atom40 > atom40 :- not atom2, atom20.
atom40 > not atom40 :- atom2, atom20.
atom57 > not atom57 :- not atom2, atom20.
not atom57 > atom57 :- atom2, atom20.
not atom3 > atom3 :- not atom4, atom20.
atom3 > not atom3 :- atom4, atom20.
not atom10 > atom10 :- not atom3, atom20.
not atom10 > atom10 :- atom3, atom20.
not atom58 > atom58 :- not atom4, atom20.
not atom58 > atom58 :- atom4, atom20.
not atom19 > atom19 :- not atom2, atom20.
atom19 > not atom19 :- atom2, atom20.
atom33 > not atom33 :- not atom3, atom20.
not atom33 > atom33 :- atom3, atom20.
atom1 > not atom1 :- not atom2, atom20.
atom1 > not atom1 :- atom2, atom20.
not atom11 > atom11 :- not atom1, atom20.
atom11 > not atom11 :- atom1, atom20.
not atom26 > atom26 :- not atom1, atom20.
not atom26 > atom26 :- atom1, atom20.
not atom31 > atom31 :- not atom3, atom20.
not atom31 > atom31 :- atom3, atom20.
not atom12 > atom12 :- not atom1, atom20.
atom12 > not atom12 :- atom1, atom20.
atom29 > not atom29 :- not atom5, atom20.
not atom29 > atom29 :- atom5, atom20.
atom35 > not atom35 :- not atom1, atom20.
atom35 > not atom35 :- atom1, atom20.
not atom52 > atom52 :- not atom3, atom20.
atom52 > not atom52 :- atom3, atom20.
not atom24 > atom24 :- not atom2, atom20.
not atom24 > atom24 :- atom2, atom20.
not atom55 > atom55 :- not atom1, atom20.
atom55 > not atom55 :- atom1, atom20.
atom9 > not atom9 :- not atom1, atom20.
atom9 > not atom9 :- atom1, atom20.
not atom6 > atom6 :- not atom1, atom20.
not atom6 > atom6 :- atom1, atom20.
atom42 > not atom42 :- not atom1, atom20.
not atom42 > atom42 :- atom1, atom20.
not atom10 > atom10 :- not atom43, not atom20.
atom10 > not atom10 :- atom43, not atom20.
atom14 > not atom14 :- not atom8, not atom20.
not atom14 > atom14 :- atom8, not atom20.
not atom16 > atom16 :- not atom8, not atom20.
not atom16 > atom16 :- atom8, not atom20.
not atom34 > atom34 :- not atom8, not atom20.
not atom34 > atom34 :- atom8, not atom20.
atom47 > not atom47 :- not atom14, not atom20.
atom47 > not atom47 :- atom14, not atom20.
atom4 > not atom4 :- not atom8, not atom20.
not atom4 > atom4 :- atom8, not atom20.
atom12 > not atom12 :- not atom15, not atom20.
not atom12 > atom12 :- atom15, not atom20.
atom56 > not atom56 :- not atom8, not atom20.
atom56 > not atom56 :- atom8, not atom20.
not atom38 > atom38 :- not atom4, not atom20.
not atom38 > atom38 :- atom4, not atom20.
atom31 > not atom31 :- not atom10, not atom20.
atom31 > not atom31 :- atom10, not atom20.
not atom25 > atom25 :- not atom10, not atom20.
atom25 > not atom25 :- atom10, not atom20.
not atom39 > atom39 :- not atom4, not atom20.
atom39 > not atom39 :- atom4, not atom20.
not atom27 > atom27 :- not atom14, not atom20.
atom27 > not atom27 :- atom14, not atom20.
atom57 > not atom57 :- not atom4, not atom20.
not atom57 > atom57 :- atom4, not atom20.
atom51 > not atom51 :- not atom8, not atom20.
not atom51 > atom51 :- atom8, not atom20.
not atom26 > atom26 :- not atom8, not atom20.
atom26 > not atom26 :- atom8, not atom20.
atom52 > not atom52 :- not atom4, not atom20.
not atom52 > atom52 :- atom4, not atom20.
atom23 > not atom23 :- not atom4, not atom20.
not atom23 > atom23 :- atom4, not atom20.
not atom54 > atom54 :- not atom14, not atom20.
not atom54 > atom54 :- atom14, not atom20.
atom21 > not atom21 :- not atom8, not atom20.
not atom21 > atom21 :- atom8, not atom20.
not atom59 > atom59 :- not atom4, not atom20.
not atom59 > atom59 :- atom4, not atom20.
atom9 > not atom9 :- not atom4, not atom20.
atom9 > not atom9 :- atom4, not atom20.
not atom40 > atom40 :- not atom4, not atom20.
atom40 > not atom40 :- atom4, not atom20.
atom3 > not atom3 :- not atom4, not atom20.
atom3 > not atom3 :- atom4, not atom20.
not atom5 > atom5 :- not atom9, not atom20.
not atom5 > atom5 :- atom9, not atom20.
atom45 > not atom45 :- not atom3, not atom20.
atom45 > not atom45 :- atom3, not atom20.
not atom28 > atom28 :- not atom3, not atom20.
not atom28 > atom28 :- atom3, not atom20.
atom41 > not atom41 :- not atom3, not atom20.
not atom41 > atom41 :- atom3, not atom20.
atom32 > not atom32 :- not atom5, not atom20.
not atom32 > atom32 :- atom5, not atom20.
atom19 > not atom19 :- not atom3, not atom20.
atom19 > not atom19 :- atom3, not atom20.
not atom11 > atom11 :- not atom3, not atom20.
atom11 > not atom11 :- atom3, not atom20.
not atom58 > atom58 :- not atom5, not atom20.
atom58 > not atom58 :- atom5, not atom20.
atom1 > not atom1 :- not atom3, not atom20.
atom1 > not atom1 :- atom3, not atom20.
not atom24 > atom24 :- not atom5, not atom20.
atom24 > not atom24 :- atom5, not atom20.
not atom37 > atom37 :- not atom1, not atom20.
not atom37 > atom37 :- atom1, not atom20.
not atom46 > atom46 :- not atom1, not atom20.
not atom46 > atom46 :- atom1, not atom20.
not atom60 > atom60 :- not atom1, not atom20.
atom60 > not atom60 :- atom1, not atom20.
not atom30 > atom30 :- not atom3, not atom20.
atom30 > not atom30 :- atom3, not atom20.
atom48 > not atom48 :- not atom1, not atom20.
not atom48 > atom48 :- atom1, not atom20.
not atom2 > atom2 :- not atom1, not atom20.
not atom2 > atom2 :- atom1, not atom20.
atom36 > not atom36 :- not atom1, not atom20.
atom36 > not atom36 :- atom1, not atom20.
not atom49 > atom49 :- not atom3, not atom20.
atom49 > not atom49 :- atom3, not atom20.
not atom6 > atom6 :- not atom3, not atom20.
atom6 > not atom6 :- atom3, not atom20.
not atom7 > atom7 :- not atom4, not atom20.
not atom7 > atom7 :- atom4, not atom20.
not atom42 > atom42 :- not atom2, not atom20.
atom42 > not atom42 :- atom2, not atom20.
not atom55 > atom55 :- not atom1, not atom20.
not atom55 > atom55 :- atom1, not atom20.
not atom33 > atom33 :- not atom1, not atom20.
atom33 > not atom33 :- atom1, not atom20.
atom18 > not atom18 :- not atom1, not atom20.
not atom18 > atom18 :- atom1, not atom20.
not atom29 > atom29 :- not atom3, not atom20.
atom29 > not atom29 :- atom3, not atom20.
atom35 > not atom35 :- not atom1, not atom20.
atom35 > not atom35 :- atom1, not atom20.
atom13 > not atom13 :- not atom1, not atom20.
atom13 > not atom13 :- atom1, not atom20.
atom53 > not atom53 :- not atom1, not atom20.
not atom53 > atom53 :- atom1, not atom20.
not atom17 > atom17 :- not atom2, not atom20.
atom17 > not atom17 :- atom2, not atom20.
not atom22 > atom22 :- not atom2, not atom20.
atom22 > not atom22 :- atom2, not atom20.
atom59 > not atom59.
atom29 > not atom29.
not atom22 > atom22 :- not atom29.
atom22 > not atom22 :- atom29.
not atom5 > atom5 :- not atom22.
atom5 > not atom5 :- atom22.
not atom34 > atom34 :- not atom22.
atom34 > not atom34 :- atom22.
atom16 > not atom16.
not atom12 > atom12 :- not atom16.
not atom12 > atom12 :- atom16.
not atom2 > atom2 :- not atom5.
not atom2 > atom2 :- atom5.
atom49 > not atom49 :- not atom16.
not atom49 > atom49 :- atom16.
not atom38 > atom38 :- not atom5.
atom38 > not atom38 :- atom5.
atom32 > not atom32 :- not atom5.
atom32 > not atom32 :- atom5.
not atom23 > atom23 :- not atom2.
atom23 > not atom23 :- atom2.
not atom31 > atom31 :- not atom2.
atom31 > not atom31 :- atom2.
not atom54 > atom54 :- not atom12.
not atom54 > atom54 :- atom12.
not atom21 > atom21 :- not atom16.
not atom21 > atom21 :- atom16.
atom57 > not atom57 :- not atom16.
atom57 > not atom57 :- atom16.
atom42 > not atom42 :- not atom2.
not atom42 > atom42 :- atom2.
not atom24 > atom24 :- not atom2.
atom24 > not atom24 :- atom2.
atom48 > not atom48 :- not atom12.
not atom48 > atom48 :- atom12.
