not atom3 > atom3.
atom54 > not atom54 :- not atom3.
not atom54 > atom54 :- atom3.
atom38 > not atom38 :- not atom54.
atom15 > not atom15 :- not atom3, not atom54.
not atom15 > atom15 :- atom3, not atom54.
not atom52 > atom52 :- not atom3, not atom54.
not atom52 > atom52 :- atom3, not atom54.
not atom14 > atom14 :- not atom3, not atom54.
not atom14 > atom14 :- atom3, not atom54.
not atom25 > atom25 :- not atom15, not atom54.
atom25 > not atom25 :- atom15, not atom54.
not atom12 > atom12 :- not atom38, not atom54.
not atom12 > atom12 :- atom38, not atom54.
atom47 > not atom47 :- not atom3, not atom54.
not atom47 > atom47 :- atom3, not atom54.
atom16 > not atom16 :- not atom3, not atom54.
atom16 > not atom16 :- atom3, not atom54.
not atom56 > atom56 :- not atom14, not atom54.
atom56 > not atom56 :- atom14, not atom54.
atom21 > not atom21 :- not atom3, not atom54.
not atom21 > atom21 :- atom3, not atom54.
not atom48 > atom48 :- not atom14, not atom54.
atom48 > not atom48 :- atom14, not atom54.
not atom59 > atom59 :- not atom3, not atom54.
atom59 > not atom59 :- atom3, not atom54.
not atom49 > atom49 :- not atom12, not atom54.
not atom49 > atom49 :- atom12, not atom54.
not atom1 > atom1 :- not atom3, not atom54.
atom1 > not atom1 :- atom3, not atom54.
not atom57 > atom57 :- not atom14, not atom54.
not atom57 > atom57 :- atom14, not atom54.
atom33 > not atom33 :- not atom3, not atom54.
not atom33 > atom33 :- atom3, not atom54.
atom40 > not atom40 :- not atom1, not atom54.
atom40 > not atom40 :- atom1, not atom54.
atom46 > not atom46 :- not atom1, not atom54.
not atom46 > atom46 :- atom1, not atom54.
atom37 > not atom37 :- not atom15, not atom54.
atom37 > not atom37 :- atom15, not atom54.
atom17 > not atom17 :- not atom1, not atom54.
not atom17 > atom17 :- atom1, not atom54.
atom50 > not atom50 :- not atom3, not atom54.
not atom50 > atom50 :- atom3, not atom54.
atom29 > not atom29 :- not atom1, not atom54.
not atom29 > atom29 :- atom1, not atom54.
atom55 > not atom55 :- not atom1, not atom54.
not atom55 > atom55 :- atom1, not atom54.
atom28 > not atom28 :- not atom1, not atom54.
atom28 > not atom28 :- atom1, not atom54.
atom10 > not atom10 :- not atom3, not atom54.
atom10 > not atom10 :- atom3, not atom54.
not atom20 > atom20 :- not atom3, not atom54.
not atom20 > atom20 :- atom3, not atom54.
not atom60 > atom60 :- not atom1, not atom54.
atom60 > not atom60 :- atom1, not atom54.
not atom35 > atom35 :- not atom10, not atom54.
atom35 > not atom35 :- atom10, not atom54.
